timestamp,value
788889600,82.6
788976000,82.3
789062400,81.0
789148800,83.3
789235200,83.4
789321600,84.1
789408000,82.5
789494400,81.3
789580800,79.7
789667200,80.9
789753600,77.5
789840000,73.8
789926400,73.0
790012800,74.9
790099200,76.7
790185600,78.9
790272000,80.9
790358400,80.1
790444800,80.3
790531200,79.0
790617600,75.7
790704000,78.3
790790400,77.0
790876800,82.4
790963200,82.6
791049600,79.8
791136000,80.8
791222400,79.8
791308800,81.1
791395200,82.4
791481600,81.3
791568000,81.1
791654400,81.6
791740800,80.4
791827200,80.1
791913600,80.4
792000000,80.4
792086400,82.3
792172800,82.6
792259200,83.0
792345600,82.7
792432000,82.2
792518400,82.9
792604800,81.0
792691200,81.6
792777600,81.8
792864000,81.9
792950400,83.1
793036800,83.6
793123200,83.2
793209600,84.7
793296000,82.3
793382400,84.6
793468800,84.5
793555200,84.8
793641600,84.3
793728000,84.0
793814400,84.2
793900800,83.9
793987200,83.4
794073600,82.8
794160000,81.4
794246400,81.8
794332800,83.7
794419200,84.3
794505600,84.0
794592000,83.2
794678400,77.8
794764800,81.1
794851200,81.7
794937600,80.8
795024000,84.2
795110400,84.0
795196800,80.3
795283200,83.4
795369600,82.4
795456000,77.8
795542400,82.2
795628800,83.0
795715200,84.6
795801600,81.0
795888000,81.1
795974400,84.1
796060800,83.8
796147200,84.2
796233600,83.1
796320000,82.4
796406400,81.8
796492800,84.7
796579200,84.8
796665600,83.9
796752000,81.9
796838400,79.7
796924800,82.5
797011200,84.7
797097600,82.8
797184000,86.1
797270400,85.1
797356800,81.3
797443200,84.2
797529600,84.9
797616000,85.9
797702400,84.2
797788800,86.0
797875200,86.7
797961600,84.9
798048000,76.9
798134400,82.4
798220800,85.1
798307200,84.6
798393600,82.6
798480000,83.5
798566400,84.1
798652800,79.5
798739200,82.4
798825600,83.8
798912000,83.4
798998400,84.4
799084800,80.8
799171200,81.3
799257600,81.1
799344000,82.4
799430400,83.2
799516800,85.1
799603200,83.3
799689600,83.7
799776000,84.0
799862400,82.4
799948800,80.6
800035200,82.5
800121600,83.3
