timestamp,value
788889600,33.4
788976000,31.1
789062400,33.6
789148800,28.2
789235200,29.5
789321600,45.5
789408000,39.5
789494400,53.8
789580800,55.6
789667200,60.6
789753600,58.1
789840000,58.9
789926400,49.4
790012800,45.1
790099200,48.1
790185600,57.4
790272000,55.7
790358400,42.6
790444800,39.7
790531200,44.3
790617600,51.1
790704000,41.5
790790400,35.9
790876800,42.2
790963200,47.0
791049600,54.8
791136000,56.9
791222400,49.4
791308800,38.2
791395200,37.0
791481600,46.5
791568000,50.7
791654400,59.0
791740800,54.8
791827200,48.1
791913600,50.9
792000000,44.5
792086400,47.7
792172800,37.4
792259200,49.2
792345600,58.5
792432000,42.2
792518400,34.1
792604800,36.2
792691200,43.2
792777600,54.3
792864000,38.5
792950400,39.4
793036800,46.6
793123200,53.1
793209600,54.9
793296000,56.7
793382400,60.3
793468800,61.6
793555200,58.3
793641600,54.4
793728000,59.9
793814400,61.0
793900800,45.7
793987200,30.1
794073600,24.6
794160000,28.1
794246400,42.4
794332800,52.5
794419200,53.1
794505600,39.1
794592000,31.9
794678400,43.9
794764800,48.9
794851200,56.5
794937600,63.8
795024000,55.7
795110400,52.1
795196800,53.2
795283200,57.2
795369600,59.3
795456000,62.0
795542400,68.4
795628800,66.7
795715200,68.8
795801600,75.7
795888000,69.0
795974400,67.5
796060800,66.1
796147200,62.9
796233600,51.7
796320000,52.0
796406400,45.5
796492800,47.9
796579200,49.4
796665600,52.5
796752000,58.1
796838400,59.4
796924800,56.8
797011200,56.8
797097600,60.0
797184000,67.8
797270400,72.8
797356800,74.1
797443200,65.0
797529600,47.1
797616000,57.7
797702400,62.7
797788800,68.5
797875200,73.0
797961600,74.6
798048000,76.3
798134400,64.5
798220800,63.6
798307200,60.9
798393600,63.3
798480000,55.1
798566400,47.0
798652800,51.0
798739200,60.0
798825600,66.9
798912000,54.3
798998400,62.2
799084800,74.1
799171200,72.6
799257600,68.3
799344000,57.5
799430400,67.8
799516800,67.8
799603200,64.4
799689600,68.1
799776000,74.3
799862400,66.5
799948800,67.9
800035200,66.4
800121600,63.4
800208000,71.9
800294400,81.3
800380800,80.1
800467200,78.7
800553600,76.9
800640000,78.5
800726400,65.7
800812800,64.3
800899200,71.2
800985600,73.8
801072000,74.7
801158400,76.0
801244800,67.9
801331200,60.1
801417600,70.0
801504000,71.7
801590400,70.1
801676800,64.2
801763200,63.6
801849600,69.5
801936000,68.5
802022400,77.3
802108800,77.6
802195200,75.7
802281600,75.9
802368000,80.7
802454400,82.8
802540800,82.5
802627200,81.1
802713600,82.5
802800000,66.6
802886400,67.4
802972800,71.6
803059200,75.2
803145600,75.4
803232000,74.2
803318400,74.1
803404800,75.4
803491200,75.7
803577600,76.3
803664000,78.1
803750400,77.7
803836800,80.4
803923200,78.1
804009600,75.2
804096000,75.6
804182400,73.5
804268800,80.9
804355200,76.1
804441600,71.5
804528000,72.4
804614400,77.5
804700800,78.8
804787200,84.1
804873600,80.1
804960000,77.7
805046400,78.4
805132800,81.2
805219200,84.6
805305600,83.3
805392000,85.1
805478400,85.4
805564800,85.2
805651200,83.2
805737600,83.1
805824000,78.5
805910400,79.2
805996800,82.2
806083200,79.6
806169600,83.7
806256000,88.5
806342400,86.2
806428800,86.9
806515200,89.9
806601600,81.8
806688000,88.5
806774400,89.8
806860800,88.9
806947200,88.4
807033600,80.0
807120000,76.8
807206400,70.7
807292800,72.4
807379200,75.7
807465600,77.0
807552000,79.3
807638400,82.1
807724800,82.2
807811200,83.0
807897600,81.8
807984000,81.3
808070400,81.6
808156800,81.4
808243200,81.5
808329600,82.3
808416000,81.2
808502400,81.3
808588800,82.5
808675200,82.7
808761600,83.0
808848000,83.2
808934400,84.1
809020800,85.2
809107200,82.6
809193600,79.0
809280000,79.4
809366400,77.8
809452800,80.5
809539200,81.6
809625600,82.4
809712000,81.4
809798400,78.7
809884800,78.6
809971200,82.9
810057600,84.1
810144000,85.1
810230400,84.7
810316800,86.6
810403200,83.5
810489600,76.8
810576000,69.4
810662400,67.8
810748800,76.0
810835200,81.7
810921600,70.3
811008000,71.4
811094400,73.8
811180800,77.5
811267200,77.3
811353600,70.1
811440000,71.9
811526400,67.0
811612800,64.2
811699200,48.2
811785600,56.7
811872000,65.9
811958400,61.8
812044800,62.1
812131200,75.1
812217600,79.8
812304000,78.5
812390400,78.5
812476800,71.9
812563200,68.2
812649600,61.8
812736000,67.0
812822400,66.5
812908800,58.0
812995200,60.0
813081600,70.2
813168000,74.5
813254400,76.1
813340800,72.7
813427200,72.7
813513600,68.8
813600000,59.3
813686400,61.5
813772800,67.0
813859200,69.3
813945600,70.2
814032000,70.7
814118400,56.8
814204800,60.3
814291200,72.2
814377600,66.8
814464000,54.3
814550400,67.6
814636800,72.7
814723200,67.6
814809600,59.6
814896000,62.9
814982400,60.4
815068800,61.6
815155200,63.9
815241600,50.9
815328000,38.0
815414400,39.7
815500800,45.5
815587200,59.6
815673600,64.1
815760000,54.2
815846400,59.9
815932800,68.9
816019200,44.5
816105600,52.7
816192000,59.7
816278400,52.8
816364800,55.2
816451200,53.1
816537600,55.4
816624000,54.6
816710400,56.9
816796800,58.1
816883200,54.5
816969600,59.6
817056000,53.5
817142400,48.2
817228800,56.4
817315200,62.8
817401600,60.4
817488000,38.8
817574400,41.4
817660800,51.6
817747200,58.8
817833600,62.6
817920000,58.0
818006400,49.2
818092800,57.9
818179200,47.8
818265600,44.9
818352000,49.4
818438400,29.2
818524800,29.1
818611200,46.3
818697600,56.6
818784000,63.3
818870400,64.8
818956800,56.1
819043200,49.7
819129600,49.4
819216000,42.7
819302400,38.2
819388800,30.4
819475200,33.4
819561600,35.2
819648000,33.9
819734400,34.5
819820800,38.2
819907200,42.9
819993600,42.3
820080000,36.1
820166400,40.2
820252800,48.4
820339200,48.7
820425600,43.0
820512000,31.4
820598400,30.1
820684800,46.9
820771200,35.8
820857600,28.0
820944000,23.5
821030400,34.4
821116800,48.4
821203200,44.9
821289600,52.9
821376000,45.4
821462400,53.7
821548800,58.5
821635200,48.4
821721600,54.2
821808000,59.8
821894400,34.4
821980800,27.7
822067200,47.6
822153600,44.0
822240000,56.8
822326400,48.6
822412800,39.7
822499200,48.4
822585600,43.9
822672000,34.2
822758400,45.8
822844800,46.4
822931200,37.3
823017600,20.2
823104000,21.2
823190400,21.5
823276800,16.7
823363200,17.5
823449600,37.8
823536000,43.3
823622400,58.0
823708800,64.1
823795200,56.4
823881600,68.4
823968000,51.4
824054400,44.6
824140800,51.2
824227200,64.1
824313600,54.8
824400000,40.8
824486400,49.2
824572800,55.3
824659200,63.6
824745600,65.5
824832000,73.2
824918400,72.4
825004800,67.4
825091200,54.0
825177600,65.0
825264000,67.8
825350400,62.8
825436800,38.4
825523200,32.6
825609600,38.4
825696000,47.9
825782400,58.8
825868800,62.2
825955200,68.9
826041600,55.7
826128000,28.7
826214400,28.2
826300800,32.7
826387200,44.7
826473600,51.7
826560000,60.3
826646400,68.4
826732800,70.3
826819200,57.0
826905600,60.4
826992000,59.6
827078400,53.3
827164800,48.3
827251200,42.1
827337600,48.9
827424000,65.0
827510400,67.3
827596800,66.2
827683200,40.9
827769600,33.3
827856000,31.5
827942400,36.2
828028800,59.1
828115200,62.5
828201600,49.3
828288000,53.0
828374400,62.3
828460800,64.8
828547200,56.2
828633600,39.2
828720000,43.0
828806400,48.4
828892800,59.1
828979200,66.6
829065600,68.9
829152000,71.0
829238400,69.3
829324800,63.8
829411200,65.3
829497600,53.6
829584000,59.4
829670400,69.0
829756800,76.1
829843200,76.0
829929600,66.1
830016000,70.3
830102400,64.1
830188800,57.8
830275200,66.5
830361600,75.3
830448000,66.0
830534400,72.1
830620800,73.2
830707200,56.0
830793600,58.2
830880000,70.0
830966400,73.4
831052800,79.2
831139200,80.9
831225600,81.1
831312000,77.9
831398400,75.4
831484800,75.1
831571200,72.8
831657600,75.1
831744000,64.5
831830400,64.7
831916800,75.0
832003200,80.0
832089600,78.8
832176000,83.8
832262400,78.7
832348800,80.4
832435200,82.8
832521600,82.8
832608000,82.8
832694400,85.0
832780800,85.8
832867200,84.0
832953600,77.5
833040000,79.4
833126400,80.1
833212800,76.0
833299200,76.0
833385600,79.0
833472000,71.3
833558400,76.8
833644800,77.5
833731200,77.5
833817600,70.1
833904000,76.2
833990400,76.2
834076800,71.6
834163200,71.8
834249600,70.2
834336000,74.9
834422400,74.9
834508800,74.9
834595200,81.2
834681600,84.7
834768000,84.7
834854400,88.0
834940800,78.2
835027200,85.0
835113600,90.7
835200000,87.5
835286400,88.2
835372800,80.5
835459200,80.5
835545600,87.9
835632000,81.7
835718400,79.7
835804800,81.3
835891200,83.0
835977600,83.2
836064000,82.7
836150400,86.2
836236800,87.5
836323200,83.0
836409600,84.3
836496000,88.0
836582400,87.9
836668800,90.0
836755200,90.1
836841600,87.0
836928000,81.3
837014400,78.9
837100800,78.2
837187200,77.2
837273600,77.2
837360000,77.4
837446400,81.1
837532800,84.8
837619200,84.9
837705600,85.7
837792000,87.6
837878400,88.0
837964800,87.5
838051200,85.6
838137600,81.9
838224000,79.7
838310400,83.0
838396800,79.3
838483200,80.2
838569600,85.2
838656000,85.7
838742400,84.2
838828800,81.7
838915200,87.0
839001600,89.5
839088000,89.8
839174400,89.3
839260800,89.2
839347200,86.7
839433600,80.3
839520000,75.0
839606400,76.7
839692800,78.0
839779200,78.2
839865600,76.1
839952000,78.6
840038400,81.0
840124800,77.6
840211200,78.5
840297600,79.7
840384000,80.8
840470400,79.3
840556800,80.8
840643200,79.2
840729600,74.1
840816000,73.2
840902400,72.7
840988800,73.9
841075200,75.4
841161600,74.9
841248000,72.4
841334400,71.5
841420800,72.4
841507200,72.2
841593600,75.2
841680000,79.9
841766400,75.5
841852800,70.9
841939200,72.5
842025600,75.0
842112000,76.8
842198400,74.1
842284800,74.3
842371200,75.2
842457600,75.9
842544000,68.8
842630400,70.1
842716800,72.2
842803200,70.7
842889600,73.0
842976000,77.1
843062400,72.9
843148800,70.7
843235200,70.7
843321600,74.1
843408000,79.4
843494400,69.5
843580800,71.0
843667200,71.6
843753600,53.9
843840000,53.7
843926400,62.6
844012800,64.3
844099200,63.6
844185600,69.0
844272000,62.0
844358400,65.0
844444800,64.1
844531200,67.0
844617600,66.1
844704000,64.4
844790400,63.9
844876800,70.7
844963200,68.7
845049600,73.1
845136000,70.6
845222400,68.8
845308800,70.0
845395200,72.0
845481600,70.8
845568000,55.7
845654400,60.3
845740800,70.6
845827200,61.4
845913600,46.1
846000000,52.2
846086400,58.2
846172800,65.2
846259200,68.3
846345600,69.0
846432000,48.9
846518400,62.8
846604800,56.3
846691200,66.3
846777600,43.3
846864000,46.8
846950400,53.6
847036800,61.2
847123200,61.0
847209600,69.8
847296000,51.0
847382400,46.3
847468800,48.2
847555200,53.9
847641600,59.2
847728000,60.4
847814400,56.9
847900800,62.3
847987200,65.1
848073600,67.5
848160000,51.4
848246400,53.6
848332800,66.1
848419200,67.0
848505600,55.4
848592000,45.4
848678400,62.7
848764800,38.9
848851200,31.1
848937600,35.2
849024000,32.8
849110400,38.9
849196800,44.7
849283200,49.3
849369600,40.3
849456000,49.6
849542400,43.0
849628800,48.6
849715200,49.8
849801600,59.3
849888000,47.2
849974400,47.3
850060800,58.3
850147200,64.6
850233600,64.6
850320000,58.3
850406400,52.3
850492800,60.1
850579200,46.3
850665600,39.8
850752000,34.6
850838400,23.0
850924800,22.0
851011200,34.5
851097600,44.9
851184000,56.3
851270400,58.9
851356800,30.9
851443200,34.8
851529600,46.5
851616000,43.1
851702400,59.4
851788800,55.4
851875200,54.7
851961600,56.5
852048000,60.9
852134400,61.8
852220800,67.7
852307200,67.5
852393600,46.1
852480000,34.8
852566400,32.4
852652800,30.6
852739200,35.5
852825600,37.5
852912000,23.8
852998400,18.0
853084800,16.5
853171200,20.7
853257600,38.2
853344000,35.9
853430400,28.4
853516800,35.1
853603200,44.2
853689600,50.7
853776000,57.0
853862400,55.5
853948800,56.7
854035200,56.9
854121600,46.7
854208000,58.3
854294400,52.6
854380800,27.9
854467200,33.0
854553600,41.3
854640000,56.5
854726400,63.3
854812800,54.3
854899200,57.7
854985600,50.2
855072000,42.8
855158400,39.5
855244800,39.4
855331200,33.9
855417600,34.5
855504000,41.4
855590400,42.4
855676800,42.0
855763200,31.8
855849600,39.6
855936000,43.0
856022400,49.2
856108800,53.4
856195200,57.5
856281600,58.9
856368000,58.8
856454400,48.7
856540800,41.5
856627200,47.3
856713600,45.7
856800000,39.5
856886400,40.1
856972800,42.6
857059200,54.5
857145600,61.1
857232000,44.0
857318400,52.4
857404800,64.5
857491200,50.7
857577600,45.8
857664000,56.0
857750400,60.2
857836800,64.2
857923200,57.0
858009600,60.0
858096000,60.1
858182400,63.2
858268800,50.0
858355200,39.7
858441600,46.5
858528000,58.9
858614400,62.2
858700800,50.4
858787200,58.6
858873600,68.6
858960000,64.2
859046400,59.0
859132800,68.7
859219200,58.1
859305600,49.5
859392000,60.3
859478400,64.6
859564800,66.6
859651200,57.3
859737600,53.0
859824000,56.0
859910400,63.5
859996800,62.4
860083200,63.8
860169600,59.0
860256000,55.9
860342400,55.0
860428800,61.4
860515200,39.5
860601600,58.2
860688000,50.6
860774400,36.2
860860800,40.6
860947200,47.7
861033600,57.8
861120000,63.7
861206400,63.2
861292800,60.7
861379200,59.7
861465600,68.3
861552000,74.0
861638400,64.8
861724800,61.7
861811200,62.3
861897600,55.9
861984000,50.0
862070400,50.9
862156800,54.8
862243200,70.2
862329600,72.6
862416000,66.2
862502400,74.4
862588800,60.5
862675200,63.6
862761600,73.0
862848000,72.4
862934400,72.4
863020800,72.9
863107200,63.2
863193600,58.1
863280000,62.6
863366400,60.7
863452800,60.1
863539200,72.2
863625600,72.0
863712000,69.4
863798400,71.6
863884800,74.2
863971200,70.6
864057600,57.4
864144000,63.2
864230400,65.4
864316800,69.2
864403200,71.1
864489600,79.8
864576000,79.8
864662400,73.7
864748800,70.1
864835200,69.8
864921600,75.2
865008000,71.8
865094400,71.4
865180800,77.0
865267200,77.5
865353600,77.0
865440000,73.9
865526400,70.5
865612800,72.0
865699200,69.5
865785600,67.7
865872000,72.9
865958400,73.8
866044800,76.9
866131200,81.6
866217600,81.9
866304000,75.5
866390400,80.0
866476800,70.9
866563200,77.0
866649600,81.7
866736000,83.0
866822400,79.2
866908800,69.7
866995200,72.8
867081600,76.8
867168000,75.1
867254400,77.2
867340800,77.4
867427200,78.4
867513600,81.9
867600000,82.0
867686400,83.1
867772800,82.6
867859200,81.9
867945600,78.6
868032000,72.3
868118400,72.5
868204800,78.0
868291200,82.0
868377600,80.8
868464000,80.8
868550400,81.7
868636800,83.7
868723200,84.3
868809600,82.9
868896000,82.8
868982400,82.4
869068800,82.8
869155200,83.5
869241600,83.0
869328000,81.6
869414400,83.1
869500800,83.9
869587200,83.8
869673600,84.3
869760000,84.7
869846400,84.6
869932800,85.1
870019200,85.1
870105600,85.6
870192000,83.2
870278400,81.4
870364800,81.2
870451200,82.6
870537600,82.1
870624000,82.9
870710400,77.8
870796800,81.5
870883200,71.0
870969600,66.5
871056000,76.4
871142400,81.8
871228800,81.3
871315200,83.4
871401600,82.6
871488000,83.4
871574400,86.7
871660800,87.5
871747200,88.3
871833600,86.2
871920000,83.6
872006400,83.7
872092800,79.2
872179200,80.4
872265600,78.2
872352000,76.0
872438400,76.1
872524800,79.1
872611200,78.6
872697600,79.6
872784000,81.5
872870400,82.6
872956800,80.3
873043200,81.4
873129600,81.8
873216000,80.9
873302400,78.2
873388800,76.3
873475200,78.2
873561600,80.4
873648000,81.3
873734400,82.5
873820800,74.9
873907200,73.7
873993600,78.1
874080000,83.6
874166400,83.0
874252800,84.1
874339200,84.6
874425600,87.9
874512000,86.1
874598400,83.7
874684800,80.4
874771200,69.5
874857600,75.8
874944000,72.6
875030400,66.6
875116800,64.7
875203200,67.6
875289600,75.5
875376000,78.7
875462400,69.0
875548800,81.2
875635200,82.1
875721600,80.2
875808000,78.6
875894400,78.5
875980800,78.2
876067200,73.5
876153600,72.6
876240000,76.0
876326400,77.4
876412800,72.4
876499200,70.3
876585600,73.4
876672000,58.6
876758400,56.2
876844800,58.6
876931200,61.2
877017600,59.5
877104000,62.9
877190400,71.5
877276800,62.1
877363200,54.9
877449600,53.4
877536000,62.6
877622400,68.1
877708800,61.2
877795200,45.7
877881600,45.3
877968000,57.7
878054400,62.3
878140800,67.4
878227200,61.3
878313600,62.8
878400000,53.3
878486400,50.7
878572800,60.1
878659200,61.5
878745600,52.0
878832000,49.7
878918400,57.4
879004800,55.4
879091200,39.8
879177600,36.3
879264000,41.1
879350400,43.4
879436800,43.0
879523200,33.7
879609600,35.6
879696000,40.5
879782400,46.3
879868800,48.0
879955200,57.0
880041600,51.3
880128000,50.6
880214400,52.9
880300800,58.2
880387200,62.0
880473600,63.6
880560000,60.1
880646400,60.8
880732800,49.1
880819200,49.2
880905600,46.8
880992000,47.5
881078400,45.4
881164800,40.4
881251200,39.5
881337600,36.6
881424000,43.5
881510400,54.7
881596800,55.6
881683200,40.5
881769600,33.2
881856000,33.4
881942400,31.1
882028800,41.2
882115200,47.0
882201600,51.7
882288000,44.1
882374400,51.1
882460800,57.7
882547200,46.3
882633600,40.1
882720000,38.8
882806400,39.2
882892800,40.7
882979200,36.0
883065600,34.1
883152000,35.3
883238400,40.9
883324800,40.1
883411200,46.6
883497600,42.0
883584000,47.3
883670400,60.2
883756800,62.7
883843200,57.0
883929600,49.1
884016000,50.7
884102400,36.8
884188800,38.0
884275200,43.4
884361600,35.6
884448000,44.5
884534400,52.1
884620800,38.2
