timestamp,value
788889600,64.0
788976000,67.1
789062400,66.6
789148800,65.0
789235200,66.7
789321600,64.6
789408000,63.8
789494400,64.3
789580800,63.3
789667200,63.6
789753600,66.0
789840000,67.6
789926400,69.0
790012800,67.4
790099200,67.9
790185600,68.8
790272000,70.2
790358400,69.6
790444800,69.0
790531200,66.7
790617600,67.4
790704000,65.1
790790400,64.9
790876800,64.4
790963200,65.4
791049600,66.7
791136000,66.0
791222400,64.2
791308800,62.4
791395200,63.2
791481600,63.3
791568000,64.9
791654400,66.4
791740800,69.6
791827200,74.0
791913600,78.2
792000000,77.5
792086400,75.6
792172800,75.6
792259200,70.7
792345600,66.5
792432000,65.3
792518400,65.7
792604800,65.1
792691200,65.8
792777600,66.9
792864000,67.0
792950400,65.2
793036800,68.1
793123200,70.5
793209600,64.4
793296000,64.9
793382400,65.3
793468800,75.9
793555200,68.1
793641600,65.7
793728000,64.6
793814400,66.4
793900800,66.9
793987200,66.4
794073600,70.0
794160000,70.4
794246400,68.7
794332800,69.0
794419200,68.2
794505600,66.2
794592000,66.9
794678400,66.8
794764800,68.0
794851200,73.0
794937600,72.7
795024000,65.3
795110400,66.6
795196800,67.7
795283200,67.6
795369600,74.0
795456000,76.1
795542400,77.6
795628800,78.1
795715200,76.5
795801600,73.7
795888000,71.9
795974400,71.2
796060800,72.2
796147200,75.3
796233600,72.5
796320000,69.2
796406400,68.1
796492800,71.0
796579200,70.3
796665600,70.3
796752000,72.1
796838400,80.3
796924800,79.2
797011200,79.0
797097600,73.4
797184000,72.1
797270400,70.2
797356800,70.0
797443200,72.0
797529600,80.5
797616000,78.7
797702400,79.1
797788800,79.3
797875200,82.0
797961600,80.0
798048000,77.7
798134400,80.6
798220800,88.7
798307200,89.0
798393600,86.7
798480000,84.6
798566400,89.0
798652800,80.5
798739200,76.5
798825600,75.6
798912000,76.5
798998400,78.5
799084800,80.2
799171200,79.3
799257600,78.4
799344000,78.9
799430400,81.7
799516800,83.9
799603200,82.8
799689600,83.7
799776000,86.7
799862400,87.1
799948800,86.6
800035200,81.5
800121600,81.8
800208000,83.4
800294400,86.7
800380800,86.8
800467200,85.1
800553600,82.3
800640000,81.6
800726400,83.6
800812800,87.5
800899200,89.0
800985600,88.4
801072000,85.2
801158400,85.3
801244800,92.1
801331200,95.5
801417600,93.8
801504000,90.8
801590400,91.5
801676800,93.1
801763200,90.4
801849600,88.7
801936000,90.0
802022400,90.1
802108800,94.3
802195200,93.4
802281600,90.6
802368000,88.0
802454400,88.0
802540800,86.1
802627200,89.3
802713600,90.4
802800000,91.8
802886400,90.0
802972800,88.5
803059200,90.1
