timestamp,value
788889600,40.3
788976000,21.2
789062400,19.4
789148800,13.1
789235200,7.7
789321600,21.0
789408000,29.4
789494400,23.0
789580800,21.8
789667200,19.5
789753600,31.4
789840000,49.7
789926400,58.1
790012800,55.1
790099200,49.9
790185600,32.2
790272000,29.2
790358400,33.3
790444800,41.4
790531200,39.7
790617600,29.7
790704000,21.5
790790400,19.3
790876800,23.4
790963200,20.4
791049600,22.1
791136000,18.0
791222400,26.5
791308800,20.6
791395200,24.2
791481600,20.7
791568000,30.4
791654400,31.1
791740800,19.1
791827200,24.2
791913600,8.5
792000000,5.0
792086400,9.7
792172800,12.1
792259200,13.9
792345600,28.4
792432000,21.4
792518400,2.9
792604800,9.7
792691200,16.6
792777600,30.4
792864000,35.0
792950400,28.0
793036800,35.0
793123200,40.1
793209600,36.8
793296000,30.8
793382400,24.6
793468800,41.9
793555200,30.0
793641600,26.3
793728000,31.5
793814400,41.0
793900800,37.9
793987200,28.8
794073600,21.8
794160000,23.0
794246400,28.0
794332800,35.3
794419200,43.0
794505600,52.8
794592000,31.3
794678400,19.7
794764800,18.3
794851200,38.5
794937600,60.4
795024000,59.8
795110400,62.9
795196800,55.0
795283200,54.4
795369600,43.9
795456000,36.4
795542400,47.0
795628800,58.2
795715200,46.0
795801600,38.4
795888000,34.7
795974400,34.6
796060800,36.5
796147200,42.0
796233600,41.2
796320000,41.4
796406400,40.7
796492800,40.2
796579200,34.9
796665600,35.0
796752000,36.6
796838400,45.1
796924800,41.7
797011200,25.2
797097600,44.3
797184000,44.2
797270400,46.9
797356800,43.4
797443200,34.0
797529600,51.2
797616000,58.3
797702400,42.0
797788800,39.4
797875200,40.1
797961600,43.0
798048000,51.5
798134400,55.8
798220800,59.6
798307200,45.3
798393600,59.5
798480000,47.5
798566400,43.2
798652800,44.6
798739200,41.1
798825600,47.5
798912000,56.9
798998400,48.8
799084800,51.8
799171200,50.0
799257600,46.6
799344000,48.4
799430400,49.6
799516800,52.2
799603200,52.6
799689600,51.3
799776000,53.0
799862400,53.6
799948800,55.3
800035200,62.9
800121600,55.6
800208000,55.2
800294400,58.9
800380800,68.2
800467200,62.5
800553600,60.2
800640000,65.0
800726400,53.1
800812800,53.6
800899200,60.5
800985600,63.1
801072000,58.1
801158400,63.5
801244800,70.5
801331200,55.5
801417600,59.6
801504000,60.5
801590400,66.1
801676800,65.1
801763200,57.5
801849600,62.4
801936000,63.8
802022400,68.8
802108800,66.5
802195200,66.2
802281600,69.0
802368000,72.8
802454400,73.5
802540800,65.0
802627200,61.9
802713600,70.4
802800000,69.5
802886400,61.8
802972800,60.6
803059200,67.3
803145600,66.6
803232000,67.0
803318400,71.9
803404800,76.1
803491200,77.6
803577600,78.2
803664000,78.8
803750400,73.1
803836800,74.1
803923200,71.9
804009600,70.2
804096000,72.0
804182400,72.3
804268800,74.0
804355200,72.2
804441600,70.1
804528000,70.3
804614400,63.6
804700800,61.5
804787200,72.3
804873600,77.5
804960000,73.8
805046400,70.2
805132800,64.9
805219200,63.8
805305600,69.0
805392000,71.0
805478400,72.4
805564800,80.3
805651200,78.8
805737600,84.4
805824000,76.0
805910400,77.4
805996800,74.1
806083200,71.6
806169600,72.3
806256000,69.2
806342400,72.8
806428800,75.2
806515200,73.6
806601600,73.0
806688000,74.5
806774400,74.2
806860800,77.2
806947200,78.6
807033600,78.3
807120000,76.7
807206400,80.0
807292800,76.8
807379200,80.6
807465600,76.1
807552000,71.4
807638400,74.1
807724800,72.5
807811200,70.4
807897600,67.6
807984000,71.6
808070400,77.5
808156800,78.2
808243200,81.1
808329600,79.9
808416000,79.8
808502400,79.5
808588800,77.5
808675200,75.5
808761600,74.9
808848000,77.9
808934400,73.4
809020800,70.3
809107200,67.5
809193600,68.8
809280000,66.2
809366400,73.0
809452800,74.0
809539200,69.4
809625600,70.7
809712000,69.6
809798400,77.8
809884800,70.7
809971200,63.4
810057600,64.1
810144000,67.6
810230400,65.4
810316800,71.5
810403200,68.0
810489600,63.9
810576000,62.7
810662400,56.3
810748800,54.4
810835200,63.4
810921600,69.9
811008000,66.5
811094400,59.4
811180800,60.9
811267200,61.1
811353600,56.4
811440000,54.3
811526400,60.9
811612800,61.5
811699200,55.0
811785600,45.1
811872000,47.0
811958400,49.7
812044800,53.3
812131200,57.7
812217600,62.1
812304000,62.5
812390400,63.3
812476800,63.2
812563200,63.4
812649600,58.4
812736000,59.0
812822400,58.2
812908800,62.7
812995200,55.8
813081600,50.6
813168000,52.0
813254400,56.7
813340800,58.8
813427200,62.5
813513600,62.6
813600000,60.4
813686400,46.5
813772800,44.2
813859200,45.0
813945600,56.9
814032000,60.0
814118400,57.3
814204800,42.8
814291200,46.6
814377600,54.4
814464000,56.1
814550400,45.7
814636800,43.4
814723200,53.3
814809600,49.8
814896000,44.2
814982400,40.5
815068800,45.2
815155200,52.9
815241600,62.3
815328000,45.7
815414400,29.6
815500800,27.6
815587200,30.1
815673600,42.0
815760000,33.2
815846400,26.4
815932800,43.7
816019200,50.8
816105600,27.5
816192000,30.1
816278400,31.2
816364800,31.4
816451200,28.0
816537600,31.9
816624000,35.5
816710400,33.8
816796800,35.5
816883200,34.2
816969600,27.4
817056000,33.0
817142400,28.9
817228800,27.0
817315200,35.2
817401600,47.6
817488000,38.1
817574400,30.4
817660800,27.9
817747200,43.8
817833600,34.9
817920000,43.1
818006400,36.0
818092800,35.7
818179200,29.3
818265600,26.4
818352000,23.3
818438400,22.4
818524800,5.7
818611200,11.0
818697600,14.2
818784000,20.4
818870400,39.9
818956800,37.7
819043200,32.1
819129600,26.2
819216000,29.3
819302400,27.0
819388800,17.6
819475200,18.9
819561600,12.8
819648000,20.9
819734400,22.1
819820800,22.7
819907200,17.4
819993600,14.7
820080000,20.9
820166400,16.5
820252800,20.1
820339200,32.3
820425600,34.8
820512000,29.8
820598400,18.1
820684800,9.3
820771200,13.1
820857600,11.1
820944000,13.8
821030400,12.8
821116800,15.8
821203200,17.8
821289600,9.0
821376000,20.0
821462400,22.9
821548800,32.9
821635200,27.5
821721600,24.1
821808000,45.6
821894400,51.4
821980800,32.9
822067200,12.1
822153600,23.4
822240000,29.7
822326400,35.7
822412800,36.3
822499200,21.1
822585600,30.0
822672000,34.8
822758400,20.2
822844800,29.9
822931200,23.0
823017600,11.0
823104000,5.2
823190400,8.3
823276800,1.5
823363200,-1.5
823449600,3.3
823536000,15.3
823622400,28.5
823708800,39.6
823795200,36.5
823881600,37.7
823968000,37.2
824054400,18.7
824140800,15.1
824227200,27.3
824313600,23.6
824400000,16.1
824486400,14.3
824572800,15.4
824659200,22.0
824745600,40.2
824832000,43.4
824918400,37.6
825004800,40.0
825091200,46.0
825177600,43.8
825264000,44.1
825350400,49.9
825436800,38.7
825523200,18.0
825609600,20.7
825696000,29.6
825782400,15.0
825868800,17.1
825955200,39.0
826041600,32.4
826128000,18.1
826214400,9.4
826300800,10.4
826387200,16.9
826473600,26.1
826560000,35.8
826646400,41.3
826732800,48.9
826819200,46.1
826905600,32.4
826992000,38.0
827078400,41.0
827164800,39.9
827251200,34.2
827337600,26.3
827424000,23.6
827510400,28.4
827596800,36.5
827683200,50.8
827769600,27.6
827856000,23.5
827942400,34.7
828028800,38.5
828115200,42.9
828201600,52.1
828288000,36.7
828374400,34.0
828460800,47.5
828547200,50.2
828633600,31.7
828720000,34.7
828806400,29.2
828892800,29.4
828979200,27.7
829065600,35.8
829152000,47.6
829238400,66.1
829324800,56.8
829411200,39.3
829497600,46.9
829584000,40.4
829670400,39.0
829756800,52.6
829843200,65.6
829929600,65.3
830016000,58.5
830102400,59.0
830188800,47.9
830275200,41.2
830361600,57.7
830448000,54.7
830534400,40.9
830620800,49.6
830707200,53.8
830793600,50.5
830880000,43.2
830966400,48.7
831052800,55.6
831139200,58.1
831225600,51.2
831312000,50.6
831398400,48.8
831484800,53.5
831571200,64.0
831657600,69.5
831744000,48.1
831830400,39.6
831916800,38.5
832003200,44.9
832089600,50.1
832176000,54.2
832262400,64.3
832348800,73.4
832435200,76.9
832521600,77.5
832608000,70.6
832694400,63.8
832780800,65.1
832867200,58.9
832953600,55.4
833040000,54.2
833126400,50.6
833212800,52.4
833299200,57.5
833385600,51.7
833472000,58.9
833558400,62.7
833644800,63.1
833731200,63.1
833817600,58.8
833904000,56.2
833990400,61.4
834076800,65.7
834163200,64.6
834249600,70.4
834336000,70.7
834422400,66.5
834508800,64.9
834595200,65.9
834681600,70.1
834768000,73.6
834854400,68.1
834940800,75.7
835027200,72.1
835113600,70.4
835200000,73.4
835286400,73.2
835372800,75.4
835459200,66.4
835545600,71.1
835632000,66.7
835718400,62.7
835804800,66.2
835891200,73.0
835977600,77.0
836064000,80.3
836150400,80.6
836236800,73.5
836323200,65.0
836409600,61.6
836496000,64.9
836582400,71.5
836668800,73.6
836755200,73.0
836841600,69.0
836928000,61.7
837014400,62.8
837100800,71.5
837187200,73.7
837273600,74.5
837360000,70.6
837446400,70.3
837532800,73.7
837619200,72.2
837705600,75.7
837792000,63.2
837878400,62.9
837964800,67.8
838051200,68.2
838137600,70.9
838224000,69.5
838310400,67.3
838396800,66.5
838483200,66.3
838569600,69.2
838656000,67.8
838742400,66.9
838828800,65.3
838915200,65.7
839001600,67.9
839088000,72.5
839174400,74.3
839260800,76.1
839347200,79.3
839433600,76.1
839520000,68.9
839606400,65.3
