timestamp,value
788889600,35.4
788976000,33.8
789062400,26.7
789148800,24.5
789235200,16.4
789321600,21.0
789408000,31.8
789494400,27.9
789580800,27.5
789667200,19.9
789753600,9.5
789840000,27.8
789926400,44.6
790012800,46.4
790099200,59.4
790185600,59.3
790272000,41.0
790358400,37.5
790444800,40.1
790531200,43.3
790617600,41.1
790704000,36.4
790790400,32.3
790876800,30.6
790963200,31.6
791049600,26.9
791136000,24.7
791222400,14.3
791308800,16.2
791395200,20.7
791481600,31.7
791568000,38.3
791654400,30.6
791740800,16.0
791827200,22.9
791913600,15.3
792000000,-0.1
792086400,-1.0
792172800,9.8
792259200,19.3
792345600,28.0
792432000,34.2
792518400,14.2
792604800,15.0
792691200,19.7
792777600,15.7
792864000,37.1
792950400,30.5
793036800,30.8
793123200,36.0
793209600,38.6
793296000,35.8
793382400,27.3
793468800,32.6
793555200,35.2
793641600,21.4
793728000,15.9
793814400,17.2
793900800,31.5
793987200,29.5
794073600,27.2
794160000,24.8
794246400,27.6
794332800,35.6
794419200,39.3
794505600,41.3
794592000,50.8
794678400,24.3
794764800,17.9
794851200,24.9
794937600,38.3
795024000,43.7
795110400,49.3
795196800,54.2
795283200,55.0
795369600,51.3
795456000,42.8
795542400,43.0
795628800,46.1
795715200,49.9
795801600,44.3
795888000,42.8
795974400,38.4
796060800,38.1
796147200,46.2
796233600,40.5
796320000,40.2
796406400,41.1
796492800,45.5
796579200,42.5
796665600,39.3
796752000,36.6
796838400,37.0
796924800,43.0
797011200,23.9
797097600,28.8
797184000,36.4
797270400,33.6
797356800,39.7
797443200,36.0
797529600,40.7
797616000,48.6
797702400,49.5
797788800,44.2
797875200,40.9
797961600,42.5
798048000,40.4
798134400,50.4
798220800,55.9
798307200,53.2
798393600,51.2
798480000,51.5
798566400,45.5
798652800,45.1
798739200,47.9
798825600,51.4
798912000,55.6
798998400,55.4
799084800,51.0
799171200,48.5
799257600,51.8
799344000,51.2
799430400,55.4
799516800,57.3
799603200,55.7
799689600,52.0
799776000,47.3
799862400,50.8
799948800,55.0
800035200,55.5
800121600,52.6
800208000,55.7
800294400,60.9
800380800,58.4
800467200,55.5
800553600,56.8
800640000,59.4
800726400,57.9
800812800,55.7
800899200,57.8
800985600,62.0
801072000,60.4
801158400,60.2
801244800,68.5
801331200,62.6
801417600,58.6
801504000,59.0
801590400,57.8
801676800,61.3
801763200,64.4
801849600,68.9
801936000,68.1
802022400,70.6
802108800,70.6
802195200,66.6
802281600,63.1
802368000,67.0
802454400,70.5
802540800,61.5
802627200,58.2
802713600,62.1
802800000,65.3
802886400,62.9
802972800,60.0
803059200,61.6
803145600,61.5
803232000,62.9
803318400,67.2
803404800,73.2
803491200,79.7
803577600,78.8
803664000,66.2
803750400,69.4
803836800,69.0
803923200,71.6
804009600,74.8
804096000,74.3
804182400,71.1
804268800,63.5
804355200,69.9
804441600,75.0
804528000,72.4
804614400,68.1
804700800,63.7
804787200,68.8
804873600,75.3
804960000,75.5
805046400,71.5
805132800,69.4
805219200,63.7
805305600,66.3
805392000,68.4
805478400,68.3
805564800,77.5
805651200,84.2
805737600,84.9
805824000,74.8
805910400,74.0
805996800,76.0
806083200,75.2
806169600,73.8
806256000,75.4
806342400,72.9
806428800,77.7
806515200,74.8
806601600,75.2
806688000,78.3
806774400,75.9
806860800,76.7
806947200,82.6
807033600,78.4
807120000,74.4
807206400,77.8
807292800,74.1
807379200,72.4
807465600,78.3
807552000,74.3
807638400,67.7
807724800,68.3
807811200,65.9
807897600,68.6
807984000,71.0
808070400,76.5
808156800,75.1
808243200,73.0
808329600,72.3
808416000,76.3
808502400,79.8
808588800,78.5
808675200,75.1
808761600,71.3
808848000,67.7
808934400,72.8
809020800,72.7
809107200,66.2
809193600,71.0
809280000,61.9
809366400,60.0
809452800,65.8
809539200,60.4
809625600,69.5
809712000,64.7
809798400,63.3
809884800,70.1
809971200,66.9
810057600,61.6
810144000,61.7
810230400,69.0
810316800,68.9
810403200,70.4
810489600,56.7
810576000,58.3
810662400,56.7
810748800,54.0
810835200,59.5
810921600,65.5
811008000,70.1
811094400,58.0
811180800,52.3
811267200,59.6
811353600,59.6
811440000,53.6
811526400,56.2
811612800,61.6
811699200,64.9
811785600,53.1
811872000,47.7
811958400,51.3
812044800,55.7
812131200,59.9
812217600,57.1
812304000,48.9
812390400,52.0
812476800,49.9
812563200,56.3
812649600,57.2
812736000,61.6
812822400,58.0
812908800,56.7
812995200,55.5
813081600,57.0
813168000,51.1
813254400,48.0
813340800,59.3
813427200,58.1
813513600,61.8
813600000,62.7
813686400,56.6
813772800,47.9
813859200,45.8
813945600,49.9
814032000,55.2
814118400,54.9
814204800,64.8
814291200,49.4
814377600,52.9
814464000,56.1
814550400,51.9
814636800,49.5
814723200,49.7
814809600,58.2
814896000,47.3
814982400,40.9
815068800,37.6
815155200,40.6
815241600,49.2
815328000,56.5
815414400,39.8
815500800,35.9
815587200,34.3
815673600,39.9
815760000,39.3
815846400,29.3
815932800,31.9
816019200,51.6
816105600,41.4
816192000,29.2
816278400,33.2
816364800,37.5
816451200,35.3
816537600,31.5
816624000,31.9
816710400,36.7
816796800,36.3
816883200,41.0
816969600,34.3
817056000,33.2
817142400,31.6
817228800,23.2
817315200,32.6
817401600,36.0
817488000,44.7
817574400,26.6
817660800,21.7
817747200,30.5
817833600,34.0
817920000,27.9
818006400,39.0
818092800,29.4
818179200,34.3
818265600,25.8
818352000,23.4
818438400,18.3
818524800,17.7
818611200,14.7
818697600,14.4
