timestamp,value
788889600,35.0
788976000,35.0
789062400,35.7
789148800,36.5
789235200,32.4
789321600,39.1
789408000,33.9
789494400,42.0
789580800,41.8
789667200,42.1
789753600,43.2
789840000,43.6
789926400,41.6
790012800,41.2
790099200,44.5
790185600,42.3
790272000,34.0
790358400,32.2
790444800,33.3
790531200,35.8
790617600,40.9
790704000,38.8
790790400,32.5
790876800,37.8
790963200,39.5
791049600,44.9
791136000,40.7
791222400,38.0
791308800,35.9
791395200,32.9
791481600,40.5
791568000,48.6
791654400,50.8
791740800,50.9
791827200,46.7
791913600,48.2
792000000,49.2
792086400,49.4
792172800,41.4
792259200,48.5
792345600,45.4
792432000,43.6
792518400,47.5
792604800,47.1
792691200,50.6
792777600,50.8
792864000,45.7
792950400,44.1
793036800,45.9
793123200,49.6
793209600,50.1
793296000,55.3
793382400,54.0
793468800,54.9
793555200,54.5
793641600,52.4
793728000,46.8
793814400,49.4
793900800,48.3
793987200,40.6
794073600,38.1
794160000,49.3
794246400,53.1
794332800,53.5
794419200,52.3
794505600,40.6
794592000,42.6
794678400,47.8
794764800,51.1
794851200,53.3
794937600,50.6
795024000,48.9
795110400,54.6
795196800,56.3
795283200,54.6
795369600,58.4
795456000,52.2
795542400,59.5
795628800,58.5
795715200,62.5
795801600,60.6
795888000,53.4
795974400,58.0
796060800,49.2
796147200,40.9
796233600,45.0
796320000,48.1
796406400,39.4
796492800,44.0
796579200,43.6
796665600,49.4
796752000,49.0
796838400,46.2
796924800,49.2
797011200,56.1
797097600,61.3
797184000,62.1
797270400,61.4
797356800,59.7
797443200,38.2
797529600,39.6
797616000,53.2
797702400,60.6
797788800,63.8
797875200,58.5
797961600,59.6
798048000,51.6
798134400,45.6
798220800,45.7
798307200,43.6
798393600,45.2
798480000,43.6
798566400,46.5
798652800,51.6
798739200,54.6
798825600,62.2
798912000,56.5
798998400,62.8
799084800,66.2
799171200,70.0
799257600,63.9
799344000,65.7
799430400,61.6
799516800,62.4
799603200,67.9
799689600,58.9
799776000,56.7
799862400,51.9
799948800,58.4
800035200,63.0
800121600,63.0
800208000,68.8
800294400,66.1
800380800,67.7
800467200,73.5
800553600,73.6
800640000,57.5
800726400,60.3
800812800,65.7
800899200,71.2
800985600,72.6
801072000,74.4
801158400,71.3
801244800,65.4
801331200,66.0
801417600,62.5
801504000,62.4
801590400,64.1
801676800,59.8
801763200,55.8
801849600,65.4
801936000,70.4
802022400,76.3
802108800,70.0
802195200,69.4
802281600,73.0
802368000,76.8
802454400,73.8
802540800,72.3
802627200,67.6
802713600,70.4
802800000,67.9
802886400,75.0
802972800,80.1
803059200,83.6
803145600,79.7
803232000,78.3
803318400,77.2
803404800,72.5
803491200,79.6
803577600,77.2
803664000,78.5
803750400,77.4
803836800,78.4
803923200,75.8
804009600,74.7
804096000,72.7
804182400,73.8
804268800,75.8
804355200,74.0
804441600,66.2
804528000,69.4
804614400,74.9
804700800,75.0
804787200,71.6
804873600,72.7
804960000,79.3
805046400,83.0
805132800,83.1
805219200,82.7
805305600,82.4
805392000,84.0
805478400,82.7
805564800,83.5
805651200,77.1
805737600,75.8
805824000,75.3
805910400,70.4
805996800,73.6
806083200,72.3
806169600,78.5
806256000,81.0
806342400,78.4
806428800,79.6
806515200,79.2
806601600,81.9
806688000,84.3
806774400,86.3
806860800,86.5
806947200,88.2
807033600,87.2
807120000,81.2
807206400,75.8
807292800,78.8
807379200,83.3
807465600,83.4
807552000,84.2
807638400,83.2
807724800,82.6
807811200,83.3
807897600,84.4
807984000,83.2
808070400,82.1
808156800,78.3
808243200,81.8
808329600,76.4
808416000,74.3
808502400,77.8
808588800,73.8
808675200,77.4
808761600,73.6
808848000,76.0
808934400,74.8
809020800,79.4
809107200,72.2
809193600,70.7
809280000,74.5
809366400,75.0
809452800,73.8
809539200,75.0
809625600,76.7
809712000,76.2
809798400,77.2
809884800,82.1
809971200,81.0
810057600,78.9
810144000,79.6
810230400,80.4
810316800,81.3
810403200,77.2
810489600,68.6
810576000,65.3
810662400,69.7
810748800,70.3
810835200,73.4
810921600,73.8
811008000,71.5
811094400,65.9
811180800,63.0
811267200,70.4
811353600,69.8
811440000,64.6
811526400,68.1
811612800,65.7
811699200,46.7
811785600,56.4
811872000,66.6
811958400,63.6
812044800,64.3
812131200,69.1
812217600,65.3
812304000,61.4
812390400,60.5
812476800,60.3
812563200,63.6
812649600,61.5
812736000,64.2
812822400,52.6
812908800,52.8
812995200,58.2
813081600,63.1
813168000,62.4
813254400,63.2
813340800,63.6
813427200,66.1
813513600,66.7
813600000,58.2
813686400,59.9
813772800,62.8
813859200,63.4
813945600,62.5
814032000,65.6
814118400,55.1
814204800,57.2
814291200,60.8
814377600,43.1
814464000,47.6
814550400,54.5
814636800,57.4
814723200,63.0
814809600,59.5
814896000,58.2
814982400,57.6
815068800,59.4
815155200,56.8
815241600,53.1
815328000,46.8
815414400,48.4
815500800,45.6
815587200,49.8
815673600,54.0
815760000,55.3
815846400,53.9
815932800,54.5
816019200,44.3
816105600,47.9
816192000,56.3
816278400,54.9
816364800,56.3
816451200,52.6
816537600,54.2
816624000,50.9
816710400,52.3
816796800,53.3
816883200,49.9
816969600,49.9
817056000,53.6
817142400,48.6
817228800,48.7
817315200,54.2
817401600,45.9
817488000,36.2
817574400,43.8
817660800,48.1
817747200,50.0
817833600,49.8
817920000,49.5
818006400,47.9
818092800,51.0
818179200,50.4
818265600,46.2
818352000,45.3
818438400,39.8
818524800,43.0
818611200,45.0
818697600,45.6
818784000,52.4
818870400,49.9
818956800,41.3
819043200,40.2
819129600,39.8
819216000,35.8
819302400,33.5
819388800,33.6
819475200,33.2
819561600,31.8
819648000,31.6
819734400,27.7
819820800,30.6
819907200,30.9
819993600,33.0
820080000,32.7
820166400,37.9
820252800,34.6
820339200,37.5
820425600,36.0
820512000,30.3
820598400,28.5
820684800,37.5
820771200,40.8
820857600,42.9
820944000,39.4
821030400,38.3
821116800,40.9
821203200,42.5
821289600,42.3
821376000,41.6
821462400,41.8
821548800,44.9
821635200,43.8
821721600,46.5
821808000,47.9
821894400,32.8
821980800,31.9
822067200,38.1
822153600,31.6
822240000,40.5
822326400,33.5
822412800,31.8
822499200,38.4
822585600,33.4
822672000,28.1
822758400,40.7
822844800,40.3
822931200,45.3
823017600,51.9
823104000,45.5
823190400,28.5
823276800,32.2
823363200,31.3
823449600,40.4
823536000,47.4
823622400,49.5
823708800,51.5
823795200,50.4
823881600,51.3
823968000,45.2
824054400,45.6
824140800,46.2
824227200,48.9
824313600,53.0
824400000,48.4
824486400,51.7
824572800,55.6
824659200,51.0
824745600,57.1
824832000,58.6
824918400,56.4
825004800,46.0
825091200,43.6
825177600,51.7
825264000,44.9
825350400,34.1
825436800,35.1
825523200,31.7
825609600,37.2
825696000,41.2
825782400,44.9
825868800,50.4
825955200,51.5
826041600,45.5
826128000,30.5
826214400,40.2
826300800,43.5
826387200,49.5
826473600,52.6
826560000,57.1
826646400,53.6
826732800,44.8
826819200,41.5
826905600,44.0
826992000,49.0
827078400,43.6
827164800,43.2
827251200,45.2
827337600,45.2
827424000,59.4
827510400,59.4
827596800,46.2
827683200,46.0
827769600,36.5
827856000,44.3
827942400,53.6
828028800,52.5
828115200,49.0
828201600,52.0
828288000,56.2
828374400,64.3
828460800,62.8
828547200,62.8
828633600,42.8
828720000,42.8
828806400,49.2
828892800,49.2
828979200,62.9
829065600,70.2
829152000,64.2
829238400,58.6
829324800,55.4
829411200,44.8
829497600,45.9
829584000,57.6
829670400,65.0
829756800,60.2
829843200,58.3
829929600,54.5
830016000,60.9
830102400,60.9
830188800,57.2
830275200,71.3
830361600,80.7
830448000,71.6
830534400,67.4
830620800,68.4
830707200,46.2
830793600,68.2
830880000,70.7
830966400,73.1
831052800,76.1
831139200,72.5
831225600,68.8
831312000,69.3
831398400,69.3
831484800,67.5
831571200,75.7
831657600,71.2
831744000,76.4
831830400,75.3
831916800,78.2
832003200,84.2
832089600,75.7
832176000,78.7
832262400,78.3
832348800,79.5
832435200,84.2
832521600,81.4
832608000,71.7
832694400,76.8
832780800,74.8
832867200,71.6
832953600,68.8
833040000,59.7
833126400,59.7
833212800,74.8
833299200,74.9
833385600,78.6
833472000,71.7
833558400,70.6
833644800,73.4
833731200,73.4
833817600,81.0
833904000,79.7
833990400,86.4
834076800,75.9
834163200,77.0
