timestamp,value
788889600,64.2
788976000,49.4
789062400,48.8
789148800,46.4
789235200,47.9
789321600,48.7
789408000,48.9
789494400,49.1
789580800,49.0
789667200,51.9
789753600,51.7
789840000,51.3
789926400,47.0
790012800,46.9
790099200,47.5
790185600,45.9
790272000,44.5
790358400,50.7
790444800,54.0
790531200,52.6
790617600,54.2
790704000,51.0
790790400,53.5
790876800,54.2
790963200,54.2
791049600,52.6
791136000,55.5
791222400,53.8
791308800,54.3
791395200,57.4
791481600,56.9
791568000,50.4
791654400,50.1
791740800,54.1
791827200,49.1
791913600,48.8
792000000,50.7
792086400,51.6
792172800,52.6
792259200,56.3
792345600,59.0
792432000,59.4
792518400,55.5
792604800,57.0
792691200,60.8
792777600,61.8
792864000,57.7
792950400,56.1
793036800,53.4
793123200,51.4
793209600,52.6
793296000,52.5
793382400,57.5
793468800,55.1
793555200,54.3
793641600,63.0
793728000,60.0
793814400,48.3
793900800,55.3
793987200,52.2
794073600,56.6
794160000,54.7
794246400,51.9
794332800,54.5
794419200,58.5
794505600,53.4
794592000,51.8
794678400,53.3
794764800,65.6
794851200,68.7
794937600,58.4
795024000,55.1
795110400,52.8
795196800,53.9
795283200,54.8
795369600,55.0
795456000,52.8
795542400,56.1
795628800,56.5
795715200,56.7
795801600,51.4
795888000,51.6
795974400,53.3
796060800,56.4
796147200,54.7
796233600,54.5
796320000,53.4
796406400,56.6
796492800,53.2
796579200,46.6
796665600,47.4
796752000,52.0
796838400,62.2
796924800,64.2
797011200,59.5
797097600,59.0
797184000,54.9
797270400,54.2
797356800,57.8
797443200,60.0
797529600,61.1
797616000,56.2
797702400,56.1
797788800,54.6
797875200,54.5
797961600,52.0
798048000,56.6
798134400,60.4
798220800,62.7
798307200,61.0
798393600,56.5
798480000,56.0
798566400,53.1
798652800,51.1
798739200,57.2
798825600,56.3
798912000,56.5
798998400,60.8
799084800,60.4
799171200,61.5
799257600,60.4
799344000,59.7
799430400,61.5
799516800,63.9
799603200,63.7
799689600,66.7
799776000,75.1
799862400,77.2
799948800,74.6
800035200,69.4
800121600,67.4
800208000,68.2
800294400,63.3
800380800,60.4
800467200,65.6
800553600,68.9
800640000,68.4
800726400,70.1
800812800,70.3
800899200,68.0
800985600,62.6
801072000,64.3
801158400,72.0
801244800,73.9
801331200,68.2
801417600,67.7
801504000,67.2
801590400,67.7
801676800,68.3
801763200,68.2
801849600,66.8
801936000,64.6
802022400,66.7
802108800,67.7
802195200,68.6
802281600,69.3
802368000,70.4
802454400,72.6
802540800,70.6
802627200,70.5
802713600,69.1
802800000,68.6
802886400,70.3
802972800,69.2
803059200,69.2
803145600,71.5
803232000,71.4
803318400,71.9
803404800,70.0
803491200,76.5
803577600,73.4
803664000,75.9
803750400,74.5
803836800,73.8
803923200,72.8
804009600,74.6
804096000,75.8
804182400,75.8
804268800,75.1
804355200,73.6
804441600,77.7
804528000,78.6
804614400,77.4
804700800,76.2
804787200,73.0
804873600,73.9
804960000,72.9
805046400,74.1
805132800,76.6
805219200,75.9
805305600,76.7
805392000,76.1
805478400,75.5
805564800,74.6
805651200,76.7
805737600,76.5
805824000,76.4
805910400,76.6
805996800,77.7
806083200,78.3
806169600,76.9
806256000,83.4
806342400,81.6
806428800,77.2
806515200,80.4
806601600,79.3
806688000,81.1
806774400,80.7
806860800,80.3
806947200,79.4
807033600,78.8
807120000,79.7
807206400,80.1
807292800,79.9
807379200,77.6
807465600,78.6
807552000,78.5
807638400,78.3
807724800,78.4
807811200,78.9
807897600,78.9
807984000,78.9
808070400,85.7
808156800,82.1
808243200,79.5
808329600,81.0
808416000,78.9
808502400,77.6
808588800,79.4
808675200,79.8
808761600,79.0
808848000,77.5
808934400,78.3
809020800,76.2
809107200,77.4
809193600,76.0
809280000,74.9
809366400,73.8
809452800,75.6
809539200,75.8
809625600,76.0
809712000,73.0
809798400,72.9
809884800,76.3
809971200,79.6
810057600,84.2
810144000,76.0
810230400,76.0
810316800,76.0
810403200,75.9
810489600,75.7
810576000,70.6
810662400,73.6
810748800,75.1
810835200,75.2
