timestamp,value
788889600,37.2
788976000,34.3
789062400,23.8
789148800,26.8
789235200,16.8
789321600,21.8
789408000,34.9
789494400,32.3
789580800,30.0
789667200,25.3
789753600,28.2
789840000,31.9
789926400,40.0
790012800,49.8
790099200,61.8
790185600,58.0
790272000,45.8
790358400,40.6
790444800,40.5
790531200,44.2
790617600,38.6
790704000,31.7
790790400,29.0
790876800,31.9
790963200,36.6
791049600,31.9
791136000,31.6
791222400,27.5
791308800,24.0
791395200,25.7
791481600,31.7
791568000,36.4
791654400,36.8
791740800,22.2
791827200,28.0
791913600,20.6
792000000,10.3
792086400,16.1
792172800,16.3
792259200,19.2
792345600,29.0
792432000,36.1
792518400,19.0
792604800,16.6
792691200,22.4
792777600,22.6
792864000,36.4
792950400,36.3
793036800,34.4
793123200,34.2
793209600,39.9
793296000,38.7
793382400,31.7
793468800,37.6
793555200,39.2
793641600,28.9
793728000,27.0
793814400,27.2
793900800,33.0
793987200,37.7
794073600,30.7
794160000,31.2
794246400,33.9
794332800,41.1
794419200,43.7
794505600,47.0
794592000,57.1
794678400,28.9
794764800,24.6
794851200,32.6
794937600,42.4
795024000,49.6
795110400,56.2
795196800,56.2
795283200,58.0
795369600,55.3
795456000,46.1
795542400,45.0
795628800,46.9
795715200,52.0
795801600,45.4
795888000,44.4
795974400,41.0
796060800,40.3
796147200,48.2
796233600,46.1
796320000,47.1
796406400,46.0
796492800,48.5
796579200,43.7
796665600,41.3
796752000,40.8
796838400,41.6
796924800,48.5
797011200,30.2
797097600,37.8
797184000,47.2
797270400,39.0
797356800,49.3
797443200,43.4
797529600,47.4
797616000,49.9
797702400,52.4
797788800,46.2
797875200,46.5
797961600,49.7
798048000,49.9
798134400,55.9
798220800,61.0
798307200,59.1
798393600,57.9
798480000,57.8
798566400,52.6
798652800,51.8
798739200,53.3
798825600,53.5
798912000,58.1
798998400,61.4
799084800,55.1
799171200,51.4
799257600,49.2
799344000,48.4
799430400,54.0
799516800,55.8
799603200,55.8
799689600,56.8
799776000,54.9
799862400,54.9
799948800,56.1
800035200,53.6
800121600,53.8
800208000,58.9
800294400,62.0
800380800,57.7
800467200,59.6
800553600,63.1
800640000,63.7
800726400,66.8
800812800,56.3
800899200,59.5
800985600,66.1
801072000,64.4
801158400,63.0
801244800,72.4
801331200,68.1
801417600,59.5
801504000,65.4
801590400,61.0
801676800,64.8
801763200,64.3
801849600,66.3
801936000,70.0
802022400,72.2
802108800,74.0
802195200,69.3
802281600,67.7
802368000,70.2
802454400,75.6
802540800,74.4
802627200,67.3
802713600,66.3
802800000,69.0
802886400,66.1
802972800,63.7
803059200,67.7
803145600,66.6
803232000,68.6
803318400,71.5
803404800,75.5
803491200,79.3
803577600,81.3
803664000,73.0
803750400,66.4
803836800,68.7
803923200,67.3
804009600,74.5
804096000,76.1
804182400,68.4
804268800,64.9
804355200,68.9
804441600,72.3
804528000,76.0
804614400,73.0
804700800,67.5
804787200,69.7
804873600,76.4
804960000,76.3
805046400,70.6
805132800,72.0
805219200,64.6
805305600,70.5
805392000,71.0
805478400,74.4
805564800,77.4
805651200,83.1
805737600,87.8
805824000,81.7
805910400,77.2
805996800,78.1
806083200,75.3
806169600,74.8
806256000,75.9
806342400,75.9
806428800,78.1
806515200,78.4
806601600,80.4
806688000,82.6
806774400,82.3
806860800,79.7
806947200,79.9
807033600,80.1
807120000,77.3
807206400,77.1
807292800,83.2
807379200,82.5
807465600,82.6
807552000,78.5
807638400,73.9
807724800,70.7
807811200,68.5
807897600,68.4
807984000,72.7
808070400,75.6
808156800,77.8
808243200,77.5
808329600,76.9
808416000,76.6
808502400,77.8
808588800,82.0
808675200,78.5
808761600,75.4
808848000,70.4
808934400,74.9
809020800,77.0
809107200,69.4
809193600,73.3
809280000,70.3
809366400,68.5
809452800,73.8
809539200,70.5
809625600,71.2
809712000,73.0
809798400,67.6
809884800,76.5
809971200,71.1
810057600,67.3
810144000,69.9
810230400,72.8
810316800,72.9
810403200,77.3
810489600,72.9
810576000,69.2
810662400,63.3
810748800,57.0
810835200,63.7
810921600,69.8
811008000,76.4
811094400,62.0
811180800,60.8
811267200,63.6
811353600,64.9
811440000,59.6
811526400,64.7
811612800,68.8
