timestamp,value
788889600,20.0
788976000,21.0
789062400,21.2
789148800,21.3
789235200,21.9
789321600,18.7
789408000,-1.0
789494400,6.3
789580800,-0.7
789667200,1.3
789753600,3.2
789840000,11.9
789926400,23.8
790012800,25.6
790099200,21.3
790185600,15.0
790272000,10.8
790358400,-1.2
790444800,-4.3
790531200,6.2
790617600,9.3
790704000,9.5
790790400,6.9
790876800,12.4
790963200,13.4
791049600,23.0
791136000,22.9
791222400,25.8
791308800,29.7
791395200,20.8
791481600,19.4
791568000,17.8
791654400,22.3
791740800,24.8
791827200,24.8
791913600,26.0
792000000,34.9
792086400,32.7
792172800,29.9
792259200,32.4
792345600,29.0
792432000,33.1
792518400,36.0
792604800,32.5
792691200,28.3
792777600,32.2
792864000,30.1
792950400,26.8
793036800,16.7
793123200,12.6
793209600,11.1
793296000,15.2
793382400,17.7
793468800,21.4
793555200,25.4
793641600,33.5
793728000,32.2
793814400,26.9
793900800,28.8
793987200,28.7
794073600,33.0
794160000,35.7
794246400,36.2
794332800,33.9
794419200,28.7
794505600,28.6
794592000,32.2
794678400,32.6
794764800,33.1
794851200,37.9
794937600,38.9
795024000,4.2
795110400,6.7
795196800,12.6
795283200,26.9
795369600,40.1
795456000,46.9
795542400,55.2
795628800,48.1
795715200,40.7
795801600,38.2
795888000,45.2
795974400,50.5
796060800,49.3
796147200,49.1
796233600,51.6
796320000,44.4
796406400,43.9
796492800,43.1
796579200,45.0
796665600,46.8
796752000,50.2
796838400,43.4
796924800,42.7
797011200,47.0
797097600,51.2
797184000,55.5
797270400,56.6
797356800,50.0
797443200,54.2
797529600,54.0
797616000,51.7
797702400,44.2
797788800,47.1
797875200,53.2
797961600,55.0
798048000,56.2
798134400,57.7
798220800,52.2
798307200,43.0
798393600,48.6
798480000,51.7
798566400,54.0
798652800,53.3
798739200,57.7
798825600,58.9
798912000,60.0
798998400,61.8
799084800,64.4
799171200,57.2
799257600,59.8
799344000,68.3
799430400,67.9
799516800,65.5
799603200,64.9
799689600,69.4
799776000,70.4
799862400,74.5
799948800,68.5
800035200,57.0
800121600,63.5
800208000,66.5
800294400,64.3
800380800,63.8
800467200,59.6
800553600,61.7
800640000,51.0
800726400,51.7
800812800,57.9
800899200,61.3
800985600,64.6
801072000,54.6
801158400,54.3
801244800,56.2
801331200,56.0
801417600,59.7
801504000,52.0
801590400,60.6
801676800,55.9
801763200,60.3
801849600,61.3
801936000,64.3
802022400,67.4
802108800,69.3
802195200,69.2
802281600,79.0
802368000,74.5
802454400,78.4
802540800,69.1
802627200,60.4
