timestamp,value
788889600,23.4
788976000,29.4
789062400,25.6
789148800,21.1
789235200,23.2
789321600,34.5
789408000,32.1
789494400,51.2
789580800,43.8
789667200,50.5
789753600,56.3
789840000,52.1
789926400,38.8
790012800,40.7
790099200,47.6
790185600,51.4
790272000,39.8
790358400,36.0
790444800,33.8
790531200,40.0
790617600,33.5
790704000,30.2
790790400,30.1
790876800,39.6
790963200,42.8
791049600,45.7
791136000,46.5
791222400,41.0
791308800,32.3
791395200,33.4
791481600,38.8
791568000,46.2
791654400,52.7
791740800,45.9
791827200,44.1
791913600,43.0
792000000,41.5
792086400,39.1
792172800,34.7
792259200,42.4
792345600,46.8
792432000,28.6
792518400,19.6
792604800,23.7
792691200,39.0
792777600,45.6
792864000,33.2
792950400,37.5
793036800,44.2
793123200,47.2
793209600,52.6
793296000,52.9
793382400,58.5
793468800,53.2
793555200,47.1
793641600,51.6
793728000,56.8
793814400,49.9
793900800,32.1
793987200,19.4
794073600,15.3
794160000,25.4
794246400,41.8
794332800,52.2
794419200,43.3
794505600,22.9
794592000,31.3
794678400,46.0
794764800,47.2
794851200,53.9
794937600,60.7
795024000,54.0
795110400,45.0
795196800,49.8
795283200,52.2
795369600,53.2
795456000,58.6
795542400,64.7
795628800,54.7
795715200,64.7
795801600,69.3
795888000,58.9
795974400,62.0
796060800,66.9
796147200,53.3
796233600,39.3
796320000,39.1
796406400,33.6
796492800,35.6
796579200,38.8
796665600,47.5
796752000,52.9
796838400,53.1
796924800,53.4
797011200,53.1
797097600,60.8
797184000,66.0
797270400,67.5
797356800,60.7
797443200,42.2
797529600,37.1
797616000,46.1
797702400,58.6
797788800,70.0
797875200,65.2
797961600,64.5
798048000,54.9
798134400,53.1
798220800,48.6
798307200,45.5
798393600,54.0
798480000,37.9
798566400,40.6
798652800,46.4
798739200,55.4
798825600,55.6
798912000,44.1
798998400,57.5
799084800,63.2
799171200,57.9
799257600,53.8
799344000,54.0
799430400,60.1
799516800,56.5
799603200,54.1
799689600,59.8
799776000,69.9
799862400,59.8
799948800,60.3
800035200,59.0
800121600,61.3
800208000,69.5
800294400,75.5
800380800,64.6
800467200,66.8
800553600,72.1
800640000,68.2
800726400,52.9
800812800,62.1
800899200,64.1
800985600,66.0
801072000,72.8
801158400,62.1
801244800,47.7
801331200,49.5
801417600,55.6
801504000,59.4
801590400,59.3
801676800,56.3
801763200,57.4
801849600,60.7
801936000,66.4
802022400,69.4
802108800,62.9
802195200,61.0
802281600,62.8
802368000,72.3
802454400,72.8
802540800,76.9
802627200,74.1
802713600,62.3
802800000,58.6
802886400,67.2
802972800,76.1
803059200,80.2
803145600,78.9
803232000,74.5
803318400,70.8
803404800,71.1
803491200,73.2
803577600,74.5
803664000,72.7
803750400,71.1
803836800,75.4
803923200,66.7
804009600,68.1
804096000,72.7
804182400,67.4
804268800,74.8
804355200,67.5
804441600,63.1
804528000,66.9
804614400,69.6
804700800,74.6
804787200,71.9
804873600,68.7
804960000,75.1
805046400,77.4
805132800,79.3
805219200,80.6
805305600,80.9
805392000,83.3
805478400,82.2
805564800,81.3
805651200,79.9
805737600,75.4
805824000,73.9
805910400,72.1
805996800,71.1
806083200,72.4
806169600,76.1
806256000,78.4
806342400,77.5
806428800,75.8
806515200,72.8
806601600,78.0
806688000,83.1
806774400,85.9
806860800,82.2
806947200,82.6
807033600,78.1
807120000,75.2
807206400,64.1
807292800,65.8
807379200,70.6
807465600,75.1
807552000,77.6
807638400,78.2
807724800,82.5
807811200,81.7
807897600,83.4
807984000,80.2
808070400,80.4
808156800,82.3
808243200,81.3
808329600,80.4
808416000,70.5
808502400,76.6
808588800,78.8
808675200,78.6
808761600,76.6
808848000,76.0
808934400,78.1
809020800,79.6
809107200,77.8
809193600,76.2
809280000,77.7
809366400,78.6
809452800,77.2
809539200,77.6
809625600,78.9
809712000,78.5
809798400,79.5
809884800,78.2
809971200,80.1
810057600,82.0
810144000,83.3
810230400,83.2
810316800,84.1
810403200,70.9
810489600,63.0
810576000,63.4
810662400,58.7
810748800,66.1
810835200,73.2
810921600,70.2
811008000,69.3
811094400,64.2
811180800,69.2
811267200,71.7
811353600,69.7
811440000,63.3
811526400,56.3
811612800,48.0
811699200,42.1
811785600,51.0
811872000,53.4
811958400,53.0
812044800,57.2
812131200,68.4
812217600,72.6
812304000,69.1
812390400,65.4
812476800,59.9
812563200,59.3
812649600,57.1
812736000,65.4
812822400,55.7
812908800,51.1
812995200,55.2
813081600,65.3
813168000,59.7
813254400,58.9
813340800,63.4
813427200,68.5
813513600,62.5
813600000,51.9
813686400,59.5
813772800,63.4
813859200,65.2
813945600,61.8
814032000,58.6
814118400,49.7
814204800,53.4
814291200,65.7
814377600,51.9
814464000,44.8
814550400,55.3
814636800,56.2
814723200,55.1
814809600,50.1
814896000,55.5
814982400,54.2
815068800,55.1
815155200,55.3
815241600,34.6
815328000,33.4
815414400,33.7
815500800,46.3
815587200,60.8
815673600,53.3
815760000,47.5
815846400,56.9
815932800,56.8
816019200,33.4
816105600,52.5
816192000,51.7
816278400,46.8
816364800,49.1
816451200,49.9
816537600,52.6
816624000,49.3
816710400,52.2
816796800,45.0
816883200,44.7
816969600,51.9
817056000,45.6
817142400,47.8
817228800,50.8
817315200,58.6
817401600,49.1
817488000,29.1
817574400,40.9
817660800,46.2
817747200,53.6
817833600,53.1
817920000,49.4
818006400,45.1
818092800,50.0
818179200,40.7
818265600,31.8
818352000,35.3
818438400,16.9
818524800,27.6
818611200,41.9
818697600,49.5
818784000,62.3
818870400,53.0
818956800,46.7
819043200,42.3
819129600,40.5
819216000,30.8
819302400,31.5
819388800,26.4
819475200,30.5
819561600,24.8
819648000,26.4
819734400,29.7
819820800,32.6
819907200,37.2
819993600,34.7
820080000,30.0
820166400,28.6
820252800,32.5
820339200,36.9
820425600,33.4
820512000,25.4
820598400,25.9
820684800,39.2
820771200,22.6
820857600,17.7
820944000,22.4
821030400,33.8
821116800,43.0
821203200,44.2
821289600,43.6
821376000,44.5
821462400,47.3
821548800,48.8
821635200,43.4
821721600,54.6
821808000,49.5
821894400,17.1
821980800,22.5
822067200,43.2
822153600,34.5
822240000,46.2
822326400,27.5
822412800,32.2
822499200,41.8
822585600,25.2
822672000,26.7
822758400,42.1
822844800,34.5
822931200,22.6
823017600,12.1
823104000,13.1
823190400,11.7
823276800,4.3
823363200,14.0
823449600,36.9
823536000,41.5
823622400,48.7
823708800,50.7
823795200,50.4
823881600,50.6
823968000,36.7
824054400,42.0
824140800,48.9
824227200,53.4
824313600,44.0
824400000,34.1
824486400,43.9
824572800,50.7
824659200,51.4
824745600,59.3
824832000,68.1
824918400,65.2
825004800,56.8
825091200,45.6
825177600,55.1
825264000,56.2
825350400,45.4
825436800,24.7
825523200,24.1
825609600,31.3
825696000,39.4
825782400,45.0
825868800,53.1
825955200,61.4
826041600,35.0
826128000,18.8
826214400,22.5
826300800,32.3
826387200,46.9
826473600,52.3
826560000,58.4
826646400,59.1
826732800,57.3
826819200,42.4
826905600,44.0
826992000,43.3
827078400,40.2
827164800,39.4
827251200,33.4
827337600,46.6
827424000,49.6
827510400,58.6
827596800,53.8
827683200,24.1
827769600,25.0
827856000,35.4
827942400,37.0
828028800,48.5
828115200,50.8
828201600,41.8
828288000,41.8
828374400,59.7
828460800,65.2
828547200,65.2
828633600,65.2
828720000,65.2
828806400,61.8
828892800,64.8
828979200,65.1
829065600,65.3
829152000,72.2
829238400,58.2
829324800,58.0
829411200,46.0
829497600,44.7
829584000,54.6
829670400,65.4
829756800,72.0
829843200,68.1
829929600,53.2
830016000,61.8
830102400,51.2
830188800,57.3
830275200,64.2
830361600,73.2
830448000,62.4
830534400,64.4
830620800,57.6
830707200,46.2
830793600,46.2
830880000,61.4
830966400,68.0
831052800,72.2
831139200,70.2
831225600,61.4
831312000,60.7
831398400,81.0
831484800,82.6
831571200,83.2
831657600,65.0
831744000,56.8
831830400,63.0
831916800,64.3
832003200,66.5
832089600,90.6
832176000,84.6
832262400,82.4
832348800,79.8
832435200,82.6
832521600,71.5
832608000,63.7
832694400,75.3
832780800,85.8
832867200,80.3
832953600,71.0
833040000,67.7
833126400,67.4
833212800,65.8
833299200,60.5
833385600,63.5
833472000,64.9
833558400,63.7
833644800,67.2
833731200,67.2
833817600,69.1
833904000,74.3
833990400,80.4
834076800,63.3
834163200,62.6
834249600,69.0
834336000,73.6
834422400,78.7
834508800,71.0
834595200,76.8
834681600,76.2
834768000,67.8
834854400,77.7
834940800,79.1
835027200,83.1
835113600,85.5
835200000,83.6
835286400,86.2
835372800,84.0
835459200,78.1
835545600,86.4
835632000,75.2
835718400,73.9
835804800,74.1
835891200,74.3
835977600,77.9
836064000,73.5
836150400,78.0
836236800,80.9
836323200,80.3
836409600,82.5
836496000,84.2
836582400,86.4
836668800,85.9
836755200,84.0
836841600,70.1
836928000,63.1
837014400,67.5
837100800,74.4
837187200,72.2
837273600,69.2
837360000,72.3
837446400,76.3
837532800,80.3
837619200,81.3
837705600,81.6
837792000,80.8
837878400,82.1
837964800,84.0
838051200,73.0
838137600,72.5
838224000,73.1
838310400,74.1
838396800,72.8
838483200,74.0
838569600,79.1
838656000,72.8
838742400,72.0
838828800,74.8
838915200,79.9
839001600,79.6
839088000,81.7
839174400,81.2
839260800,80.6
839347200,76.4
839433600,68.5
839520000,71.7
839606400,70.1
839692800,74.7
839779200,71.6
839865600,71.4
839952000,74.8
840038400,75.1
840124800,72.0
840211200,74.4
840297600,75.9
840384000,76.8
840470400,73.0
840556800,75.9
840643200,75.7
840729600,72.7
840816000,67.6
840902400,69.0
840988800,67.9
841075200,66.6
841161600,69.7
841248000,68.5
841334400,68.3
841420800,67.0
841507200,67.4
841593600,71.3
841680000,69.8
841766400,70.7
841852800,70.1
841939200,70.7
842025600,67.9
842112000,69.6
842198400,71.8
842284800,69.7
842371200,69.0
842457600,70.0
842544000,60.7
842630400,62.7
842716800,62.8
842803200,62.7
842889600,65.4
842976000,69.6
843062400,62.9
843148800,59.6
843235200,59.6
843321600,70.4
843408000,69.9
843494400,61.1
843580800,67.3
843667200,53.8
843753600,44.9
843840000,50.6
843926400,60.8
844012800,60.2
844099200,65.0
844185600,57.3
844272000,51.6
844358400,58.1
844444800,61.8
844531200,64.9
844617600,62.5
844704000,58.3
844790400,62.0
844876800,59.8
844963200,62.2
845049600,68.0
845136000,70.3
