timestamp,value
788889600,48.3
788976000,48.3
789062400,51.4
789148800,49.6
789235200,49.3
789321600,49.6
789408000,50.6
789494400,49.1
789580800,50.3
789667200,50.7
789753600,46.9
789840000,43.3
789926400,46.0
790012800,49.3
790099200,50.8
790185600,42.8
790272000,43.2
790358400,42.5
790444800,43.9
790531200,43.6
790617600,44.0
790704000,44.6
790790400,45.7
790876800,45.6
790963200,45.9
791049600,48.0
791136000,49.0
791222400,49.2
791308800,50.1
791395200,49.5
791481600,47.7
791568000,50.2
791654400,51.2
791740800,52.7
791827200,47.4
791913600,45.5
792000000,45.7
792086400,41.0
792172800,38.9
792259200,44.2
792345600,46.9
792432000,48.3
792518400,50.7
792604800,53.6
792691200,45.3
792777600,47.5
792864000,49.1
792950400,48.0
793036800,49.0
793123200,49.5
793209600,51.5
793296000,50.2
793382400,46.5
793468800,48.7
793555200,50.4
793641600,53.9
793728000,50.0
793814400,51.2
793900800,53.7
793987200,52.1
794073600,56.3
794160000,57.2
794246400,59.3
794332800,58.0
794419200,59.8
794505600,51.8
794592000,52.6
794678400,55.4
794764800,55.3
794851200,52.7
794937600,49.0
795024000,49.8
795110400,60.6
795196800,62.1
795283200,50.8
795369600,50.1
795456000,51.0
795542400,53.0
795628800,56.7
795715200,59.0
795801600,59.8
795888000,58.7
795974400,50.8
796060800,41.6
796147200,44.2
796233600,48.0
796320000,51.6
796406400,58.0
796492800,54.4
796579200,58.1
796665600,64.7
796752000,49.9
796838400,43.6
796924800,45.0
797011200,49.4
797097600,56.6
797184000,62.7
797270400,64.6
797356800,64.9
797443200,56.3
797529600,49.2
797616000,54.9
797702400,62.8
797788800,54.8
797875200,59.7
797961600,66.0
798048000,69.8
798134400,62.5
798220800,52.9
798307200,55.2
798393600,55.2
798480000,54.8
798566400,59.0
798652800,62.3
798739200,62.7
798825600,68.1
798912000,74.4
798998400,74.2
799084800,65.4
799171200,71.0
799257600,71.2
799344000,64.8
799430400,61.9
799516800,58.8
799603200,56.8
799689600,57.9
799776000,55.2
799862400,56.6
799948800,60.1
800035200,62.9
800121600,63.8
800208000,69.6
800294400,75.7
800380800,77.6
800467200,76.5
800553600,73.7
800640000,63.1
800726400,64.1
800812800,70.4
800899200,76.8
800985600,80.1
801072000,86.5
801158400,88.2
801244800,87.4
801331200,84.2
801417600,77.9
801504000,78.2
801590400,79.1
801676800,80.2
801763200,81.2
801849600,73.8
801936000,69.0
802022400,70.5
802108800,75.8
802195200,77.0
802281600,73.8
802368000,73.3
802454400,74.4
802540800,79.9
802627200,72.5
802713600,71.2
802800000,74.2
802886400,78.9
802972800,81.0
803059200,83.0
803145600,85.3
803232000,81.6
803318400,74.8
803404800,77.9
803491200,80.4
803577600,78.9
803664000,74.7
803750400,75.2
803836800,83.7
803923200,81.8
804009600,79.7
804096000,82.6
804182400,83.2
804268800,80.8
804355200,76.5
804441600,76.6
804528000,80.6
804614400,81.1
804700800,73.1
804787200,74.0
804873600,77.5
804960000,80.1
805046400,81.1
805132800,82.0
805219200,74.1
805305600,71.9
805392000,71.5
805478400,71.4
805564800,73.8
805651200,72.9
805737600,72.9
805824000,74.1
805910400,74.9
805996800,74.8
806083200,77.4
806169600,76.6
806256000,76.2
806342400,76.3
806428800,76.9
806515200,76.2
806601600,79.2
806688000,81.0
806774400,80.5
806860800,80.4
806947200,78.6
807033600,80.5
807120000,82.6
807206400,80.5
807292800,80.2
807379200,77.2
807465600,76.9
807552000,74.7
807638400,74.7
807724800,74.2
807811200,76.1
807897600,78.5
807984000,80.2
808070400,80.8
808156800,84.1
808243200,84.6
808329600,80.6
808416000,78.7
808502400,76.6
808588800,75.0
808675200,75.0
808761600,74.4
808848000,75.0
808934400,72.2
809020800,73.5
809107200,71.7
809193600,69.3
809280000,76.6
809366400,79.4
809452800,83.7
809539200,84.9
809625600,83.7
809712000,74.4
809798400,74.1
809884800,75.7
809971200,72.1
810057600,69.8
810144000,68.5
810230400,70.4
810316800,76.6
810403200,80.5
810489600,79.6
810576000,74.0
