timestamp,value
788889600,37.6
788976000,38.6
789062400,33.3
789148800,29.2
789235200,25.8
789321600,27.1
789408000,30.4
789494400,33.6
789580800,42.4
789667200,41.9
789753600,38.7
789840000,38.7
789926400,39.0
790012800,43.7
790099200,46.3
790185600,40.5
790272000,41.5
790358400,43.6
790444800,40.3
790531200,46.4
790617600,42.2
790704000,44.1
790790400,43.9
790876800,43.4
790963200,41.0
791049600,46.5
791136000,37.4
791222400,47.2
791308800,46.0
791395200,38.1
791481600,38.5
791568000,49.6
791654400,42.2
791740800,42.6
791827200,46.7
791913600,43.7
792000000,48.6
792086400,47.6
792172800,39.9
792259200,35.5
792345600,36.4
792432000,47.1
792518400,47.9
792604800,46.3
792691200,46.7
792777600,49.3
792864000,47.5
792950400,45.3
793036800,43.1
793123200,46.5
793209600,47.1
793296000,46.5
793382400,43.6
793468800,42.3
793555200,39.9
793641600,39.8
793728000,38.2
793814400,40.9
793900800,49.6
793987200,47.3
794073600,40.0
794160000,38.3
794246400,36.3
794332800,37.4
794419200,40.3
794505600,41.1
794592000,40.5
794678400,41.6
794764800,43.2
794851200,46.2
794937600,45.8
795024000,44.9
795110400,39.4
795196800,40.5
795283200,42.0
795369600,46.5
795456000,46.2
795542400,43.3
795628800,41.7
795715200,40.7
795801600,39.6
795888000,44.2
795974400,47.8
796060800,45.9
796147200,47.3
796233600,39.8
796320000,35.2
796406400,38.5
796492800,40.5
796579200,47.0
796665600,52.4
796752000,51.6
796838400,48.5
796924800,46.5
797011200,46.9
797097600,49.5
797184000,49.3
797270400,43.2
797356800,43.0
797443200,46.3
797529600,50.1
797616000,49.2
797702400,47.7
797788800,47.5
797875200,45.6
797961600,45.1
798048000,47.3
798134400,45.0
798220800,41.8
798307200,40.1
798393600,44.4
798480000,51.7
798566400,51.3
798652800,60.6
798739200,60.8
798825600,56.2
798912000,46.6
798998400,44.7
799084800,47.6
799171200,50.2
799257600,53.2
799344000,59.4
799430400,61.2
799516800,63.0
799603200,63.9
799689600,61.3
799776000,62.5
799862400,54.0
799948800,49.1
800035200,50.0
800121600,46.9
800208000,47.5
800294400,47.4
800380800,46.2
800467200,49.7
800553600,51.2
800640000,50.1
800726400,46.8
800812800,47.8
800899200,50.3
800985600,48.2
801072000,51.6
801158400,60.0
801244800,62.8
801331200,60.4
801417600,61.5
801504000,61.0
801590400,63.4
801676800,59.9
801763200,56.7
801849600,56.6
801936000,53.3
802022400,55.6
802108800,58.0
802195200,57.3
802281600,55.0
802368000,54.4
802454400,53.8
802540800,51.5
802627200,50.7
802713600,53.0
802800000,53.2
802886400,52.3
802972800,53.8
803059200,52.6
803145600,51.6
803232000,51.8
803318400,55.7
803404800,58.9
803491200,60.3
803577600,65.1
803664000,58.0
803750400,54.3
803836800,57.6
803923200,60.4
804009600,63.1
804096000,65.1
804182400,70.5
804268800,72.1
804355200,65.2
804441600,66.2
804528000,62.1
804614400,64.2
804700800,56.2
804787200,57.7
804873600,60.9
804960000,63.2
805046400,63.4
805132800,67.6
805219200,69.1
805305600,75.1
805392000,74.6
805478400,68.2
805564800,71.2
805651200,68.5
805737600,65.8
805824000,64.1
805910400,64.3
805996800,63.9
806083200,67.3
806169600,70.2
806256000,71.6
806342400,62.3
806428800,61.5
806515200,64.8
806601600,66.2
806688000,72.9
806774400,67.9
806860800,67.8
806947200,69.6
807033600,74.3
807120000,78.1
807206400,77.8
807292800,75.3
807379200,72.6
807465600,65.7
807552000,66.5
807638400,69.7
807724800,64.4
807811200,63.4
807897600,65.7
807984000,69.6
808070400,73.5
808156800,71.7
808243200,67.0
808329600,62.8
808416000,63.5
808502400,65.9
808588800,71.4
808675200,73.5
808761600,74.7
808848000,70.6
808934400,68.7
809020800,72.0
809107200,71.0
809193600,67.3
809280000,67.1
809366400,62.9
809452800,58.9
809539200,58.4
809625600,57.1
809712000,58.7
809798400,59.4
809884800,60.0
809971200,61.2
810057600,56.6
810144000,58.7
810230400,58.8
810316800,58.3
810403200,60.6
810489600,60.4
810576000,61.4
810662400,62.8
810748800,61.1
810835200,59.3
810921600,59.1
811008000,57.8
811094400,58.0
811180800,58.1
811267200,59.0
811353600,61.5
811440000,61.3
811526400,57.1
811612800,56.0
811699200,58.4
811785600,58.0
811872000,56.1
811958400,56.2
812044800,57.0
812131200,54.5
812217600,49.0
812304000,52.7
812390400,50.0
812476800,53.9
812563200,54.6
812649600,58.1
812736000,61.9
812822400,57.4
812908800,56.4
812995200,60.4
813081600,62.6
813168000,61.6
813254400,58.4
813340800,58.9
813427200,59.6
813513600,57.6
813600000,57.5
813686400,59.0
813772800,56.8
813859200,57.8
813945600,56.4
814032000,56.4
814118400,53.9
814204800,45.7
814291200,45.0
814377600,49.4
814464000,58.3
814550400,57.0
814636800,54.6
814723200,57.1
814809600,48.3
814896000,42.9
814982400,43.4
815068800,48.4
815155200,49.7
815241600,47.1
815328000,46.9
815414400,37.0
815500800,34.6
815587200,38.2
815673600,46.3
815760000,51.2
815846400,52.1
815932800,47.7
816019200,52.1
816105600,50.7
816192000,44.3
816278400,49.7
816364800,49.1
816451200,48.7
816537600,37.9
816624000,39.0
816710400,45.7
816796800,40.6
816883200,36.2
816969600,42.5
