timestamp,value
788889600,23.2
788976000,27.6
789062400,32.0
789148800,29.3
789235200,30.1
789321600,26.8
789408000,25.6
789494400,18.1
789580800,5.0
789667200,5.5
789753600,2.7
789840000,2.5
789926400,-2.6
790012800,-6.7
790099200,-3.7
790185600,11.3
790272000,21.6
790358400,15.5
790444800,14.9
790531200,23.6
790617600,29.3
790704000,29.1
790790400,25.2
790876800,17.5
790963200,2.4
791049600,-4.4
791136000,0.3
791222400,17.0
791308800,26.7
791395200,28.8
791481600,29.9
791568000,22.6
791654400,17.4
791740800,21.0
791827200,23.4
791913600,33.8
792000000,39.5
792086400,32.9
792172800,34.2
792259200,31.6
792345600,32.8
792432000,30.9
792518400,28.3
792604800,29.8
792691200,27.0
792777600,24.1
792864000,14.4
792950400,11.6
793036800,11.6
793123200,7.6
793209600,9.6
793296000,18.0
793382400,13.6
793468800,7.2
793555200,4.4
793641600,4.5
793728000,15.3
793814400,24.3
793900800,23.5
793987200,23.2
794073600,26.4
794160000,19.1
794246400,18.3
794332800,17.7
794419200,24.4
794505600,17.1
794592000,19.8
794678400,20.0
794764800,18.1
794851200,13.5
794937600,8.2
795024000,4.4
795110400,1.8
795196800,-3.1
795283200,4.6
795369600,18.2
795456000,19.5
795542400,22.5
795628800,21.9
795715200,13.8
795801600,11.3
795888000,10.7
795974400,9.8
796060800,13.2
796147200,21.4
796233600,26.7
796320000,34.8
796406400,38.7
796492800,37.8
796579200,40.5
796665600,39.6
796752000,37.5
796838400,36.1
796924800,39.1
797011200,37.9
797097600,36.3
797184000,36.3
797270400,37.0
797356800,40.5
797443200,36.7
797529600,38.8
797616000,38.9
797702400,38.8
797788800,39.5
797875200,40.6
797961600,37.9
798048000,40.8
798134400,39.4
798220800,37.8
798307200,40.8
798393600,39.9
798480000,41.3
798566400,43.0
798652800,41.3
798739200,44.5
798825600,43.4
798912000,41.8
798998400,41.9
799084800,46.0
799171200,47.4
799257600,50.3
799344000,51.7
799430400,51.6
799516800,47.1
799603200,42.7
799689600,43.1
799776000,43.2
799862400,47.5
799948800,51.1
800035200,57.8
800121600,50.6
800208000,49.1
800294400,51.3
800380800,45.3
800467200,48.4
800553600,46.5
800640000,47.2
800726400,47.6
800812800,48.7
800899200,50.9
800985600,50.8
801072000,50.2
801158400,51.0
801244800,46.1
801331200,47.8
801417600,49.3
801504000,48.0
801590400,48.3
801676800,47.7
801763200,47.3
801849600,49.2
801936000,50.6
802022400,49.6
802108800,52.0
802195200,55.3
802281600,52.8
802368000,50.8
802454400,50.3
802540800,51.5
802627200,53.8
802713600,63.0
802800000,65.2
802886400,65.8
802972800,57.3
803059200,54.5
803145600,55.2
803232000,54.5
803318400,54.7
803404800,58.6
803491200,60.8
803577600,56.3
803664000,55.3
803750400,59.5
803836800,55.8
803923200,50.3
804009600,54.5
804096000,56.2
804182400,53.3
804268800,58.3
804355200,59.4
804441600,58.0
804528000,54.8
804614400,56.7
804700800,58.5
804787200,57.7
804873600,63.0
804960000,62.4
805046400,60.8
805132800,56.4
805219200,58.5
805305600,61.6
805392000,58.3
805478400,60.6
805564800,61.3
805651200,57.4
805737600,56.5
805824000,59.2
805910400,60.0
805996800,60.4
806083200,62.8
806169600,63.5
806256000,61.5
806342400,57.3
806428800,56.6
806515200,54.7
806601600,53.2
806688000,55.5
806774400,59.0
806860800,61.1
806947200,57.9
807033600,54.8
807120000,56.3
807206400,57.8
807292800,55.4
807379200,54.7
807465600,57.8
807552000,59.9
807638400,58.4
807724800,56.8
807811200,56.8
807897600,57.3
807984000,54.6
808070400,56.8
808156800,57.5
808243200,54.2
808329600,56.3
808416000,57.7
808502400,58.5
808588800,59.0
808675200,59.6
808761600,59.3
808848000,60.0
808934400,61.1
809020800,60.9
809107200,58.4
809193600,59.6
809280000,59.5
809366400,57.5
809452800,56.0
809539200,56.2
809625600,57.3
809712000,55.7
809798400,54.7
809884800,53.6
809971200,52.4
810057600,56.9
810144000,56.2
810230400,54.0
810316800,53.9
810403200,53.6
810489600,54.1
810576000,54.5
810662400,52.6
810748800,52.3
810835200,53.1
810921600,55.0
811008000,49.5
811094400,50.8
811180800,51.9
811267200,54.8
811353600,56.6
811440000,55.1
811526400,56.7
811612800,56.7
811699200,59.5
811785600,54.1
811872000,51.6
811958400,52.3
812044800,52.9
812131200,52.1
812217600,47.6
812304000,47.8
812390400,46.0
812476800,46.9
812563200,45.9
812649600,46.6
812736000,43.7
812822400,43.9
812908800,39.1
812995200,43.4
813081600,42.7
813168000,44.0
813254400,44.5
813340800,40.1
813427200,39.0
813513600,34.3
813600000,31.8
813686400,33.1
813772800,33.0
813859200,33.3
813945600,32.0
814032000,35.8
814118400,38.3
814204800,37.8
814291200,37.4
814377600,37.8
814464000,36.7
814550400,35.5
814636800,37.6
814723200,33.3
814809600,29.3
814896000,34.4
814982400,39.2
815068800,35.0
815155200,38.8
815241600,35.9
815328000,35.3
815414400,32.5
815500800,29.2
815587200,25.6
815673600,20.4
815760000,15.4
815846400,20.2
815932800,25.3
816019200,20.0
816105600,15.1
816192000,13.5
816278400,12.9
816364800,14.3
816451200,17.9
816537600,26.5
816624000,26.5
816710400,28.8
816796800,26.2
816883200,23.4
816969600,28.1
817056000,29.6
817142400,20.4
817228800,16.6
817315200,13.5
817401600,10.0
817488000,10.2
817574400,10.2
817660800,18.2
817747200,11.9
817833600,9.3
817920000,1.4
818006400,-2.0
818092800,-2.2
818179200,-4.7
818265600,1.6
818352000,11.3
818438400,5.2
818524800,15.3
818611200,19.0
818697600,22.8
818784000,20.5
818870400,22.5
818956800,20.6
819043200,24.5
819129600,28.2
819216000,23.7
819302400,27.0
819388800,27.7
819475200,27.7
819561600,25.7
819648000,30.8
819734400,29.1
819820800,30.3
819907200,35.9
819993600,29.1
820080000,25.0
820166400,25.7
820252800,27.9
820339200,27.4
820425600,24.9
820512000,15.8
820598400,17.9
820684800,25.4
820771200,23.8
820857600,16.9
820944000,12.0
821030400,5.7
821116800,6.1
821203200,2.3
821289600,2.8
821376000,5.1
821462400,-5.2
821548800,-5.8
821635200,-7.4
821721600,-4.5
821808000,-4.5
821894400,-1.8
821980800,0.3
822067200,-2.4
822153600,-2.4
822240000,2.7
822326400,1.3
822412800,-0.6
822499200,-0.8
822585600,-3.6
822672000,-2.7
822758400,5.9
822844800,17.0
822931200,24.6
823017600,31.3
823104000,25.7
823190400,18.7
823276800,11.7
823363200,12.2
823449600,11.2
823536000,17.0
823622400,13.0
823708800,14.7
823795200,15.1
823881600,15.9
823968000,17.8
824054400,18.1
824140800,16.1
824227200,22.9
824313600,29.0
824400000,29.6
824486400,23.1
824572800,21.2
824659200,16.9
824745600,3.8
824832000,-4.8
824918400,3.8
825004800,5.2
825091200,3.6
825177600,16.2
825264000,26.1
825350400,24.9
825436800,25.0
825523200,26.5
825609600,25.2
825696000,18.7
825782400,16.1
825868800,18.9
825955200,34.4
826041600,28.1
826128000,22.9
826214400,22.6
826300800,20.6
826387200,29.8
826473600,29.9
826560000,27.8
826646400,30.6
826732800,36.5
826819200,36.3
826905600,34.0
826992000,29.1
827078400,31.9
827164800,28.1
827251200,28.5
827337600,24.3
827424000,27.7
827510400,27.0
827596800,32.2
827683200,32.5
827769600,35.1
827856000,34.9
827942400,35.6
828028800,28.9
828115200,33.5
828201600,33.0
828288000,31.2
828374400,25.1
828460800,22.5
828547200,28.6
828633600,36.4
828720000,36.5
828806400,29.6
828892800,32.3
828979200,31.7
829065600,34.3
829152000,37.5
829238400,36.6
829324800,39.1
829411200,38.8
829497600,40.4
829584000,41.6
829670400,40.7
829756800,43.9
829843200,45.7
829929600,43.1
830016000,41.8
830102400,41.1
830188800,46.0
830275200,41.8
830361600,42.9
830448000,43.0
830534400,44.6
830620800,42.3
830707200,43.1
830793600,44.4
830880000,44.4
830966400,44.0
831052800,44.5
831139200,48.6
831225600,50.9
831312000,51.5
831398400,49.6
831484800,51.6
831571200,53.3
831657600,50.9
831744000,52.0
831830400,53.3
831916800,57.1
832003200,58.5
832089600,56.6
832176000,51.2
832262400,45.8
832348800,49.8
832435200,49.6
832521600,50.0
832608000,46.1
832694400,48.9
832780800,46.0
832867200,48.1
832953600,49.9
833040000,49.4
833126400,50.8
833212800,50.9
833299200,53.1
833385600,54.5
833472000,54.9
833558400,58.4
833644800,64.5
833731200,53.8
833817600,63.7
833904000,63.0
833990400,56.1
834076800,59.8
834163200,52.8
834249600,53.8
834336000,52.8
834422400,47.3
834508800,51.7
834595200,53.3
834681600,52.5
834768000,51.5
834854400,57.3
834940800,59.2
835027200,59.2
835113600,58.4
835200000,57.3
835286400,57.2
835372800,58.6
835459200,62.4
835545600,61.3
835632000,56.9
835718400,55.6
835804800,52.3
835891200,53.7
835977600,56.2
836064000,56.4
836150400,61.1
836236800,62.9
836323200,64.8
836409600,65.2
836496000,60.5
836582400,58.6
836668800,59.9
836755200,60.0
836841600,60.8
836928000,58.8
837014400,57.5
837100800,56.0
837187200,53.8
837273600,51.9
837360000,56.1
837446400,61.9
837532800,62.1
837619200,62.8
837705600,62.3
837792000,63.7
837878400,62.3
837964800,61.1
838051200,63.6
838137600,61.4
838224000,60.2
838310400,58.9
838396800,57.3
838483200,56.8
838569600,56.8
838656000,56.3
838742400,56.1
838828800,58.1
838915200,58.2
839001600,56.3
839088000,57.8
839174400,54.8
839260800,55.3
839347200,56.9
839433600,60.9
839520000,58.1
839606400,55.9
839692800,55.4
839779200,58.5
839865600,60.6
839952000,58.7
840038400,57.4
840124800,58.4
840211200,57.9
840297600,59.2
840384000,58.8
840470400,59.5
840556800,58.0
840643200,60.2
840729600,54.3
840816000,58.3
840902400,58.0
840988800,51.7
841075200,50.5
841161600,52.0
841248000,53.5
841334400,56.2
841420800,53.3
841507200,50.9
841593600,52.5
841680000,53.6
841766400,53.6
841852800,56.1
841939200,55.9
842025600,52.3
842112000,53.5
842198400,53.3
842284800,52.8
842371200,50.0
842457600,50.4
842544000,47.9
842630400,48.9
842716800,45.4
842803200,44.8
842889600,48.0
842976000,47.9
843062400,43.4
843148800,45.4
843235200,45.2
843321600,37.6
843408000,33.9
843494400,39.5
843580800,41.9
843667200,42.7
843753600,42.4
843840000,39.2
843926400,37.3
844012800,36.5
844099200,35.7
844185600,38.8
844272000,41.3
844358400,39.5
844444800,37.6
844531200,37.4
844617600,37.2
844704000,39.4
844790400,41.1
844876800,32.2
844963200,31.0
845049600,30.7
845136000,26.5
845222400,24.1
845308800,24.4
845395200,20.5
845481600,17.4
845568000,14.3
845654400,10.9
845740800,14.1
845827200,18.2
845913600,14.4
846000000,22.2
846086400,16.0
846172800,15.1
846259200,13.5
846345600,8.9
846432000,16.9
846518400,21.6
846604800,27.2
846691200,33.3
846777600,30.3
846864000,24.9
846950400,27.7
847036800,29.0
847123200,33.7
847209600,32.4
847296000,25.3
847382400,18.2
847468800,13.9
847555200,9.6
847641600,23.1
847728000,27.6
847814400,29.3
847900800,25.1
847987200,22.0
848073600,13.4
848160000,9.9
848246400,12.1
848332800,10.2
848419200,16.0
848505600,18.0
848592000,17.5
848678400,14.7
848764800,5.6
848851200,7.0
848937600,12.0
849024000,24.4
849110400,26.3
849196800,18.6
849283200,14.9
849369600,12.1
849456000,3.8
849542400,11.3
849628800,24.0
849715200,21.3
849801600,8.2
849888000,5.2
849974400,10.3
850060800,23.3
850147200,15.7
850233600,16.8
850320000,16.0
850406400,16.4
850492800,11.9
850579200,19.6
850665600,21.9
850752000,26.9
850838400,29.4
850924800,30.3
851011200,25.7
851097600,16.3
851184000,19.2
851270400,9.4
851356800,6.7
851443200,7.1
851529600,5.6
851616000,8.3
851702400,6.2
851788800,1.5
851875200,0.8
851961600,-4.2
852048000,-10.0
852134400,3.3
852220800,5.1
852307200,-6.7
852393600,0.1
852480000,-0.3
852566400,-12.1
852652800,-8.9
852739200,13.1
852825600,30.4
852912000,31.0
852998400,24.0
853084800,35.2
853171200,28.9
853257600,36.2
853344000,29.2
853430400,24.5
853516800,27.9
853603200,26.3
853689600,28.0
853776000,22.6
853862400,16.3
853948800,10.1
854035200,10.4
854121600,11.1
854208000,11.5
854294400,11.5
854380800,17.5
854467200,21.4
854553600,28.5
854640000,31.8
854726400,28.1
854812800,25.0
854899200,30.0
854985600,34.3
855072000,36.0
855158400,34.7
855244800,34.0
855331200,27.8
855417600,27.5
855504000,30.2
855590400,29.9
855676800,27.8
855763200,28.8
855849600,29.7
855936000,27.5
856022400,29.8
