timestamp,value
788889600,46.2
788976000,50.9
789062400,46.7
789148800,41.6
789235200,41.8
789321600,36.9
789408000,35.6
789494400,34.7
789580800,32.4
789667200,33.4
789753600,37.2
789840000,37.0
789926400,42.0
790012800,41.2
790099200,37.2
790185600,32.1
790272000,26.6
790358400,24.2
790444800,24.3
790531200,24.4
790617600,23.5
790704000,20.6
790790400,25.9
790876800,32.3
790963200,36.5
791049600,31.1
791136000,34.7
791222400,33.3
791308800,26.3
791395200,30.8
791481600,36.0
791568000,37.1
791654400,31.5
791740800,27.6
791827200,28.4
791913600,23.3
792000000,25.6
792086400,31.6
792172800,29.7
792259200,34.3
792345600,43.0
792432000,43.7
792518400,39.3
792604800,38.2
792691200,37.5
792777600,36.0
792864000,34.6
792950400,35.6
793036800,40.0
793123200,40.5
793209600,41.9
793296000,38.1
793382400,34.3
793468800,35.1
793555200,38.6
793641600,40.1
793728000,42.1
793814400,44.2
793900800,44.2
793987200,39.6
794073600,39.4
794160000,42.7
794246400,46.4
794332800,45.9
794419200,48.7
794505600,40.1
794592000,38.2
794678400,38.2
794764800,38.9
794851200,35.9
794937600,36.3
795024000,35.1
795110400,31.7
795196800,40.4
795283200,39.3
795369600,37.1
795456000,39.5
795542400,41.5
795628800,47.6
795715200,49.2
795801600,45.1
795888000,36.4
795974400,33.5
796060800,30.9
796147200,33.0
796233600,42.0
796320000,47.2
796406400,45.4
796492800,41.7
796579200,50.5
796665600,34.1
796752000,31.0
796838400,33.1
796924800,38.8
797011200,46.8
797097600,50.1
797184000,50.3
797270400,47.8
797356800,50.1
797443200,45.2
797529600,35.2
797616000,38.2
797702400,44.4
797788800,43.6
797875200,43.2
797961600,47.3
798048000,50.7
798134400,45.5
798220800,42.3
798307200,43.8
798393600,48.4
798480000,50.7
798566400,49.0
798652800,50.3
798739200,53.7
798825600,55.5
798912000,59.8
798998400,52.4
799084800,51.5
799171200,53.5
799257600,53.7
799344000,49.6
799430400,47.9
799516800,46.2
799603200,43.6
799689600,45.7
799776000,46.4
799862400,50.0
799948800,54.0
800035200,55.4
800121600,56.3
800208000,61.4
800294400,62.8
800380800,66.0
800467200,62.3
800553600,53.2
800640000,52.6
800726400,55.7
800812800,59.9
800899200,62.1
800985600,64.8
801072000,68.6
801158400,73.9
801244800,65.9
801331200,66.8
801417600,68.8
801504000,68.8
801590400,69.4
801676800,68.4
801763200,63.6
801849600,64.7
801936000,65.2
802022400,67.9
802108800,67.4
802195200,65.9
802281600,64.4
802368000,61.8
802454400,63.1
802540800,63.1
802627200,57.8
802713600,61.1
802800000,63.0
802886400,67.3
802972800,65.2
803059200,65.8
803145600,65.7
803232000,71.5
803318400,75.9
803404800,72.9
803491200,71.2
803577600,66.1
803664000,62.9
803750400,63.6
803836800,71.2
803923200,74.2
804009600,73.7
804096000,75.3
804182400,69.1
804268800,60.6
804355200,60.7
804441600,65.5
804528000,62.8
804614400,62.8
804700800,67.6
804787200,70.3
804873600,71.7
804960000,68.7
805046400,68.3
805132800,66.0
805219200,60.9
805305600,62.6
805392000,63.8
805478400,62.5
805564800,62.6
805651200,64.2
805737600,66.3
805824000,68.7
805910400,67.6
805996800,68.0
806083200,71.7
806169600,70.6
806256000,70.4
806342400,65.6
806428800,65.2
806515200,63.4
806601600,65.3
806688000,67.6
806774400,68.1
806860800,66.4
806947200,65.2
807033600,68.6
807120000,72.1
