timestamp,value
788889600,70.2
788976000,68.3
789062400,67.5
789148800,69.8
789235200,69.5
789321600,68.4
789408000,68.9
789494400,69.8
789580800,67.7
789667200,71.6
789753600,72.2
789840000,71.5
789926400,72.2
790012800,68.9
790099200,70.1
790185600,68.7
790272000,69.7
790358400,73.0
790444800,71.9
790531200,69.8
790617600,67.9
790704000,68.1
790790400,71.3
790876800,72.1
790963200,72.3
791049600,70.4
791136000,69.7
791222400,70.9
791308800,70.7
791395200,73.4
791481600,72.2
791568000,69.9
791654400,71.3
791740800,70.1
791827200,68.9
791913600,69.1
792000000,69.9
792086400,70.0
792172800,69.3
792259200,71.6
792345600,70.5
792432000,70.0
792518400,70.2
792604800,69.9
792691200,69.6
792777600,71.2
792864000,69.4
792950400,70.2
793036800,70.8
793123200,72.6
793209600,73.3
793296000,72.9
793382400,72.4
793468800,72.4
793555200,73.6
793641600,71.0
793728000,71.2
793814400,72.2
793900800,72.7
793987200,70.6
794073600,68.4
794160000,69.5
794246400,67.8
794332800,70.4
794419200,68.2
794505600,68.9
794592000,73.0
794678400,67.8
794764800,69.2
794851200,64.9
794937600,70.3
795024000,73.8
795110400,70.4
795196800,72.1
795283200,73.6
795369600,73.2
795456000,71.5
795542400,69.0
795628800,70.2
795715200,71.1
795801600,73.6
795888000,72.3
795974400,71.1
796060800,75.6
796147200,70.7
796233600,72.9
796320000,72.7
796406400,71.7
796492800,73.6
796579200,72.9
796665600,71.9
796752000,68.5
796838400,67.6
796924800,68.6
797011200,70.6
797097600,71.2
797184000,67.9
797270400,63.5
797356800,66.9
797443200,67.0
797529600,67.5
797616000,67.5
797702400,67.9
797788800,70.3
797875200,70.3
797961600,70.3
798048000,70.9
798134400,69.3
798220800,67.2
798307200,69.0
798393600,68.6
798480000,68.6
798566400,69.4
798652800,64.4
798739200,66.7
798825600,68.1
798912000,66.0
798998400,65.3
799084800,67.8
799171200,66.2
799257600,67.3
799344000,66.1
799430400,66.2
799516800,65.2
799603200,65.6
799689600,66.0
799776000,66.0
799862400,63.6
799948800,64.4
800035200,62.6
800121600,64.2
800208000,64.3
800294400,66.3
800380800,65.8
800467200,62.9
800553600,60.9
800640000,58.6
800726400,60.8
800812800,61.1
800899200,61.1
800985600,63.6
801072000,66.1
801158400,66.4
801244800,62.7
801331200,61.8
801417600,63.8
801504000,65.2
801590400,61.8
801676800,65.4
801763200,61.8
801849600,62.2
801936000,64.3
802022400,61.5
802108800,62.5
802195200,59.5
802281600,57.1
802368000,62.0
802454400,59.8
802540800,61.3
802627200,59.9
802713600,58.3
802800000,59.2
802886400,60.5
802972800,56.4
803059200,56.8
803145600,55.9
803232000,59.0
803318400,58.5
803404800,63.9
803491200,63.6
803577600,64.2
803664000,67.0
803750400,63.4
803836800,62.4
803923200,62.7
804009600,59.5
804096000,55.6
804182400,60.4
804268800,58.0
804355200,59.5
804441600,57.9
804528000,57.4
804614400,57.6
804700800,57.0
804787200,54.2
804873600,60.5
804960000,59.8
805046400,57.4
805132800,57.9
805219200,59.6
805305600,63.3
805392000,63.2
805478400,58.4
805564800,58.0
805651200,59.5
805737600,56.0
805824000,58.4
805910400,58.5
805996800,59.6
806083200,63.3
806169600,57.6
806256000,56.7
806342400,59.2
806428800,59.3
806515200,58.0
806601600,58.1
806688000,56.8
806774400,55.1
806860800,57.7
806947200,59.4
807033600,58.0
807120000,54.9
807206400,57.4
807292800,57.5
807379200,61.0
807465600,59.8
807552000,59.3
807638400,60.1
807724800,60.0
807811200,62.4
807897600,59.0
807984000,60.8
808070400,59.9
808156800,58.9
808243200,56.5
808329600,59.1
808416000,59.1
808502400,59.3
808588800,58.2
808675200,64.3
808761600,63.2
808848000,62.0
808934400,62.8
809020800,64.6
809107200,62.5
809193600,61.8
809280000,62.8
809366400,60.4
809452800,57.9
809539200,64.3
809625600,60.1
809712000,63.3
809798400,57.1
809884800,58.9
809971200,57.9
810057600,55.8
810144000,61.3
810230400,62.7
810316800,64.8
810403200,65.5
810489600,64.6
810576000,65.1
810662400,62.7
810748800,64.9
810835200,62.4
810921600,60.8
811008000,59.5
811094400,60.6
811180800,61.6
811267200,65.8
811353600,66.7
811440000,68.6
811526400,67.1
811612800,67.2
811699200,65.8
811785600,64.6
811872000,72.9
811958400,71.3
812044800,74.8
812131200,70.8
812217600,67.3
812304000,66.6
812390400,62.8
812476800,62.9
812563200,65.9
812649600,66.0
812736000,69.5
812822400,64.5
812908800,62.4
812995200,66.0
813081600,62.1
813168000,62.6
813254400,65.1
813340800,64.8
813427200,67.5
813513600,63.2
813600000,62.6
813686400,66.0
813772800,70.5
813859200,71.2
813945600,68.3
814032000,66.9
814118400,68.0
814204800,67.1
814291200,66.7
814377600,65.5
814464000,67.2
814550400,69.9
814636800,71.2
814723200,68.2
814809600,68.3
814896000,69.8
814982400,67.6
815068800,67.1
815155200,66.5
815241600,61.2
815328000,65.8
815414400,68.9
815500800,68.2
815587200,70.6
815673600,68.4
815760000,67.9
815846400,69.6
815932800,71.5
816019200,73.5
816105600,73.2
816192000,69.0
816278400,72.0
816364800,71.2
816451200,72.9
816537600,71.4
816624000,71.9
816710400,71.2
816796800,71.0
816883200,70.5
816969600,72.6
817056000,66.7
817142400,72.4
817228800,73.4
817315200,69.2
817401600,70.9
817488000,67.8
817574400,67.1
817660800,71.4
817747200,77.7
817833600,75.0
817920000,68.5
818006400,67.7
818092800,67.3
818179200,71.7
818265600,72.4
818352000,69.1
818438400,72.5
818524800,68.7
818611200,70.6
818697600,68.5
818784000,68.0
818870400,68.3
818956800,69.7
819043200,72.4
819129600,70.7
819216000,72.0
819302400,72.6
819388800,72.9
819475200,72.4
819561600,70.7
819648000,71.8
819734400,70.9
819820800,71.6
819907200,67.5
819993600,68.2
820080000,66.4
820166400,68.4
820252800,69.2
820339200,73.8
820425600,71.4
820512000,71.4
820598400,73.3
820684800,71.4
820771200,70.4
820857600,68.0
820944000,70.3
821030400,69.5
821116800,71.6
821203200,70.3
821289600,67.9
821376000,69.2
821462400,70.1
821548800,72.6
821635200,70.7
821721600,68.5
821808000,69.5
821894400,67.9
821980800,69.2
822067200,67.6
822153600,69.3
822240000,67.7
822326400,69.1
822412800,67.7
822499200,70.1
822585600,70.0
822672000,67.1
822758400,69.7
822844800,72.8
822931200,74.5
823017600,72.0
823104000,70.9
823190400,69.3
823276800,69.3
823363200,70.5
823449600,73.4
823536000,68.3
823622400,69.1
823708800,72.3
823795200,68.2
823881600,68.8
823968000,69.8
824054400,68.7
824140800,68.8
824227200,69.8
824313600,69.8
824400000,68.1
824486400,72.1
824572800,67.9
824659200,68.6
824745600,69.1
824832000,67.7
824918400,67.5
825004800,68.2
825091200,68.0
825177600,68.6
825264000,69.5
825350400,69.3
825436800,71.5
825523200,70.9
825609600,71.6
825696000,70.6
825782400,68.7
825868800,68.1
825955200,68.6
826041600,72.4
826128000,69.6
826214400,69.0
826300800,70.5
826387200,73.1
826473600,69.5
826560000,70.5
826646400,69.8
826732800,71.4
826819200,70.8
826905600,70.0
826992000,71.0
827078400,68.9
827164800,70.0
827251200,70.9
827337600,70.1
827424000,70.2
827510400,70.2
827596800,70.2
827683200,72.5
