timestamp,value
788889600,41.1
788976000,49.3
789062400,49.8
789148800,50.5
789235200,44.1
789321600,33.9
789408000,28.0
789494400,29.3
789580800,26.5
789667200,36.0
789753600,44.1
789840000,50.0
789926400,42.8
790012800,36.3
790099200,35.9
790185600,42.4
790272000,48.5
790358400,41.7
790444800,43.5
790531200,38.2
790617600,34.9
790704000,35.1
790790400,39.2
790876800,38.4
790963200,36.9
791049600,40.5
791136000,42.6
791222400,42.5
791308800,45.2
791395200,49.8
791481600,40.1
791568000,40.5
791654400,41.7
791740800,39.2
791827200,41.6
791913600,41.3
792000000,41.1
792086400,42.7
792172800,43.9
792259200,52.5
792345600,46.4
792432000,48.8
792518400,44.5
792604800,43.1
792691200,43.0
792777600,44.5
792864000,42.9
792950400,35.8
793036800,34.5
793123200,34.2
793209600,36.7
793296000,37.9
793382400,45.6
793468800,45.7
793555200,38.3
793641600,38.5
793728000,38.4
793814400,35.7
793900800,41.0
793987200,45.2
794073600,46.2
794160000,44.5
794246400,41.5
794332800,38.3
794419200,41.4
794505600,41.3
794592000,44.9
794678400,46.2
794764800,45.9
794851200,50.9
794937600,54.7
795024000,48.6
795110400,42.8
795196800,41.4
795283200,45.1
795369600,48.7
795456000,46.2
795542400,48.4
795628800,47.0
795715200,48.2
795801600,51.6
795888000,56.1
795974400,57.9
796060800,63.3
796147200,60.3
796233600,53.2
796320000,54.9
796406400,60.7
796492800,57.8
796579200,61.5
796665600,61.4
796752000,64.1
796838400,67.6
796924800,65.1
797011200,58.5
797097600,55.3
797184000,53.6
797270400,59.7
797356800,62.1
797443200,67.6
797529600,69.0
797616000,76.7
797702400,65.7
797788800,67.0
797875200,66.6
797961600,62.2
798048000,66.2
798134400,65.8
798220800,72.9
798307200,75.9
798393600,73.8
798480000,70.1
798566400,67.4
798652800,71.3
798739200,63.9
798825600,65.3
798912000,65.5
798998400,69.2
799084800,70.8
799171200,76.3
799257600,71.2
799344000,76.8
799430400,79.4
799516800,76.6
799603200,79.1
799689600,76.9
799776000,77.9
799862400,73.3
