timestamp,value
788889600,47.4
788976000,36.9
789062400,29.5
789148800,30.5
789235200,21.1
789321600,26.2
789408000,38.7
789494400,32.7
789580800,37.1
789667200,36.2
789753600,40.5
789840000,49.3
789926400,52.8
790012800,58.1
790099200,53.5
790185600,46.0
790272000,41.5
790358400,45.0
790444800,43.5
790531200,36.9
790617600,33.1
790704000,31.2
790790400,34.2
790876800,27.6
790963200,30.5
791049600,38.9
791136000,30.6
791222400,42.8
791308800,36.6
791395200,32.0
791481600,31.3
791568000,36.7
791654400,48.8
791740800,41.0
791827200,33.1
791913600,22.9
792000000,18.7
792086400,21.8
792172800,18.3
792259200,16.2
792345600,32.7
792432000,39.7
792518400,26.6
792604800,26.0
792691200,34.8
792777600,36.2
792864000,48.2
792950400,49.0
793036800,43.3
793123200,45.9
793209600,48.6
793296000,41.0
793382400,36.1
793468800,48.4
793555200,47.9
793641600,37.6
793728000,46.2
793814400,52.6
793900800,53.5
793987200,48.8
794073600,40.1
794160000,40.5
794246400,37.9
794332800,38.1
794419200,47.7
794505600,57.5
794592000,51.7
794678400,29.9
794764800,33.6
794851200,39.7
794937600,46.7
795024000,48.8
795110400,53.7
795196800,52.4
795283200,54.8
795369600,57.4
795456000,57.4
795542400,50.1
795628800,51.6
795715200,54.7
795801600,56.0
795888000,64.8
795974400,55.2
796060800,49.6
796147200,52.1
796233600,54.6
796320000,55.6
796406400,49.1
796492800,50.6
796579200,47.9
796665600,44.6
796752000,45.8
796838400,47.7
796924800,52.9
797011200,52.3
797097600,53.3
797184000,55.7
797270400,59.5
797356800,64.8
797443200,67.6
797529600,59.8
797616000,56.9
797702400,54.0
797788800,53.5
797875200,55.8
797961600,60.2
798048000,59.7
798134400,63.5
798220800,69.7
798307200,64.9
798393600,66.5
798480000,63.8
798566400,54.5
798652800,45.5
798739200,47.7
798825600,49.4
798912000,55.1
798998400,57.2
799084800,54.8
799171200,57.4
799257600,57.2
799344000,53.2
799430400,52.2
799516800,55.9
799603200,55.7
799689600,57.2
799776000,55.8
799862400,62.1
799948800,62.9
800035200,67.1
800121600,68.8
800208000,62.8
800294400,58.6
800380800,64.8
800467200,71.3
800553600,66.0
800640000,71.9
800726400,74.0
800812800,67.7
800899200,59.9
800985600,60.7
801072000,65.8
801158400,65.8
801244800,68.7
801331200,71.0
801417600,69.6
801504000,66.8
801590400,65.9
801676800,68.6
801763200,67.7
801849600,63.2
801936000,66.3
802022400,69.0
802108800,68.0
802195200,70.5
802281600,69.7
802368000,67.9
802454400,70.0
802540800,73.4
802627200,72.2
802713600,69.0
802800000,71.8
802886400,66.0
802972800,59.4
803059200,60.4
803145600,63.3
803232000,63.1
803318400,63.1
803404800,64.8
803491200,62.6
803577600,63.0
803664000,66.1
803750400,66.4
803836800,66.6
803923200,68.7
804009600,68.5
804096000,70.1
804182400,69.1
804268800,69.6
804355200,70.5
804441600,67.1
804528000,70.0
804614400,69.1
804700800,67.3
804787200,70.4
804873600,74.3
804960000,74.0
