timestamp,value
788889600,49.2
788976000,43.1
789062400,36.0
789148800,36.1
789235200,28.1
789321600,33.2
789408000,45.5
789494400,39.5
789580800,45.4
789667200,49.3
789753600,51.4
789840000,60.1
789926400,60.8
790012800,63.8
790099200,55.3
790185600,49.2
790272000,46.9
790358400,53.3
790444800,54.2
790531200,42.3
790617600,39.5
790704000,39.3
790790400,39.9
790876800,35.0
790963200,40.2
791049600,46.2
791136000,43.1
791222400,50.8
791308800,49.3
791395200,37.7
791481600,36.4
791568000,42.1
791654400,56.3
791740800,57.6
791827200,42.7
791913600,35.6
792000000,28.2
792086400,36.4
792172800,27.4
792259200,25.3
792345600,37.4
792432000,42.2
792518400,33.3
792604800,34.2
792691200,43.4
792777600,45.3
792864000,55.7
792950400,55.8
793036800,47.3
793123200,47.2
793209600,54.5
793296000,50.4
793382400,45.9
793468800,58.3
793555200,54.7
793641600,46.3
793728000,55.5
793814400,60.2
793900800,60.7
793987200,54.8
794073600,47.4
794160000,47.2
794246400,46.3
794332800,47.1
794419200,49.5
794505600,62.6
794592000,55.3
794678400,38.5
794764800,41.7
794851200,50.0
794937600,58.0
795024000,61.3
795110400,62.8
795196800,62.5
795283200,64.0
795369600,63.1
795456000,64.7
795542400,61.0
795628800,64.7
795715200,66.3
795801600,67.0
795888000,74.9
795974400,66.8
796060800,59.9
796147200,67.8
796233600,66.8
796320000,63.0
796406400,61.5
796492800,59.6
796579200,55.2
796665600,53.8
796752000,54.4
796838400,60.5
796924800,63.9
797011200,61.5
797097600,62.4
797184000,63.4
797270400,70.6
797356800,71.0
797443200,74.7
797529600,71.8
797616000,63.8
797702400,60.9
797788800,61.7
797875200,66.0
797961600,70.8
798048000,73.0
798134400,73.8
798220800,72.0
798307200,71.5
798393600,72.3
798480000,69.1
798566400,67.9
798652800,56.2
798739200,54.9
798825600,62.6
798912000,65.8
798998400,64.4
799084800,63.3
799171200,68.3
799257600,69.5
799344000,61.4
799430400,59.1
799516800,63.6
799603200,68.3
799689600,65.7
799776000,70.4
799862400,77.0
799948800,77.4
800035200,75.3
800121600,74.9
800208000,73.2
800294400,75.2
800380800,78.6
800467200,77.0
800553600,73.8
800640000,81.9
800726400,79.4
800812800,75.1
800899200,67.4
800985600,72.0
801072000,74.4
801158400,76.8
801244800,76.3
801331200,79.3
801417600,81.3
801504000,80.2
801590400,75.4
801676800,78.0
801763200,78.3
801849600,73.1
801936000,74.8
802022400,76.5
802108800,76.9
802195200,79.4
802281600,73.8
802368000,76.6
802454400,79.8
802540800,82.6
802627200,86.3
802713600,85.7
802800000,78.3
802886400,73.4
802972800,66.9
803059200,68.9
803145600,74.2
803232000,74.9
803318400,74.6
803404800,73.9
803491200,72.8
803577600,69.5
803664000,70.7
803750400,72.9
803836800,78.7
803923200,80.3
804009600,75.2
804096000,79.4
804182400,79.1
804268800,81.8
804355200,79.2
804441600,80.2
804528000,73.9
804614400,76.4
804700800,80.3
804787200,79.1
804873600,81.9
804960000,82.5
805046400,80.8
805132800,80.2
805219200,80.3
805305600,82.3
805392000,87.4
805478400,86.6
805564800,86.4
805651200,85.2
805737600,88.0
805824000,86.9
805910400,85.1
805996800,86.3
806083200,86.1
806169600,88.5
806256000,87.2
806342400,82.1
806428800,86.1
806515200,87.8
806601600,88.3
806688000,86.2
806774400,79.7
806860800,78.2
806947200,82.1
807033600,80.6
807120000,83.3
807206400,81.5
807292800,81.2
807379200,75.8
807465600,78.4
807552000,78.8
807638400,79.9
807724800,78.3
807811200,73.3
807897600,72.4
807984000,77.8
808070400,79.9
808156800,83.5
808243200,86.0
808329600,86.3
808416000,87.6
808502400,88.2
808588800,86.6
808675200,86.9
808761600,84.8
808848000,76.5
808934400,75.6
809020800,81.5
809107200,81.6
809193600,77.0
809280000,74.6
809366400,73.9
809452800,74.8
809539200,76.7
809625600,77.9
809712000,77.8
809798400,78.4
809884800,77.9
809971200,74.0
810057600,73.1
810144000,71.1
810230400,70.6
810316800,71.1
810403200,72.4
810489600,75.1
810576000,75.4
810662400,76.9
810748800,76.7
810835200,72.9
810921600,73.0
811008000,71.2
811094400,73.0
811180800,73.8
811267200,74.9
811353600,69.9
811440000,69.7
811526400,69.6
811612800,73.7
811699200,70.9
811785600,56.9
811872000,52.7
811958400,58.2
812044800,65.4
812131200,66.6
812217600,68.0
812304000,66.1
812390400,66.9
812476800,66.6
812563200,71.5
812649600,72.6
812736000,66.6
812822400,70.9
812908800,69.2
812995200,64.5
813081600,61.7
813168000,63.9
813254400,64.7
813340800,68.3
813427200,68.0
813513600,68.0
813600000,67.6
813686400,55.3
813772800,56.7
813859200,59.7
813945600,58.3
814032000,63.4
814118400,62.1
814204800,50.6
814291200,54.0
814377600,56.9
814464000,65.0
814550400,57.0
814636800,57.4
814723200,61.5
814809600,57.8
814896000,49.9
814982400,51.4
815068800,52.2
815155200,56.0
815241600,65.0
815328000,61.7
815414400,41.3
815500800,40.2
815587200,41.7
815673600,60.0
815760000,48.9
815846400,39.4
815932800,47.4
816019200,54.4
816105600,37.1
816192000,41.5
816278400,41.9
816364800,34.8
816451200,39.4
816537600,41.6
816624000,48.4
816710400,54.5
816796800,52.7
816883200,51.3
816969600,41.8
817056000,46.0
817142400,50.3
817228800,44.2
817315200,49.8
817401600,53.7
817488000,65.3
817574400,46.6
817660800,41.7
817747200,47.9
817833600,52.0
817920000,52.8
818006400,59.1
818092800,54.0
818179200,52.3
818265600,44.8
818352000,40.5
818438400,37.7
818524800,23.0
818611200,28.5
818697600,39.1
818784000,45.7
818870400,52.6
818956800,61.5
819043200,62.1
819129600,51.6
819216000,46.3
819302400,48.7
819388800,38.7
819475200,31.9
819561600,28.9
819648000,29.6
819734400,29.5
819820800,30.0
819907200,32.2
819993600,34.9
820080000,31.1
820166400,32.3
820252800,38.5
820339200,45.6
820425600,50.8
820512000,55.1
820598400,40.4
820684800,31.8
820771200,39.0
820857600,44.8
820944000,29.8
821030400,21.3
821116800,29.0
821203200,38.7
821289600,35.9
821376000,38.0
821462400,37.5
821548800,48.7
821635200,53.5
821721600,49.9
821808000,45.3
821894400,54.1
821980800,35.6
822067200,25.2
822153600,33.6
822240000,37.7
822326400,43.3
822412800,53.0
822499200,35.5
822585600,40.2
822672000,43.7
822758400,34.0
822844800,38.7
822931200,44.5
823017600,48.2
823104000,34.9
823190400,37.1
823276800,22.1
823363200,13.7
823449600,15.3
823536000,29.2
823622400,40.0
823708800,50.9
823795200,59.5
823881600,54.8
823968000,59.5
824054400,40.8
824140800,38.5
824227200,51.3
824313600,57.8
824400000,35.1
824486400,32.8
824572800,43.0
824659200,47.8
824745600,58.1
824832000,58.6
824918400,61.7
825004800,62.9
825091200,64.9
825177600,59.6
825264000,65.0
825350400,66.6
825436800,63.8
825523200,44.1
825609600,41.7
825696000,44.9
825782400,49.1
825868800,51.5
825955200,61.3
826041600,63.0
826128000,55.7
826214400,28.1
826300800,24.9
826387200,33.8
826473600,38.7
826560000,46.9
826646400,54.1
826732800,60.9
826819200,64.1
826905600,62.4
826992000,64.1
827078400,58.7
827164800,48.6
827251200,38.3
827337600,38.4
827424000,43.2
827510400,49.0
827596800,59.7
827683200,59.7
827769600,55.5
827856000,50.3
827942400,45.0
828028800,49.9
828115200,57.4
828201600,53.7
828288000,50.4
828374400,51.4
828460800,60.2
828547200,64.2
828633600,59.3
828720000,46.5
828806400,45.6
828892800,54.3
828979200,51.8
829065600,48.1
829152000,56.4
829238400,63.4
829324800,64.3
829411200,68.8
829497600,68.6
829584000,55.5
829670400,63.0
829756800,65.3
829843200,66.5
829929600,70.2
830016000,69.8
830102400,73.6
830188800,69.1
830275200,58.4
830361600,64.9
830448000,70.8
830534400,64.3
830620800,67.5
830707200,74.1
830793600,58.6
830880000,57.6
830966400,66.5
831052800,71.7
831139200,74.3
831225600,77.6
831312000,78.6
831398400,74.1
831484800,75.1
831571200,77.8
831657600,77.0
831744000,74.1
831830400,64.7
831916800,63.2
832003200,64.0
832089600,67.1
832176000,71.1
832262400,77.8
832348800,80.1
832435200,81.7
832521600,81.4
832608000,81.5
832694400,80.6
832780800,79.0
832867200,83.8
832953600,78.1
833040000,81.7
833126400,78.2
833212800,72.2
833299200,74.1
833385600,72.4
833472000,68.2
833558400,68.8
833644800,71.2
833731200,74.2
833817600,73.4
833904000,74.2
833990400,77.9
834076800,78.5
834163200,71.8
834249600,73.5
834336000,71.9
834422400,72.2
834508800,76.0
834595200,78.1
834681600,79.6
834768000,79.7
834854400,80.3
834940800,78.8
835027200,79.9
835113600,81.9
835200000,81.2
835286400,83.6
835372800,84.9
835459200,86.7
835545600,85.0
835632000,82.6
835718400,81.0
835804800,81.1
835891200,80.3
835977600,81.3
836064000,83.2
836150400,89.3
836236800,87.1
836323200,86.4
836409600,78.1
836496000,77.6
836582400,78.7
836668800,81.5
836755200,80.7
836841600,81.0
836928000,80.4
837014400,80.4
837100800,80.0
837187200,81.0
837273600,81.2
837360000,78.4
837446400,78.1
837532800,82.9
837619200,81.6
837705600,86.1
837792000,84.9
837878400,80.6
837964800,82.1
838051200,83.4
838137600,81.5
838224000,76.9
838310400,75.0
838396800,74.5
838483200,74.0
838569600,76.3
838656000,81.7
838742400,79.8
838828800,77.3
838915200,77.5
839001600,78.3
839088000,79.1
839174400,79.2
839260800,77.4
839347200,82.1
839433600,77.9
839520000,81.2
839606400,77.9
839692800,79.0
839779200,76.6
839865600,75.4
839952000,74.7
840038400,78.1
840124800,79.4
840211200,80.2
840297600,81.0
840384000,78.5
840470400,78.5
840556800,80.1
840643200,80.5
840729600,79.1
840816000,78.0
840902400,74.9
840988800,77.8
841075200,75.3
841161600,75.2
841248000,77.4
841334400,77.4
841420800,74.4
841507200,72.9
841593600,70.8
841680000,75.5
841766400,75.2
841852800,76.8
841939200,79.2
842025600,80.1
