timestamp,value
788889600,47.7
788976000,40.0
789062400,26.1
789148800,31.2
789235200,19.2
789321600,25.1
789408000,45.5
789494400,34.8
789580800,31.4
789667200,28.1
789753600,35.1
789840000,46.4
789926400,53.0
790012800,57.7
790099200,59.4
790185600,55.7
790272000,48.3
790358400,45.3
790444800,42.4
790531200,50.2
790617600,40.6
790704000,33.9
790790400,30.6
790876800,29.5
790963200,36.8
791049600,31.2
791136000,29.7
791222400,29.2
791308800,26.7
791395200,29.2
791481600,30.3
791568000,37.8
791654400,38.6
791740800,23.9
791827200,32.2
791913600,24.5
792000000,13.6
792086400,19.6
792172800,18.4
792259200,21.4
792345600,30.9
792432000,38.1
792518400,24.2
792604800,17.4
792691200,23.4
792777600,24.3
792864000,38.7
792950400,37.4
793036800,32.1
793123200,34.3
793209600,39.5
793296000,38.4
793382400,35.5
793468800,40.1
793555200,43.6
793641600,31.0
793728000,30.6
793814400,38.5
793900800,46.3
793987200,41.1
794073600,35.0
794160000,32.8
794246400,37.7
794332800,40.7
794419200,43.6
794505600,45.1
794592000,54.6
794678400,36.1
794764800,28.4
794851200,29.9
794937600,40.4
795024000,46.9
795110400,48.3
795196800,48.5
795283200,48.5
795369600,52.9
795456000,47.4
795542400,41.7
795628800,42.7
795715200,52.7
795801600,46.6
795888000,43.6
795974400,44.6
796060800,39.2
796147200,48.5
796233600,43.4
796320000,41.8
796406400,41.5
796492800,46.4
796579200,45.8
796665600,40.1
796752000,39.4
796838400,38.5
796924800,53.5
797011200,34.3
797097600,35.8
797184000,51.8
797270400,43.9
797356800,54.9
797443200,46.4
797529600,45.7
797616000,54.4
797702400,56.4
797788800,47.3
797875200,46.2
797961600,47.3
798048000,46.2
798134400,51.0
798220800,59.8
798307200,61.1
798393600,55.4
798480000,62.6
798566400,54.2
798652800,48.0
798739200,50.9
798825600,53.0
798912000,56.1
798998400,62.2
799084800,56.1
799171200,49.8
799257600,49.8
799344000,45.9
799430400,53.1
799516800,56.6
799603200,57.1
799689600,57.9
799776000,54.1
799862400,55.9
799948800,52.2
800035200,54.3
800121600,56.8
800208000,58.4
800294400,59.8
800380800,53.7
800467200,60.0
800553600,59.2
800640000,62.0
800726400,69.0
800812800,63.5
800899200,60.2
800985600,66.7
801072000,69.1
801158400,60.7
801244800,68.9
801331200,68.9
801417600,59.0
801504000,59.5
801590400,56.9
801676800,66.8
801763200,67.9
801849600,66.5
801936000,66.6
802022400,68.8
802108800,72.6
802195200,70.3
802281600,64.5
802368000,64.2
802454400,72.6
802540800,77.7
802627200,67.6
802713600,64.4
802800000,69.2
802886400,70.6
802972800,59.9
803059200,62.3
803145600,64.5
803232000,64.7
803318400,66.0
803404800,70.2
803491200,73.8
803577600,77.4
803664000,72.0
803750400,67.3
803836800,66.1
803923200,68.1
804009600,72.1
804096000,72.9
804182400,65.8
804268800,62.4
804355200,61.2
804441600,67.1
804528000,72.5
804614400,71.5
804700800,67.5
804787200,69.1
804873600,75.1
804960000,74.3
805046400,74.4
805132800,76.4
805219200,66.8
805305600,65.6
805392000,73.0
805478400,74.4
805564800,77.9
805651200,80.6
805737600,86.8
805824000,80.0
805910400,76.8
805996800,78.8
806083200,79.0
806169600,74.9
806256000,78.3
806342400,76.3
806428800,78.5
806515200,79.9
806601600,82.3
806688000,82.5
806774400,82.9
806860800,81.2
806947200,84.4
807033600,82.7
807120000,77.0
807206400,78.6
807292800,82.5
807379200,81.2
807465600,83.6
807552000,82.2
807638400,73.1
807724800,68.4
807811200,64.9
807897600,66.5
807984000,71.0
808070400,73.7
808156800,76.8
808243200,78.4
808329600,75.8
808416000,74.6
808502400,76.9
808588800,78.6
808675200,77.7
808761600,70.9
808848000,64.5
808934400,69.5
809020800,81.0
809107200,70.5
809193600,73.4
809280000,71.6
809366400,65.3
809452800,73.3
809539200,71.7
809625600,66.8
809712000,65.2
809798400,66.6
809884800,78.0
809971200,72.5
810057600,67.4
810144000,67.8
810230400,69.8
810316800,73.0
810403200,74.3
810489600,73.1
810576000,72.6
810662400,68.5
810748800,59.0
810835200,60.6
810921600,73.6
811008000,78.1
811094400,67.4
811180800,64.0
811267200,65.9
811353600,64.3
811440000,62.8
811526400,62.2
811612800,66.6
811699200,71.1
811785600,56.7
811872000,55.8
811958400,61.9
812044800,62.9
812131200,63.0
