timestamp,value
788889600,63.6
788976000,63.8
789062400,59.2
789148800,61.2
789235200,64.0
789321600,62.1
789408000,66.1
789494400,68.8
789580800,68.0
789667200,65.1
789753600,63.1
789840000,65.4
789926400,66.8
790012800,68.5
790099200,68.9
790185600,70.9
790272000,70.7
790358400,71.1
790444800,69.0
790531200,67.2
790617600,67.8
790704000,68.9
790790400,69.1
790876800,66.4
790963200,69.2
791049600,71.8
791136000,67.6
791222400,68.8
791308800,66.6
791395200,68.5
791481600,69.3
791568000,69.9
791654400,66.0
791740800,66.3
791827200,67.0
791913600,69.7
792000000,68.7
792086400,70.5
792172800,66.5
792259200,66.1
792345600,68.5
792432000,69.6
792518400,67.5
792604800,68.4
792691200,68.6
792777600,70.2
792864000,67.9
792950400,69.8
793036800,68.7
793123200,66.9
793209600,69.1
793296000,70.7
793382400,71.2
793468800,68.0
793555200,65.0
793641600,65.7
793728000,67.8
793814400,68.4
793900800,66.2
793987200,65.3
794073600,68.2
794160000,65.6
794246400,65.3
794332800,64.2
794419200,65.8
794505600,63.7
794592000,65.2
794678400,66.7
794764800,71.3
794851200,68.7
794937600,68.7
795024000,66.5
795110400,63.0
795196800,63.6
795283200,59.0
795369600,60.0
795456000,60.0
795542400,64.9
795628800,65.4
795715200,65.7
795801600,65.9
795888000,66.0
795974400,65.2
796060800,66.6
796147200,66.4
796233600,67.1
796320000,69.1
796406400,65.9
796492800,69.0
796579200,68.5
796665600,68.1
796752000,67.2
796838400,68.4
796924800,68.7
797011200,67.0
797097600,68.2
797184000,65.4
797270400,66.6
797356800,63.0
797443200,65.7
797529600,67.3
797616000,64.5
797702400,63.4
797788800,62.4
797875200,62.6
797961600,62.2
798048000,61.4
798134400,60.0
798220800,65.3
798307200,67.1
798393600,67.5
798480000,66.4
798566400,66.0
798652800,65.6
798739200,66.1
798825600,60.8
798912000,62.5
798998400,58.8
799084800,53.1
799171200,54.6
799257600,61.0
799344000,63.0
799430400,62.2
799516800,64.5
799603200,64.4
799689600,60.5
799776000,56.4
799862400,53.8
799948800,54.6
800035200,47.4
800121600,54.2
800208000,56.6
800294400,55.4
800380800,57.3
800467200,62.1
800553600,58.4
800640000,59.2
800726400,58.5
800812800,58.5
800899200,55.5
800985600,56.4
801072000,59.0
801158400,53.8
801244800,51.3
801331200,51.4
801417600,60.1
801504000,62.3
801590400,55.2
801676800,55.5
801763200,57.7
801849600,56.5
801936000,54.7
802022400,49.1
802108800,48.1
802195200,46.9
802281600,49.5
802368000,55.5
802454400,54.7
802540800,54.5
802627200,58.6
802713600,54.0
802800000,56.7
802886400,57.4
802972800,58.0
803059200,56.8
803145600,56.1
803232000,53.4
803318400,52.2
803404800,50.6
803491200,50.9
803577600,53.1
803664000,52.7
803750400,52.0
803836800,46.2
803923200,51.2
804009600,54.0
804096000,56.6
804182400,56.8
804268800,58.4
804355200,54.6
804441600,51.1
804528000,48.8
804614400,51.0
804700800,53.7
804787200,53.6
804873600,52.1
804960000,52.2
805046400,51.2
805132800,53.5
805219200,51.6
805305600,52.3
805392000,52.5
805478400,54.5
805564800,54.0
805651200,53.5
805737600,49.5
805824000,48.0
805910400,45.7
805996800,48.0
806083200,52.6
806169600,52.2
806256000,50.2
806342400,52.4
806428800,49.8
806515200,50.5
806601600,48.5
806688000,51.0
806774400,49.2
806860800,52.5
806947200,46.3
807033600,51.7
807120000,51.5
807206400,49.6
807292800,53.1
807379200,51.9
807465600,53.2
807552000,51.3
807638400,50.6
807724800,52.0
807811200,56.9
807897600,51.6
807984000,50.7
808070400,47.7
808156800,47.9
808243200,51.5
808329600,49.0
808416000,48.8
808502400,51.5
808588800,53.7
808675200,54.3
808761600,54.0
808848000,52.2
808934400,56.7
809020800,51.0
809107200,53.9
809193600,54.5
809280000,49.0
809366400,47.3
809452800,51.2
809539200,51.7
809625600,52.5
809712000,53.7
809798400,58.3
809884800,57.6
809971200,53.0
810057600,49.1
810144000,55.5
810230400,59.2
810316800,57.0
810403200,54.5
810489600,54.5
810576000,45.8
810662400,48.7
810748800,48.8
810835200,49.6
810921600,50.0
811008000,51.6
811094400,53.8
811180800,53.2
811267200,53.6
811353600,56.4
811440000,54.0
811526400,52.4
811612800,56.6
811699200,58.7
811785600,55.5
811872000,57.0
811958400,60.4
812044800,61.4
812131200,61.1
812217600,61.0
812304000,62.7
812390400,61.1
812476800,58.6
812563200,57.8
812649600,58.1
812736000,59.9
812822400,56.3
812908800,57.0
812995200,55.9
813081600,59.2
813168000,55.4
813254400,53.7
813340800,55.3
813427200,56.6
813513600,53.3
813600000,57.7
813686400,54.9
