timestamp,value
788889600,48.1
788976000,39.0
789062400,40.8
789148800,39.5
789235200,34.6
789321600,48.4
789408000,50.0
789494400,52.7
789580800,58.6
789667200,66.2
789753600,69.2
789840000,69.1
789926400,57.7
790012800,55.6
790099200,54.3
790185600,57.4
790272000,64.2
790358400,55.5
790444800,50.5
790531200,53.9
790617600,55.1
790704000,59.2
790790400,44.5
790876800,45.3
790963200,51.7
791049600,60.5
791136000,63.4
791222400,61.2
791308800,48.8
791395200,45.3
791481600,48.8
791568000,55.0
791654400,61.4
791740800,62.8
791827200,56.7
791913600,57.6
792000000,52.5
792086400,55.9
792172800,45.0
792259200,51.1
792345600,58.9
792432000,56.5
792518400,37.8
792604800,40.1
792691200,40.8
792777600,59.1
792864000,56.4
792950400,49.6
793036800,52.8
793123200,61.1
793209600,63.4
793296000,65.7
793382400,58.9
793468800,65.6
793555200,63.3
793641600,55.7
793728000,61.9
793814400,67.1
793900800,60.2
793987200,42.2
794073600,38.2
794160000,38.0
794246400,43.8
794332800,59.9
794419200,61.4
794505600,56.4
794592000,41.8
794678400,47.3
794764800,50.3
794851200,57.9
794937600,66.3
795024000,65.9
795110400,62.7
795196800,60.7
795283200,61.1
795369600,63.5
795456000,66.3
795542400,68.0
795628800,69.1
795715200,70.9
795801600,74.0
795888000,76.9
795974400,73.1
796060800,71.2
796147200,72.5
796233600,63.9
796320000,59.8
796406400,51.8
796492800,56.8
796579200,57.9
796665600,61.2
796752000,60.5
796838400,63.3
796924800,63.7
797011200,61.5
797097600,61.8
797184000,66.0
797270400,70.9
797356800,72.1
797443200,73.6
797529600,59.8
797616000,62.2
797702400,69.1
797788800,68.0
797875200,72.2
797961600,73.7
798048000,75.2
798134400,68.9
798220800,72.7
798307200,69.8
798393600,67.4
798480000,74.1
798566400,56.9
798652800,57.4
798739200,60.9
798825600,65.6
798912000,67.2
798998400,67.7
799084800,74.3
799171200,75.0
799257600,74.6
799344000,64.0
799430400,68.6
799516800,76.7
799603200,75.6
799689600,77.0
799776000,77.0
799862400,72.1
799948800,74.1
800035200,78.1
800121600,70.9
800208000,72.6
800294400,80.8
800380800,82.6
800467200,82.4
800553600,79.8
800640000,79.4
800726400,76.3
800812800,69.8
800899200,70.7
800985600,72.3
801072000,73.5
801158400,76.6
801244800,77.5
801331200,77.0
801417600,76.5
801504000,76.8
801590400,80.4
801676800,76.8
801763200,71.6
801849600,72.3
801936000,76.4
802022400,80.1
802108800,80.7
802195200,79.3
802281600,79.0
802368000,81.1
802454400,82.5
802540800,83.3
802627200,84.0
802713600,83.4
802800000,75.6
802886400,73.5
802972800,72.8
803059200,73.7
803145600,74.1
803232000,75.7
803318400,77.0
803404800,77.3
803491200,78.2
803577600,78.9
803664000,80.5
803750400,80.9
803836800,80.2
803923200,81.8
804009600,84.1
804096000,82.4
804182400,81.6
804268800,83.1
804355200,75.2
804441600,77.1
804528000,80.2
804614400,80.3
804700800,82.1
804787200,81.7
804873600,81.3
804960000,80.1
805046400,81.7
805132800,84.3
805219200,83.9
805305600,84.4
805392000,84.8
805478400,86.4
805564800,84.9
805651200,83.3
805737600,81.8
805824000,83.5
805910400,84.3
805996800,85.8
806083200,86.6
806169600,86.5
806256000,85.5
806342400,86.7
806428800,86.4
806515200,85.2
806601600,85.7
806688000,87.4
806774400,87.4
806860800,86.2
806947200,85.3
807033600,80.5
807120000,79.6
807206400,80.2
807292800,77.4
807379200,81.5
807465600,84.1
807552000,85.6
807638400,83.7
807724800,82.7
807811200,82.3
807897600,81.9
807984000,83.1
808070400,83.8
808156800,81.0
808243200,80.8
808329600,81.0
808416000,81.1
808502400,82.3
808588800,82.8
808675200,83.0
808761600,83.7
808848000,86.3
808934400,86.0
809020800,87.2
809107200,84.2
809193600,82.8
809280000,84.9
809366400,85.4
809452800,84.6
809539200,81.5
809625600,82.8
809712000,76.7
809798400,79.0
809884800,79.1
809971200,86.5
810057600,86.9
810144000,85.0
810230400,82.8
810316800,82.3
810403200,82.8
810489600,80.4
810576000,78.9
810662400,77.6
810748800,78.3
810835200,79.4
810921600,80.2
811008000,79.8
811094400,78.3
811180800,81.6
811267200,83.9
811353600,76.3
811440000,84.1
811526400,75.8
811612800,72.7
811699200,56.2
811785600,61.5
811872000,68.4
811958400,73.0
812044800,73.8
812131200,75.9
812217600,79.6
812304000,77.4
812390400,77.8
812476800,80.6
812563200,78.7
812649600,70.0
812736000,71.0
812822400,72.9
812908800,69.6
812995200,66.9
813081600,66.5
813168000,70.7
813254400,70.6
813340800,75.2
813427200,75.5
813513600,76.0
813600000,71.5
813686400,67.1
813772800,68.1
813859200,69.2
813945600,70.1
814032000,73.7
814118400,71.2
814204800,62.9
814291200,68.9
814377600,72.5
814464000,64.4
814550400,68.2
814636800,74.7
814723200,78.8
814809600,69.7
814896000,63.9
814982400,58.8
815068800,63.6
815155200,69.1
815241600,70.1
815328000,50.2
815414400,46.9
815500800,46.8
815587200,52.7
815673600,75.2
815760000,62.2
815846400,58.3
815932800,72.7
816019200,57.9
816105600,49.2
816192000,60.7
816278400,61.0
816364800,58.4
816451200,61.4
816537600,57.3
816624000,58.9
816710400,63.8
816796800,62.6
816883200,62.4
816969600,63.4
817056000,63.0
817142400,57.2
817228800,54.4
817315200,62.0
817401600,66.3
817488000,50.9
817574400,43.1
817660800,51.4
817747200,57.9
817833600,69.8
817920000,71.8
818006400,64.1
818092800,66.7
818179200,61.6
818265600,57.3
818352000,52.7
818438400,42.0
818524800,34.0
818611200,47.8
818697600,61.3
818784000,68.2
818870400,70.5
818956800,71.7
819043200,62.2
819129600,62.2
819216000,58.2
819302400,47.2
819388800,40.3
819475200,38.6
819561600,44.0
819648000,41.7
819734400,39.0
819820800,49.8
819907200,47.6
819993600,50.3
820080000,47.1
820166400,41.6
820252800,50.5
820339200,58.9
820425600,56.2
820512000,42.2
820598400,39.1
820684800,46.2
820771200,49.8
820857600,38.3
820944000,31.2
821030400,34.1
821116800,46.9
821203200,51.5
821289600,58.9
821376000,54.8
821462400,58.4
821548800,60.3
821635200,60.0
821721600,58.6
821808000,67.2
821894400,49.3
821980800,34.5
822067200,42.1
822153600,54.5
822240000,58.4
822326400,69.8
822412800,49.6
822499200,48.8
822585600,61.5
822672000,42.4
822758400,43.8
822844800,58.5
822931200,63.6
823017600,34.3
823104000,26.8
823190400,28.6
823276800,27.9
823363200,26.7
823449600,33.9
823536000,53.5
823622400,60.1
823708800,65.1
823795200,62.8
823881600,68.1
823968000,61.9
824054400,53.7
824140800,54.3
824227200,63.7
824313600,65.3
824400000,49.6
824486400,47.5
824572800,59.3
824659200,68.5
824745600,69.8
824832000,74.0
824918400,76.6
825004800,74.6
825091200,65.9
825177600,70.3
825264000,70.9
825350400,72.7
825436800,53.3
825523200,38.9
825609600,40.5
825696000,46.1
825782400,54.0
825868800,60.0
825955200,69.3
826041600,70.2
826128000,40.9
826214400,37.3
826300800,36.7
826387200,43.0
826473600,47.7
826560000,55.4
826646400,64.5
826732800,69.8
826819200,68.2
826905600,65.8
826992000,63.3
827078400,61.9
827164800,56.1
827251200,53.4
827337600,53.8
827424000,62.7
827510400,65.1
827596800,68.4
827683200,56.7
827769600,43.6
827856000,43.0
827942400,46.9
828028800,56.1
828115200,69.7
828201600,63.4
828288000,60.6
828374400,61.0
828460800,64.1
828547200,69.5
828633600,52.7
828720000,51.4
828806400,51.4
828892800,51.4
828979200,51.4
829065600,51.4
829152000,51.4
829238400,70.3
829324800,70.3
829411200,74.7
829497600,74.7
829584000,74.7
829670400,67.2
829756800,67.2
829843200,83.5
829929600,77.9
830016000,77.9
830102400,71.6
830188800,59.7
830275200,59.7
830361600,68.1
830448000,68.1
830534400,74.5
830620800,75.6
830707200,68.7
830793600,68.7
830880000,75.6
830966400,73.7
831052800,72.1
831139200,71.8
831225600,76.6
831312000,75.3
831398400,73.6
831484800,74.4
831571200,73.8
831657600,75.5
831744000,77.5
831830400,72.7
831916800,76.6
832003200,74.3
832089600,77.8
832176000,82.1
832262400,79.2
832348800,77.9
832435200,77.9
832521600,83.4
832608000,83.4
832694400,78.7
832780800,79.1
832867200,80.8
832953600,79.0
833040000,81.1
833126400,77.8
833212800,86.1
833299200,86.0
833385600,82.8
833472000,81.8
833558400,80.7
833644800,77.5
833731200,77.5
833817600,75.7
833904000,74.3
833990400,78.4
834076800,73.6
834163200,80.4
834249600,80.4
834336000,80.4
834422400,76.0
834508800,77.4
834595200,79.1
834681600,85.3
834768000,81.4
834854400,85.0
834940800,85.0
835027200,93.2
835113600,88.5
835200000,84.4
835286400,81.8
835372800,78.3
835459200,77.0
835545600,82.2
835632000,79.2
835718400,78.0
835804800,81.6
835891200,83.1
835977600,81.6
836064000,83.3
836150400,87.5
836236800,84.6
836323200,87.1
836409600,87.1
836496000,85.7
836582400,86.0
836668800,87.2
836755200,87.5
836841600,86.5
836928000,85.5
837014400,82.5
837100800,85.3
837187200,86.5
837273600,86.9
837360000,84.3
837446400,84.6
837532800,85.7
837619200,86.1
837705600,86.7
837792000,86.8
837878400,86.5
837964800,87.2
838051200,88.1
838137600,88.0
838224000,84.0
838310400,81.8
838396800,82.5
838483200,85.5
838569600,85.1
838656000,86.2
838742400,86.7
838828800,87.6
838915200,88.0
839001600,87.7
839088000,87.1
839174400,87.4
839260800,87.0
839347200,86.8
839433600,84.2
839520000,84.1
839606400,86.2
839692800,81.2
839779200,83.1
839865600,85.2
839952000,82.5
840038400,81.3
840124800,83.4
840211200,85.1
840297600,83.7
840384000,79.1
840470400,79.5
840556800,84.5
840643200,77.9
840729600,76.4
840816000,74.7
840902400,75.2
840988800,74.1
841075200,76.8
841161600,79.4
841248000,78.0
841334400,74.0
841420800,76.5
841507200,75.5
841593600,78.9
841680000,81.6
841766400,77.3
841852800,80.5
841939200,79.9
842025600,79.1
842112000,79.0
842198400,80.3
842284800,80.1
842371200,80.6
842457600,79.7
842544000,79.2
842630400,76.2
842716800,79.4
842803200,81.6
842889600,80.2
842976000,80.4
843062400,76.7
843148800,77.5
843235200,75.6
843321600,75.6
843408000,79.0
843494400,79.9
843580800,75.1
843667200,78.0
843753600,65.6
843840000,61.1
843926400,65.3
844012800,66.4
844099200,66.3
844185600,72.2
844272000,73.0
844358400,69.7
844444800,68.5
844531200,71.3
844617600,72.1
844704000,70.7
844790400,67.4
844876800,72.6
844963200,69.4
845049600,68.8
845136000,68.8
845222400,68.7
845308800,72.3
845395200,74.5
845481600,76.8
845568000,65.5
845654400,61.1
845740800,72.4
845827200,78.3
845913600,59.4
846000000,56.6
846086400,57.2
