timestamp,value
788889600,42.3
788976000,39.8
789062400,28.0
789148800,32.3
789235200,20.6
789321600,24.4
789408000,37.5
789494400,36.7
789580800,36.3
789667200,32.5
789753600,34.2
789840000,45.1
789926400,53.3
790012800,59.6
790099200,61.5
790185600,54.2
790272000,46.1
790358400,46.4
790444800,43.2
790531200,47.3
790617600,42.4
790704000,34.9
790790400,32.3
790876800,33.7
790963200,36.6
791049600,32.1
791136000,30.9
791222400,34.4
791308800,29.5
791395200,34.5
791481600,36.0
791568000,40.3
791654400,43.7
791740800,29.8
791827200,31.4
791913600,23.6
792000000,13.5
792086400,19.6
792172800,23.5
792259200,21.8
792345600,31.2
792432000,38.2
792518400,25.1
792604800,21.5
792691200,27.2
792777600,29.7
792864000,38.8
792950400,40.5
793036800,37.3
793123200,38.4
793209600,45.0
793296000,43.8
793382400,36.6
793468800,40.0
793555200,44.1
793641600,34.5
793728000,36.0
793814400,32.6
793900800,41.7
793987200,44.2
794073600,37.2
794160000,34.8
794246400,38.0
794332800,41.5
794419200,44.9
794505600,47.5
794592000,55.3
794678400,33.1
794764800,30.0
794851200,38.7
794937600,46.5
795024000,52.4
795110400,56.9
795196800,56.5
795283200,60.7
795369600,61.9
795456000,51.2
795542400,50.3
795628800,50.2
795715200,57.0
795801600,52.6
795888000,44.8
795974400,48.1
796060800,45.8
796147200,53.0
796233600,55.8
796320000,47.5
796406400,45.8
796492800,51.3
796579200,47.8
796665600,44.0
796752000,45.4
796838400,46.3
796924800,59.0
797011200,37.9
797097600,42.6
797184000,55.5
797270400,54.8
797356800,62.9
797443200,50.2
797529600,49.1
797616000,56.6
797702400,55.5
797788800,48.6
797875200,47.8
797961600,53.3
798048000,55.8
798134400,58.1
798220800,69.5
798307200,69.3
798393600,64.9
798480000,69.5
798566400,54.3
798652800,49.4
798739200,54.9
798825600,55.9
798912000,63.2
798998400,61.5
799084800,57.8
799171200,53.2
799257600,52.5
799344000,50.3
799430400,56.1
799516800,57.7
799603200,60.4
799689600,61.2
799776000,59.4
799862400,60.3
799948800,58.8
800035200,57.5
800121600,61.8
800208000,66.0
800294400,65.8
800380800,57.7
800467200,65.1
800553600,66.4
800640000,67.2
800726400,72.2
800812800,68.0
800899200,65.5
800985600,69.5
801072000,67.6
801158400,67.6
801244800,73.1
801331200,77.2
801417600,69.5
801504000,67.8
801590400,62.9
801676800,70.2
801763200,70.3
801849600,69.8
801936000,70.7
802022400,75.4
802108800,73.7
802195200,71.9
802281600,73.5
802368000,69.3
802454400,78.1
802540800,82.0
802627200,75.0
802713600,72.9
802800000,77.8
802886400,69.0
802972800,65.6
803059200,72.1
803145600,73.6
803232000,71.8
803318400,72.4
803404800,75.9
803491200,77.7
803577600,80.6
803664000,82.5
803750400,75.2
803836800,70.3
803923200,71.6
804009600,77.9
804096000,78.1
804182400,72.6
804268800,66.1
804355200,69.4
804441600,75.5
804528000,75.4
804614400,75.4
804700800,74.5
804787200,74.6
804873600,78.0
804960000,79.5
805046400,75.6
805132800,76.5
805219200,70.0
805305600,74.5
805392000,77.8
805478400,79.8
805564800,82.4
805651200,85.5
805737600,90.1
805824000,86.0
805910400,84.1
805996800,83.0
806083200,81.1
806169600,81.2
806256000,83.5
806342400,81.6
806428800,81.6
806515200,84.0
806601600,82.2
806688000,84.3
806774400,85.6
806860800,81.6
806947200,86.5
807033600,85.5
807120000,83.0
807206400,82.9
807292800,86.0
807379200,86.7
807465600,87.1
807552000,83.7
807638400,75.8
807724800,72.5
807811200,71.1
807897600,72.4
807984000,78.4
808070400,79.7
808156800,81.3
808243200,86.0
808329600,83.8
808416000,82.7
808502400,82.7
808588800,85.2
808675200,86.6
808761600,80.1
808848000,75.0
808934400,77.5
809020800,81.7
809107200,76.7
809193600,77.1
809280000,78.8
809366400,73.3
809452800,77.8
809539200,76.8
809625600,76.0
809712000,80.0
809798400,77.0
809884800,82.3
809971200,76.3
810057600,73.0
810144000,73.5
810230400,75.1
810316800,78.1
810403200,76.5
810489600,76.8
810576000,77.3
810662400,73.6
810748800,65.3
810835200,68.8
810921600,76.6
811008000,79.7
811094400,73.9
811180800,68.4
811267200,66.2
811353600,68.4
811440000,65.4
811526400,69.8
811612800,72.8
811699200,71.7
811785600,57.4
811872000,55.1
811958400,60.3
812044800,62.7
812131200,63.2
812217600,66.1
812304000,64.3
812390400,61.3
812476800,61.3
812563200,66.4
812649600,70.1
812736000,71.7
812822400,70.6
812908800,77.4
812995200,73.8
813081600,64.4
813168000,59.1
813254400,61.0
813340800,64.5
813427200,66.6
813513600,66.1
813600000,68.9
813686400,58.8
813772800,52.7
