timestamp,value
788889600,50.8
788976000,44.5
789062400,41.0
789148800,39.2
789235200,39.8
789321600,45.2
789408000,44.8
789494400,42.4
789580800,50.2
789667200,51.1
789753600,55.8
789840000,50.8
789926400,47.7
790012800,42.3
790099200,42.8
790185600,46.0
790272000,54.9
790358400,54.4
790444800,50.1
790531200,49.7
790617600,48.4
790704000,55.5
790790400,59.7
790876800,56.2
790963200,57.9
791049600,58.7
791136000,52.6
791222400,54.9
791308800,54.0
791395200,58.6
791481600,52.3
791568000,50.2
791654400,51.3
791740800,50.5
791827200,49.7
791913600,53.3
792000000,52.2
792086400,50.1
792172800,56.3
792259200,55.5
792345600,51.9
792432000,53.9
792518400,54.6
792604800,53.5
792691200,59.2
792777600,56.6
792864000,57.4
792950400,56.7
793036800,56.5
793123200,52.2
793209600,51.9
793296000,52.8
793382400,50.8
793468800,49.3
793555200,60.8
793641600,65.3
793728000,55.4
793814400,47.6
793900800,49.3
793987200,50.7
794073600,51.7
794160000,55.2
794246400,49.7
794332800,50.7
794419200,55.5
794505600,50.4
794592000,52.5
794678400,49.2
794764800,51.7
794851200,55.9
794937600,56.3
795024000,56.2
795110400,53.4
795196800,52.0
795283200,53.8
795369600,54.6
795456000,53.1
795542400,52.4
795628800,56.3
795715200,54.6
795801600,50.5
795888000,52.0
795974400,53.2
796060800,52.9
796147200,53.6
796233600,55.7
796320000,55.1
796406400,57.5
796492800,52.2
796579200,51.1
796665600,54.5
796752000,58.4
796838400,56.6
796924800,55.3
797011200,53.2
797097600,54.9
797184000,59.7
797270400,62.1
797356800,58.0
797443200,55.5
797529600,55.8
797616000,57.4
797702400,57.9
797788800,56.9
797875200,56.4
797961600,57.2
798048000,57.3
798134400,58.7
798220800,58.8
798307200,54.8
798393600,53.8
798480000,54.8
798566400,55.1
798652800,53.2
798739200,56.1
798825600,57.4
798912000,57.8
798998400,59.5
799084800,59.7
799171200,60.7
799257600,60.7
799344000,61.7
799430400,62.8
799516800,63.6
799603200,63.5
799689600,64.0
799776000,63.8
799862400,65.2
799948800,70.2
800035200,68.5
800121600,64.5
800208000,62.6
800294400,61.3
800380800,56.5
800467200,59.1
800553600,63.5
800640000,63.6
800726400,64.3
800812800,61.5
800899200,63.0
800985600,62.4
801072000,62.1
801158400,60.9
801244800,62.4
801331200,64.0
801417600,66.2
801504000,66.5
801590400,66.2
801676800,66.4
801763200,64.1
801849600,63.7
801936000,65.2
802022400,64.2
802108800,67.0
802195200,66.5
802281600,66.1
802368000,66.5
802454400,67.9
802540800,69.5
802627200,65.0
802713600,64.9
802800000,61.5
