timestamp,value
788889600,28.0
788976000,29.0
789062400,29.9
789148800,34.5
789235200,36.6
789321600,39.5
789408000,35.9
789494400,35.8
789580800,29.3
789667200,28.4
789753600,28.0
789840000,28.7
789926400,27.0
790012800,26.6
790099200,27.3
790185600,30.1
790272000,30.3
790358400,26.7
790444800,25.9
790531200,27.1
790617600,33.4
790704000,33.0
790790400,26.0
790876800,29.6
790963200,26.2
791049600,28.4
791136000,31.9
791222400,32.2
791308800,32.5
791395200,29.5
791481600,25.8
791568000,26.7
791654400,26.8
791740800,24.3
791827200,27.5
791913600,34.4
792000000,38.7
792086400,39.9
792172800,37.9
792259200,36.6
792345600,33.3
792432000,40.7
792518400,35.7
792604800,35.2
792691200,38.8
792777600,35.5
792864000,36.1
792950400,37.5
793036800,40.1
793123200,35.6
793209600,34.7
793296000,33.8
793382400,38.1
793468800,40.9
793555200,43.0
793641600,37.9
793728000,40.0
793814400,33.1
793900800,35.2
793987200,36.8
794073600,42.1
794160000,39.6
794246400,44.5
794332800,48.0
794419200,51.0
794505600,50.9
794592000,48.9
794678400,44.1
794764800,48.8
794851200,42.3
794937600,44.8
795024000,46.9
795110400,50.7
795196800,41.6
795283200,29.0
795369600,39.5
795456000,45.6
795542400,50.0
795628800,54.2
795715200,49.2
795801600,45.9
795888000,40.0
795974400,43.7
796060800,46.7
796147200,53.6
796233600,47.8
796320000,44.0
796406400,49.2
796492800,50.5
796579200,51.0
796665600,45.7
796752000,47.5
796838400,54.8
796924800,53.3
797011200,59.9
797097600,57.1
797184000,57.6
797270400,50.2
797356800,54.5
797443200,43.3
797529600,51.8
797616000,58.1
797702400,56.9
797788800,55.9
797875200,52.5
797961600,62.8
798048000,62.8
798134400,53.0
798220800,60.2
798307200,62.2
798393600,62.0
798480000,58.7
798566400,64.9
798652800,63.8
798739200,59.0
798825600,63.5
798912000,65.9
798998400,72.0
799084800,70.0
799171200,67.8
799257600,55.3
799344000,54.8
799430400,59.6
799516800,64.1
799603200,68.7
799689600,66.4
799776000,68.9
799862400,72.0
799948800,59.3
800035200,63.4
800121600,64.6
800208000,55.0
800294400,53.1
800380800,63.9
800467200,68.6
800553600,72.0
800640000,74.4
800726400,70.0
800812800,71.7
800899200,68.5
800985600,67.0
801072000,72.1
801158400,73.2
801244800,76.7
801331200,72.9
801417600,73.3
801504000,69.1
801590400,74.8
801676800,72.2
801763200,75.4
801849600,76.7
801936000,66.5
802022400,70.6
802108800,74.4
802195200,80.3
802281600,77.6
802368000,74.0
802454400,75.1
802540800,74.5
802627200,75.0
802713600,79.0
802800000,78.1
802886400,77.7
802972800,77.4
803059200,77.0
803145600,75.2
803232000,70.9
803318400,67.0
803404800,68.7
803491200,80.4
803577600,74.5
803664000,77.2
803750400,75.5
803836800,80.1
803923200,76.4
804009600,80.0
804096000,73.5
804182400,80.8
804268800,80.7
804355200,75.6
804441600,71.2
804528000,68.3
804614400,77.6
804700800,80.9
804787200,82.5
804873600,83.9
804960000,84.8
805046400,83.6
805132800,83.5
805219200,85.0
805305600,86.9
805392000,80.5
805478400,85.2
805564800,73.9
805651200,70.1
805737600,80.2
805824000,79.8
805910400,74.6
805996800,65.8
806083200,70.7
806169600,78.3
806256000,81.3
806342400,82.0
806428800,73.3
806515200,79.9
806601600,70.6
806688000,79.0
806774400,78.9
806860800,78.5
806947200,74.0
807033600,82.8
807120000,80.9
807206400,79.4
807292800,72.4
807379200,76.6
807465600,78.6
807552000,76.9
807638400,73.2
807724800,79.6
807811200,81.5
807897600,84.1
807984000,81.1
808070400,75.4
808156800,78.1
808243200,79.6
808329600,72.1
808416000,78.7
808502400,69.1
808588800,74.0
808675200,75.6
808761600,76.6
808848000,78.9
808934400,78.9
809020800,78.0
809107200,79.5
809193600,81.4
809280000,81.3
809366400,78.6
809452800,76.2
809539200,79.4
809625600,74.6
809712000,79.4
809798400,72.9
809884800,68.9
809971200,76.3
810057600,71.2
