timestamp,value
788889600,60.2
788976000,62.3
789062400,61.3
789148800,61.2
789235200,60.2
789321600,59.9
789408000,62.1
789494400,59.5
789580800,59.9
789667200,61.2
789753600,59.7
789840000,58.7
789926400,60.3
790012800,60.5
790099200,61.6
790185600,53.9
790272000,54.5
790358400,53.9
790444800,54.2
790531200,54.8
790617600,54.0
790704000,55.9
790790400,57.3
790876800,58.0
790963200,57.6
791049600,59.4
791136000,58.4
791222400,58.2
791308800,58.7
791395200,57.8
791481600,58.4
791568000,57.3
791654400,58.9
791740800,58.5
791827200,56.6
791913600,56.5
792000000,54.2
792086400,48.8
792172800,52.3
792259200,55.5
792345600,57.8
792432000,58.6
792518400,58.6
792604800,61.2
792691200,64.0
792777600,60.2
792864000,58.1
792950400,59.3
793036800,59.8
793123200,58.4
793209600,58.6
793296000,58.1
793382400,58.0
793468800,58.2
793555200,58.0
793641600,59.9
793728000,59.8
793814400,59.2
793900800,59.8
793987200,60.0
794073600,62.0
794160000,65.9
794246400,69.7
794332800,68.3
794419200,64.6
794505600,62.0
794592000,60.3
794678400,58.2
794764800,60.5
794851200,60.4
794937600,59.0
795024000,59.0
795110400,64.0
795196800,70.0
795283200,59.3
795369600,60.5
795456000,59.4
795542400,60.0
795628800,60.8
795715200,63.1
795801600,63.5
795888000,62.9
795974400,59.7
796060800,54.9
796147200,53.9
796233600,57.2
796320000,59.0
796406400,62.5
796492800,62.8
796579200,61.4
796665600,66.7
796752000,59.0
796838400,54.8
796924800,55.6
797011200,58.7
797097600,62.0
797184000,65.8
797270400,65.2
797356800,70.4
797443200,64.0
797529600,60.3
797616000,60.0
797702400,65.7
797788800,62.8
797875200,62.0
797961600,64.5
798048000,67.6
798134400,62.9
798220800,62.4
798307200,61.9
798393600,62.0
798480000,63.6
798566400,63.8
798652800,64.5
798739200,65.9
798825600,66.8
798912000,73.3
798998400,73.2
799084800,66.2
799171200,67.8
799257600,69.2
799344000,67.5
799430400,65.9
799516800,65.5
799603200,66.7
799689600,65.0
799776000,63.9
799862400,64.8
799948800,64.6
800035200,65.4
800121600,67.0
800208000,68.1
800294400,71.2
800380800,72.4
800467200,70.8
800553600,69.0
800640000,68.6
800726400,68.3
800812800,70.8
800899200,74.9
800985600,72.3
801072000,78.7
801158400,86.9
801244800,79.0
801331200,75.7
801417600,75.3
801504000,74.8
801590400,75.4
801676800,76.5
801763200,75.7
801849600,74.8
801936000,74.4
802022400,75.5
802108800,74.7
802195200,75.2
802281600,75.0
802368000,74.9
802454400,75.1
802540800,78.8
802627200,76.1
802713600,75.5
802800000,75.6
802886400,76.7
802972800,78.1
803059200,78.9
803145600,81.0
803232000,79.9
803318400,78.4
803404800,78.8
803491200,79.5
803577600,79.1
803664000,79.6
803750400,80.5
803836800,81.2
803923200,80.2
804009600,79.4
804096000,79.4
804182400,80.2
804268800,83.1
804355200,81.1
804441600,80.6
804528000,82.0
804614400,83.6
804700800,80.7
804787200,80.6
804873600,80.6
804960000,81.2
805046400,81.9
805132800,81.3
805219200,81.8
805305600,81.3
805392000,79.8
805478400,79.7
805564800,80.5
805651200,80.4
805737600,80.9
805824000,80.8
805910400,80.8
805996800,81.7
806083200,81.6
806169600,81.2
806256000,81.8
806342400,81.5
806428800,82.1
806515200,81.4
806601600,80.6
806688000,82.3
806774400,83.7
806860800,82.5
806947200,81.9
807033600,81.5
807120000,82.7
807206400,83.6
807292800,82.5
807379200,82.3
807465600,82.5
807552000,82.3
807638400,82.4
807724800,82.5
807811200,81.7
807897600,82.0
807984000,83.1
808070400,82.4
808156800,82.6
808243200,83.1
808329600,84.8
808416000,83.4
808502400,81.9
808588800,82.6
808675200,82.3
808761600,82.3
808848000,82.0
808934400,82.2
809020800,82.5
809107200,82.1
809193600,82.1
809280000,81.5
