timestamp,value
788889600,34.7
788976000,36.9
789062400,40.0
789148800,46.3
789235200,48.6
789321600,40.9
789408000,51.0
789494400,43.4
789580800,49.5
789667200,49.1
789753600,41.0
789840000,38.7
789926400,49.0
790012800,47.9
790099200,49.9
790185600,44.2
790272000,43.7
790358400,39.1
790444800,36.6
790531200,38.2
790617600,41.2
790704000,36.7
790790400,43.0
790876800,39.9
790963200,37.2
791049600,39.1
791136000,39.6
791222400,43.9
791308800,40.9
791395200,38.5
791481600,50.1
791568000,44.2
791654400,43.1
791740800,50.0
791827200,49.1
791913600,52.6
792000000,53.7
792086400,42.7
792172800,37.4
792259200,38.5
792345600,39.8
792432000,46.7
792518400,47.9
792604800,45.1
792691200,43.8
792777600,43.3
792864000,43.2
792950400,41.2
793036800,43.7
793123200,43.5
793209600,42.1
793296000,41.2
793382400,41.5
793468800,42.3
793555200,41.1
793641600,41.1
793728000,40.2
793814400,51.1
793900800,46.8
793987200,38.2
794073600,34.9
794160000,35.5
794246400,35.7
794332800,41.1
794419200,37.7
794505600,37.4
794592000,41.4
794678400,42.0
794764800,48.7
794851200,47.4
794937600,47.9
795024000,52.5
795110400,42.8
795196800,37.4
795283200,43.2
795369600,40.3
795456000,40.7
795542400,41.3
795628800,41.8
795715200,46.0
795801600,47.4
795888000,46.6
795974400,47.9
796060800,47.1
796147200,48.9
796233600,40.0
796320000,39.8
796406400,40.3
796492800,51.0
796579200,55.4
796665600,60.0
796752000,56.7
796838400,52.5
796924800,48.4
797011200,53.9
797097600,56.6
797184000,51.7
797270400,46.1
797356800,48.8
797443200,53.8
797529600,53.0
797616000,51.2
797702400,53.2
797788800,55.8
797875200,50.4
797961600,51.5
798048000,51.5
798134400,42.9
798220800,43.4
798307200,42.0
798393600,43.8
798480000,47.4
798566400,48.9
798652800,50.8
798739200,53.3
798825600,49.2
798912000,46.5
798998400,50.3
799084800,50.0
799171200,54.0
799257600,55.4
799344000,58.9
799430400,60.9
799516800,65.4
799603200,57.5
799689600,59.6
799776000,57.8
799862400,53.5
799948800,51.4
800035200,49.6
800121600,48.8
800208000,44.5
800294400,48.0
800380800,48.7
800467200,48.1
800553600,49.5
800640000,48.0
800726400,48.7
800812800,53.4
800899200,53.2
800985600,55.9
801072000,54.1
801158400,60.4
801244800,56.8
801331200,57.2
801417600,57.2
801504000,56.8
801590400,59.1
801676800,58.0
801763200,58.2
801849600,55.8
801936000,54.9
802022400,56.4
802108800,58.8
802195200,54.5
802281600,56.5
802368000,58.9
802454400,54.9
802540800,53.4
802627200,58.6
802713600,57.8
802800000,57.6
802886400,57.0
802972800,58.6
803059200,63.0
803145600,59.1
803232000,56.2
803318400,60.0
803404800,61.3
803491200,64.1
803577600,59.3
803664000,60.0
803750400,66.1
803836800,68.0
803923200,68.1
804009600,69.8
804096000,71.0
804182400,71.8
804268800,73.4
804355200,77.6
804441600,69.4
804528000,63.4
804614400,60.2
804700800,58.1
804787200,61.9
804873600,64.1
804960000,65.6
805046400,62.6
805132800,59.4
805219200,67.8
805305600,67.9
805392000,63.1
805478400,64.7
805564800,66.2
805651200,63.4
805737600,64.0
805824000,63.1
805910400,63.5
805996800,72.1
806083200,75.8
806169600,67.6
806256000,62.7
806342400,62.8
806428800,64.1
806515200,64.8
806601600,69.1
806688000,72.2
806774400,73.2
806860800,70.6
806947200,67.5
807033600,71.7
807120000,72.5
807206400,71.1
807292800,72.9
807379200,70.6
807465600,67.5
807552000,66.4
807638400,68.1
807724800,64.9
807811200,67.0
807897600,69.4
807984000,72.0
808070400,72.6
808156800,70.0
808243200,64.4
808329600,70.1
808416000,72.2
808502400,70.3
808588800,71.2
808675200,71.9
808761600,71.9
808848000,75.8
808934400,76.7
809020800,65.0
809107200,62.7
809193600,68.5
809280000,63.2
809366400,62.6
809452800,59.2
809539200,60.3
809625600,65.6
809712000,62.3
809798400,63.5
809884800,64.5
809971200,59.2
810057600,60.4
810144000,62.1
810230400,56.3
810316800,59.1
