timestamp,value
788889600,37.0
788976000,34.3
789062400,31.4
789148800,30.1
789235200,30.2
789321600,28.1
789408000,28.1
789494400,28.6
789580800,28.8
789667200,30.3
789753600,32.6
789840000,32.1
789926400,26.4
790012800,23.4
790099200,19.9
790185600,22.2
790272000,22.7
790358400,21.5
790444800,25.4
790531200,25.3
790617600,30.0
790704000,28.3
790790400,44.0
790876800,39.8
790963200,41.9
791049600,53.2
791136000,41.0
791222400,37.1
791308800,39.5
791395200,44.7
791481600,36.6
791568000,31.3
791654400,35.5
791740800,34.6
791827200,32.8
791913600,33.7
792000000,38.9
792086400,47.9
792172800,49.3
792259200,49.3
792345600,37.6
792432000,43.3
792518400,50.5
792604800,49.6
792691200,48.6
792777600,45.3
792864000,46.0
792950400,46.4
793036800,49.8
793123200,42.9
793209600,44.3
793296000,50.0
793382400,48.0
793468800,49.8
793555200,53.2
793641600,49.7
793728000,52.8
793814400,45.4
793900800,40.4
793987200,47.3
794073600,55.7
794160000,44.8
794246400,53.2
794332800,47.7
794419200,42.6
794505600,43.2
794592000,43.4
794678400,43.7
794764800,43.7
794851200,44.6
794937600,44.8
795024000,40.1
795110400,30.7
795196800,30.5
795283200,40.0
795369600,41.4
795456000,51.8
795542400,59.1
795628800,48.5
795715200,39.3
795801600,35.8
795888000,36.3
795974400,40.4
796060800,52.8
796147200,44.5
796233600,53.2
796320000,37.1
796406400,38.3
796492800,36.1
796579200,38.1
796665600,38.0
796752000,44.8
796838400,57.8
796924800,62.5
797011200,54.4
797097600,59.3
797184000,56.5
797270400,46.8
797356800,38.3
797443200,39.6
797529600,38.7
797616000,37.0
797702400,41.2
797788800,40.0
797875200,47.3
797961600,47.3
798048000,46.1
798134400,52.6
798220800,60.3
798307200,61.1
798393600,63.6
798480000,67.3
798566400,68.5
798652800,63.9
798739200,60.6
798825600,55.9
798912000,56.6
798998400,59.4
799084800,59.8
799171200,60.1
799257600,62.0
799344000,51.4
799430400,47.5
799516800,53.2
799603200,55.3
799689600,58.8
799776000,65.6
799862400,66.4
799948800,65.5
800035200,54.3
800121600,55.6
800208000,67.7
800294400,66.3
800380800,53.8
800467200,49.7
800553600,56.4
800640000,60.5
800726400,61.0
800812800,58.0
800899200,52.5
800985600,50.4
801072000,51.1
801158400,55.1
801244800,62.7
801331200,67.2
801417600,69.8
801504000,74.1
801590400,71.5
801676800,71.5
801763200,74.4
801849600,75.2
801936000,67.6
802022400,62.3
802108800,62.6
802195200,63.9
802281600,68.4
802368000,68.9
802454400,61.9
802540800,64.7
802627200,69.0
802713600,71.3
802800000,73.8
802886400,70.7
802972800,66.0
803059200,66.9
803145600,69.2
803232000,68.3
803318400,66.4
803404800,68.9
803491200,67.0
803577600,70.2
803664000,73.4
803750400,68.1
803836800,57.1
803923200,62.3
804009600,62.0
804096000,63.1
804182400,65.3
804268800,70.6
804355200,69.5
804441600,71.6
804528000,74.5
804614400,77.1
804700800,80.0
804787200,74.1
804873600,73.7
804960000,73.3
805046400,67.3
805132800,70.8
805219200,74.4
805305600,73.9
805392000,76.0
805478400,79.2
805564800,80.4
805651200,80.5
805737600,75.8
805824000,73.5
805910400,74.9
805996800,72.9
806083200,73.9
806169600,73.9
806256000,76.4
806342400,76.9
806428800,80.0
806515200,74.4
806601600,75.5
806688000,76.5
806774400,76.1
806860800,75.6
806947200,73.7
807033600,71.1
807120000,72.3
807206400,73.6
807292800,71.8
807379200,69.1
807465600,71.2
807552000,71.2
807638400,73.3
807724800,77.2
807811200,79.8
807897600,72.0
807984000,69.9
808070400,71.0
808156800,68.6
808243200,67.9
808329600,73.0
808416000,73.5
808502400,64.5
808588800,67.0
808675200,72.5
808761600,74.9
808848000,69.3
808934400,68.5
809020800,72.0
809107200,75.1
809193600,75.8
809280000,74.9
809366400,66.6
809452800,66.6
809539200,67.4
809625600,55.9
809712000,56.7
809798400,55.2
809884800,60.0
809971200,61.7
810057600,66.0
810144000,62.0
810230400,60.5
810316800,59.0
810403200,63.6
810489600,71.8
810576000,61.6
810662400,62.5
810748800,65.7
810835200,67.7
810921600,71.6
811008000,73.8
811094400,60.8
811180800,64.9
811267200,65.2
811353600,62.9
811440000,60.1
811526400,60.9
811612800,62.9
811699200,57.2
811785600,54.7
811872000,55.9
811958400,56.8
812044800,59.6
812131200,59.8
812217600,58.9
812304000,48.2
812390400,49.7
812476800,50.5
812563200,51.8
812649600,59.2
812736000,64.0
812822400,62.4
812908800,62.7
812995200,61.5
813081600,59.9
813168000,61.9
813254400,60.0
813340800,60.5
813427200,62.1
813513600,61.9
813600000,58.4
813686400,55.0
813772800,58.5
813859200,56.9
813945600,55.5
814032000,54.1
814118400,57.6
814204800,53.0
814291200,46.2
814377600,46.9
814464000,44.5
814550400,45.2
814636800,43.0
814723200,44.6
814809600,45.7
814896000,48.4
814982400,55.5
815068800,53.4
815155200,49.7
815241600,46.5
815328000,42.8
815414400,35.9
815500800,32.8
815587200,30.8
815673600,33.7
815760000,31.1
815846400,28.9
815932800,31.9
816019200,41.2
816105600,45.2
816192000,42.0
816278400,41.0
816364800,44.2
816451200,52.4
816537600,58.9
816624000,43.0
816710400,33.2
816796800,34.0
816883200,32.9
816969600,28.4
817056000,24.9
817142400,23.6
817228800,23.0
817315200,30.8
817401600,47.6
817488000,51.1
817574400,44.6
817660800,41.6
817747200,38.6
817833600,36.4
817920000,37.8
818006400,34.0
818092800,31.2
818179200,29.8
818265600,33.0
818352000,34.5
818438400,31.4
818524800,27.7
818611200,29.4
818697600,31.2
818784000,32.6
818870400,37.3
818956800,33.4
819043200,33.1
819129600,36.0
819216000,34.8
819302400,32.8
819388800,36.1
819475200,34.5
819561600,39.1
819648000,54.1
819734400,56.9
819820800,55.5
819907200,52.1
819993600,34.6
820080000,25.6
820166400,22.7
820252800,26.1
820339200,32.4
820425600,35.5
820512000,34.0
820598400,29.7
820684800,27.6
820771200,24.6
820857600,22.7
820944000,32.7
821030400,37.4
821116800,39.2
821203200,42.4
821289600,42.8
821376000,40.1
821462400,36.8
821548800,33.3
821635200,31.7
821721600,28.4
821808000,24.5
821894400,26.9
821980800,28.6
822067200,28.6
822153600,29.1
822240000,24.9
822326400,26.6
822412800,27.2
822499200,29.5
822585600,30.6
822672000,31.5
822758400,32.9
822844800,32.6
822931200,27.8
823017600,26.2
823104000,23.0
823190400,20.6
823276800,33.9
823363200,33.1
823449600,27.3
823536000,24.3
823622400,23.1
823708800,22.2
823795200,21.2
823881600,22.0
823968000,18.6
824054400,29.5
824140800,34.1
824227200,34.9
824313600,31.0
824400000,29.0
824486400,33.6
824572800,35.5
824659200,38.9
824745600,41.7
824832000,33.2
824918400,30.7
825004800,28.4
825091200,28.1
825177600,30.1
825264000,32.9
825350400,34.2
825436800,32.5
825523200,32.6
825609600,33.2
825696000,29.7
825782400,29.5
825868800,27.6
825955200,26.1
826041600,33.1
826128000,34.5
826214400,33.5
826300800,31.8
826387200,31.1
826473600,30.4
826560000,30.7
826646400,38.6
826732800,42.0
826819200,41.3
826905600,38.7
826992000,37.0
827078400,37.5
827164800,37.0
827251200,35.3
827337600,36.5
827424000,40.2
827510400,43.5
827596800,46.3
827683200,46.0
827769600,45.1
827856000,43.3
827942400,35.3
828028800,38.1
828115200,42.6
828201600,39.8
828288000,44.7
828374400,50.5
828460800,52.3
828547200,45.7
828633600,45.1
828720000,48.8
828806400,53.5
828892800,55.7
828979200,52.5
829065600,49.3
829152000,49.9
829238400,53.1
829324800,40.1
829411200,37.5
829497600,37.2
829584000,36.6
829670400,46.4
829756800,51.8
829843200,55.6
829929600,58.3
830016000,59.0
830102400,61.0
830188800,65.9
830275200,65.7
830361600,65.8
830448000,68.9
830534400,61.8
830620800,63.6
830707200,67.0
830793600,66.0
830880000,68.1
830966400,64.4
831052800,66.4
831139200,65.2
831225600,65.5
831312000,66.8
831398400,70.3
831484800,68.9
831571200,66.4
831657600,64.6
831744000,64.3
831830400,65.3
831916800,67.8
