timestamp,value
788889600,35.4
788976000,27.8
789062400,24.8
789148800,17.8
789235200,9.3
789321600,18.4
789408000,26.0
789494400,29.0
789580800,30.2
789667200,38.1
789753600,37.1
789840000,31.9
789926400,23.4
790012800,16.6
790099200,22.9
790185600,21.2
790272000,23.8
790358400,28.6
790444800,35.2
790531200,32.3
790617600,34.4
790704000,39.3
790790400,45.0
790876800,38.2
790963200,48.5
791049600,42.7
791136000,35.0
791222400,44.6
791308800,45.2
791395200,43.0
791481600,34.5
791568000,36.3
791654400,36.2
791740800,39.1
791827200,38.4
791913600,40.3
792000000,42.0
792086400,40.2
792172800,48.0
792259200,43.8
792345600,40.7
792432000,43.1
792518400,44.0
792604800,45.5
792691200,41.6
792777600,37.9
792864000,43.0
792950400,46.4
793036800,34.8
793123200,38.2
793209600,44.3
793296000,46.2
793382400,37.0
793468800,37.2
793555200,38.8
793641600,44.0
793728000,35.6
793814400,33.2
793900800,38.8
793987200,41.8
794073600,43.9
794160000,33.1
794246400,33.7
794332800,31.2
794419200,37.2
794505600,36.0
794592000,34.7
794678400,36.6
794764800,38.1
794851200,44.1
794937600,47.8
795024000,40.9
795110400,40.7
795196800,42.4
795283200,38.9
795369600,42.3
795456000,44.1
795542400,51.0
795628800,36.1
795715200,35.5
795801600,36.0
795888000,44.4
795974400,49.4
796060800,48.3
796147200,49.5
796233600,42.0
796320000,33.2
796406400,36.7
796492800,33.1
796579200,33.9
796665600,40.5
796752000,53.8
796838400,53.6
796924800,57.2
797011200,57.6
797097600,55.4
797184000,53.3
797270400,49.9
797356800,43.1
797443200,42.2
797529600,47.2
797616000,49.2
797702400,45.7
797788800,42.2
797875200,43.4
797961600,40.3
798048000,45.6
798134400,53.8
798220800,47.4
798307200,38.2
798393600,45.5
798480000,45.3
798566400,52.5
798652800,53.5
798739200,49.2
798825600,44.8
798912000,47.4
798998400,53.4
799084800,56.0
799171200,50.6
799257600,55.6
799344000,55.0
799430400,66.0
799516800,62.5
799603200,64.4
799689600,64.5
799776000,66.8
799862400,62.8
799948800,60.6
800035200,53.7
800121600,54.2
800208000,53.9
800294400,40.6
800380800,40.0
800467200,47.4
