timestamp,value
788889600,44.3
788976000,45.6
789062400,41.4
789148800,38.6
789235200,49.7
789321600,49.2
789408000,45.7
789494400,41.5
789580800,49.8
789667200,49.0
789753600,52.2
789840000,46.2
789926400,39.3
790012800,38.3
790099200,38.4
790185600,49.7
790272000,58.4
790358400,47.3
790444800,53.4
790531200,50.8
790617600,52.8
790704000,59.0
790790400,57.0
790876800,52.4
790963200,56.6
791049600,55.5
791136000,50.1
791222400,54.4
791308800,53.4
791395200,52.0
791481600,50.2
791568000,54.3
791654400,51.1
791740800,48.1
791827200,49.0
791913600,49.6
792000000,51.4
792086400,54.4
792172800,58.0
792259200,55.9
792345600,49.3
792432000,51.5
792518400,57.6
792604800,57.9
792691200,54.4
792777600,62.4
792864000,59.6
792950400,51.8
793036800,46.8
793123200,49.2
793209600,58.0
793296000,47.3
793382400,44.0
793468800,47.0
793555200,55.9
793641600,54.6
793728000,43.8
793814400,42.6
793900800,40.6
793987200,43.7
794073600,49.2
794160000,45.7
794246400,44.4
794332800,51.5
794419200,45.9
794505600,47.3
794592000,47.3
794678400,51.2
794764800,57.6
794851200,57.8
794937600,54.3
795024000,53.1
795110400,52.1
795196800,49.8
795283200,49.5
795369600,52.5
795456000,54.3
795542400,52.5
795628800,49.8
795715200,47.2
795801600,53.5
795888000,61.9
795974400,52.0
796060800,53.0
796147200,52.7
796233600,50.2
796320000,51.7
796406400,52.4
796492800,46.7
796579200,45.8
796665600,48.6
796752000,53.8
796838400,56.7
796924800,54.5
797011200,54.4
797097600,53.5
797184000,54.2
797270400,55.0
797356800,52.0
797443200,53.7
797529600,54.9
797616000,54.0
797702400,53.2
797788800,51.9
797875200,52.3
797961600,53.9
798048000,53.9
798134400,53.1
798220800,47.4
798307200,45.3
798393600,43.6
798480000,46.5
798566400,45.3
798652800,46.9
798739200,50.1
798825600,51.7
798912000,54.5
798998400,58.0
799084800,57.9
799171200,60.2
799257600,60.6
799344000,58.5
799430400,69.1
799516800,71.8
799603200,78.2
799689600,71.5
799776000,67.2
799862400,65.4
799948800,62.4
800035200,60.5
800121600,55.6
800208000,53.4
800294400,50.2
800380800,52.9
800467200,59.9
800553600,62.1
800640000,61.3
800726400,60.4
800812800,56.4
800899200,55.9
800985600,57.7
801072000,68.0
801158400,61.2
801244800,59.0
801331200,59.5
801417600,63.7
801504000,68.6
801590400,65.3
801676800,61.4
801763200,57.6
801849600,57.4
801936000,58.5
802022400,58.8
802108800,58.5
802195200,59.1
802281600,58.9
802368000,61.3
802454400,62.6
802540800,60.2
802627200,59.4
802713600,58.5
802800000,57.6
802886400,59.6
802972800,60.3
803059200,61.4
803145600,59.9
803232000,60.4
803318400,63.3
803404800,66.3
803491200,69.8
803577600,66.3
803664000,67.1
803750400,69.3
803836800,68.5
803923200,64.0
804009600,66.7
804096000,68.5
804182400,70.1
804268800,67.3
804355200,67.9
804441600,71.0
804528000,69.3
804614400,66.0
804700800,62.2
804787200,63.8
804873600,65.7
804960000,67.5
805046400,71.9
805132800,75.5
805219200,77.0
805305600,67.3
805392000,73.0
805478400,70.8
805564800,71.2
805651200,72.6
805737600,73.8
805824000,70.9
805910400,70.7
805996800,72.5
806083200,83.3
806169600,75.1
806256000,68.7
806342400,68.2
806428800,69.7
806515200,76.5
806601600,81.0
806688000,70.3
806774400,70.5
806860800,74.3
806947200,72.6
807033600,72.1
807120000,72.9
807206400,70.5
807292800,69.6
807379200,67.4
807465600,72.1
807552000,72.5
807638400,69.3
807724800,68.3
807811200,68.9
807897600,70.8
807984000,77.1
808070400,71.5
808156800,73.7
808243200,72.8
808329600,71.2
808416000,71.8
808502400,73.3
808588800,75.2
808675200,70.7
808761600,70.6
808848000,69.6
808934400,70.3
809020800,71.4
809107200,72.4
809193600,68.1
809280000,70.2
809366400,69.2
809452800,70.4
809539200,67.2
809625600,65.8
809712000,66.1
809798400,65.6
809884800,66.7
809971200,65.7
810057600,65.3
810144000,63.5
810230400,66.3
810316800,73.2
810403200,72.4
810489600,67.7
810576000,72.1
810662400,72.6
810748800,63.3
810835200,60.7
810921600,61.3
811008000,63.1
811094400,61.5
811180800,61.5
811267200,59.3
811353600,60.7
811440000,60.4
811526400,62.2
811612800,59.1
811699200,57.7
811785600,59.8
811872000,59.4
811958400,59.2
812044800,56.6
812131200,59.7
812217600,61.7
812304000,59.8
812390400,60.7
812476800,66.4
812563200,66.3
812649600,66.8
812736000,66.4
812822400,59.7
812908800,60.2
812995200,69.2
813081600,74.3
813168000,71.7
