timestamp,value
788889600,17.4
788976000,18.9
789062400,13.2
789148800,12.4
789235200,23.1
789321600,13.9
789408000,27.1
789494400,25.5
789580800,43.4
789667200,50.5
789753600,44.4
789840000,39.0
789926400,41.2
790012800,40.6
790099200,41.5
790185600,29.3
790272000,25.9
790358400,26.1
790444800,34.6
790531200,31.5
790617600,28.6
790704000,23.9
790790400,26.2
790876800,27.4
790963200,32.9
791049600,37.7
791136000,38.4
791222400,33.9
791308800,31.2
791395200,37.7
791481600,41.8
791568000,48.7
791654400,46.0
791740800,39.7
791827200,44.4
791913600,38.5
792000000,35.0
792086400,29.6
792172800,32.3
792259200,34.7
792345600,24.7
792432000,10.4
792518400,4.6
792604800,1.1
792691200,8.9
792777600,14.6
792864000,31.6
792950400,43.7
793036800,48.5
793123200,49.6
793209600,54.1
793296000,54.8
793382400,48.4
793468800,39.8
793555200,53.8
793641600,57.0
793728000,39.8
793814400,16.9
793900800,9.4
793987200,6.1
794073600,9.4
794160000,21.2
794246400,17.7
794332800,6.5
794419200,1.8
794505600,3.7
794592000,11.5
794678400,40.0
794764800,53.3
794851200,54.0
794937600,47.4
795024000,44.0
795110400,46.3
795196800,52.0
795283200,46.5
795369600,44.9
795456000,51.9
795542400,49.5
795628800,43.1
795715200,51.8
795801600,44.7
795888000,43.2
795974400,44.0
796060800,32.2
796147200,27.8
796233600,27.7
796320000,26.3
796406400,26.0
796492800,31.0
796579200,44.9
796665600,50.2
796752000,49.8
796838400,46.1
796924800,35.8
797011200,54.1
797097600,49.2
797184000,46.8
797270400,46.3
797356800,32.3
797443200,23.8
797529600,35.2
797616000,47.1
797702400,53.3
797788800,48.6
797875200,39.9
797961600,41.1
798048000,40.4
798134400,39.2
798220800,44.0
798307200,43.0
798393600,41.7
798480000,41.8
798566400,43.9
798652800,43.1
798739200,44.1
798825600,36.3
798912000,41.5
798998400,40.8
799084800,37.0
799171200,35.8
799257600,33.4
799344000,45.6
799430400,48.5
799516800,51.6
799603200,51.3
799689600,54.3
799776000,49.6
799862400,49.4
