timestamp,value
788889600,50.7
788976000,37.2
789062400,33.2
789148800,33.3
789235200,26.4
789321600,41.5
789408000,45.0
789494400,36.2
789580800,46.9
789667200,46.4
789753600,58.8
789840000,64.4
789926400,64.4
790012800,59.7
790099200,48.1
790185600,43.7
790272000,42.5
790358400,49.7
790444800,53.0
790531200,43.5
790617600,39.4
790704000,37.6
790790400,37.4
790876800,34.7
790963200,39.6
791049600,43.5
791136000,46.5
791222400,58.3
791308800,47.1
791395200,35.9
791481600,32.8
791568000,42.5
791654400,58.1
791740800,54.8
791827200,42.3
791913600,38.2
792000000,29.8
792086400,35.8
792172800,27.8
792259200,25.2
792345600,43.8
792432000,43.0
792518400,28.7
792604800,33.4
792691200,43.6
792777600,57.9
792864000,67.0
792950400,47.3
793036800,51.2
793123200,52.6
793209600,55.2
793296000,52.4
793382400,46.1
793468800,59.0
793555200,55.1
793641600,44.2
793728000,52.2
793814400,61.0
793900800,60.2
793987200,46.0
794073600,40.8
794160000,40.1
794246400,46.9
794332800,54.7
794419200,61.4
794505600,66.8
794592000,44.5
794678400,36.4
794764800,40.6
794851200,40.6
794937600,41.9
795024000,41.9
795110400,67.6
795196800,63.7
795283200,62.4
795369600,57.6
795456000,62.0
795542400,60.3
795628800,67.4
795715200,65.1
795801600,66.1
795888000,75.9
795974400,63.4
796060800,60.2
796147200,69.3
796233600,69.8
796320000,60.4
796406400,59.8
796492800,57.6
796579200,54.2
796665600,49.9
796752000,51.7
796838400,57.7
796924800,62.5
797011200,57.8
797097600,62.4
797184000,63.3
797270400,65.1
797356800,70.5
797443200,73.1
797529600,72.5
797616000,63.2
797702400,59.2
797788800,59.6
797875200,62.5
797961600,66.4
798048000,69.8
798134400,72.2
798220800,74.5
798307200,72.0
798393600,71.7
798480000,69.1
798566400,65.4
798652800,53.7
798739200,54.7
798825600,60.1
798912000,62.4
798998400,61.6
799084800,62.0
799171200,70.0
799257600,66.5
799344000,57.0
799430400,56.6
799516800,59.6
799603200,67.2
799689600,62.8
799776000,69.1
799862400,73.5
799948800,78.2
800035200,75.3
800121600,74.7
800208000,69.8
800294400,76.2
800380800,80.8
800467200,78.2
800553600,74.1
800640000,81.3
800726400,78.6
800812800,71.5
800899200,65.2
800985600,67.1
801072000,71.8
801158400,74.1
801244800,77.3
801331200,76.3
801417600,77.0
801504000,77.6
801590400,77.5
801676800,73.5
801763200,75.4
801849600,72.3
801936000,72.6
802022400,73.5
802108800,75.0
802195200,77.7
802281600,77.4
802368000,76.5
802454400,77.8
802540800,81.7
802627200,83.0
802713600,78.8
802800000,80.5
802886400,70.4
802972800,65.8
803059200,66.3
803145600,70.4
803232000,73.8
803318400,74.8
803404800,74.5
803491200,68.0
803577600,68.2
803664000,72.5
803750400,75.3
803836800,76.5
803923200,76.7
804009600,75.1
804096000,77.9
804182400,78.3
