timestamp,value
788889600,5.3
788976000,13.5
789062400,0.5
789148800,-6.5
789235200,-1.8
789321600,4.8
789408000,-1.4
789494400,-2.3
789580800,6.7
789667200,19.4
789753600,19.3
789840000,19.1
789926400,22.5
790012800,15.9
790099200,17.3
790185600,19.0
790272000,13.5
790358400,13.3
790444800,10.4
790531200,8.8
790617600,11.8
790704000,17.4
790790400,12.7
790876800,10.7
790963200,-0.9
791049600,8.5
791136000,16.9
791222400,11.2
791308800,4.5
791395200,15.0
791481600,34.6
791568000,28.8
791654400,31.4
791740800,28.1
791827200,15.9
791913600,22.0
792000000,25.6
792086400,13.1
792172800,16.3
792259200,29.8
792345600,12.3
792432000,-0.9
792518400,-1.2
792604800,-1.9
792691200,1.4
792777600,1.2
792864000,9.8
792950400,15.0
793036800,24.2
793123200,31.5
793209600,38.6
793296000,39.7
793382400,36.9
793468800,35.8
793555200,31.9
793641600,30.5
793728000,28.9
793814400,12.3
793900800,0.1
793987200,-3.6
794073600,3.7
794160000,11.9
794246400,-0.4
794332800,-2.1
794419200,-1.0
794505600,-4.2
794592000,-12.6
794678400,8.6
794764800,25.7
794851200,35.3
794937600,40.2
795024000,40.5
795110400,46.0
795196800,46.6
795283200,45.6
795369600,39.1
795456000,42.4
795542400,40.5
795628800,32.5
795715200,35.1
795801600,37.5
795888000,32.8
795974400,38.6
796060800,43.1
796147200,38.8
796233600,33.0
796320000,24.1
796406400,21.3
796492800,24.4
796579200,29.0
796665600,35.7
796752000,46.0
796838400,36.4
796924800,17.5
797011200,36.3
797097600,35.7
797184000,39.1
797270400,34.4
797356800,28.6
797443200,32.9
797529600,31.6
797616000,40.9
797702400,44.2
797788800,45.9
797875200,44.5
797961600,39.5
798048000,37.5
798134400,41.9
798220800,39.0
798307200,42.5
798393600,44.2
798480000,44.9
798566400,46.4
798652800,42.9
798739200,42.2
798825600,36.1
798912000,40.6
798998400,38.5
799084800,38.9
799171200,39.9
799257600,44.1
799344000,47.7
799430400,46.0
799516800,46.0
799603200,51.8
799689600,53.4
799776000,57.7
799862400,56.8
799948800,48.4
800035200,51.2
800121600,58.0
800208000,59.0
800294400,42.1
800380800,49.2
800467200,58.6
800553600,53.5
800640000,50.6
800726400,54.4
800812800,58.3
800899200,51.7
800985600,54.4
801072000,49.4
801158400,48.7
801244800,50.9
801331200,49.0
801417600,52.8
801504000,53.4
801590400,58.8
801676800,60.7
801763200,66.7
801849600,67.4
801936000,66.6
802022400,69.0
802108800,68.9
802195200,69.4
802281600,69.4
802368000,68.3
802454400,55.7
802540800,49.7
802627200,51.1
802713600,57.0
802800000,57.7
802886400,61.7
802972800,68.1
803059200,72.8
803145600,79.4
803232000,80.7
803318400,81.5
803404800,79.3
803491200,73.1
803577600,73.9
803664000,66.5
803750400,68.1
803836800,69.5
803923200,62.4
804009600,62.2
804096000,62.3
804182400,66.0
804268800,64.3
804355200,59.0
804441600,57.0
804528000,56.8
804614400,64.6
804700800,67.6
804787200,63.3
804873600,63.0
804960000,64.4
805046400,68.8
805132800,75.0
805219200,74.6
805305600,73.4
805392000,79.3
805478400,77.6
805564800,75.3
805651200,70.5
805737600,72.4
805824000,67.6
805910400,65.3
805996800,67.3
806083200,67.3
806169600,64.9
806256000,69.9
806342400,67.3
806428800,70.0
806515200,69.4
806601600,67.0
806688000,72.8
806774400,75.5
806860800,70.3
806947200,71.4
807033600,78.8
807120000,64.4
807206400,68.6
807292800,74.8
807379200,64.9
807465600,66.4
807552000,70.6
807638400,77.0
807724800,79.4
807811200,80.0
807897600,67.3
807984000,66.4
808070400,70.4
808156800,74.9
808243200,71.5
808329600,66.5
808416000,68.2
