timestamp,value
788889600,54.1
788976000,58.1
789062400,50.6
789148800,52.8
789235200,52.5
789321600,51.9
789408000,52.8
789494400,55.7
789580800,55.8
789667200,50.8
789753600,54.1
789840000,55.4
789926400,52.7
790012800,54.7
790099200,53.2
790185600,55.1
790272000,54.3
790358400,56.0
790444800,55.2
790531200,54.0
790617600,55.3
790704000,55.2
790790400,56.1
790876800,52.5
790963200,53.2
791049600,52.5
791136000,56.5
791222400,54.8
791308800,51.9
791395200,53.0
791481600,57.3
791568000,56.8
791654400,54.7
791740800,54.9
791827200,56.1
791913600,58.1
792000000,58.4
792086400,54.7
792172800,52.0
792259200,50.3
792345600,54.4
792432000,52.5
792518400,49.8
792604800,54.1
792691200,54.0
792777600,49.3
792864000,50.2
792950400,49.4
793036800,53.4
793123200,55.8
793209600,57.5
793296000,54.5
793382400,56.4
793468800,53.5
793555200,56.7
793641600,57.7
793728000,53.4
793814400,54.5
793900800,57.3
793987200,57.4
794073600,57.3
794160000,58.5
794246400,58.7
794332800,57.4
794419200,54.8
794505600,57.4
794592000,55.6
794678400,55.8
794764800,55.2
794851200,55.8
794937600,55.1
795024000,57.6
795110400,52.7
795196800,51.9
795283200,52.8
795369600,53.4
795456000,55.5
795542400,56.1
795628800,56.8
795715200,54.9
795801600,54.2
795888000,55.2
795974400,54.2
796060800,56.5
796147200,57.5
796233600,56.7
796320000,55.3
796406400,56.1
796492800,57.3
796579200,56.0
796665600,56.2
796752000,53.3
796838400,55.6
796924800,56.6
797011200,57.2
797097600,56.8
797184000,55.0
797270400,55.9
797356800,58.1
797443200,55.5
797529600,56.1
797616000,57.0
797702400,60.0
797788800,57.0
797875200,56.8
797961600,57.6
798048000,55.7
798134400,55.1
798220800,55.4
798307200,56.2
798393600,57.1
798480000,56.4
798566400,57.5
798652800,57.6
798739200,57.6
798825600,57.0
798912000,56.9
798998400,57.8
799084800,56.5
799171200,57.8
799257600,56.6
799344000,57.1
799430400,55.1
799516800,57.0
799603200,57.4
799689600,56.4
799776000,56.9
799862400,55.0
799948800,57.6
800035200,58.3
800121600,57.0
800208000,57.4
800294400,57.8
800380800,58.4
800467200,56.4
800553600,54.7
800640000,56.9
800726400,52.7
800812800,55.9
800899200,55.8
800985600,59.3
801072000,53.8
801158400,53.7
801244800,55.7
801331200,54.6
801417600,56.6
801504000,55.6
801590400,57.1
801676800,57.8
801763200,56.6
801849600,56.6
801936000,52.5
802022400,55.5
802108800,55.7
802195200,57.9
802281600,56.5
802368000,55.9
802454400,55.8
802540800,58.0
802627200,55.0
802713600,58.2
802800000,59.7
802886400,59.0
802972800,57.1
803059200,55.4
803145600,56.2
803232000,58.3
803318400,57.4
803404800,58.6
803491200,58.7
803577600,57.8
803664000,57.7
803750400,56.9
803836800,56.6
803923200,57.6
804009600,56.0
804096000,54.3
804182400,55.6
804268800,56.1
804355200,57.6
804441600,56.3
804528000,54.7
804614400,53.4
804700800,55.8
804787200,55.8
804873600,52.0
804960000,56.9
805046400,54.0
805132800,54.4
805219200,56.5
805305600,54.9
805392000,54.9
805478400,56.4
805564800,55.3
805651200,54.8
805737600,58.1
805824000,55.9
805910400,56.2
805996800,53.9
806083200,54.1
806169600,52.9
806256000,56.9
806342400,55.1
806428800,54.2
806515200,56.0
806601600,55.6
806688000,53.3
806774400,53.4
806860800,53.8
806947200,55.3
807033600,55.7
807120000,54.8
807206400,54.7
807292800,54.9
807379200,55.7
807465600,55.1
807552000,52.0
807638400,55.4
807724800,56.3
807811200,56.7
807897600,55.9
807984000,56.7
808070400,54.6
808156800,54.9
808243200,52.1
808329600,52.2
808416000,55.6
808502400,54.0
808588800,54.8
808675200,55.0
808761600,56.9
808848000,54.7
808934400,54.0
809020800,55.2
809107200,54.4
809193600,55.4
809280000,57.6
809366400,56.3
809452800,55.4
809539200,57.3
809625600,56.4
809712000,57.1
809798400,54.8
809884800,55.8
809971200,54.5
810057600,56.0
810144000,55.5
810230400,56.0
810316800,53.2
810403200,54.1
810489600,53.6
810576000,57.4
810662400,57.8
810748800,54.2
810835200,55.1
810921600,56.2
811008000,55.0
811094400,55.0
811180800,57.9
811267200,55.1
811353600,55.3
811440000,55.3
811526400,56.0
811612800,56.8
811699200,58.1
811785600,57.1
811872000,53.6
811958400,55.6
812044800,56.5
812131200,53.4
812217600,55.8
812304000,57.1
812390400,58.4
812476800,57.1
812563200,55.3
812649600,52.0
812736000,54.4
812822400,56.7
812908800,58.9
812995200,56.9
813081600,53.3
813168000,55.0
813254400,55.2
813340800,55.1
813427200,54.8
813513600,56.2
813600000,57.3
813686400,56.8
813772800,57.0
813859200,55.4
813945600,54.6
814032000,55.7
814118400,51.2
814204800,54.2
814291200,54.2
814377600,58.1
814464000,53.4
814550400,54.1
814636800,55.0
814723200,55.4
814809600,56.9
814896000,56.4
814982400,56.4
815068800,57.1
815155200,53.2
815241600,56.8
815328000,55.8
815414400,56.2
815500800,56.6
815587200,55.4
815673600,57.4
815760000,57.1
815846400,56.3
815932800,55.0
816019200,52.4
816105600,55.1
816192000,55.4
816278400,53.9
816364800,56.2
816451200,57.4
816537600,57.6
816624000,54.4
816710400,56.1
816796800,57.7
816883200,57.0
816969600,54.3
817056000,58.9
817142400,56.1
817228800,55.3
817315200,54.2
817401600,53.1
817488000,54.6
817574400,51.7
817660800,55.3
817747200,57.2
817833600,53.1
817920000,56.5
818006400,56.7
818092800,56.7
818179200,53.5
818265600,55.7
818352000,53.3
818438400,54.9
818524800,54.6
818611200,53.4
818697600,54.4
818784000,54.6
818870400,55.0
818956800,54.5
819043200,55.7
819129600,55.1
819216000,53.7
819302400,54.2
819388800,53.0
819475200,51.4
819561600,51.2
819648000,51.2
819734400,54.0
819820800,56.0
819907200,50.1
819993600,50.4
820080000,51.5
820166400,49.6
820252800,51.5
820339200,48.4
820425600,47.8
820512000,48.5
820598400,52.9
820684800,51.6
820771200,54.3
820857600,49.3
820944000,50.8
821030400,49.2
821116800,50.5
821203200,50.6
821289600,51.9
821376000,48.5
821462400,53.3
821548800,52.2
821635200,55.3
821721600,54.0
821808000,54.6
821894400,53.7
821980800,53.0
822067200,51.9
822153600,51.9
822240000,54.1
822326400,52.4
822412800,54.7
822499200,55.8
822585600,55.5
822672000,54.6
822758400,52.6
822844800,52.7
822931200,54.6
823017600,53.4
823104000,52.0
823190400,53.9
823276800,57.6
823363200,57.2
823449600,53.9
823536000,55.0
823622400,53.6
823708800,54.4
823795200,54.3
823881600,55.5
823968000,55.5
824054400,56.7
824140800,56.2
824227200,53.6
824313600,52.4
824400000,55.8
824486400,55.1
824572800,54.7
824659200,52.6
824745600,53.5
