timestamp,value
788889600,20.6
788976000,17.8
789062400,17.5
789148800,19.0
789235200,23.3
789321600,26.2
789408000,33.7
789494400,41.9
789580800,46.9
789667200,51.8
789753600,43.4
789840000,41.4
789926400,41.4
790012800,46.1
790099200,40.0
790185600,36.5
790272000,31.6
790358400,35.1
790444800,37.4
790531200,35.5
790617600,31.3
790704000,30.7
790790400,31.4
790876800,37.3
790963200,42.2
791049600,42.6
791136000,38.8
791222400,37.8
791308800,38.9
791395200,39.6
791481600,45.4
791568000,48.4
791654400,46.0
791740800,41.8
791827200,41.3
791913600,41.7
792000000,40.6
792086400,40.4
792172800,39.1
792259200,37.9
792345600,36.3
792432000,34.3
792518400,27.6
792604800,29.1
792691200,25.9
792777600,25.0
792864000,32.1
792950400,40.0
793036800,45.1
793123200,50.1
793209600,50.9
793296000,48.0
793382400,45.8
793468800,48.7
793555200,49.6
793641600,49.3
793728000,47.0
793814400,44.9
793900800,35.9
793987200,34.8
794073600,36.6
794160000,43.1
794246400,40.9
794332800,38.3
794419200,31.1
794505600,35.4
794592000,44.4
794678400,54.0
794764800,54.6
794851200,55.0
794937600,44.3
795024000,46.7
795110400,53.2
795196800,51.4
795283200,41.4
795369600,44.8
795456000,51.1
795542400,45.1
795628800,50.4
795715200,45.7
795801600,40.8
795888000,43.6
795974400,35.4
796060800,34.8
796147200,37.8
796233600,38.7
796320000,40.4
796406400,39.0
796492800,43.5
796579200,48.9
796665600,50.5
796752000,43.1
796838400,48.3
796924800,56.8
797011200,58.4
797097600,53.1
797184000,52.4
797270400,47.0
797356800,40.1
797443200,39.4
797529600,46.3
797616000,52.2
797702400,52.2
797788800,39.8
797875200,37.3
797961600,42.4
798048000,45.5
798134400,47.8
798220800,43.6
798307200,41.7
798393600,44.7
798480000,46.1
798566400,50.8
798652800,55.7
798739200,55.2
798825600,52.5
798912000,58.4
798998400,49.6
799084800,48.4
799171200,50.9
799257600,52.0
799344000,50.2
799430400,49.7
799516800,53.4
799603200,50.1
799689600,48.2
799776000,49.5
799862400,53.9
799948800,56.6
800035200,56.9
800121600,55.2
800208000,46.8
800294400,48.2
800380800,52.2
800467200,57.6
800553600,56.4
800640000,59.9
800726400,58.0
800812800,55.7
800899200,60.1
800985600,64.1
801072000,60.5
801158400,61.2
801244800,61.3
801331200,59.6
801417600,57.7
801504000,56.7
801590400,60.8
801676800,66.3
801763200,70.9
801849600,70.7
801936000,69.8
802022400,66.7
802108800,65.6
802195200,66.9
802281600,62.3
802368000,46.8
802454400,48.4
802540800,54.4
802627200,57.7
802713600,62.1
802800000,72.8
802886400,71.7
802972800,72.1
803059200,67.8
803145600,63.4
803232000,59.9
803318400,59.3
803404800,57.5
803491200,55.7
803577600,52.3
803664000,55.9
803750400,63.4
803836800,67.9
803923200,71.9
804009600,74.8
804096000,78.9
804182400,72.0
804268800,67.6
804355200,69.3
804441600,72.3
804528000,74.3
804614400,74.2
804700800,63.2
804787200,65.7
804873600,71.4
804960000,78.5
805046400,75.3
805132800,80.8
805219200,74.4
805305600,71.6
805392000,73.6
805478400,69.1
805564800,60.6
805651200,66.3
805737600,73.0
805824000,73.6
805910400,74.2
805996800,77.6
806083200,81.3
806169600,77.7
806256000,80.6
806342400,74.3
806428800,76.0
806515200,75.9
806601600,76.9
806688000,80.6
806774400,77.4
806860800,83.5
806947200,85.1
807033600,62.0
807120000,66.9
807206400,74.5
807292800,77.5
807379200,77.6
807465600,79.6
807552000,81.1
807638400,83.3
807724800,77.1
807811200,59.1
807897600,64.9
807984000,73.9
808070400,67.5
808156800,70.0
808243200,64.3
808329600,62.7
808416000,74.0
808502400,71.0
808588800,63.1
808675200,58.9
808761600,65.0
808848000,72.4
808934400,78.5
809020800,82.5
809107200,82.7
809193600,73.6
809280000,68.4
809366400,72.7
809452800,67.7
809539200,71.9
809625600,72.7
809712000,60.6
809798400,70.9
809884800,74.9
809971200,77.8
810057600,80.7
810144000,76.9
810230400,69.4
810316800,67.5
810403200,68.8
810489600,60.1
810576000,61.7
810662400,65.7
810748800,67.1
810835200,69.7
810921600,70.6
811008000,69.2
811094400,74.0
811180800,74.7
811267200,73.3
811353600,68.8
811440000,63.9
811526400,63.4
811612800,55.6
811699200,52.4
811785600,56.0
811872000,60.5
811958400,62.2
812044800,62.7
812131200,62.4
812217600,60.9
812304000,55.2
812390400,52.5
812476800,52.5
812563200,50.2
812649600,56.5
812736000,48.4
812822400,44.6
812908800,51.0
812995200,51.6
813081600,51.1
813168000,52.1
813254400,57.8
813340800,62.6
813427200,51.3
813513600,44.7
813600000,49.5
813686400,51.8
813772800,56.3
813859200,54.2
813945600,56.0
814032000,44.6
814118400,46.8
814204800,46.8
814291200,41.3
814377600,44.4
814464000,50.4
814550400,50.3
814636800,53.4
814723200,43.3
814809600,44.0
814896000,44.9
814982400,39.7
815068800,38.5
815155200,31.0
815241600,29.7
815328000,30.0
815414400,33.0
815500800,47.5
815587200,42.3
815673600,47.2
815760000,50.0
815846400,48.9
815932800,37.2
816019200,46.5
816105600,48.6
816192000,48.8
816278400,47.8
816364800,46.1
816451200,47.0
816537600,44.4
816624000,51.3
816710400,41.8
816796800,43.1
816883200,43.1
816969600,44.4
817056000,46.1
817142400,49.2
817228800,50.1
817315200,44.4
817401600,38.5
817488000,40.7
817574400,48.2
817660800,52.7
817747200,51.8
817833600,40.0
817920000,39.6
818006400,44.6
818092800,29.8
818179200,25.8
818265600,28.4
818352000,26.0
818438400,29.8
818524800,32.5
818611200,46.7
818697600,53.3
818784000,45.8
818870400,39.6
818956800,44.3
819043200,36.5
819129600,31.7
819216000,31.0
819302400,28.8
819388800,25.2
819475200,29.9
819561600,27.9
819648000,25.0
819734400,19.6
819820800,20.7
819907200,20.9
819993600,21.9
820080000,24.2
820166400,28.2
820252800,33.9
820339200,37.7
820425600,32.5
820512000,35.6
820598400,41.1
820684800,35.5
820771200,33.3
820857600,34.8
820944000,33.1
821030400,33.6
821116800,36.9
821203200,38.1
821289600,35.8
821376000,33.8
821462400,31.8
821548800,28.4
821635200,37.3
821721600,40.8
821808000,33.4
821894400,28.9
821980800,32.2
822067200,34.7
822153600,36.0
822240000,27.4
822326400,28.2
822412800,32.7
822499200,26.3
822585600,25.3
822672000,31.2
822758400,32.5
822844800,32.8
822931200,23.7
823017600,14.5
823104000,12.4
823190400,8.1
823276800,7.3
823363200,15.4
823449600,27.7
823536000,38.8
823622400,43.0
823708800,46.0
823795200,47.9
823881600,37.3
823968000,37.9
824054400,37.9
824140800,38.6
824227200,39.3
824313600,41.6
824400000,42.5
824486400,44.7
824572800,46.2
824659200,47.5
824745600,46.4
824832000,49.3
824918400,35.8
825004800,35.8
825091200,33.8
825177600,26.0
825264000,24.0
825350400,23.7
825436800,29.3
825523200,31.6
825609600,33.6
825696000,38.8
825782400,44.6
825868800,48.0
825955200,42.7
826041600,34.6
826128000,43.2
826214400,46.5
826300800,51.5
826387200,52.0
826473600,49.6
826560000,47.0
826646400,43.9
826732800,43.1
826819200,46.6
826905600,43.4
826992000,46.5
827078400,43.7
827164800,47.0
827251200,49.6
827337600,49.7
827424000,47.3
827510400,40.4
827596800,36.4
827683200,31.0
827769600,37.4
