timestamp,value
788889600,71.8
788976000,72.0
789062400,70.3
789148800,69.7
789235200,71.3
789321600,73.9
789408000,72.9
789494400,70.2
789580800,68.4
789667200,68.0
789753600,69.9
789840000,69.8
789926400,71.0
790012800,73.9
790099200,73.4
790185600,70.4
790272000,74.9
790358400,74.5
790444800,73.0
790531200,71.9
790617600,71.3
790704000,73.3
790790400,71.4
790876800,71.3
790963200,70.2
791049600,73.0
791136000,73.8
791222400,77.5
791308800,76.8
791395200,76.1
791481600,78.3
791568000,78.9
791654400,78.3
791740800,73.3
791827200,74.7
791913600,77.3
792000000,80.2
792086400,83.2
792172800,81.0
792259200,78.8
792345600,77.8
792432000,76.8
792518400,75.9
792604800,75.7
792691200,74.1
792777600,73.4
792864000,74.5
792950400,75.3
793036800,72.3
793123200,73.1
793209600,76.9
793296000,77.9
793382400,74.6
793468800,76.2
793555200,72.3
793641600,76.1
793728000,76.2
793814400,75.3
793900800,73.9
793987200,74.2
794073600,77.1
794160000,79.6
794246400,78.8
794332800,78.7
794419200,77.5
794505600,77.0
794592000,76.5
794678400,76.0
794764800,78.0
794851200,78.1
794937600,81.2
795024000,78.8
795110400,79.8
795196800,79.9
795283200,80.7
795369600,78.7
795456000,77.6
795542400,79.2
795628800,81.0
795715200,86.5
795801600,85.3
795888000,83.7
795974400,82.1
796060800,80.8
796147200,78.8
796233600,78.4
796320000,78.0
796406400,78.0
796492800,80.6
796579200,79.2
796665600,77.9
796752000,80.0
796838400,84.2
796924800,84.2
797011200,82.9
797097600,81.5
797184000,80.3
797270400,80.4
797356800,82.1
797443200,83.3
797529600,86.1
797616000,83.6
797702400,82.8
797788800,80.9
797875200,80.9
797961600,81.6
798048000,83.0
798134400,84.5
798220800,86.9
798307200,85.9
798393600,85.6
798480000,83.3
798566400,85.2
798652800,84.6
798739200,87.1
798825600,89.5
798912000,90.1
798998400,89.0
799084800,88.6
799171200,87.6
799257600,86.2
799344000,85.9
799430400,87.0
799516800,88.7
799603200,87.4
799689600,87.5
799776000,88.3
799862400,86.7
799948800,86.4
800035200,86.3
800121600,85.9
800208000,86.4
800294400,86.9
800380800,86.3
800467200,86.4
800553600,86.9
800640000,87.1
800726400,86.8
800812800,86.5
800899200,86.3
800985600,86.2
801072000,85.6
801158400,85.7
801244800,85.9
801331200,85.5
801417600,86.6
801504000,87.5
801590400,87.6
801676800,88.7
801763200,88.6
801849600,87.6
801936000,87.2
802022400,87.6
802108800,87.9
802195200,87.6
802281600,87.2
802368000,88.3
802454400,87.6
802540800,87.9
802627200,88.1
802713600,88.8
802800000,88.5
802886400,88.9
802972800,89.0
803059200,88.4
803145600,86.7
803232000,87.2
803318400,85.8
803404800,87.9
803491200,86.5
803577600,85.9
803664000,86.4
803750400,87.1
803836800,87.7
803923200,86.0
804009600,85.7
804096000,86.7
804182400,87.6
804268800,84.8
804355200,86.2
804441600,86.9
804528000,87.3
804614400,86.0
804700800,86.5
804787200,87.3
804873600,86.8
804960000,86.5
805046400,82.3
805132800,83.7
805219200,82.9
805305600,80.6
805392000,80.6
805478400,81.5
805564800,82.2
805651200,82.9
805737600,80.6
805824000,81.1
805910400,77.7
805996800,82.6
806083200,81.4
806169600,81.7
806256000,80.9
806342400,83.1
806428800,82.4
806515200,83.1
806601600,82.9
806688000,81.8
806774400,83.5
806860800,83.4
806947200,80.5
807033600,81.5
807120000,82.7
807206400,81.3
807292800,82.4
807379200,82.3
807465600,83.3
807552000,83.9
807638400,84.4
807724800,83.4
807811200,83.3
807897600,83.6
807984000,83.2
808070400,83.5
808156800,84.2
808243200,83.7
