timestamp,value
788889600,42.0
788976000,39.2
789062400,31.4
789148800,30.5
789235200,32.3
789321600,45.2
789408000,39.1
789494400,39.0
789580800,46.2
789667200,48.6
789753600,52.3
789840000,39.7
789926400,36.1
790012800,35.6
790099200,34.0
790185600,40.2
790272000,49.9
790358400,47.1
790444800,46.5
790531200,47.0
790617600,46.7
790704000,55.6
790790400,52.0
790876800,47.1
790963200,56.4
791049600,49.0
791136000,45.7
791222400,51.6
791308800,51.9
791395200,51.9
791481600,47.7
791568000,47.6
791654400,49.0
791740800,45.0
791827200,49.4
791913600,53.5
792000000,51.8
792086400,45.8
792172800,49.6
792259200,51.4
792345600,48.7
792432000,50.1
792518400,53.6
792604800,52.2
792691200,52.6
792777600,56.5
792864000,55.1
792950400,50.3
793036800,46.0
793123200,47.7
793209600,51.5
793296000,45.1
793382400,41.6
793468800,47.6
793555200,54.1
793641600,52.9
793728000,45.2
793814400,41.2
793900800,43.0
793987200,43.1
794073600,47.9
794160000,45.0
794246400,41.0
794332800,47.9
794419200,45.0
794505600,42.0
794592000,44.7
794678400,47.1
794764800,52.4
794851200,55.2
794937600,56.5
795024000,53.2
795110400,47.2
795196800,48.1
795283200,46.1
795369600,52.0
795456000,54.9
795542400,52.8
795628800,46.2
795715200,46.0
795801600,49.2
795888000,52.2
795974400,50.0
796060800,51.7
796147200,51.4
796233600,49.7
796320000,44.0
796406400,50.7
796492800,44.3
796579200,47.5
796665600,51.0
796752000,59.1
796838400,61.6
796924800,55.4
797011200,54.2
797097600,55.3
797184000,54.2
797270400,57.8
797356800,54.3
797443200,55.9
797529600,58.9
797616000,61.8
797702400,56.6
797788800,55.5
797875200,53.8
797961600,51.4
798048000,51.1
798134400,53.0
798220800,49.0
798307200,45.8
798393600,43.7
798480000,47.4
798566400,50.4
798652800,48.7
798739200,48.8
798825600,50.2
798912000,56.4
798998400,58.5
799084800,55.9
799171200,59.7
799257600,63.2
799344000,65.1
799430400,68.9
799516800,68.7
799603200,69.2
799689600,67.2
799776000,71.6
799862400,70.5
799948800,64.6
800035200,62.6
800121600,58.2
800208000,52.5
800294400,48.7
800380800,52.4
800467200,51.1
800553600,57.9
800640000,57.7
800726400,57.2
800812800,55.9
800899200,56.1
800985600,59.2
801072000,64.9
801158400,65.2
801244800,60.7
801331200,57.1
801417600,61.5
801504000,69.1
801590400,68.4
801676800,63.1
801763200,57.6
801849600,58.2
801936000,59.2
802022400,60.6
802108800,59.1
802195200,60.4
802281600,61.8
802368000,63.1
802454400,65.7
802540800,62.3
802627200,62.0
802713600,61.1
802800000,58.0
802886400,60.8
802972800,61.4
803059200,61.6
803145600,61.7
803232000,65.0
803318400,67.1
803404800,65.5
803491200,73.5
803577600,72.7
803664000,69.2
803750400,72.4
803836800,64.9
803923200,65.6
804009600,70.4
804096000,75.4
804182400,78.3
804268800,73.3
804355200,73.4
804441600,77.9
804528000,73.0
804614400,68.8
804700800,64.8
804787200,63.3
804873600,66.4
804960000,69.5
805046400,71.5
805132800,77.7
805219200,79.8
805305600,76.0
805392000,71.1
805478400,76.8
805564800,73.7
805651200,72.6
805737600,70.0
