timestamp,value
788889600,38.5
788976000,37.2
789062400,29.7
789148800,30.6
789235200,20.6
789321600,26.7
789408000,43.9
789494400,32.6
789580800,30.5
789667200,24.9
789753600,17.7
789840000,20.2
789926400,43.0
790012800,51.4
790099200,55.5
790185600,58.9
790272000,53.4
790358400,39.0
790444800,35.3
790531200,40.7
790617600,43.1
790704000,38.3
790790400,35.0
790876800,30.3
790963200,31.1
791049600,28.0
791136000,27.4
791222400,19.5
791308800,22.7
791395200,31.3
791481600,33.1
791568000,38.3
791654400,37.6
791740800,19.5
791827200,29.6
791913600,24.9
792000000,7.5
792086400,7.3
792172800,19.9
792259200,21.1
792345600,29.0
792432000,37.3
792518400,22.9
792604800,19.7
792691200,23.7
792777600,25.9
792864000,43.3
792950400,36.3
793036800,37.2
793123200,38.5
793209600,40.3
793296000,34.3
793382400,31.1
793468800,35.3
793555200,40.6
793641600,26.7
793728000,21.4
793814400,22.7
793900800,28.2
793987200,29.4
794073600,30.0
794160000,25.8
794246400,29.5
794332800,32.3
794419200,37.3
794505600,38.0
794592000,51.0
794678400,41.2
794764800,25.9
794851200,27.9
794937600,31.6
795024000,42.0
795110400,38.3
795196800,39.9
795283200,39.2
795369600,40.6
795456000,41.5
795542400,39.6
795628800,39.7
795715200,49.5
795801600,48.2
795888000,44.4
795974400,36.5
796060800,36.4
796147200,40.3
796233600,39.3
796320000,37.2
796406400,41.0
796492800,40.8
796579200,44.9
796665600,42.1
796752000,37.0
796838400,38.7
796924800,46.0
797011200,27.1
797097600,30.4
797184000,40.2
797270400,37.4
797356800,44.0
797443200,40.7
797529600,40.8
797616000,41.8
797702400,57.7
797788800,49.8
797875200,46.8
797961600,43.4
798048000,41.4
798134400,46.9
798220800,48.7
798307200,56.5
798393600,47.4
798480000,52.0
798566400,51.2
798652800,48.9
798739200,50.5
798825600,55.9
798912000,55.9
798998400,51.4
799084800,46.7
799171200,45.3
799257600,43.6
799344000,45.9
799430400,48.8
799516800,58.0
799603200,60.7
799689600,54.7
799776000,49.3
799862400,49.7
799948800,52.9
800035200,55.4
800121600,49.2
800208000,48.9
800294400,51.9
800380800,52.3
800467200,49.5
800553600,53.1
800640000,52.3
800726400,60.6
800812800,56.0
800899200,61.6
800985600,66.0
801072000,67.2
801158400,65.4
801244800,70.8
801331200,63.3
801417600,56.6
801504000,55.3
801590400,58.0
801676800,60.4
801763200,68.5
801849600,71.7
801936000,78.7
802022400,73.8
802108800,71.8
802195200,68.3
802281600,71.0
802368000,67.7
802454400,62.6
802540800,67.7
802627200,61.6
802713600,60.6
802800000,62.6
802886400,65.7
802972800,59.6
803059200,59.7
803145600,61.7
803232000,68.1
803318400,74.1
803404800,80.1
803491200,83.0
803577600,81.7
803664000,65.7
803750400,66.5
803836800,65.5
803923200,69.6
804009600,70.6
804096000,70.2
804182400,63.4
804268800,60.3
804355200,68.5
804441600,73.9
804528000,75.3
804614400,75.4
804700800,70.5
804787200,72.6
804873600,74.5
804960000,74.9
805046400,77.2
805132800,73.0
805219200,70.7
805305600,73.2
805392000,67.9
805478400,66.8
805564800,75.7
805651200,84.9
805737600,88.4
805824000,75.3
805910400,65.8
805996800,63.1
806083200,74.7
806169600,79.8
806256000,79.5
806342400,74.9
806428800,72.4
806515200,78.6
806601600,74.2
806688000,81.1
806774400,81.4
806860800,75.7
806947200,81.5
807033600,83.6
807120000,80.2
807206400,83.8
807292800,79.5
807379200,69.7
807465600,75.2
807552000,71.8
807638400,65.4
807724800,65.7
807811200,68.2
807897600,73.9
807984000,77.9
808070400,78.0
808156800,78.5
808243200,77.8
808329600,73.2
808416000,74.2
808502400,78.9
808588800,79.2
808675200,73.1
808761600,67.5
808848000,64.5
808934400,74.1
809020800,79.4
809107200,70.7
809193600,74.2
809280000,66.7
809366400,67.2
809452800,68.6
809539200,65.5
809625600,64.6
809712000,71.2
809798400,70.1
809884800,76.6
809971200,69.3
810057600,64.0
810144000,66.7
810230400,70.9
810316800,70.1
810403200,70.5
810489600,63.6
810576000,60.8
810662400,64.2
810748800,59.8
810835200,66.0
810921600,68.3
811008000,73.7
811094400,61.8
811180800,57.7
811267200,59.8
811353600,63.2
811440000,58.0
811526400,56.7
811612800,58.3
811699200,67.9
811785600,60.2
811872000,53.3
811958400,55.3
812044800,58.4
812131200,62.2
812217600,63.7
812304000,53.9
812390400,53.2
812476800,52.1
812563200,57.9
812649600,68.0
812736000,65.8
812822400,62.3
812908800,57.3
812995200,55.1
813081600,59.4
813168000,57.5
813254400,56.2
813340800,59.9
813427200,66.1
813513600,70.3
813600000,67.3
813686400,62.9
813772800,52.0
813859200,50.7
813945600,54.3
814032000,57.5
814118400,54.6
814204800,61.6
814291200,57.7
814377600,58.3
814464000,61.4
814550400,60.7
814636800,51.8
814723200,51.6
814809600,64.0
814896000,53.9
814982400,45.6
815068800,46.6
815155200,46.1
815241600,50.5
815328000,50.1
815414400,47.6
815500800,40.0
815587200,42.6
815673600,44.6
815760000,47.5
815846400,36.3
815932800,34.5
816019200,51.7
816105600,52.1
816192000,35.4
816278400,40.3
816364800,50.2
816451200,41.2
816537600,39.3
816624000,37.9
816710400,43.1
816796800,40.6
816883200,45.7
816969600,42.1
817056000,37.5
817142400,39.4
817228800,33.2
817315200,39.3
817401600,42.7
817488000,52.1
817574400,33.6
817660800,28.9
817747200,35.4
817833600,40.9
817920000,31.8
818006400,43.5
818092800,35.3
818179200,40.6
818265600,35.7
818352000,29.4
818438400,26.6
818524800,31.1
818611200,21.6
818697600,21.4
818784000,22.7
818870400,22.5
818956800,30.0
819043200,29.5
819129600,31.6
819216000,31.5
819302400,23.8
819388800,25.7
819475200,24.1
819561600,34.2
819648000,34.2
819734400,33.9
819820800,30.4
819907200,32.0
819993600,30.7
820080000,32.4
820166400,30.9
820252800,32.8
820339200,36.1
820425600,34.1
820512000,30.1
820598400,23.9
820684800,17.2
820771200,16.0
820857600,8.8
820944000,11.8
821030400,19.7
821116800,20.1
821203200,25.6
821289600,22.7
821376000,26.5
821462400,37.5
821548800,35.8
821635200,35.7
821721600,18.9
821808000,41.7
821894400,39.4
821980800,49.5
822067200,34.6
822153600,28.8
822240000,31.7
822326400,37.8
822412800,45.8
822499200,38.6
822585600,27.4
822672000,43.5
822758400,35.9
822844800,26.8
822931200,35.6
823017600,29.9
823104000,18.5
823190400,24.8
823276800,19.0
823363200,9.4
823449600,10.3
823536000,17.8
823622400,23.2
823708800,35.4
823795200,41.1
823881600,39.9
823968000,38.7
824054400,32.6
824140800,11.6
824227200,22.4
824313600,25.9
824400000,26.1
824486400,26.5
824572800,26.4
824659200,21.5
824745600,35.9
824832000,41.1
824918400,42.8
825004800,42.6
825091200,43.2
825177600,45.9
825264000,44.2
825350400,44.1
825436800,46.8
825523200,32.9
825609600,27.3
825696000,31.5
825782400,32.1
825868800,24.6
825955200,29.0
826041600,31.4
826128000,30.6
826214400,25.7
826300800,18.6
826387200,23.0
826473600,28.1
826560000,32.4
826646400,37.6
826732800,44.0
826819200,44.5
826905600,39.7
826992000,38.1
827078400,42.4
827164800,39.9
827251200,43.4
827337600,43.4
827424000,43.4
827510400,36.5
827596800,38.1
827683200,46.0
827769600,56.0
827856000,41.0
827942400,34.0
828028800,38.0
828115200,37.3
828201600,44.0
828288000,43.3
828374400,42.1
828460800,41.8
828547200,41.8
828633600,41.8
828720000,40.9
828806400,38.3
828892800,34.5
828979200,36.4
829065600,33.8
829152000,39.8
829238400,39.8
829324800,39.8
829411200,38.2
829497600,39.5
829584000,42.9
829670400,46.4
829756800,46.1
829843200,46.5
829929600,50.0
830016000,62.6
830102400,62.0
830188800,57.9
830275200,55.6
830361600,50.5
830448000,62.1
830534400,56.4
830620800,51.0
830707200,47.4
830793600,46.0
830880000,60.1
830966400,58.0
831052800,54.2
831139200,51.3
831225600,51.5
831312000,43.8
831398400,43.8
831484800,50.5
831571200,51.5
831657600,52.5
831744000,54.1
831830400,47.1
831916800,46.4
832003200,48.2
832089600,55.8
832176000,55.4
832262400,51.2
832348800,52.2
832435200,56.0
832521600,73.5
832608000,77.8
832694400,68.4
832780800,69.1
832867200,65.0
832953600,60.4
833040000,57.6
833126400,59.2
833212800,61.6
833299200,54.0
833385600,50.6
833472000,60.8
833558400,66.4
833644800,69.2
833731200,58.5
833817600,63.7
833904000,65.6
833990400,67.8
834076800,71.3
834163200,67.6
834249600,60.8
834336000,58.6
834422400,70.4
834508800,76.3
834595200,71.2
834681600,72.4
834768000,77.4
834854400,71.1
834940800,67.5
835027200,66.8
835113600,63.8
835200000,62.0
835286400,65.4
835372800,61.3
835459200,62.1
835545600,64.4
835632000,69.0
835718400,66.9
835804800,69.0
