timestamp,value
788889600,70.9
788976000,71.7
789062400,71.2
789148800,69.2
789235200,68.5
789321600,70.6
789408000,72.6
789494400,74.0
789580800,74.0
789667200,73.7
789753600,74.5
789840000,74.5
789926400,74.0
790012800,74.7
790099200,74.8
790185600,75.9
790272000,77.9
790358400,76.6
790444800,69.7
790531200,69.7
790617600,73.8
790704000,73.4
790790400,72.5
790876800,72.7
790963200,72.4
791049600,71.7
791136000,69.9
791222400,71.9
791308800,72.7
791395200,70.0
791481600,69.8
791568000,70.6
791654400,71.0
791740800,69.6
791827200,71.9
791913600,72.7
792000000,73.1
792086400,74.6
792172800,70.5
792259200,71.5
792345600,70.9
792432000,71.1
792518400,72.1
792604800,74.4
792691200,74.9
792777600,71.9
792864000,73.5
792950400,72.6
793036800,69.1
793123200,72.1
793209600,70.6
793296000,71.1
793382400,74.1
793468800,75.8
793555200,73.8
793641600,76.7
793728000,75.5
793814400,73.9
793900800,70.9
793987200,71.0
794073600,74.6
794160000,75.4
794246400,76.3
794332800,76.2
794419200,73.1
794505600,72.6
794592000,70.3
794678400,73.7
794764800,73.6
794851200,73.9
794937600,75.6
795024000,73.6
795110400,72.8
795196800,71.1
795283200,72.7
795369600,73.7
795456000,74.9
795542400,69.5
795628800,73.2
795715200,74.1
795801600,70.5
795888000,71.7
795974400,70.6
796060800,73.5
796147200,72.9
796233600,72.0
796320000,72.4
796406400,72.9
796492800,72.5
796579200,71.9
796665600,72.5
796752000,74.1
796838400,72.9
796924800,72.9
797011200,71.5
797097600,69.9
797184000,70.7
797270400,71.0
797356800,71.9
797443200,71.4
797529600,71.4
797616000,71.0
797702400,69.4
797788800,71.2
797875200,71.3
797961600,72.9
798048000,72.5
798134400,72.2
798220800,71.9
798307200,71.2
798393600,70.4
798480000,70.9
798566400,70.4
798652800,72.3
798739200,71.7
798825600,72.2
798912000,71.6
798998400,71.2
799084800,71.3
799171200,69.6
799257600,69.2
799344000,70.8
799430400,72.2
799516800,71.9
799603200,71.0
799689600,69.7
799776000,70.5
799862400,69.5
799948800,74.7
800035200,73.2
800121600,72.4
800208000,71.3
800294400,70.3
800380800,72.1
800467200,71.9
800553600,71.3
800640000,72.0
800726400,71.5
800812800,71.0
800899200,69.4
800985600,67.3
801072000,67.5
801158400,68.9
801244800,69.0
801331200,68.6
801417600,69.2
801504000,69.0
801590400,67.3
801676800,66.1
801763200,65.6
801849600,67.0
801936000,67.9
802022400,67.7
802108800,65.6
802195200,66.6
802281600,65.4
802368000,62.5
802454400,61.7
802540800,60.3
802627200,61.9
802713600,61.9
802800000,64.6
802886400,64.9
802972800,63.4
803059200,64.6
803145600,65.9
803232000,66.1
803318400,66.9
803404800,66.5
803491200,66.6
803577600,66.7
803664000,66.1
803750400,66.6
803836800,66.7
803923200,66.3
804009600,67.6
804096000,67.6
804182400,69.7
804268800,68.5
804355200,65.6
804441600,64.7
804528000,67.6
804614400,66.2
804700800,68.0
804787200,67.0
804873600,67.1
804960000,66.7
805046400,67.5
805132800,67.8
805219200,69.2
805305600,68.0
805392000,67.7
805478400,67.0
805564800,68.2
805651200,67.5
805737600,68.3
805824000,65.1
805910400,64.3
805996800,63.9
806083200,66.1
806169600,65.6
806256000,67.5
806342400,65.1
806428800,65.4
806515200,67.3
806601600,67.1
806688000,67.7
806774400,67.1
806860800,66.5
806947200,69.1
807033600,69.1
807120000,67.9
807206400,67.3
807292800,70.9
807379200,73.0
807465600,75.1
807552000,72.0
807638400,70.9
807724800,68.9
807811200,70.7
807897600,70.0
807984000,68.4
808070400,69.4
808156800,69.2
808243200,70.6
808329600,71.2
808416000,71.6
808502400,71.8
808588800,71.0
808675200,70.2
808761600,67.9
808848000,68.6
808934400,69.2
809020800,67.0
809107200,68.6
809193600,67.9
809280000,67.8
809366400,67.0
809452800,69.6
809539200,69.7
809625600,71.5
809712000,71.4
809798400,72.6
809884800,71.1
809971200,71.6
810057600,73.2
810144000,72.2
810230400,67.1
810316800,66.6
810403200,66.3
810489600,69.1
810576000,70.6
810662400,72.3
810748800,72.5
810835200,74.3
810921600,73.6
811008000,72.6
811094400,74.2
811180800,77.6
811267200,79.7
811353600,73.7
811440000,72.2
811526400,74.9
811612800,75.3
811699200,73.6
811785600,73.0
811872000,73.7
811958400,75.5
812044800,78.2
812131200,75.4
812217600,77.0
812304000,75.5
812390400,76.7
812476800,78.2
812563200,78.3
812649600,77.8
812736000,79.1
812822400,78.1
812908800,74.3
812995200,74.6
813081600,71.6
813168000,72.3
813254400,69.8
813340800,71.4
813427200,71.7
813513600,70.3
813600000,73.3
813686400,75.2
813772800,77.2
813859200,75.1
813945600,74.8
814032000,75.7
814118400,76.3
814204800,70.6
814291200,74.1
814377600,74.9
814464000,76.1
814550400,78.2
814636800,77.4
814723200,76.6
814809600,77.2
814896000,73.2
814982400,70.1
815068800,68.9
815155200,68.6
815241600,67.4
815328000,68.5
815414400,67.7
815500800,65.8
815587200,70.9
815673600,71.4
815760000,73.4
815846400,71.2
815932800,72.0
816019200,73.5
816105600,73.2
816192000,69.3
816278400,71.5
816364800,72.3
816451200,71.6
816537600,73.2
816624000,75.5
816710400,70.7
816796800,71.8
816883200,74.5
816969600,74.3
817056000,73.1
817142400,69.2
817228800,72.5
817315200,75.1
817401600,75.9
817488000,75.5
817574400,74.4
817660800,70.0
817747200,72.0
817833600,74.5
817920000,74.4
818006400,70.1
818092800,72.5
818179200,70.8
818265600,72.9
818352000,73.3
818438400,72.3
818524800,71.3
818611200,70.3
818697600,70.7
818784000,71.0
818870400,71.5
818956800,69.2
819043200,70.5
819129600,74.4
819216000,76.0
819302400,75.3
819388800,74.4
819475200,75.1
819561600,74.2
819648000,73.1
819734400,73.6
819820800,69.1
819907200,70.2
819993600,68.7
820080000,69.8
820166400,68.9
820252800,69.8
820339200,71.1
820425600,69.6
820512000,69.8
820598400,72.0
820684800,72.4
820771200,75.6
820857600,72.9
820944000,72.5
821030400,70.4
821116800,71.6
821203200,70.3
821289600,69.8
821376000,71.3
821462400,70.7
821548800,74.1
821635200,74.8
821721600,74.4
821808000,74.5
821894400,74.0
821980800,76.5
822067200,74.6
822153600,74.0
822240000,74.3
822326400,76.2
822412800,76.5
822499200,78.3
822585600,79.2
822672000,75.9
822758400,78.7
822844800,72.2
822931200,72.9
823017600,77.6
823104000,72.3
823190400,71.3
823276800,72.5
823363200,70.4
823449600,70.5
823536000,69.5
823622400,73.9
823708800,76.1
823795200,75.0
823881600,77.4
823968000,77.8
824054400,76.5
824140800,76.1
824227200,78.0
