timestamp,value
788889600,79.9
788976000,82.8
789062400,81.0
789148800,76.6
789235200,81.3
789321600,80.5
789408000,79.7
789494400,81.2
789580800,79.8
789667200,78.0
789753600,82.4
789840000,74.3
789926400,80.0
790012800,80.7
790099200,80.9
790185600,84.0
790272000,77.1
790358400,76.2
790444800,81.2
790531200,82.3
790617600,82.5
790704000,79.4
790790400,78.0
790876800,78.0
790963200,78.3
791049600,78.8
791136000,82.1
791222400,78.8
791308800,81.4
791395200,80.6
791481600,70.9
791568000,79.3
791654400,80.0
791740800,79.5
791827200,78.8
791913600,81.4
792000000,75.8
792086400,79.8
792172800,82.6
792259200,80.8
792345600,79.2
792432000,78.2
792518400,81.2
792604800,80.2
792691200,80.5
792777600,80.4
792864000,81.8
792950400,75.7
793036800,80.8
793123200,77.6
793209600,81.3
793296000,82.1
793382400,81.7
793468800,77.9
793555200,81.0
793641600,78.2
793728000,75.9
793814400,78.4
793900800,79.0
793987200,79.7
794073600,80.5
794160000,82.3
794246400,83.7
794332800,77.4
794419200,78.6
794505600,80.2
794592000,82.9
794678400,84.4
794764800,77.2
794851200,78.9
794937600,77.8
795024000,81.4
795110400,83.3
795196800,82.4
795283200,79.2
795369600,79.9
795456000,83.7
795542400,78.3
795628800,78.0
795715200,79.6
795801600,78.4
795888000,76.9
795974400,80.8
796060800,78.5
796147200,78.8
796233600,77.2
796320000,81.4
796406400,74.8
796492800,79.6
796579200,83.8
796665600,77.7
796752000,79.9
796838400,78.5
796924800,82.0
797011200,80.1
797097600,78.7
797184000,83.0
797270400,79.7
797356800,74.3
797443200,79.8
797529600,79.2
797616000,79.4
797702400,81.8
797788800,80.4
797875200,81.5
797961600,80.1
798048000,83.7
798134400,81.0
798220800,80.9
798307200,80.4
798393600,78.8
798480000,79.7
798566400,78.4
798652800,75.3
798739200,81.5
798825600,80.9
798912000,82.5
798998400,82.2
799084800,76.4
799171200,80.2
799257600,84.1
799344000,80.1
799430400,76.5
799516800,79.2
799603200,79.1
799689600,78.8
799776000,81.6
799862400,80.8
799948800,79.6
800035200,81.3
800121600,82.1
800208000,77.5
800294400,75.7
800380800,79.9
800467200,81.6
800553600,75.6
800640000,78.4
800726400,80.8
800812800,75.2
800899200,79.7
800985600,81.1
801072000,79.6
801158400,80.2
801244800,74.8
801331200,75.9
801417600,78.6
801504000,78.7
801590400,78.1
801676800,76.9
801763200,79.1
801849600,77.3
801936000,76.3
802022400,77.7
802108800,79.5
802195200,77.4
802281600,77.7
802368000,76.8
802454400,78.0
802540800,78.6
802627200,73.7
802713600,74.4
802800000,76.9
802886400,77.4
802972800,76.8
803059200,74.0
803145600,73.3
803232000,73.3
803318400,73.4
803404800,74.7
803491200,74.7
803577600,74.8
803664000,72.0
803750400,71.4
803836800,75.1
803923200,71.1
804009600,73.3
804096000,75.0
804182400,75.8
804268800,75.0
804355200,74.6
804441600,71.2
804528000,73.7
804614400,76.1
804700800,73.7
804787200,72.5
804873600,72.5
804960000,75.0
805046400,75.0
805132800,75.4
805219200,74.1
805305600,73.5
805392000,74.5
805478400,73.7
805564800,73.0
805651200,76.2
805737600,70.5
805824000,73.7
805910400,71.5
805996800,73.0
806083200,74.8
806169600,74.7
806256000,71.4
806342400,73.2
806428800,73.1
806515200,74.8
806601600,74.6
806688000,73.0
806774400,78.2
806860800,75.7
806947200,75.5
807033600,74.3
807120000,71.9
807206400,75.4
807292800,78.0
807379200,75.0
807465600,72.9
807552000,76.1
807638400,77.1
807724800,77.0
807811200,72.1
807897600,74.0
807984000,75.5
808070400,74.4
808156800,77.5
808243200,77.0
808329600,82.7
808416000,76.6
808502400,74.8
808588800,74.5
808675200,77.6
808761600,81.3
808848000,84.2
808934400,72.9
809020800,74.6
809107200,80.5
809193600,79.0
809280000,77.9
809366400,82.4
809452800,77.2
809539200,77.6
809625600,77.9
809712000,75.7
809798400,76.4
809884800,76.3
809971200,75.9
810057600,78.5
810144000,82.9
810230400,76.8
810316800,79.9
810403200,76.3
810489600,76.4
810576000,78.5
810662400,79.5
810748800,75.9
810835200,81.2
810921600,82.9
811008000,78.9
811094400,80.5
811180800,80.1
811267200,80.8
811353600,78.0
811440000,77.8
811526400,78.4
811612800,80.7
811699200,79.4
811785600,76.2
811872000,79.4
811958400,79.0
812044800,78.8
812131200,81.0
812217600,81.6
812304000,78.8
812390400,80.5
812476800,79.2
812563200,81.4
812649600,78.2
812736000,78.0
812822400,77.1
812908800,78.6
812995200,77.5
813081600,80.9
813168000,76.0
813254400,81.3
813340800,78.7
813427200,79.6
813513600,82.9
813600000,81.4
813686400,80.5
813772800,71.9
813859200,71.9
813945600,77.0
814032000,77.0
814118400,78.5
814204800,81.5
814291200,79.0
814377600,81.1
814464000,80.0
814550400,80.9
814636800,80.9
814723200,82.0
814809600,78.2
814896000,81.9
814982400,77.9
815068800,77.1
815155200,79.8
815241600,77.9
815328000,79.3
815414400,74.3
815500800,77.4
815587200,71.3
815673600,76.3
815760000,81.5
815846400,81.6
815932800,81.5
816019200,79.9
