timestamp,value
788889600,43.3
788976000,38.7
789062400,28.6
789148800,31.5
789235200,21.8
789321600,29.9
789408000,43.4
789494400,34.0
789580800,31.8
789667200,27.7
789753600,25.4
789840000,30.5
789926400,42.4
790012800,48.1
790099200,55.8
790185600,54.2
790272000,49.7
790358400,42.5
790444800,38.7
790531200,42.9
790617600,42.5
790704000,35.9
790790400,33.7
790876800,35.2
790963200,36.5
791049600,34.2
791136000,32.8
791222400,25.4
791308800,25.6
791395200,30.8
791481600,33.5
791568000,39.7
791654400,37.7
791740800,23.5
791827200,33.1
791913600,21.7
792000000,11.2
792086400,17.3
792172800,20.9
792259200,22.7
792345600,30.4
792432000,37.5
792518400,21.4
792604800,19.9
792691200,26.2
792777600,28.5
792864000,39.8
792950400,37.4
793036800,36.0
793123200,37.7
793209600,40.1
793296000,38.1
793382400,35.1
793468800,37.7
793555200,40.8
793641600,31.7
793728000,27.8
793814400,26.9
793900800,33.5
793987200,37.9
794073600,34.2
794160000,31.8
794246400,35.3
794332800,39.5
794419200,40.4
794505600,40.7
794592000,49.9
794678400,35.1
794764800,27.1
794851200,27.1
794937600,27.1
795024000,38.4
795110400,45.3
795196800,46.1
795283200,44.4
795369600,45.4
795456000,50.6
795542400,45.5
795628800,45.8
795715200,48.1
795801600,46.8
795888000,45.8
795974400,44.0
796060800,43.8
796147200,49.3
796233600,47.2
796320000,44.4
796406400,46.1
796492800,43.5
796579200,46.6
796665600,44.9
796752000,41.9
796838400,42.9
796924800,49.0
797011200,31.1
797097600,34.6
797184000,48.2
797270400,39.2
797356800,46.3
797443200,45.2
797529600,47.8
797616000,45.2
797702400,51.5
797788800,50.2
797875200,48.0
797961600,50.6
798048000,47.2
798134400,52.5
798220800,53.9
798307200,57.5
798393600,51.1
798480000,56.9
798566400,56.0
798652800,50.0
798739200,54.2
798825600,56.6
798912000,57.8
798998400,59.7
799084800,56.4
799171200,49.4
799257600,48.8
799344000,48.4
799430400,56.9
799516800,59.3
799603200,56.0
799689600,60.1
799776000,57.5
799862400,56.9
799948800,59.8
800035200,51.5
800121600,52.1
800208000,54.9
800294400,62.4
800380800,58.8
800467200,51.6
800553600,60.1
800640000,56.0
800726400,63.5
800812800,57.2
800899200,62.7
800985600,66.0
801072000,68.1
801158400,65.4
801244800,68.4
801331200,63.2
801417600,57.3
801504000,62.2
801590400,59.8
801676800,62.0
801763200,68.0
801849600,70.5
801936000,74.2
802022400,70.9
802108800,71.4
802195200,71.1
802281600,70.9
802368000,69.8
802454400,72.2
802540800,75.1
802627200,68.0
802713600,66.4
802800000,66.2
802886400,66.2
802972800,62.4
803059200,65.9
803145600,69.9
803232000,72.1
803318400,73.1
803404800,75.2
803491200,77.8
803577600,78.9
803664000,69.1
803750400,66.9
803836800,67.7
803923200,66.5
804009600,68.9
804096000,70.6
804182400,69.3
804268800,62.9
804355200,68.3
804441600,72.7
804528000,73.2
804614400,73.4
804700800,70.7
804787200,75.1
804873600,74.6
804960000,77.2
805046400,77.7
805132800,78.6
805219200,70.6
805305600,73.6
805392000,72.6
805478400,73.3
805564800,77.1
805651200,82.3
805737600,86.4
805824000,80.8
805910400,74.2
805996800,73.9
806083200,82.2
806169600,80.2
806256000,79.4
806342400,79.1
806428800,77.5
806515200,80.5
806601600,80.7
806688000,82.5
806774400,84.3
806860800,80.9
806947200,84.9
807033600,85.0
807120000,82.2
807206400,83.0
807292800,84.3
807379200,77.3
807465600,83.3
807552000,79.9
807638400,69.2
807724800,72.2
807811200,73.8
807897600,76.6
807984000,76.5
808070400,78.9
808156800,80.2
808243200,80.3
808329600,78.7
808416000,77.7
808502400,78.5
808588800,81.1
808675200,82.7
808761600,75.0
808848000,72.5
808934400,75.9
809020800,80.1
809107200,75.2
809193600,80.7
809280000,71.7
809366400,72.0
809452800,76.5
809539200,70.4
809625600,70.5
809712000,72.8
809798400,73.9
809884800,78.4
809971200,75.2
810057600,72.1
810144000,75.3
810230400,77.0
810316800,76.9
810403200,78.1
810489600,70.6
810576000,66.3
810662400,67.6
810748800,62.5
810835200,69.5
810921600,73.7
811008000,76.4
811094400,66.9
811180800,64.6
811267200,64.5
811353600,67.4
811440000,64.5
811526400,64.0
811612800,70.1
811699200,71.5
811785600,59.4
811872000,58.2
811958400,61.7
812044800,61.3
812131200,64.4
812217600,67.8
812304000,60.3
812390400,59.3
812476800,60.8
812563200,64.9
812649600,67.9
812736000,70.3
812822400,67.8
812908800,70.5
812995200,59.7
813081600,64.8
813168000,59.9
813254400,60.1
813340800,64.5
813427200,68.5
813513600,69.7
813600000,67.5
813686400,59.0
813772800,53.8
813859200,51.8
813945600,58.0
814032000,60.4
814118400,62.5
814204800,66.4
814291200,55.7
814377600,58.6
814464000,61.9
814550400,58.8
814636800,52.6
814723200,55.6
814809600,63.5
814896000,53.8
814982400,48.9
815068800,47.4
815155200,51.8
815241600,54.1
815328000,58.5
815414400,47.6
815500800,41.2
815587200,42.1
815673600,52.6
815760000,47.5
815846400,36.5
815932800,41.9
816019200,58.9
816105600,43.7
816192000,34.1
816278400,40.0
816364800,45.4
816451200,39.4
816537600,37.9
816624000,38.3
816710400,42.2
816796800,41.4
816883200,47.2
816969600,40.8
817056000,38.7
817142400,39.0
817228800,34.5
817315200,40.4
817401600,45.0
817488000,52.7
817574400,34.2
817660800,30.7
817747200,40.9
817833600,41.9
817920000,39.5
818006400,46.8
818092800,36.6
818179200,42.0
818265600,37.4
818352000,31.3
818438400,28.9
818524800,23.8
818611200,20.3
818697600,21.0
818784000,23.2
818870400,23.0
818956800,32.8
819043200,33.8
819129600,34.2
819216000,31.5
819302400,25.9
819388800,21.8
819475200,22.8
819561600,30.1
819648000,31.6
819734400,31.3
819820800,28.5
819907200,29.6
819993600,26.5
820080000,29.4
820166400,30.4
820252800,30.5
820339200,32.1
820425600,35.6
820512000,34.8
820598400,25.6
820684800,17.7
820771200,18.5
820857600,10.4
820944000,12.9
821030400,19.5
821116800,22.7
821203200,24.9
821289600,22.4
821376000,25.5
821462400,34.7
821548800,32.6
821635200,33.7
821721600,22.6
821808000,36.0
821894400,34.5
821980800,48.4
822067200,30.7
822153600,28.4
822240000,33.2
822326400,35.9
822412800,42.9
822499200,33.5
822585600,30.4
822672000,45.8
822758400,33.5
822844800,30.0
822931200,35.1
823017600,25.7
823104000,18.0
823190400,26.1
823276800,17.9
823363200,12.7
823449600,10.9
823536000,18.1
823622400,25.1
823708800,33.8
