timestamp,value
788889600,76.1
788976000,78.3
789062400,78.6
789148800,78.6
789235200,78.3
789321600,78.1
789408000,77.9
789494400,75.6
789580800,75.2
789667200,75.3
789753600,75.2
789840000,73.3
789926400,73.4
790012800,75.7
790099200,75.2
790185600,76.1
790272000,77.8
790358400,77.3
790444800,76.0
790531200,78.6
790617600,78.2
790704000,71.4
790790400,72.2
790876800,76.2
790963200,76.9
791049600,75.0
791136000,75.9
791222400,74.8
791308800,77.1
791395200,81.4
791481600,81.5
791568000,75.2
791654400,75.7
791740800,80.9
791827200,81.4
791913600,80.8
792000000,78.5
792086400,75.1
792172800,74.4
792259200,74.2
792345600,73.5
792432000,71.1
792518400,70.9
792604800,73.2
792691200,70.7
792777600,74.0
792864000,76.9
792950400,78.5
793036800,75.0
793123200,73.4
793209600,75.9
793296000,74.1
793382400,74.7
793468800,75.8
793555200,72.3
793641600,71.5
793728000,71.5
793814400,73.5
793900800,73.5
793987200,76.0
794073600,75.5
794160000,73.8
794246400,74.2
794332800,75.9
794419200,78.7
794505600,79.8
794592000,82.3
794678400,81.6
794764800,72.8
794851200,70.3
794937600,70.6
795024000,73.4
795110400,69.1
795196800,73.7
795283200,71.7
795369600,70.4
795456000,73.5
795542400,72.5
795628800,73.7
795715200,69.8
795801600,71.9
795888000,73.6
795974400,74.2
796060800,77.4
796147200,69.8
796233600,71.4
796320000,72.8
796406400,71.7
796492800,69.5
796579200,70.3
796665600,74.2
796752000,72.2
796838400,71.1
796924800,71.4
797011200,69.8
797097600,71.3
797184000,66.3
797270400,65.7
797356800,66.4
797443200,65.6
797529600,64.4
797616000,67.5
797702400,68.3
797788800,65.0
797875200,66.6
797961600,68.2
798048000,70.4
798134400,69.5
798220800,69.9
798307200,69.8
798393600,71.6
798480000,69.0
798566400,68.7
798652800,67.5
798739200,70.8
798825600,66.3
798912000,67.9
798998400,68.6
799084800,69.3
799171200,64.9
799257600,68.4
799344000,65.6
799430400,70.5
799516800,59.4
799603200,63.9
799689600,63.9
799776000,65.8
799862400,65.5
799948800,65.7
800035200,63.9
800121600,65.3
800208000,66.1
800294400,66.3
800380800,70.0
800467200,70.1
800553600,67.3
800640000,67.2
800726400,68.1
800812800,61.1
800899200,66.6
800985600,63.6
801072000,63.2
801158400,65.3
801244800,65.9
801331200,62.6
801417600,63.1
801504000,59.0
801590400,59.4
801676800,61.9
801763200,62.3
801849600,61.6
801936000,61.6
802022400,61.6
802108800,63.0
802195200,61.6
802281600,61.5
802368000,62.1
802454400,62.4
802540800,61.1
