timestamp,value
788889600,58.9
788976000,49.5
789062400,46.6
789148800,45.5
789235200,42.6
789321600,52.1
789408000,54.0
789494400,57.7
789580800,64.4
789667200,69.7
789753600,72.2
789840000,72.0
789926400,70.1
790012800,61.2
790099200,59.3
790185600,67.7
790272000,71.5
790358400,70.8
790444800,57.5
790531200,57.3
790617600,63.3
790704000,69.8
790790400,57.1
790876800,52.9
790963200,62.1
791049600,66.2
791136000,71.2
791222400,69.6
791308800,59.7
791395200,53.1
791481600,51.9
791568000,58.2
791654400,64.5
791740800,69.5
791827200,62.1
791913600,58.6
792000000,63.6
792086400,67.1
792172800,63.8
792259200,60.8
792345600,71.7
792432000,74.7
792518400,63.4
792604800,61.4
792691200,69.7
792777600,74.3
792864000,74.2
792950400,58.1
793036800,57.4
793123200,61.5
793209600,61.2
793296000,61.9
793382400,62.2
793468800,71.6
793555200,69.7
793641600,70.1
793728000,71.6
793814400,73.3
793900800,72.1
793987200,61.4
794073600,55.1
794160000,46.9
794246400,49.9
794332800,60.9
794419200,70.6
794505600,69.6
794592000,51.0
794678400,53.8
794764800,60.8
794851200,67.2
794937600,71.3
795024000,75.4
795110400,73.3
795196800,66.2
795283200,64.3
795369600,64.2
795456000,66.7
795542400,68.1
795628800,72.8
795715200,75.1
795801600,74.2
795888000,74.8
795974400,76.0
796060800,75.8
796147200,78.2
796233600,75.4
796320000,72.2
796406400,65.1
796492800,55.8
796579200,59.9
796665600,61.9
796752000,65.8
796838400,71.6
796924800,75.1
797011200,71.6
797097600,71.9
797184000,72.1
797270400,73.0
797356800,74.8
797443200,78.7
797529600,72.2
797616000,66.1
797702400,68.6
797788800,70.9
797875200,75.4
797961600,77.9
798048000,79.1
798134400,78.3
798220800,79.0
798307200,80.3
798393600,78.8
798480000,81.8
798566400,68.6
798652800,64.7
798739200,66.3
798825600,69.9
798912000,75.3
798998400,73.0
799084800,77.1
799171200,75.2
799257600,77.4
799344000,76.3
799430400,77.5
799516800,79.7
799603200,80.2
799689600,80.5
799776000,81.5
799862400,82.4
799948800,80.4
800035200,81.0
800121600,82.7
800208000,82.9
800294400,84.8
800380800,84.4
800467200,83.9
800553600,83.6
800640000,82.9
800726400,82.0
800812800,80.2
800899200,74.1
800985600,76.8
801072000,80.6
801158400,80.5
801244800,82.1
801331200,81.3
801417600,80.1
801504000,82.8
801590400,83.8
801676800,81.6
801763200,83.4
801849600,81.1
801936000,82.7
802022400,84.3
802108800,83.8
802195200,83.3
802281600,82.7
802368000,83.9
802454400,85.6
802540800,86.3
802627200,86.7
802713600,86.6
802800000,80.3
802886400,77.6
802972800,76.3
803059200,77.6
803145600,78.6
803232000,80.3
803318400,79.4
803404800,80.7
803491200,82.2
803577600,81.3
803664000,81.7
803750400,81.5
803836800,83.2
803923200,82.5
804009600,82.8
804096000,82.9
804182400,83.3
804268800,85.6
804355200,82.4
804441600,81.2
804528000,81.2
804614400,82.6
804700800,84.9
804787200,86.2
804873600,85.9
804960000,84.6
805046400,82.5
805132800,82.7
805219200,81.4
805305600,82.0
805392000,82.1
805478400,82.6
805564800,82.3
805651200,82.5
805737600,82.5
805824000,83.0
805910400,83.0
805996800,83.8
806083200,84.7
806169600,84.6
806256000,86.0
806342400,85.4
806428800,84.6
806515200,83.8
806601600,84.9
806688000,85.1
806774400,84.7
806860800,82.9
806947200,85.3
807033600,83.9
807120000,85.7
807206400,85.6
807292800,85.2
807379200,84.9
807465600,85.0
807552000,85.1
807638400,82.1
807724800,81.8
