timestamp,value
788889600,35.1
788976000,35.4
789062400,33.4
789148800,28.9
789235200,26.5
789321600,28.8
789408000,31.6
789494400,34.1
789580800,40.3
789667200,44.1
789753600,38.4
789840000,36.8
789926400,37.6
790012800,42.2
790099200,44.0
790185600,39.8
790272000,44.1
790358400,44.1
790444800,41.8
790531200,46.9
790617600,43.1
790704000,49.4
790790400,43.5
790876800,42.9
790963200,44.0
791049600,47.1
791136000,37.3
791222400,48.0
791308800,47.7
791395200,39.6
791481600,38.3
791568000,51.0
791654400,42.5
791740800,41.6
791827200,46.0
791913600,46.4
792000000,49.5
792086400,47.3
792172800,45.7
792259200,36.4
792345600,39.7
792432000,48.8
792518400,48.9
792604800,48.7
792691200,46.9
792777600,50.5
792864000,46.8
792950400,44.5
793036800,42.3
793123200,47.2
793209600,50.3
793296000,45.4
793382400,41.3
793468800,40.1
793555200,40.0
793641600,41.2
793728000,37.7
793814400,39.6
793900800,48.8
793987200,48.2
794073600,39.1
794160000,39.1
794246400,36.2
794332800,36.6
794419200,40.1
794505600,39.8
794592000,40.3
794678400,40.7
794764800,44.5
794851200,48.8
794937600,47.9
795024000,45.6
795110400,41.3
795196800,41.3
795283200,41.2
795369600,47.8
795456000,46.2
795542400,43.0
795628800,39.3
795715200,40.5
795801600,39.9
795888000,45.9
795974400,49.8
796060800,46.9
796147200,49.4
796233600,40.7
796320000,35.1
796406400,37.7
796492800,40.1
796579200,44.1
796665600,52.8
796752000,53.3
796838400,51.2
796924800,50.5
797011200,49.8
797097600,50.2
797184000,51.3
797270400,43.6
797356800,43.5
797443200,46.6
797529600,50.7
797616000,50.6
797702400,47.5
797788800,46.7
797875200,46.9
797961600,44.2
798048000,46.8
798134400,47.4
798220800,40.1
798307200,39.8
798393600,42.6
798480000,49.8
798566400,51.5
798652800,52.0
798739200,56.3
798825600,56.6
798912000,47.9
798998400,46.3
799084800,50.8
799171200,51.3
799257600,53.6
799344000,59.2
799430400,61.5
799516800,63.1
799603200,66.3
799689600,65.3
799776000,66.2
799862400,58.2
799948800,50.3
800035200,48.7
800121600,48.3
800208000,49.3
800294400,48.3
800380800,45.7
800467200,48.8
