timestamp,value
788889600,33.3
788976000,34.7
789062400,34.2
789148800,32.5
789235200,26.2
789321600,25.0
789408000,31.6
789494400,30.7
789580800,29.3
789667200,28.1
789753600,25.1
789840000,25.8
789926400,18.7
790012800,21.1
790099200,21.9
790185600,16.3
790272000,20.5
790358400,16.1
790444800,12.0
790531200,21.9
790617600,23.0
790704000,24.4
790790400,21.5
790876800,32.0
790963200,35.7
791049600,37.7
791136000,38.7
791222400,34.4
791308800,36.0
791395200,37.9
791481600,40.8
791568000,30.0
791654400,32.2
791740800,34.0
791827200,31.7
791913600,30.3
792000000,32.3
792086400,36.6
792172800,46.3
792259200,47.5
792345600,37.9
792432000,38.6
792518400,36.0
792604800,42.9
792691200,39.1
792777600,39.6
792864000,40.4
792950400,40.7
793036800,44.8
793123200,43.3
793209600,43.2
793296000,45.2
793382400,47.4
793468800,45.6
793555200,45.8
793641600,47.7
793728000,47.5
793814400,53.0
793900800,45.8
793987200,44.6
794073600,50.2
794160000,51.6
794246400,53.1
794332800,50.5
794419200,57.2
794505600,48.8
794592000,45.7
794678400,45.2
794764800,46.6
794851200,44.1
794937600,41.9
795024000,29.6
795110400,25.0
795196800,28.6
795283200,34.0
795369600,39.7
795456000,45.3
795542400,52.0
795628800,55.9
795715200,36.9
795801600,39.9
795888000,39.0
795974400,38.3
796060800,41.4
796147200,48.3
796233600,51.4
796320000,44.7
796406400,32.7
796492800,34.6
796579200,36.1
796665600,40.3
796752000,44.8
796838400,53.4
796924800,60.1
797011200,52.4
797097600,53.0
797184000,58.1
797270400,54.1
797356800,41.9
797443200,40.7
797529600,36.5
797616000,39.6
797702400,41.9
797788800,44.6
797875200,49.8
797961600,54.4
798048000,46.0
798134400,48.4
798220800,55.9
798307200,59.4
798393600,62.3
798480000,61.7
798566400,59.7
798652800,56.3
798739200,59.1
798825600,59.5
798912000,58.1
798998400,60.8
799084800,59.5
799171200,59.2
799257600,59.8
799344000,54.7
799430400,46.8
799516800,48.8
799603200,50.9
799689600,53.7
799776000,58.5
799862400,58.8
799948800,64.4
800035200,63.5
800121600,57.4
800208000,57.2
800294400,62.1
800380800,59.7
800467200,53.2
800553600,55.2
800640000,52.1
800726400,55.6
800812800,60.6
800899200,57.0
800985600,59.6
801072000,59.1
801158400,57.6
801244800,60.4
801331200,65.2
