timestamp,value
788889600,34.9
788976000,34.9
789062400,29.0
789148800,28.0
789235200,31.0
789321600,27.8
789408000,29.7
789494400,27.9
789580800,27.0
789667200,28.2
789753600,31.4
789840000,31.8
789926400,31.1
790012800,23.1
790099200,18.1
790185600,23.4
790272000,19.1
790358400,14.5
790444800,20.4
790531200,24.2
790617600,23.7
790704000,26.3
790790400,34.8
790876800,38.1
790963200,34.9
791049600,47.8
791136000,40.9
791222400,35.2
791308800,40.5
791395200,41.5
791481600,35.2
791568000,30.8
791654400,32.5
791740800,35.1
791827200,32.1
791913600,39.7
792000000,42.3
792086400,50.3
792172800,48.1
792259200,42.8
792345600,33.5
792432000,34.7
792518400,45.3
792604800,43.0
792691200,42.8
792777600,45.3
792864000,44.3
792950400,45.1
793036800,41.1
793123200,40.0
793209600,42.0
793296000,47.0
793382400,41.9
793468800,43.5
793555200,39.2
793641600,44.8
793728000,44.5
793814400,40.2
793900800,40.3
793987200,42.5
794073600,40.2
794160000,42.0
794246400,45.9
794332800,39.7
794419200,39.0
794505600,41.7
794592000,41.9
794678400,40.2
794764800,43.0
794851200,40.5
794937600,42.0
795024000,41.9
795110400,34.9
795196800,31.2
795283200,33.3
795369600,38.1
795456000,44.8
795542400,48.9
795628800,42.1
795715200,41.1
795801600,39.3
795888000,38.0
795974400,40.1
796060800,48.0
796147200,44.7
796233600,48.6
796320000,37.2
796406400,34.4
796492800,38.0
796579200,37.6
796665600,36.9
796752000,49.7
796838400,59.4
796924800,57.2
797011200,48.5
797097600,53.4
797184000,56.0
797270400,46.1
797356800,40.8
797443200,38.7
797529600,36.3
797616000,40.5
797702400,39.4
797788800,36.4
797875200,40.8
797961600,48.7
798048000,49.8
798134400,52.0
798220800,55.6
798307200,58.4
798393600,62.2
798480000,64.6
798566400,67.1
798652800,62.9
798739200,57.1
798825600,50.8
798912000,51.7
798998400,58.1
799084800,57.3
799171200,59.0
799257600,58.2
799344000,52.2
799430400,46.8
799516800,52.1
799603200,55.1
799689600,58.8
799776000,60.5
799862400,61.0
799948800,57.9
800035200,56.2
800121600,54.5
800208000,58.8
800294400,60.9
800380800,48.0
800467200,49.5
800553600,52.8
800640000,54.3
800726400,57.9
800812800,53.1
800899200,50.4
800985600,53.6
801072000,57.4
801158400,59.1
801244800,61.4
801331200,63.4
801417600,67.1
801504000,71.9
801590400,70.8
801676800,71.0
801763200,68.1
801849600,68.6
801936000,64.1
802022400,61.2
802108800,57.6
802195200,60.9
802281600,61.7
802368000,63.5
802454400,60.2
802540800,63.5
802627200,65.7
802713600,64.5
802800000,65.3
802886400,61.6
802972800,62.3
803059200,63.9
803145600,61.0
803232000,64.7
803318400,64.6
803404800,65.0
803491200,67.6
803577600,67.8
803664000,71.9
803750400,66.0
803836800,58.8
803923200,59.2
804009600,58.3
804096000,62.8
804182400,68.6
804268800,72.3
804355200,67.2
804441600,69.9
804528000,72.2
804614400,72.8
804700800,78.0
804787200,72.1
804873600,68.6
804960000,69.9
805046400,70.3
805132800,71.4
805219200,74.8
805305600,76.0
805392000,76.1
805478400,80.0
805564800,78.5
805651200,71.8
805737600,69.4
805824000,73.8
805910400,72.6
805996800,73.6
806083200,73.1
806169600,72.4
806256000,73.8
806342400,76.2
806428800,75.8
806515200,71.8
806601600,70.2
806688000,71.3
806774400,75.6
806860800,75.9
806947200,74.3
807033600,74.8
807120000,74.8
807206400,70.5
807292800,66.3
807379200,66.0
807465600,68.7
807552000,70.2
807638400,70.3
807724800,72.5
807811200,71.6
807897600,64.5
807984000,68.4
808070400,70.5
808156800,66.6
808243200,68.1
808329600,70.7
808416000,69.4
808502400,65.4
808588800,68.0
808675200,73.8
808761600,72.3
808848000,68.5
808934400,70.5
809020800,72.4
809107200,76.2
809193600,72.7
809280000,69.5
809366400,69.7
809452800,66.0
809539200,55.7
809625600,55.3
809712000,54.8
809798400,53.9
809884800,54.1
809971200,55.5
810057600,58.3
810144000,56.5
810230400,56.7
810316800,57.3
810403200,60.6
810489600,61.8
810576000,59.5
810662400,59.9
810748800,61.4
810835200,63.7
810921600,66.9
811008000,65.9
811094400,60.9
811180800,59.2
811267200,58.4
811353600,59.8
811440000,59.3
811526400,56.8
811612800,56.8
811699200,52.9
811785600,54.1
811872000,54.2
811958400,52.8
812044800,54.8
812131200,59.1
812217600,52.5
812304000,48.8
812390400,49.7
812476800,44.8
812563200,47.7
812649600,52.9
812736000,59.4
812822400,60.7
812908800,61.8
812995200,60.6
813081600,57.6
813168000,60.5
813254400,58.9
813340800,59.1
813427200,58.4
813513600,57.1
813600000,58.0
813686400,54.6
813772800,50.5
813859200,54.4
813945600,51.5
814032000,53.9
814118400,56.3
814204800,50.8
814291200,42.4
814377600,40.4
814464000,38.6
814550400,38.3
814636800,40.0
814723200,39.9
814809600,44.1
814896000,50.1
814982400,48.7
815068800,49.3
815155200,46.0
815241600,43.7
815328000,40.7
815414400,35.2
815500800,33.0
815587200,35.5
815673600,38.1
815760000,32.5
815846400,30.2
815932800,32.4
816019200,33.3
816105600,38.5
816192000,40.0
816278400,40.7
816364800,42.2
816451200,49.5
816537600,49.8
816624000,37.0
816710400,32.1
816796800,32.5
816883200,25.9
816969600,21.5
817056000,20.0
817142400,24.6
817228800,22.7
817315200,26.8
817401600,32.5
817488000,39.1
817574400,40.5
817660800,38.4
817747200,36.7
817833600,36.7
817920000,36.2
818006400,35.4
818092800,31.2
818179200,30.8
818265600,33.9
818352000,34.5
818438400,34.6
818524800,31.8
818611200,30.5
818697600,29.6
818784000,30.5
818870400,34.9
818956800,29.3
819043200,25.8
819129600,29.3
819216000,32.1
819302400,33.7
819388800,35.0
819475200,31.1
819561600,26.9
819648000,36.5
819734400,39.5
819820800,35.9
819907200,35.5
819993600,30.8
820080000,21.1
820166400,13.9
820252800,19.9
820339200,24.8
820425600,33.5
820512000,31.5
820598400,25.4
820684800,26.7
820771200,21.9
820857600,17.3
820944000,25.1
821030400,34.6
821116800,34.2
821203200,36.2
821289600,36.4
821376000,36.4
821462400,33.2
821548800,31.5
821635200,30.8
821721600,22.2
821808000,23.4
821894400,23.0
821980800,24.7
822067200,26.4
822153600,23.6
822240000,20.4
822326400,21.3
822412800,20.7
822499200,18.8
822585600,23.9
822672000,32.4
822758400,30.4
822844800,30.0
822931200,26.7
823017600,20.1
823104000,14.5
823190400,14.0
823276800,27.8
823363200,30.9
823449600,22.8
823536000,21.1
823622400,20.1
823708800,22.2
823795200,18.7
823881600,19.9
823968000,21.7
824054400,24.9
824140800,28.2
824227200,31.9
824313600,27.2
824400000,26.2
824486400,37.8
824572800,36.3
824659200,35.2
824745600,35.2
824832000,31.6
824918400,27.5
825004800,25.3
825091200,22.8
825177600,23.4
825264000,25.0
825350400,26.0
825436800,27.9
825523200,26.9
825609600,31.0
825696000,29.9
825782400,27.7
825868800,25.3
825955200,26.7
826041600,35.0
826128000,32.7
826214400,29.7
826300800,30.3
826387200,28.3
826473600,27.5
826560000,27.9
826646400,31.7
826732800,35.7
826819200,38.7
826905600,40.2
826992000,39.9
827078400,33.3
827164800,35.8
827251200,30.6
827337600,34.9
827424000,39.0
827510400,40.4
827596800,40.8
827683200,44.3
827769600,42.9
827856000,41.8
827942400,38.5
828028800,37.1
828115200,38.6
828201600,38.1
828288000,39.8
828374400,42.6
828460800,47.4
828547200,53.4
828633600,53.6
828720000,53.4
828806400,52.8
828892800,51.7
828979200,51.3
829065600,48.6
829152000,49.4
829238400,46.8
829324800,38.1
829411200,33.2
829497600,39.4
829584000,45.1
829670400,50.9
829756800,53.6
829843200,57.1
829929600,57.4
830016000,57.1
830102400,58.8
830188800,61.3
830275200,62.5
830361600,61.5
830448000,61.9
830534400,58.9
830620800,60.1
830707200,64.0
830793600,62.3
830880000,61.6
830966400,62.2
831052800,57.7
831139200,55.6
831225600,58.7
831312000,59.5
831398400,64.0
831484800,64.9
831571200,64.1
831657600,58.3
831744000,62.2
831830400,65.8
831916800,63.9
832003200,62.8
832089600,66.9
832176000,64.2
832262400,67.3
832348800,71.1
832435200,73.0
832521600,63.7
832608000,57.1
832694400,55.8
832780800,56.5
832867200,61.0
832953600,68.6
833040000,62.5
833126400,62.3
833212800,56.5
833299200,55.2
833385600,60.9
833472000,65.6
833558400,69.0
833644800,71.7
833731200,75.2
833817600,72.5
833904000,66.0
833990400,67.7
834076800,71.7
834163200,75.5
834249600,77.2
834336000,78.5
834422400,79.3
834508800,75.5
834595200,69.2
834681600,60.6
834768000,59.5
834854400,60.6
834940800,62.2
835027200,67.2
835113600,67.2
835200000,67.8
835286400,65.2
835372800,67.2
835459200,55.4
835545600,59.2
835632000,61.7
835718400,62.6
835804800,62.2
835891200,61.9
835977600,67.8
836064000,59.9
836150400,59.3
836236800,64.2
836323200,64.4
836409600,67.1
836496000,71.5
836582400,73.1
836668800,70.5
836755200,73.3
836841600,58.0
836928000,60.0
837014400,60.1
837100800,60.3
837187200,66.4
837273600,71.7
837360000,74.2
837446400,69.0
837532800,60.6
837619200,61.2
837705600,58.4
837792000,58.9
837878400,61.5
837964800,60.5
838051200,63.7
838137600,66.0
838224000,64.5
838310400,65.3
838396800,67.7
838483200,71.8
838569600,74.5
838656000,73.8
838742400,69.7
838828800,71.2
838915200,73.7
839001600,74.8
839088000,64.2
839174400,57.9
839260800,62.4
