timestamp,value
788889600,82.4
788976000,75.1
789062400,73.7
789148800,77.1
789235200,79.5
789321600,71.3
789408000,71.4
789494400,75.2
789580800,66.3
789667200,61.8
789753600,67.1
789840000,72.0
789926400,74.3
790012800,78.3
790099200,81.9
790185600,72.5
790272000,65.0
790358400,70.5
790444800,75.2
790531200,74.3
790617600,74.3
790704000,77.8
790790400,80.4
790876800,71.7
790963200,71.3
791049600,75.6
791136000,76.3
791222400,67.6
791308800,67.2
791395200,69.3
791481600,77.5
791568000,67.5
791654400,67.7
791740800,71.8
791827200,66.9
791913600,65.3
792000000,68.2
792086400,74.5
792172800,75.3
792259200,77.2
792345600,72.4
792432000,74.0
792518400,75.0
792604800,77.1
792691200,75.5
792777600,73.2
792864000,73.6
792950400,68.3
793036800,60.4
793123200,70.9
793209600,79.3
793296000,76.4
793382400,65.5
793468800,64.6
793555200,68.8
793641600,68.0
793728000,71.0
793814400,75.0
793900800,69.7
793987200,68.8
794073600,71.2
794160000,74.5
794246400,66.6
794332800,63.5
794419200,67.8
794505600,68.6
794592000,64.8
794678400,67.4
794764800,70.6
794851200,71.1
794937600,70.3
795024000,70.2
795110400,68.8
795196800,71.3
795283200,69.0
795369600,64.0
795456000,80.2
795542400,70.1
795628800,73.9
795715200,78.0
795801600,74.6
795888000,75.0
795974400,70.4
796060800,72.1
796147200,67.6
796233600,73.4
796320000,74.6
796406400,62.8
796492800,60.1
796579200,60.8
796665600,61.4
796752000,61.9
796838400,66.7
796924800,72.8
797011200,75.4
797097600,69.9
797184000,69.7
797270400,70.2
797356800,63.2
797443200,56.4
797529600,55.7
797616000,55.1
797702400,56.9
797788800,60.0
797875200,64.6
797961600,62.3
798048000,64.5
798134400,67.3
798220800,61.6
798307200,51.1
798393600,52.6
798480000,52.7
798566400,57.4
798652800,61.0
798739200,61.7
798825600,61.9
798912000,63.5
798998400,62.1
799084800,59.9
799171200,63.5
799257600,60.8
799344000,55.0
799430400,62.7
799516800,68.1
799603200,57.6
799689600,55.0
799776000,53.3
799862400,65.0
799948800,63.7
800035200,58.4
800121600,55.2
800208000,57.2
800294400,63.2
800380800,63.9
800467200,62.9
800553600,62.5
800640000,56.7
800726400,48.7
800812800,47.3
800899200,49.3
800985600,56.3
801072000,53.0
801158400,47.0
801244800,48.1
801331200,47.7
801417600,46.0
801504000,49.6
801590400,50.8
801676800,51.6
801763200,52.7
801849600,55.3
801936000,56.7
802022400,50.6
802108800,53.8
802195200,57.0
802281600,66.8
802368000,59.4
802454400,47.6
802540800,45.3
802627200,53.8
802713600,57.2
802800000,47.1
802886400,56.5
802972800,46.2
803059200,38.3
803145600,46.7
803232000,46.0
803318400,42.5
803404800,46.4
803491200,48.3
803577600,46.9
803664000,51.1
803750400,57.0
803836800,62.0
803923200,51.3
804009600,39.1
804096000,45.7
804182400,46.5
804268800,43.2
804355200,35.5
804441600,44.8
804528000,46.3
804614400,49.2
804700800,47.3
804787200,48.8
804873600,58.5
804960000,48.9
805046400,52.2
805132800,54.7
805219200,55.7
805305600,49.2
805392000,59.5
805478400,49.4
805564800,48.4
805651200,46.9
805737600,44.4
805824000,41.4
805910400,41.6
805996800,39.7
806083200,39.7
806169600,40.7
806256000,46.1
806342400,51.4
806428800,56.1
806515200,61.7
806601600,53.4
806688000,49.0
806774400,54.2
806860800,51.5
806947200,52.9
807033600,40.1
807120000,40.3
807206400,48.4
807292800,47.1
807379200,43.0
807465600,39.1
807552000,45.1
807638400,51.4
807724800,51.7
807811200,48.1
807897600,44.9
807984000,41.7
808070400,48.2
808156800,52.4
808243200,54.4
808329600,54.0
808416000,46.8
808502400,42.9
808588800,42.8
808675200,45.9
808761600,45.0
808848000,47.8
808934400,47.5
809020800,54.1
809107200,61.5
809193600,64.1
809280000,58.7
809366400,60.6
809452800,57.2
809539200,55.1
809625600,59.8
809712000,50.9
809798400,56.6
809884800,58.0
809971200,45.3
810057600,47.3
810144000,58.1
810230400,71.8
810316800,78.0
810403200,73.5
810489600,58.1
810576000,53.6
810662400,53.9
810748800,60.5
810835200,44.5
810921600,47.1
811008000,51.9
811094400,54.8
811180800,64.3
811267200,67.8
811353600,61.5
811440000,45.3
811526400,47.1
811612800,52.7
811699200,57.8
811785600,57.3
811872000,60.8
811958400,64.5
812044800,63.6
812131200,52.7
812217600,51.6
812304000,54.4
812390400,57.4
812476800,58.4
812563200,58.8
812649600,60.5
812736000,61.7
812822400,63.6
812908800,62.3
812995200,63.1
813081600,57.0
813168000,54.5
813254400,54.3
813340800,56.6
813427200,54.6
813513600,51.2
813600000,56.5
813686400,61.4
813772800,56.9
813859200,55.0
813945600,62.5
814032000,64.9
814118400,66.2
814204800,65.2
814291200,71.4
814377600,70.9
814464000,74.4
814550400,67.5
814636800,57.4
814723200,54.4
814809600,54.2
814896000,54.5
814982400,58.4
815068800,65.3
815155200,70.3
815241600,76.6
815328000,79.4
815414400,80.8
815500800,82.1
815587200,73.6
815673600,66.0
815760000,69.9
815846400,63.5
815932800,62.2
816019200,63.2
816105600,56.3
816192000,61.0
816278400,68.2
816364800,67.9
816451200,63.1
816537600,62.6
816624000,60.4
816710400,65.0
816796800,70.0
816883200,72.6
816969600,67.5
817056000,65.7
817142400,67.0
817228800,69.6
817315200,68.7
817401600,59.4
817488000,68.4
817574400,75.9
817660800,74.1
817747200,70.7
817833600,71.4
817920000,74.2
818006400,76.9
818092800,75.5
818179200,81.6
818265600,75.4
818352000,59.5
818438400,64.0
818524800,73.9
818611200,70.8
818697600,71.7
818784000,71.0
818870400,66.9
818956800,72.5
819043200,81.8
819129600,75.3
819216000,88.8
819302400,72.3
819388800,76.2
819475200,79.0
819561600,70.4
819648000,72.8
819734400,75.1
819820800,73.7
819907200,70.9
819993600,72.5
820080000,74.0
820166400,77.2
820252800,77.1
820339200,76.1
820425600,75.9
820512000,77.7
820598400,82.9
820684800,74.2
820771200,71.1
820857600,72.8
820944000,77.0
821030400,77.4
821116800,77.0
821203200,82.6
821289600,74.2
821376000,70.4
821462400,68.7
821548800,66.4
821635200,70.9
821721600,73.9
821808000,74.0
821894400,71.7
821980800,71.5
822067200,72.0
822153600,76.0
822240000,77.7
822326400,70.2
822412800,73.3
822499200,79.0
822585600,77.0
822672000,75.5
822758400,74.2
822844800,78.7
822931200,81.2
823017600,75.4
823104000,70.9
823190400,68.8
823276800,72.2
823363200,73.3
823449600,70.3
823536000,65.6
823622400,76.4
823708800,70.9
823795200,72.0
823881600,66.1
823968000,58.9
824054400,66.8
824140800,71.2
824227200,72.9
824313600,74.5
824400000,78.2
824486400,78.8
824572800,78.2
824659200,80.7
824745600,73.8
824832000,71.8
824918400,79.4
825004800,73.9
825091200,66.0
825177600,69.4
825264000,78.3
825350400,77.6
825436800,77.3
825523200,70.1
825609600,63.5
825696000,70.0
825782400,72.0
825868800,72.6
825955200,70.2
826041600,72.8
826128000,74.3
826214400,77.0
826300800,73.5
826387200,74.1
826473600,73.6
826560000,71.3
826646400,72.7
826732800,74.1
826819200,74.8
826905600,74.8
826992000,75.8
827078400,77.6
827164800,77.1
827251200,76.5
827337600,77.5
827424000,69.0
827510400,63.4
827596800,58.8
827683200,64.1
827769600,66.2
827856000,64.6
827942400,74.0
828028800,76.2
828115200,74.2
828201600,68.8
828288000,72.7
828374400,70.1
828460800,63.4
828547200,65.6
828633600,70.8
828720000,69.0
828806400,58.2
828892800,68.6
828979200,71.4
829065600,57.4
829152000,64.1
829238400,70.6
829324800,63.1
829411200,68.3
829497600,62.2
829584000,53.7
829670400,50.5
829756800,44.6
829843200,59.5
829929600,59.0
830016000,64.8
830102400,64.0
830188800,63.4
830275200,63.4
