timestamp,value
788889600,36.2
788976000,28.4
789062400,22.6
789148800,15.2
789235200,10.9
789321600,21.0
789408000,28.4
789494400,22.2
789580800,20.9
789667200,15.7
789753600,21.3
789840000,42.5
789926400,54.8
790012800,56.4
790099200,57.8
790185600,37.4
790272000,33.0
790358400,38.6
790444800,38.8
790531200,42.4
790617600,36.2
790704000,28.2
790790400,24.9
790876800,29.7
790963200,31.5
791049600,27.8
791136000,25.9
791222400,15.4
791308800,14.7
791395200,19.0
791481600,28.9
791568000,34.1
791654400,23.0
791740800,14.9
791827200,24.3
791913600,8.0
792000000,2.7
792086400,13.4
792172800,11.7
792259200,15.9
792345600,27.7
792432000,22.7
792518400,6.0
792604800,13.7
792691200,15.6
792777600,20.3
792864000,34.1
792950400,25.8
793036800,34.7
793123200,38.4
793209600,33.0
793296000,29.5
793382400,18.8
793468800,32.5
793555200,27.4
793641600,20.5
793728000,14.1
793814400,24.5
793900800,29.2
793987200,27.9
794073600,20.5
794160000,17.5
794246400,23.2
794332800,32.7
794419200,39.2
794505600,45.7
794592000,35.2
794678400,17.6
794764800,16.4
794851200,32.7
794937600,51.8
795024000,53.3
795110400,56.0
795196800,52.4
795283200,48.8
795369600,39.3
795456000,35.6
795542400,42.2
795628800,56.6
795715200,44.4
795801600,37.2
795888000,36.7
795974400,34.7
796060800,35.8
796147200,40.7
796233600,36.3
796320000,40.9
796406400,38.5
796492800,38.1
796579200,35.1
796665600,32.9
796752000,37.7
796838400,39.5
796924800,38.1
797011200,22.0
797097600,31.4
797184000,33.5
797270400,35.9
797356800,37.1
797443200,32.3
797529600,44.4
797616000,55.1
797702400,41.8
797788800,38.0
797875200,37.1
797961600,39.0
798048000,40.5
798134400,45.9
798220800,55.7
798307200,44.2
798393600,55.2
798480000,45.9
798566400,41.7
798652800,41.8
798739200,43.3
798825600,46.1
798912000,53.5
798998400,46.1
799084800,46.8
799171200,43.2
799257600,46.6
799344000,52.4
799430400,52.1
799516800,51.7
799603200,54.6
799689600,50.3
799776000,49.0
799862400,48.8
799948800,55.0
800035200,62.4
800121600,54.6
800208000,50.8
800294400,58.0
800380800,66.4
800467200,56.9
800553600,58.9
800640000,62.3
800726400,52.2
800812800,53.1
800899200,55.0
800985600,61.0
801072000,56.4
801158400,59.8
801244800,62.0
801331200,56.4
801417600,60.6
801504000,59.6
801590400,60.3
801676800,62.9
801763200,58.1
801849600,61.7
801936000,66.6
802022400,69.7
802108800,67.6
802195200,66.0
802281600,66.3
802368000,72.2
802454400,73.4
802540800,57.9
802627200,58.4
802713600,67.3
802800000,70.8
802886400,60.0
802972800,59.3
803059200,64.6
803145600,64.5
803232000,65.2
803318400,69.0
803404800,75.2
803491200,76.2
803577600,78.0
803664000,71.3
803750400,73.5
803836800,75.8
803923200,74.4
804009600,74.7
804096000,73.4
804182400,71.3
804268800,71.6
804355200,73.6
804441600,72.6
804528000,70.9
804614400,62.7
804700800,62.3
804787200,71.4
804873600,77.8
804960000,78.5
805046400,72.1
805132800,61.2
805219200,61.4
805305600,67.5
805392000,71.5
805478400,70.7
805564800,76.7
805651200,76.7
805737600,82.6
805824000,79.2
805910400,76.2
805996800,72.8
806083200,71.9
806169600,71.3
806256000,72.5
806342400,72.1
806428800,73.6
806515200,71.3
806601600,74.9
806688000,75.7
806774400,75.6
806860800,76.9
806947200,76.7
807033600,73.7
807120000,74.2
807206400,77.2
807292800,74.6
807379200,76.1
807465600,76.4
807552000,74.2
807638400,72.1
807724800,70.9
807811200,71.5
807897600,70.8
807984000,74.1
808070400,75.1
808156800,77.3
808243200,72.1
808329600,77.3
808416000,82.5
808502400,77.6
808588800,75.4
808675200,77.5
808761600,72.5
808848000,77.9
808934400,76.3
809020800,69.9
809107200,66.1
809193600,71.7
809280000,62.8
809366400,67.7
809452800,66.5
809539200,63.9
809625600,68.8
809712000,65.4
809798400,73.5
809884800,65.8
809971200,62.2
810057600,63.8
810144000,67.9
810230400,66.4
810316800,70.2
810403200,71.7
810489600,55.4
810576000,58.0
810662400,53.5
810748800,54.1
810835200,64.3
810921600,71.2
811008000,67.4
811094400,55.7
811180800,61.5
811267200,63.8
811353600,55.1
811440000,51.9
811526400,57.3
811612800,60.2
811699200,58.6
811785600,48.8
811872000,48.5
811958400,51.2
812044800,54.7
812131200,60.4
812217600,57.1
812304000,58.6
812390400,64.4
812476800,63.8
812563200,66.7
812649600,55.5
812736000,55.1
812822400,54.4
812908800,60.2
812995200,60.8
813081600,53.7
813168000,53.7
813254400,54.4
813340800,59.1
813427200,61.8
813513600,64.0
813600000,59.9
813686400,49.6
813772800,45.9
813859200,46.3
813945600,59.1
814032000,55.2
814118400,63.0
814204800,47.4
814291200,46.6
814377600,57.7
814464000,57.4
814550400,48.4
814636800,46.8
814723200,55.0
814809600,54.4
814896000,43.6
814982400,42.9
815068800,40.4
815155200,46.5
815241600,58.2
815328000,52.2
815414400,33.7
815500800,33.4
815587200,36.5
815673600,41.2
815760000,36.5
815846400,27.7
815932800,37.9
816019200,50.0
816105600,31.7
816192000,29.6
816278400,34.8
816364800,31.8
816451200,31.0
816537600,31.2
816624000,33.1
816710400,34.1
816796800,37.5
816883200,38.4
816969600,32.1
817056000,31.9
817142400,28.0
817228800,29.6
817315200,35.9
817401600,39.0
817488000,34.8
817574400,26.2
817660800,29.2
817747200,39.2
817833600,31.1
817920000,37.3
818006400,36.6
818092800,32.2
818179200,31.9
818265600,24.6
818352000,22.1
818438400,25.4
818524800,10.0
818611200,11.1
818697600,11.8
818784000,12.7
818870400,28.9
818956800,35.2
819043200,33.2
819129600,26.8
819216000,25.7
819302400,20.6
819388800,14.1
819475200,18.7
819561600,24.4
819648000,26.2
819734400,25.3
819820800,25.8
819907200,20.1
819993600,17.7
820080000,20.3
820166400,25.2
820252800,26.1
820339200,32.1
820425600,31.2
820512000,18.7
820598400,13.3
820684800,5.7
820771200,8.5
820857600,0.3
820944000,7.8
821030400,11.7
821116800,20.8
821203200,17.8
821289600,9.9
821376000,19.7
821462400,23.6
821548800,33.3
821635200,18.9
821721600,20.4
821808000,43.3
821894400,49.9
821980800,39.9
822067200,17.4
822153600,23.5
822240000,30.4
822326400,37.6
822412800,37.4
822499200,19.8
822585600,27.5
822672000,35.4
822758400,23.0
822844800,24.7
822931200,21.7
823017600,12.5
823104000,9.0
823190400,8.9
823276800,4.0
823363200,2.3
823449600,5.9
823536000,11.2
823622400,26.8
823708800,39.5
823795200,36.2
823881600,34.1
823968000,35.9
824054400,12.5
824140800,10.3
824227200,20.2
824313600,18.2
824400000,11.8
824486400,12.1
824572800,13.8
824659200,19.2
824745600,41.6
824832000,43.4
824918400,34.8
825004800,38.7
825091200,41.7
825177600,37.0
825264000,35.1
825350400,35.2
825436800,36.0
825523200,18.2
825609600,20.7
825696000,28.6
825782400,19.6
825868800,18.3
825955200,26.7
826041600,24.4
826128000,14.7
826214400,10.9
826300800,9.9
826387200,15.1
826473600,19.8
826560000,29.9
826646400,36.5
826732800,43.6
826819200,37.6
826905600,29.2
826992000,33.0
827078400,37.6
827164800,42.7
827251200,35.1
827337600,29.4
827424000,23.7
827510400,28.2
827596800,31.2
827683200,52.5
827769600,27.7
827856000,20.1
827942400,27.7
828028800,36.8
828115200,38.4
828201600,45.1
828288000,39.7
828374400,32.7
828460800,33.3
828547200,29.7
828633600,30.9
828720000,33.4
828806400,30.8
828892800,31.0
828979200,30.9
829065600,33.2
829152000,38.8
829238400,48.4
829324800,41.7
829411200,37.9
829497600,44.8
829584000,40.8
829670400,37.4
829756800,46.0
829843200,61.5
829929600,62.6
830016000,49.4
830102400,49.6
830188800,45.3
830275200,39.0
830361600,49.6
830448000,55.9
830534400,37.6
830620800,41.8
830707200,46.2
830793600,48.1
830880000,46.9
830966400,46.8
831052800,52.3
831139200,49.0
831225600,47.1
831312000,47.4
831398400,48.1
831484800,55.2
831571200,56.6
831657600,64.1
831744000,47.7
831830400,40.5
831916800,41.7
832003200,45.7
832089600,53.5
832176000,54.7
832262400,59.6
832348800,69.3
832435200,65.3
832521600,69.0
832608000,63.0
832694400,57.2
832780800,57.9
832867200,54.5
832953600,52.3
833040000,56.4
833126400,57.8
833212800,58.2
833299200,52.7
833385600,53.8
833472000,55.5
833558400,61.4
833644800,69.5
833731200,64.6
833817600,62.0
833904000,57.5
833990400,60.8
834076800,66.5
834163200,66.8
834249600,65.2
834336000,73.0
834422400,70.3
834508800,66.3
834595200,66.3
834681600,67.2
834768000,64.9
834854400,68.8
834940800,69.0
835027200,65.2
835113600,70.8
835200000,70.8
835286400,68.2
835372800,70.3
835459200,63.2
835545600,67.8
835632000,65.1
835718400,63.4
835804800,66.0
835891200,70.2
835977600,73.0
836064000,75.3
836150400,72.7
836236800,70.4
836323200,61.8
836409600,62.7
836496000,65.7
836582400,70.4
836668800,72.3
836755200,71.9
836841600,64.9
836928000,60.6
837014400,64.3
837100800,70.0
837187200,73.3
837273600,74.2
837360000,69.9
837446400,70.4
837532800,72.9
837619200,72.5
837705600,72.7
837792000,63.0
837878400,66.4
837964800,69.2
838051200,69.9
838137600,70.0
838224000,71.6
838310400,67.4
838396800,65.3
838483200,64.1
838569600,68.2
838656000,69.5
838742400,67.4
838828800,65.7
838915200,67.4
839001600,69.3
839088000,71.7
839174400,74.2
839260800,76.3
839347200,78.6
839433600,76.9
839520000,69.3
839606400,66.5
839692800,64.2
839779200,66.2
839865600,67.9
839952000,70.7
840038400,73.7
840124800,68.6
840211200,68.6
840297600,68.5
840384000,71.5
840470400,73.5
840556800,74.7
840643200,72.8
840729600,75.3
840816000,70.5
840902400,69.5
840988800,71.5
841075200,68.0
841161600,66.8
841248000,66.9
