timestamp,value
788889600,31.0
788976000,30.1
789062400,25.9
789148800,23.1
789235200,12.0
789321600,21.0
789408000,27.8
789494400,22.1
789580800,23.6
789667200,6.6
789753600,-3.1
789840000,26.8
789926400,45.9
790012800,50.4
790099200,60.7
790185600,58.4
790272000,34.3
790358400,34.4
790444800,41.4
790531200,43.1
790617600,39.8
790704000,34.8
790790400,27.2
790876800,24.7
790963200,25.8
791049600,20.0
791136000,14.2
791222400,8.9
791308800,10.9
791395200,23.9
791481600,29.1
791568000,35.0
791654400,18.8
791740800,7.6
791827200,18.1
791913600,9.4
792000000,-7.9
792086400,-3.7
792172800,8.9
792259200,15.8
792345600,22.4
792432000,30.3
792518400,11.3
792604800,13.3
792691200,19.2
792777600,14.4
792864000,35.1
792950400,27.5
793036800,32.2
793123200,38.4
793209600,32.4
793296000,33.3
793382400,22.6
793468800,29.0
793555200,34.6
793641600,15.3
793728000,6.3
793814400,8.8
793900800,23.1
793987200,24.3
794073600,17.4
794160000,12.0
794246400,21.3
794332800,26.7
794419200,36.0
794505600,36.7
794592000,47.4
794678400,20.4
794764800,15.9
794851200,17.1
794937600,36.3
795024000,45.3
795110400,45.5
795196800,46.3
795283200,48.5
795369600,43.9
795456000,36.4
795542400,39.6
795628800,43.4
795715200,49.1
795801600,42.3
795888000,38.6
795974400,30.8
796060800,32.2
796147200,39.8
796233600,36.4
796320000,36.6
796406400,37.5
796492800,43.6
796579200,41.4
796665600,33.1
796752000,31.3
796838400,33.1
796924800,42.7
797011200,17.6
797097600,22.3
797184000,28.7
797270400,31.8
797356800,39.8
797443200,33.5
797529600,37.7
797616000,49.8
797702400,49.2
797788800,43.7
797875200,37.6
797961600,33.7
798048000,39.4
798134400,43.0
798220800,53.5
798307200,50.9
798393600,48.3
798480000,51.2
798566400,44.1
798652800,40.3
798739200,42.7
798825600,47.3
798912000,48.8
798998400,49.6
799084800,48.1
799171200,46.2
799257600,51.0
799344000,51.1
799430400,56.8
799516800,55.6
799603200,57.5
799689600,52.0
799776000,41.3
799862400,48.3
799948800,53.3
800035200,54.9
800121600,53.6
800208000,55.3
800294400,57.4
800380800,59.8
800467200,54.7
800553600,52.8
800640000,52.6
800726400,56.9
800812800,56.6
800899200,57.9
800985600,58.7
801072000,60.0
801158400,58.9
801244800,64.6
801331200,59.1
801417600,58.1
801504000,57.4
801590400,59.3
801676800,61.6
801763200,64.8
801849600,71.0
801936000,71.9
802022400,71.8
802108800,67.8
802195200,63.3
802281600,64.3
802368000,72.4
802454400,75.7
802540800,59.2
802627200,56.9
802713600,61.8
802800000,67.5
802886400,64.6
802972800,62.2
803059200,62.1
803145600,61.2
803232000,64.8
803318400,70.1
803404800,79.4
803491200,84.2
803577600,76.1
803664000,65.0
803750400,70.6
803836800,75.3
803923200,74.8
804009600,79.7
804096000,79.5
804182400,74.7
804268800,69.1
804355200,76.3
804441600,80.2
804528000,76.8
804614400,73.7
804700800,67.8
804787200,72.1
804873600,78.5
804960000,82.2
805046400,74.5
805132800,73.4
805219200,67.4
805305600,68.1
805392000,67.4
805478400,70.6
805564800,79.1
805651200,87.4
805737600,79.9
805824000,70.1
805910400,67.5
805996800,72.1
806083200,76.1
806169600,73.0
806256000,73.7
806342400,75.0
806428800,76.9
806515200,72.6
806601600,75.5
806688000,77.4
806774400,75.6
806860800,75.0
806947200,81.8
807033600,77.5
807120000,73.7
807206400,79.2
807292800,69.0
807379200,72.3
807465600,72.0
807552000,71.5
807638400,67.3
807724800,66.1
807811200,68.8
807897600,70.0
807984000,73.6
808070400,76.4
808156800,73.7
808243200,70.3
808329600,71.9
808416000,79.1
808502400,81.1
808588800,75.2
808675200,72.2
808761600,68.3
808848000,73.2
808934400,77.2
809020800,70.9
809107200,67.5
809193600,68.4
809280000,60.9
809366400,60.1
809452800,66.3
809539200,58.8
809625600,69.4
809712000,60.6
809798400,62.7
809884800,70.6
809971200,62.9
810057600,59.7
810144000,65.2
810230400,67.1
810316800,62.7
810403200,64.7
810489600,52.9
810576000,56.4
810662400,54.3
810748800,52.1
810835200,64.1
810921600,66.9
811008000,65.3
811094400,54.4
811180800,53.2
811267200,62.3
811353600,54.9
811440000,50.8
811526400,56.0
811612800,61.1
811699200,64.3
811785600,53.2
811872000,47.1
811958400,49.0
812044800,53.3
812131200,57.2
812217600,54.3
812304000,46.6
812390400,54.7
812476800,58.6
812563200,62.3
812649600,58.3
812736000,53.4
812822400,55.6
