timestamp,value
788889600,59.2
788976000,57.5
789062400,57.4
789148800,59.3
789235200,58.8
789321600,55.7
789408000,57.3
789494400,56.5
789580800,57.5
789667200,58.5
789753600,54.9
789840000,55.1
789926400,58.9
790012800,59.2
790099200,55.7
790185600,50.5
790272000,52.1
790358400,53.6
790444800,52.9
790531200,55.2
790617600,55.3
790704000,56.1
790790400,56.1
790876800,55.6
790963200,57.3
791049600,58.5
791136000,57.8
791222400,58.2
791308800,58.4
791395200,58.9
791481600,56.6
791568000,58.1
791654400,58.8
791740800,61.1
791827200,56.9
791913600,58.5
792000000,55.2
792086400,52.6
792172800,54.8
792259200,58.6
792345600,60.7
792432000,59.9
792518400,59.4
792604800,61.4
792691200,59.6
792777600,61.3
792864000,63.9
792950400,61.0
793036800,60.4
793123200,59.9
793209600,60.0
793296000,57.3
793382400,57.4
793468800,58.6
793555200,61.0
793641600,60.2
793728000,63.4
793814400,64.0
793900800,61.6
793987200,62.3
794073600,63.6
794160000,68.2
794246400,71.4
794332800,68.1
794419200,65.4
794505600,62.5
794592000,64.1
794678400,67.4
794764800,66.0
794851200,65.9
794937600,59.9
795024000,59.4
795110400,71.8
795196800,72.2
795283200,62.8
795369600,62.5
795456000,65.7
795542400,65.0
795628800,61.0
795715200,61.6
795801600,62.9
795888000,67.7
795974400,60.1
796060800,56.3
796147200,56.6
796233600,59.9
796320000,63.1
796406400,65.2
796492800,64.0
796579200,76.2
796665600,65.0
796752000,57.4
796838400,54.6
796924800,57.7
797011200,59.8
797097600,63.8
797184000,69.1
797270400,72.8
797356800,73.8
797443200,63.3
797529600,60.5
797616000,62.1
797702400,67.0
797788800,66.1
797875200,69.8
797961600,70.0
798048000,78.5
798134400,64.7
798220800,65.4
798307200,62.3
798393600,64.7
798480000,67.5
798566400,66.4
798652800,70.6
798739200,71.9
798825600,74.5
798912000,78.7
798998400,72.6
799084800,70.5
799171200,70.1
799257600,73.9
799344000,70.6
799430400,69.0
799516800,65.8
799603200,71.1
799689600,68.7
799776000,67.7
799862400,66.3
799948800,68.9
800035200,67.5
800121600,70.6
800208000,75.9
800294400,77.5
800380800,75.6
800467200,74.2
800553600,72.4
800640000,68.9
800726400,70.3
800812800,82.3
800899200,81.3
800985600,73.5
801072000,76.8
801158400,79.9
801244800,77.9
801331200,76.1
801417600,78.1
801504000,77.4
801590400,79.8
801676800,77.7
801763200,83.1
801849600,80.7
801936000,77.4
802022400,81.8
802108800,84.6
802195200,80.8
802281600,79.2
802368000,80.4
802454400,86.8
802540800,85.5
802627200,83.9
802713600,83.4
802800000,88.6
802886400,88.9
802972800,90.0
803059200,93.9
803145600,89.9
803232000,84.2
803318400,79.1
803404800,82.0
803491200,81.7
803577600,83.7
803664000,83.7
803750400,80.8
803836800,84.4
803923200,80.8
804009600,83.8
804096000,84.6
804182400,86.6
804268800,92.6
804355200,88.7
804441600,88.9
804528000,98.9
804614400,87.0
804700800,82.1
804787200,82.7
804873600,82.4
804960000,86.0
805046400,89.2
805132800,86.9
805219200,80.9
805305600,79.6
805392000,78.7
805478400,79.3
805564800,81.1
805651200,83.4
805737600,83.4
805824000,81.3
805910400,81.8
805996800,81.7
806083200,83.9
806169600,82.1
806256000,82.0
806342400,82.9
806428800,83.1
806515200,83.4
806601600,82.6
806688000,83.6
806774400,81.7
806860800,85.2
806947200,83.0
807033600,84.0
807120000,82.7
807206400,80.4
807292800,81.9
807379200,84.1
807465600,85.2
807552000,83.3
807638400,82.1
807724800,81.8
807811200,82.4
807897600,83.4
807984000,84.2
808070400,85.9
808156800,83.4
808243200,83.9
808329600,83.0
808416000,79.2
808502400,80.2
808588800,82.6
808675200,81.8
808761600,82.6
808848000,80.8
808934400,83.2
809020800,84.0
809107200,78.4
809193600,79.0
809280000,82.8
809366400,82.6
809452800,85.6
809539200,87.1
809625600,86.8
809712000,80.8
809798400,79.8
809884800,81.1
809971200,80.9
810057600,78.2
810144000,77.3
810230400,78.3
810316800,80.2
810403200,85.3
810489600,89.5
810576000,82.6
810662400,80.1
810748800,80.1
810835200,79.4
810921600,81.6
811008000,81.4
811094400,81.2
811180800,79.6
811267200,78.8
811353600,80.4
811440000,79.1
811526400,78.2
811612800,78.2
811699200,80.2
811785600,81.3
811872000,85.8
811958400,79.2
812044800,76.9
812131200,79.8
812217600,84.0
812304000,86.7
812390400,80.6
812476800,76.8
812563200,78.3
812649600,72.4
812736000,71.2
812822400,73.5
812908800,74.6
812995200,73.9
813081600,72.8
813168000,73.0
813254400,71.8
813340800,71.4
813427200,72.8
813513600,73.1
813600000,71.5
813686400,71.2
813772800,74.1
813859200,73.5
813945600,74.8
814032000,72.7
814118400,70.3
814204800,72.4
814291200,74.4
814377600,75.8
814464000,73.2
814550400,79.9
814636800,79.5
814723200,72.2
814809600,69.2
814896000,69.7
814982400,67.5
815068800,65.8
815155200,66.4
815241600,68.8
815328000,72.1
815414400,75.6
815500800,77.8
815587200,74.2
815673600,68.5
815760000,62.1
815846400,66.0
815932800,65.7
816019200,62.1
816105600,60.7
816192000,60.9
816278400,61.4
816364800,63.9
816451200,62.7
816537600,65.0
816624000,66.4
816710400,66.5
816796800,68.5
816883200,63.5
816969600,60.4
817056000,55.6
817142400,56.1
817228800,55.7
817315200,54.8
817401600,57.9
817488000,57.5
817574400,59.9
817660800,59.9
817747200,63.7
817833600,61.6
817920000,61.6
818006400,58.6
818092800,60.9
818179200,61.4
818265600,63.3
818352000,61.1
818438400,57.2
818524800,55.7
818611200,56.7
818697600,57.9
818784000,58.0
818870400,56.1
818956800,58.4
819043200,55.5
819129600,56.0
819216000,55.8
819302400,52.9
819388800,56.8
819475200,55.0
819561600,59.3
819648000,58.6
819734400,58.8
819820800,56.0
819907200,57.2
819993600,57.0
820080000,56.3
820166400,58.6
820252800,59.8
820339200,60.6
820425600,60.6
820512000,64.8
820598400,64.3
820684800,60.6
820771200,57.5
820857600,55.7
820944000,58.0
821030400,60.7
821116800,59.1
821203200,58.4
821289600,56.7
821376000,57.1
821462400,58.0
821548800,56.2
821635200,56.4
821721600,55.9
821808000,51.5
821894400,51.8
821980800,53.1
822067200,54.0
822153600,52.4
822240000,52.0
822326400,56.5
822412800,53.1
822499200,53.2
822585600,60.0
822672000,62.3
822758400,60.2
822844800,58.9
822931200,58.8
823017600,64.4
823104000,61.8
823190400,60.3
823276800,57.1
823363200,57.2
823449600,59.1
823536000,68.2
823622400,71.4
823708800,66.4
823795200,63.7
823881600,61.7
823968000,59.6
824054400,57.0
824140800,61.6
824227200,62.3
824313600,59.1
824400000,60.3
824486400,58.7
824572800,55.8
824659200,58.7
824745600,61.3
824832000,59.2
824918400,59.7
825004800,69.2
825091200,62.2
825177600,60.4
825264000,56.2
825350400,55.8
825436800,58.6
825523200,71.9
825609600,65.1
825696000,59.9
825782400,61.8
825868800,64.7
825955200,70.5
