timestamp,value
788889600,63.0
788976000,61.4
789062400,60.6
789148800,61.3
789235200,62.3
789321600,66.6
789408000,66.8
789494400,66.9
789580800,62.7
789667200,66.8
789753600,67.0
789840000,63.9
789926400,63.2
790012800,59.8
790099200,61.7
790185600,67.0
790272000,66.0
790358400,67.5
790444800,64.6
790531200,62.8
790617600,64.9
790704000,65.2
790790400,63.9
790876800,62.6
790963200,61.3
791049600,62.8
791136000,65.3
791222400,66.0
791308800,65.2
791395200,68.2
791481600,67.3
791568000,63.2
791654400,66.0
791740800,69.9
791827200,68.1
791913600,68.3
792000000,68.0
792086400,66.8
792172800,69.8
792259200,70.2
792345600,73.3
792432000,72.8
792518400,74.5
792604800,79.7
792691200,78.4
792777600,73.7
792864000,69.6
792950400,71.1
793036800,73.8
793123200,71.4
793209600,72.5
793296000,76.7
793382400,75.6
793468800,75.1
793555200,70.6
793641600,68.7
793728000,72.2
793814400,71.1
793900800,75.5
793987200,77.2
794073600,76.0
794160000,77.4
794246400,75.4
794332800,72.6
794419200,79.6
794505600,73.5
794592000,76.9
794678400,76.9
794764800,75.1
794851200,72.1
794937600,77.5
795024000,76.0
795110400,77.1
795196800,80.2
795283200,82.4
795369600,81.6
795456000,83.3
795542400,84.4
795628800,86.2
795715200,86.9
795801600,85.1
795888000,84.2
795974400,87.8
796060800,86.4
796147200,85.6
796233600,81.3
796320000,79.5
796406400,79.5
796492800,82.6
796579200,86.6
796665600,85.5
796752000,83.1
796838400,84.8
796924800,83.5
797011200,82.9
797097600,86.9
797184000,87.5
797270400,88.1
797356800,87.7
797443200,87.2
797529600,85.0
797616000,90.1
797702400,86.9
797788800,85.6
797875200,87.3
797961600,86.0
798048000,87.7
798134400,87.4
798220800,90.1
798307200,85.8
798393600,86.2
798480000,88.9
798566400,90.9
798652800,90.9
798739200,91.4
798825600,90.2
798912000,88.0
798998400,89.8
799084800,91.6
799171200,92.1
799257600,90.9
799344000,89.7
799430400,90.1
799516800,90.0
799603200,89.6
799689600,89.4
799776000,89.8
799862400,87.0
799948800,86.9
800035200,79.3
800121600,81.9
800208000,82.3
800294400,81.9
800380800,81.8
800467200,80.3
800553600,79.2
800640000,84.0
800726400,90.0
800812800,87.6
800899200,85.4
800985600,86.0
801072000,88.7
801158400,88.3
801244800,88.9
801331200,90.2
801417600,91.6
801504000,92.0
801590400,91.3
801676800,89.4
801763200,88.7
801849600,88.9
801936000,89.0
802022400,89.1
802108800,88.9
802195200,88.3
802281600,81.8
802368000,86.1
802454400,86.5
802540800,87.3
802627200,87.2
802713600,86.7
802800000,82.7
802886400,83.4
802972800,86.2
803059200,87.1
803145600,88.2
803232000,86.4
803318400,82.1
803404800,83.9
803491200,84.3
803577600,79.6
803664000,83.9
803750400,83.9
803836800,83.9
803923200,84.8
804009600,84.3
804096000,84.5
804182400,86.8
804268800,85.6
804355200,87.4
804441600,87.3
804528000,84.4
804614400,82.0
804700800,80.9
804787200,84.7
804873600,83.3
804960000,88.2
805046400,87.0
805132800,87.5
805219200,85.3
805305600,84.0
805392000,83.3
805478400,83.7
805564800,84.4
805651200,84.3
805737600,85.3
805824000,85.5
805910400,83.6
805996800,83.6
806083200,81.9
806169600,81.7
806256000,82.4
806342400,80.3
806428800,82.5
806515200,84.9
806601600,86.5
806688000,86.6
806774400,81.5
806860800,83.7
806947200,86.1
807033600,84.8
807120000,83.0
807206400,84.7
807292800,83.2
807379200,79.8
807465600,83.7
807552000,85.7
807638400,84.0
807724800,84.8
807811200,83.3
807897600,83.5
807984000,83.7
808070400,85.8
808156800,85.6
808243200,86.4
808329600,86.8
808416000,82.6
808502400,83.6
808588800,82.1
808675200,83.5
808761600,83.4
808848000,82.6
808934400,79.5
809020800,84.3
809107200,83.3
809193600,86.6
809280000,85.5
809366400,86.9
809452800,87.0
809539200,87.7
809625600,85.9
809712000,84.1
809798400,85.8
809884800,83.1
809971200,82.5
810057600,80.5
810144000,79.5
810230400,78.8
810316800,84.9
810403200,85.3
810489600,84.7
810576000,81.6
810662400,84.9
810748800,84.8
810835200,85.4
810921600,86.2
811008000,86.5
811094400,82.4
811180800,81.1
811267200,81.6
811353600,81.9
811440000,84.2
811526400,85.6
811612800,86.0
811699200,84.6
811785600,82.4
811872000,82.4
811958400,81.1
812044800,78.5
812131200,80.4
812217600,81.0
812304000,82.8
812390400,82.4
812476800,83.6
812563200,83.2
812649600,85.1
812736000,83.5
812822400,84.2
812908800,83.8
812995200,82.4
813081600,79.0
813168000,79.3
813254400,80.7
813340800,83.1
813427200,84.1
813513600,84.7
813600000,84.4
813686400,85.9
813772800,83.4
813859200,82.4
813945600,79.7
814032000,82.5
814118400,83.0
814204800,80.6
814291200,81.9
814377600,81.8
814464000,78.6
814550400,76.9
814636800,77.8
814723200,78.4
814809600,80.4
814896000,81.0
814982400,78.7
815068800,76.6
815155200,78.7
815241600,77.9
815328000,76.7
815414400,74.0
815500800,76.3
815587200,76.2
815673600,78.9
815760000,78.3
815846400,74.9
815932800,79.1
816019200,76.3
816105600,75.7
816192000,75.6
816278400,75.3
816364800,77.9
816451200,78.2
816537600,75.9
816624000,74.9
816710400,75.0
816796800,75.5
816883200,73.8
816969600,73.6
817056000,73.1
817142400,73.1
817228800,70.7
817315200,67.5
817401600,65.7
817488000,68.7
817574400,68.1
817660800,68.0
817747200,69.9
