timestamp,value
788889600,72.4
788976000,57.6
789062400,62.7
789148800,69.1
789235200,66.9
789321600,65.0
789408000,62.1
789494400,60.7
789580800,66.7
789667200,68.7
789753600,71.3
789840000,74.9
789926400,74.1
790012800,74.6
790099200,74.2
790185600,73.3
790272000,67.2
790358400,70.1
790444800,65.9
790531200,63.5
790617600,58.9
790704000,58.4
790790400,59.3
790876800,66.0
790963200,66.3
791049600,63.6
791136000,66.6
791222400,62.3
791308800,67.8
791395200,71.8
791481600,63.5
791568000,60.4
791654400,70.2
791740800,70.0
791827200,65.2
791913600,70.5
792000000,60.4
792086400,63.7
792172800,66.6
792259200,67.0
792345600,63.7
792432000,66.9
792518400,67.5
792604800,66.3
792691200,67.3
792777600,67.4
792864000,67.0
792950400,63.7
793036800,67.9
793123200,64.2
793209600,60.3
793296000,63.3
793382400,67.9
793468800,66.1
793555200,68.8
793641600,70.0
793728000,72.0
793814400,73.8
793900800,61.8
793987200,60.2
794073600,61.6
794160000,60.0
794246400,60.6
794332800,68.0
794419200,68.7
794505600,66.2
794592000,74.1
794678400,65.4
794764800,60.1
794851200,61.8
794937600,61.0
795024000,56.6
795110400,65.0
795196800,57.9
795283200,59.1
795369600,65.5
795456000,65.1
795542400,55.2
795628800,59.5
795715200,64.2
795801600,66.8
795888000,65.1
795974400,60.4
796060800,56.8
796147200,56.7
796233600,60.6
796320000,57.0
796406400,55.7
796492800,60.0
796579200,48.9
796665600,52.0
796752000,47.6
796838400,50.8
796924800,57.9
797011200,47.6
797097600,51.4
797184000,42.5
797270400,49.0
797356800,50.5
797443200,50.4
797529600,50.8
797616000,52.7
797702400,56.7
797788800,54.9
797875200,59.4
797961600,54.9
798048000,48.8
798134400,55.4
798220800,52.7
798307200,52.6
798393600,50.5
798480000,49.6
798566400,55.5
798652800,51.2
798739200,48.8
798825600,54.9
798912000,54.7
798998400,51.4
799084800,55.6
799171200,59.0
799257600,59.1
799344000,57.3
799430400,53.4
799516800,48.7
799603200,48.9
799689600,50.7
799776000,51.8
799862400,52.4
799948800,54.2
800035200,54.2
800121600,58.7
800208000,62.5
800294400,56.0
800380800,52.1
800467200,46.6
800553600,53.6
800640000,52.6
800726400,50.8
800812800,50.1
800899200,50.6
800985600,51.2
801072000,47.5
801158400,50.4
801244800,55.1
801331200,50.6
801417600,46.9
801504000,44.3
801590400,46.5
801676800,45.0
801763200,46.1
801849600,50.1
801936000,47.1
802022400,45.6
802108800,45.7
802195200,43.8
802281600,43.3
802368000,49.7
802454400,53.5
802540800,62.3
802627200,59.8
802713600,48.5
802800000,49.2
802886400,44.5
802972800,43.9
803059200,42.8
803145600,44.6
803232000,42.0
803318400,37.7
803404800,44.5
803491200,40.3
803577600,41.1
803664000,37.0
803750400,37.2
803836800,33.9
803923200,40.6
804009600,49.0
804096000,46.1
804182400,43.5
804268800,44.1
804355200,42.5
804441600,44.4
804528000,43.8
804614400,44.8
804700800,41.5
804787200,36.6
804873600,35.3
804960000,40.5
805046400,39.6
805132800,37.6
805219200,34.7
805305600,42.3
805392000,45.4
805478400,44.2
805564800,46.9
805651200,46.9
805737600,43.3
805824000,47.6
805910400,46.1
805996800,44.4
806083200,37.0
806169600,36.9
806256000,42.2
806342400,46.0
