timestamp,value
788889600,66.8
788976000,67.8
789062400,66.9
789148800,69.5
789235200,70.6
789321600,69.1
789408000,66.2
789494400,66.8
789580800,71.0
789667200,74.1
789753600,73.9
789840000,68.4
789926400,70.2
790012800,71.4
790099200,76.9
790185600,72.7
790272000,71.3
790358400,67.5
790444800,70.5
790531200,72.4
790617600,71.0
790704000,68.4
790790400,73.2
790876800,69.4
790963200,67.1
791049600,67.7
791136000,67.6
791222400,65.8
791308800,65.9
791395200,66.8
791481600,67.0
791568000,65.9
791654400,70.0
791740800,71.0
791827200,76.0
791913600,75.0
792000000,71.2
792086400,69.8
792172800,70.6
792259200,74.9
792345600,71.0
792432000,68.4
792518400,70.6
792604800,68.6
792691200,68.6
792777600,67.0
792864000,69.6
792950400,74.5
793036800,69.6
793123200,68.8
793209600,64.7
793296000,65.9
793382400,68.2
793468800,69.1
793555200,72.3
793641600,73.4
793728000,70.8
793814400,67.2
793900800,68.0
793987200,73.7
794073600,73.4
794160000,69.4
794246400,67.5
794332800,68.4
794419200,68.8
794505600,73.3
794592000,67.0
794678400,71.3
794764800,74.7
794851200,66.5
794937600,65.1
795024000,67.9
795110400,71.6
795196800,73.2
795283200,73.0
795369600,69.9
795456000,63.4
795542400,62.4
795628800,64.9
795715200,67.1
795801600,68.9
795888000,68.2
795974400,70.3
796060800,63.6
796147200,62.9
796233600,69.9
796320000,66.6
796406400,61.0
796492800,62.5
796579200,60.9
796665600,65.9
796752000,63.3
796838400,64.4
796924800,64.2
797011200,61.5
797097600,65.5
797184000,63.4
797270400,59.2
797356800,62.6
797443200,65.5
797529600,62.6
797616000,62.7
797702400,57.7
797788800,61.0
797875200,56.8
797961600,55.6
798048000,57.2
798134400,59.0
798220800,56.6
798307200,58.6
798393600,59.3
798480000,59.6
798566400,59.0
798652800,58.3
798739200,54.7
798825600,54.3
798912000,56.5
798998400,59.4
799084800,59.2
799171200,60.7
799257600,60.2
799344000,58.1
799430400,61.1
799516800,59.9
799603200,56.3
799689600,57.5
799776000,56.5
799862400,59.4
799948800,58.7
800035200,55.4
800121600,58.2
800208000,60.3
800294400,57.7
800380800,63.6
800467200,63.9
800553600,60.6
800640000,60.0
800726400,59.9
800812800,67.1
800899200,58.3
800985600,51.3
801072000,51.1
801158400,55.9
801244800,58.7
801331200,56.4
801417600,58.2
801504000,60.6
801590400,63.5
801676800,62.0
801763200,57.3
801849600,50.7
801936000,50.0
802022400,52.3
802108800,60.9
802195200,55.6
802281600,48.9
802368000,51.4
802454400,53.8
802540800,58.3
802627200,57.8
802713600,56.5
802800000,53.1
802886400,50.7
802972800,55.4
803059200,53.6
803145600,53.8
803232000,54.1
803318400,53.5
803404800,53.9
803491200,55.3
803577600,56.6
803664000,53.7
803750400,56.6
803836800,53.8
803923200,53.5
804009600,53.4
804096000,56.6
804182400,55.4
804268800,56.4
804355200,56.5
804441600,55.1
804528000,53.9
804614400,52.1
804700800,51.9
804787200,50.6
804873600,50.3
804960000,50.7
805046400,53.3
805132800,53.1
805219200,56.7
805305600,53.8
805392000,50.5
805478400,50.0
805564800,47.0
805651200,50.7
805737600,54.7
805824000,54.9
805910400,48.5
805996800,46.5
806083200,49.8
806169600,52.8
806256000,50.9
806342400,45.6
806428800,47.1
806515200,48.9
806601600,49.2
806688000,52.2
806774400,51.4
806860800,53.3
806947200,56.1
807033600,55.1
807120000,56.7
807206400,56.1
807292800,53.9
807379200,55.8
807465600,54.5
807552000,48.9
807638400,51.1
807724800,54.7
807811200,54.1
807897600,54.2
807984000,52.7
808070400,52.9
808156800,55.1
808243200,58.3
808329600,56.8
808416000,61.2
808502400,62.9
808588800,56.8
808675200,55.3
808761600,54.2
808848000,54.5
808934400,51.3
809020800,50.5
809107200,47.6
809193600,51.6
809280000,52.9
809366400,53.1
809452800,52.3
809539200,50.6
809625600,54.3
809712000,52.8
809798400,53.0
809884800,56.1
809971200,54.1
810057600,54.3
