timestamp,value
788889600,79.5
788976000,79.2
789062400,78.8
789148800,78.0
789235200,77.3
789321600,77.3
789408000,78.1
789494400,76.1
789580800,75.4
789667200,77.4
789753600,77.6
789840000,74.8
789926400,77.1
790012800,77.1
790099200,78.0
790185600,77.9
790272000,77.9
790358400,78.6
790444800,79.4
790531200,80.1
790617600,78.8
790704000,78.5
790790400,77.9
790876800,78.0
790963200,78.1
791049600,77.9
791136000,77.1
791222400,76.9
791308800,76.0
791395200,77.0
791481600,76.3
791568000,75.5
791654400,76.2
791740800,76.8
791827200,76.5
791913600,76.2
792000000,77.4
792086400,76.7
792172800,76.3
792259200,77.9
792345600,78.0
792432000,77.5
792518400,76.0
792604800,77.2
792691200,76.4
792777600,76.4
792864000,75.7
792950400,75.8
793036800,76.5
793123200,75.1
793209600,75.9
793296000,76.8
793382400,76.9
793468800,76.8
793555200,76.6
793641600,77.1
793728000,77.6
793814400,77.1
793900800,77.1
793987200,78.6
794073600,77.4
794160000,78.2
794246400,77.6
794332800,76.5
794419200,77.3
794505600,77.0
794592000,77.2
794678400,77.1
794764800,77.3
794851200,77.4
794937600,77.8
795024000,77.4
795110400,76.9
795196800,78.0
795283200,77.8
795369600,77.9
795456000,76.9
795542400,77.5
795628800,78.4
795715200,74.1
795801600,76.2
795888000,76.6
795974400,77.9
796060800,77.8
796147200,77.8
796233600,78.6
796320000,79.1
796406400,80.0
796492800,79.3
796579200,78.3
796665600,79.3
796752000,78.7
796838400,78.6
796924800,78.8
797011200,77.7
797097600,78.3
797184000,78.2
797270400,79.5
797356800,79.0
797443200,78.7
797529600,79.1
797616000,78.2
797702400,78.8
797788800,76.6
797875200,76.5
797961600,76.0
798048000,78.6
798134400,77.4
798220800,79.1
798307200,76.5
798393600,77.3
798480000,78.2
798566400,78.3
798652800,79.2
798739200,80.0
798825600,79.8
798912000,78.9
798998400,79.3
799084800,79.6
799171200,79.5
799257600,80.2
799344000,81.0
799430400,81.5
799516800,81.9
799603200,80.7
799689600,79.9
799776000,78.7
799862400,79.9
799948800,78.7
800035200,79.5
800121600,79.5
800208000,79.6
800294400,78.7
800380800,78.6
800467200,79.5
800553600,79.3
800640000,78.4
800726400,79.6
800812800,80.3
800899200,77.9
800985600,79.8
801072000,81.8
801158400,80.6
801244800,79.1
801331200,79.3
801417600,79.8
801504000,80.4
801590400,78.7
801676800,80.1
801763200,79.0
801849600,79.1
801936000,79.9
802022400,79.3
802108800,78.1
802195200,77.5
802281600,78.6
802368000,78.9
802454400,78.1
802540800,80.4
802627200,79.5
802713600,78.9
802800000,81.7
802886400,81.0
802972800,80.9
803059200,80.0
803145600,78.4
803232000,76.2
803318400,78.4
803404800,79.4
803491200,77.7
803577600,77.4
803664000,76.8
803750400,74.2
803836800,75.3
803923200,75.7
804009600,76.1
804096000,75.0
804182400,74.7
804268800,75.9
804355200,74.5
804441600,75.9
804528000,75.3
804614400,74.9
804700800,73.7
804787200,72.1
804873600,74.1
804960000,73.9
805046400,74.7
805132800,75.0
805219200,74.7
805305600,76.7
805392000,74.7
805478400,75.8
805564800,75.4
805651200,75.1
805737600,75.3
805824000,77.1
805910400,77.2
805996800,77.1
806083200,75.3
806169600,74.8
806256000,73.5
806342400,73.3
