timestamp,value
788889600,14.4
788976000,20.3
789062400,16.7
789148800,16.1
789235200,1.0
789321600,18.5
789408000,22.8
789494400,4.7
789580800,11.3
789667200,-7.8
789753600,-17.8
789840000,-0.5
789926400,18.5
790012800,28.4
790099200,41.6
790185600,41.2
790272000,31.8
790358400,26.0
790444800,28.8
790531200,30.5
790617600,29.7
790704000,26.8
790790400,24.0
790876800,21.9
790963200,18.5
791049600,9.8
791136000,0.2
791222400,7.9
791308800,14.5
791395200,17.1
791481600,3.5
791568000,21.8
791654400,14.5
791740800,3.5
791827200,2.3
791913600,14.4
792000000,-10.2
792086400,-10.8
792172800,0.0
792259200,6.8
792345600,13.4
792432000,17.9
792518400,8.3
792604800,4.2
792691200,13.0
792777600,12.9
792864000,28.4
792950400,13.1
793036800,19.5
793123200,29.2
793209600,20.7
793296000,17.3
793382400,15.4
793468800,19.2
793555200,28.0
793641600,12.7
793728000,1.1
793814400,-0.7
793900800,11.7
793987200,19.3
794073600,17.0
794160000,5.5
794246400,18.1
794332800,24.9
794419200,16.3
794505600,12.9
794592000,40.9
794678400,23.9
794764800,9.6
794851200,11.8
794937600,18.0
795024000,31.2
795110400,34.4
795196800,36.4
795283200,36.0
795369600,33.7
795456000,35.2
795542400,32.8
795628800,36.3
795715200,39.6
795801600,40.1
795888000,33.3
795974400,25.0
796060800,25.5
796147200,28.5
796233600,30.5
796320000,35.1
796406400,36.3
796492800,38.8
796579200,34.5
796665600,29.5
796752000,28.4
796838400,32.3
796924800,33.3
797011200,9.6
797097600,16.7
797184000,29.2
797270400,33.7
797356800,34.8
797443200,32.2
797529600,33.7
797616000,35.3
797702400,41.3
797788800,38.6
797875200,37.2
797961600,37.8
798048000,39.3
798134400,40.7
798220800,40.0
798307200,42.2
798393600,44.4
798480000,42.7
798566400,38.0
798652800,38.6
798739200,38.0
798825600,41.0
798912000,46.4
798998400,45.0
799084800,37.2
799171200,45.2
799257600,52.9
799344000,54.0
799430400,52.5
799516800,53.4
799603200,56.0
799689600,44.7
799776000,31.4
799862400,45.1
799948800,52.5
800035200,54.1
800121600,55.8
800208000,51.9
800294400,56.7
800380800,62.4
800467200,52.0
800553600,48.1
800640000,47.8
800726400,45.9
800812800,51.3
800899200,52.9
800985600,57.8
801072000,57.7
801158400,59.4
801244800,54.7
801331200,56.8
801417600,57.8
801504000,56.4
801590400,59.4
801676800,50.4
801763200,52.6
801849600,60.9
801936000,73.9
802022400,73.6
802108800,63.2
802195200,61.7
802281600,53.2
802368000,51.9
802454400,66.2
802540800,59.0
802627200,59.6
802713600,60.9
802800000,54.6
802886400,58.1
802972800,63.1
803059200,64.6
803145600,60.4
803232000,68.8
803318400,67.2
803404800,72.5
803491200,79.7
803577600,64.9
803664000,63.6
803750400,70.1
803836800,75.1
803923200,81.2
804009600,79.9
804096000,69.0
804182400,66.7
804268800,74.3
804355200,76.2
804441600,72.8
804528000,69.8
804614400,71.5
804700800,70.1
804787200,71.8
804873600,77.1
804960000,76.6
805046400,78.0
805132800,76.6
805219200,67.2
805305600,67.9
805392000,69.5
805478400,71.9
805564800,73.1
805651200,77.7
805737600,72.3
805824000,66.5
805910400,64.3
805996800,58.0
806083200,70.5
806169600,68.3
806256000,70.8
806342400,71.8
806428800,73.5
806515200,72.5
806601600,76.6
806688000,73.5
806774400,74.1
806860800,73.9
806947200,66.5
807033600,70.2
807120000,75.3
807206400,83.4
807292800,67.5
807379200,69.7
807465600,62.1
807552000,67.1
807638400,68.0
807724800,70.4
807811200,76.3
807897600,78.4
807984000,80.7
808070400,79.5
808156800,71.4
808243200,66.3
808329600,67.4
808416000,63.4
808502400,75.4
808588800,72.9
808675200,65.5
808761600,64.6
808848000,75.8
808934400,71.9
809020800,63.7
809107200,65.7
809193600,60.5
809280000,57.5
809366400,62.2
809452800,63.4
809539200,58.7
809625600,60.9
809712000,58.3
809798400,59.2
809884800,61.1
809971200,57.2
810057600,59.1
810144000,63.0
810230400,64.5
810316800,57.1
810403200,56.8
810489600,51.2
810576000,49.9
810662400,52.4
810748800,48.5
810835200,63.8
810921600,63.4
811008000,62.2
811094400,50.2
811180800,51.1
811267200,56.7
811353600,52.9
811440000,51.0
811526400,51.6
811612800,56.7
811699200,60.1
811785600,52.9
811872000,46.3
811958400,48.9
812044800,49.1
812131200,52.0
812217600,46.1
812304000,44.7
812390400,53.5
812476800,60.4
812563200,58.0
812649600,56.5
812736000,45.2
812822400,48.8
812908800,44.5
812995200,49.9
813081600,55.0
813168000,50.4
813254400,50.6
813340800,50.6
813427200,56.6
813513600,55.3
813600000,62.4
813686400,55.4
813772800,43.8
813859200,42.9
813945600,48.0
814032000,44.9
814118400,46.1
814204800,57.2
814291200,62.0
814377600,49.8
814464000,48.6
814550400,50.3
814636800,40.6
814723200,43.3
814809600,53.4
814896000,48.6
814982400,35.3
815068800,31.7
815155200,31.7
815241600,29.7
815328000,36.9
815414400,37.3
815500800,29.0
815587200,34.5
815673600,42.1
815760000,38.3
815846400,26.6
815932800,21.8
816019200,42.9
816105600,52.0
816192000,28.5
816278400,31.0
816364800,39.4
816451200,42.0
816537600,32.0
816624000,27.0
816710400,27.6
816796800,31.1
816883200,31.5
816969600,33.5
817056000,29.0
817142400,25.7
817228800,17.4
817315200,27.7
817401600,17.2
817488000,20.7
817574400,13.0
817660800,5.5
817747200,14.8
817833600,21.1
817920000,9.3
818006400,18.3
818092800,15.2
818179200,21.6
818265600,17.0
818352000,6.2
818438400,4.1
818524800,18.2
818611200,6.2
818697600,2.3
818784000,2.8
818870400,1.9
818956800,12.1
819043200,7.6
819129600,6.0
819216000,18.0
819302400,13.8
819388800,15.6
819475200,32.2
819561600,33.9
819648000,32.3
819734400,25.7
819820800,22.5
819907200,25.4
819993600,33.5
820080000,24.9
820166400,15.9
820252800,5.4
820339200,8.6
820425600,0.0
820512000,-5.3
820598400,-10.1
820684800,-6.4
820771200,-7.9
820857600,-2.0
820944000,-3.3
821030400,-2.6
821116800,5.6
821203200,11.3
821289600,12.5
821376000,7.8
821462400,23.1
821548800,13.2
821635200,3.6
821721600,-6.3
821808000,31.4
821894400,38.3
821980800,45.0
822067200,23.6
822153600,8.4
822240000,19.2
822326400,29.3
822412800,36.0
822499200,29.5
822585600,5.9
822672000,25.5
822758400,24.7
822844800,2.2
822931200,15.9
823017600,9.7
823104000,-3.3
823190400,-1.4
823276800,-1.9
823363200,-9.8
823449600,-5.9
823536000,1.7
823622400,7.5
823708800,28.2
823795200,32.1
823881600,24.9
823968000,11.8
824054400,12.1
824140800,-4.6
824227200,-1.2
824313600,6.4
824400000,10.4
824486400,17.9
824572800,13.6
824659200,1.9
824745600,27.0
824832000,39.7
824918400,40.2
825004800,39.0
825091200,36.6
825177600,34.7
825264000,29.5
825350400,28.4
825436800,23.2
825523200,13.3
825609600,13.9
825696000,20.4
825782400,25.7
825868800,12.6
825955200,11.0
826041600,14.1
826128000,11.7
826214400,13.6
826300800,12.1
826387200,13.7
826473600,25.8
826560000,35.2
826646400,39.1
826732800,42.2
826819200,34.8
826905600,23.2
826992000,19.7
827078400,26.7
827164800,36.7
827251200,33.7
827337600,33.3
827424000,36.4
827510400,32.8
827596800,28.5
827683200,33.7
827769600,39.3
827856000,21.1
827942400,18.7
828028800,26.5
828115200,26.1
828201600,29.9
828288000,39.8
828374400,35.4
828460800,25.9
828547200,26.5
828633600,39.4
828720000,37.1
828806400,36.9
828892800,35.0
828979200,32.3
829065600,31.3
829152000,33.6
829238400,37.6
829324800,33.8
829411200,33.5
829497600,39.8
829584000,38.9
829670400,38.5
829756800,39.5
829843200,43.6
829929600,50.3
830016000,53.4
830102400,54.4
830188800,52.0
830275200,44.2
830361600,40.5
830448000,50.0
830534400,50.7
830620800,39.9
830707200,46.7
830793600,45.1
830880000,50.9
830966400,53.7
831052800,53.0
831139200,53.9
831225600,47.4
831312000,42.1
831398400,49.8
831484800,56.3
831571200,52.1
831657600,50.0
831744000,47.2
831830400,34.9
831916800,38.2
832003200,45.4
832089600,49.3
832176000,55.6
832262400,60.2
832348800,59.0
832435200,52.9
832521600,50.3
832608000,55.8
832694400,61.4
832780800,56.4
832867200,47.9
832953600,41.2
833040000,47.3
833126400,54.1
833212800,55.1
833299200,53.6
833385600,50.5
