timestamp,value
788889600,10.1
788976000,17.5
789062400,9.3
789148800,6.3
789235200,20.9
789321600,18.6
789408000,26.5
789494400,34.5
789580800,41.0
789667200,45.0
789753600,43.4
789840000,34.3
789926400,35.2
790012800,42.1
790099200,44.4
790185600,30.0
790272000,21.8
790358400,17.8
790444800,27.1
790531200,23.5
790617600,15.6
790704000,10.7
790790400,21.2
790876800,23.6
790963200,31.7
791049600,34.3
791136000,33.2
791222400,30.8
791308800,25.5
791395200,27.8
791481600,36.4
791568000,42.6
791654400,41.8
791740800,33.6
791827200,43.1
791913600,34.0
792000000,36.6
792086400,33.5
792172800,29.5
792259200,30.2
792345600,23.3
792432000,4.5
792518400,1.8
792604800,4.7
792691200,8.7
792777600,11.7
792864000,21.4
792950400,34.3
793036800,38.3
793123200,36.6
793209600,44.6
793296000,46.1
793382400,44.5
793468800,39.6
793555200,44.9
793641600,47.9
793728000,42.0
793814400,29.5
793900800,13.8
793987200,8.4
794073600,15.1
794160000,27.9
794246400,31.9
794332800,23.1
794419200,18.1
794505600,23.6
794592000,34.1
794678400,47.1
794764800,52.4
794851200,57.5
794937600,43.3
795024000,41.0
795110400,46.2
795196800,50.4
795283200,46.0
795369600,39.3
795456000,44.4
795542400,47.1
795628800,40.7
795715200,55.2
795801600,47.1
795888000,40.3
795974400,46.2
796060800,34.3
796147200,28.9
796233600,23.9
796320000,23.7
796406400,23.1
796492800,27.5
796579200,37.5
796665600,42.1
796752000,42.0
796838400,39.6
796924800,43.5
797011200,52.9
797097600,47.6
797184000,52.6
797270400,52.5
797356800,37.3
797443200,23.2
797529600,29.9
797616000,44.1
797702400,57.2
797788800,49.8
797875200,33.6
797961600,33.9
798048000,34.3
798134400,35.5
798220800,33.1
798307200,37.3
798393600,38.3
798480000,37.2
798566400,37.9
798652800,37.7
798739200,41.0
798825600,31.3
798912000,37.1
798998400,40.8
799084800,38.1
799171200,39.5
799257600,36.6
799344000,48.6
799430400,45.3
799516800,46.0
799603200,50.1
799689600,43.8
799776000,45.5
799862400,42.5
799948800,42.0
800035200,46.2
800121600,54.2
800208000,52.1
800294400,36.4
800380800,35.6
800467200,56.0
800553600,56.6
800640000,51.0
800726400,53.3
800812800,50.7
800899200,50.6
800985600,56.5
801072000,42.5
801158400,36.4
801244800,41.3
801331200,44.7
801417600,47.0
801504000,44.4
801590400,47.1
801676800,49.2
801763200,52.3
801849600,54.7
801936000,57.4
802022400,63.6
802108800,57.8
802195200,55.8
802281600,60.9
802368000,58.9
802454400,52.0
802540800,43.1
802627200,37.9
802713600,43.5
802800000,53.3
802886400,66.8
802972800,69.8
803059200,70.6
803145600,71.5
803232000,73.4
803318400,62.0
803404800,56.1
803491200,63.1
803577600,63.8
803664000,66.2
803750400,63.3
803836800,59.5
803923200,57.6
804009600,60.0
804096000,63.5
804182400,67.8
804268800,52.4
804355200,50.8
804441600,54.4
804528000,60.1
804614400,66.3
804700800,63.3
804787200,59.2
804873600,61.3
804960000,66.8
805046400,71.3
805132800,75.0
805219200,78.2
805305600,71.5
805392000,72.6
805478400,73.2
805564800,72.9
805651200,66.1
805737600,64.6
805824000,65.2
805910400,66.2
805996800,70.5
806083200,65.1
806169600,64.8
806256000,69.5
806342400,66.7
806428800,64.8
806515200,69.3
806601600,70.2
806688000,73.9
806774400,75.3
806860800,74.1
806947200,82.8
807033600,73.8
807120000,61.2
807206400,66.8
807292800,74.6
807379200,71.2
807465600,73.4
807552000,71.4
807638400,74.7
807724800,79.5
807811200,78.8
807897600,65.0
807984000,71.8
808070400,76.6
808156800,78.0
808243200,74.9
808329600,63.5
808416000,72.4
808502400,77.5
808588800,79.9
808675200,66.0
808761600,59.6
808848000,66.5
808934400,69.7
809020800,81.3
809107200,75.6
809193600,72.4
809280000,73.5
809366400,71.3
809452800,74.3
809539200,79.0
809625600,78.0
809712000,65.8
809798400,65.4
809884800,69.0
809971200,77.5
810057600,72.7
810144000,73.1
810230400,73.7
810316800,65.4
810403200,56.0
810489600,58.4
810576000,58.7
810662400,61.2
810748800,59.7
810835200,62.5
810921600,63.3
811008000,60.6
811094400,68.5
811180800,64.1
811267200,66.4
811353600,58.6
811440000,42.8
811526400,33.8
811612800,30.6
811699200,39.5
811785600,47.4
811872000,42.4
811958400,47.5
812044800,53.4
812131200,61.0
812217600,58.7
812304000,53.8
812390400,46.3
812476800,50.6
812563200,43.2
812649600,46.2
812736000,45.7
812822400,40.1
812908800,38.8
812995200,49.2
813081600,45.2
813168000,50.7
813254400,49.9
813340800,63.4
813427200,61.6
813513600,38.4
813600000,44.4
813686400,53.7
813772800,59.5
813859200,51.5
813945600,58.4
814032000,41.9
814118400,42.2
814204800,55.7
814291200,33.9
814377600,27.0
814464000,31.9
814550400,36.6
814636800,43.5
814723200,37.1
814809600,33.4
814896000,33.7
814982400,33.7
815068800,28.4
815155200,19.3
815241600,11.7
815328000,18.5
815414400,24.3
815500800,40.1
815587200,38.7
815673600,32.7
815760000,40.2
815846400,48.4
815932800,26.7
816019200,27.9
816105600,45.0
816192000,39.5
816278400,45.7
816364800,42.3
816451200,49.7
816537600,40.3
816624000,51.4
816710400,41.2
816796800,32.0
816883200,34.9
816969600,44.8
817056000,41.2
817142400,48.7
817228800,50.6
817315200,43.0
817401600,27.2
817488000,27.1
817574400,41.1
817660800,49.0
