timestamp,value
788889600,52.3
788976000,53.5
789062400,45.8
789148800,39.9
789235200,36.4
789321600,41.1
789408000,64.8
789494400,44.2
789580800,42.9
789667200,48.1
789753600,51.3
789840000,58.7
789926400,61.9
790012800,67.4
790099200,62.2
790185600,53.3
790272000,53.5
790358400,50.7
790444800,54.8
790531200,51.1
790617600,45.3
790704000,46.2
790790400,44.4
790876800,41.0
790963200,38.6
791049600,45.8
791136000,43.5
791222400,54.5
791308800,51.8
791395200,41.2
791481600,42.0
791568000,43.5
791654400,55.0
791740800,52.9
791827200,54.0
791913600,40.3
792000000,34.7
792086400,37.6
792172800,37.7
792259200,29.5
792345600,41.5
792432000,56.5
792518400,49.5
792604800,42.2
792691200,45.8
792777600,53.7
792864000,66.2
792950400,60.7
793036800,47.7
793123200,47.1
793209600,54.0
793296000,51.9
793382400,45.1
793468800,50.1
793555200,57.7
793641600,49.6
793728000,51.4
793814400,61.2
793900800,65.8
793987200,61.3
794073600,52.7
794160000,51.0
794246400,52.5
794332800,52.7
794419200,61.5
794505600,65.5
794592000,68.3
794678400,49.0
794764800,43.0
794851200,51.8
794937600,61.5
795024000,62.9
795110400,65.5
795196800,61.6
795283200,63.4
795369600,66.0
795456000,61.5
795542400,56.2
795628800,60.0
795715200,69.2
795801600,67.7
795888000,74.3
795974400,65.4
796060800,57.2
796147200,59.8
796233600,63.8
796320000,68.6
796406400,59.7
796492800,62.0
796579200,58.9
796665600,58.4
796752000,58.0
796838400,59.5
796924800,64.9
797011200,63.4
797097600,58.1
797184000,61.5
797270400,65.4
797356800,68.6
797443200,71.2
797529600,70.1
797616000,72.0
797702400,72.5
797788800,65.1
797875200,63.2
797961600,68.5
798048000,72.8
798134400,74.7
798220800,75.6
798307200,76.8
798393600,77.1
798480000,75.2
798566400,70.2
798652800,70.1
798739200,59.0
798825600,62.6
798912000,65.8
798998400,68.1
799084800,70.8
799171200,71.4
799257600,73.1
799344000,74.0
799430400,64.1
799516800,66.9
799603200,74.8
799689600,69.7
799776000,68.3
799862400,72.9
799948800,74.7
800035200,77.6
800121600,76.3
800208000,79.1
800294400,78.9
800380800,80.0
800467200,80.4
800553600,74.6
800640000,78.7
800726400,82.1
800812800,78.4
800899200,70.0
800985600,69.7
801072000,75.2
801158400,73.3
801244800,74.9
801331200,75.7
801417600,77.2
801504000,78.1
801590400,78.0
801676800,78.1
801763200,78.1
801849600,73.8
801936000,78.9
802022400,80.9
802108800,75.8
802195200,77.6
802281600,75.5
802368000,75.5
802454400,78.4
802540800,84.4
802627200,86.9
802713600,81.8
802800000,82.5
802886400,81.4
802972800,71.8
803059200,71.2
803145600,72.6
803232000,74.2
803318400,72.5
803404800,74.5
803491200,68.8
803577600,71.6
803664000,76.0
803750400,77.4
803836800,78.2
803923200,79.9
804009600,80.3
804096000,80.4
804182400,82.4
804268800,79.7
804355200,75.5
804441600,76.9
804528000,80.2
804614400,79.5
804700800,77.1
804787200,82.2
804873600,84.4
804960000,83.6
805046400,79.1
805132800,82.0
805219200,81.5
805305600,82.7
805392000,83.1
805478400,78.7
