timestamp,value
788889600,41.9
788976000,43.9
789062400,33.6
789148800,33.3
789235200,28.0
789321600,26.4
789408000,41.2
789494400,36.6
789580800,40.9
789667200,41.9
789753600,44.9
789840000,54.6
789926400,55.9
790012800,63.7
790099200,58.9
790185600,50.7
790272000,47.9
790358400,48.3
790444800,47.7
790531200,43.5
790617600,39.5
790704000,36.5
790790400,37.2
790876800,33.9
790963200,33.8
791049600,41.3
791136000,39.2
791222400,43.8
791308800,34.4
791395200,31.5
791481600,37.6
791568000,40.1
791654400,48.7
791740800,45.2
791827200,42.7
791913600,31.0
792000000,25.6
792086400,29.7
792172800,28.6
792259200,22.9
792345600,34.6
792432000,42.1
792518400,38.0
792604800,30.5
792691200,37.6
792777600,38.9
792864000,44.1
792950400,47.4
793036800,40.7
793123200,44.4
793209600,51.9
793296000,48.1
793382400,38.5
793468800,53.0
793555200,53.5
793641600,41.3
793728000,50.8
793814400,56.2
793900800,57.5
793987200,54.2
794073600,48.2
794160000,43.7
794246400,37.6
794332800,43.0
794419200,48.3
794505600,60.6
794592000,61.3
794678400,38.2
794764800,37.0
794851200,50.6
794937600,60.6
795024000,61.6
795110400,61.9
795196800,59.2
795283200,61.2
795369600,63.3
795456000,61.5
795542400,52.3
795628800,55.1
795715200,61.2
795801600,64.5
795888000,71.6
795974400,59.3
796060800,53.9
796147200,57.5
796233600,57.8
796320000,60.1
796406400,56.5
796492800,57.5
796579200,54.4
796665600,51.7
796752000,53.1
796838400,53.9
796924800,59.1
797011200,57.2
797097600,55.0
797184000,60.1
797270400,66.8
797356800,67.4
797443200,71.3
797529600,58.1
797616000,61.4
797702400,63.8
797788800,58.6
797875200,59.2
797961600,66.9
798048000,67.3
798134400,68.9
798220800,75.5
798307200,73.2
798393600,70.2
798480000,69.4
798566400,58.4
798652800,47.7
798739200,51.8
798825600,59.4
798912000,61.8
798998400,63.5
799084800,64.0
799171200,69.0
799257600,61.6
799344000,58.3
799430400,54.6
799516800,58.3
799603200,62.6
799689600,62.1
799776000,63.1
799862400,67.9
799948800,68.9
800035200,71.2
800121600,72.9
800208000,70.3
800294400,69.0
800380800,67.8
800467200,73.7
800553600,72.7
800640000,75.6
800726400,77.7
800812800,73.5
800899200,65.3
800985600,66.9
801072000,70.2
801158400,71.5
801244800,72.6
801331200,74.9
801417600,77.3
801504000,72.9
801590400,66.1
801676800,72.4
801763200,74.3
801849600,70.5
801936000,72.3
802022400,72.3
802108800,72.0
802195200,76.6
802281600,72.3
802368000,68.0
802454400,74.0
802540800,79.5
802627200,80.4
802713600,74.4
802800000,76.8
802886400,72.6
802972800,66.6
803059200,65.9
803145600,71.7
803232000,70.6
803318400,70.2
803404800,71.4
803491200,65.9
803577600,66.1
803664000,72.9
803750400,72.2
803836800,72.8
803923200,75.9
804009600,74.4
804096000,75.7
804182400,78.3
804268800,75.7
804355200,73.0
804441600,73.1
804528000,74.7
804614400,72.7
804700800,75.8
804787200,75.3
804873600,79.7
804960000,82.0
805046400,76.1
805132800,78.0
805219200,76.1
805305600,77.7
805392000,81.5
805478400,82.1
805564800,81.0
805651200,78.9
805737600,80.9
805824000,81.4
805910400,77.4
805996800,82.5
806083200,81.4
806169600,78.4
806256000,80.6
806342400,79.4
806428800,81.0
806515200,81.2
806601600,83.5
806688000,83.7
806774400,77.5
806860800,75.8
806947200,79.3
807033600,82.2
807120000,79.8
807206400,76.9
807292800,79.6
807379200,77.0
807465600,78.1
807552000,79.0
807638400,80.6
807724800,79.1
807811200,72.8
807897600,71.9
807984000,75.6
808070400,77.9
808156800,82.0
808243200,85.1
808329600,86.3
808416000,83.7
808502400,83.1
808588800,84.3
808675200,85.2
808761600,75.2
808848000,77.0
808934400,76.7
809020800,81.7
809107200,80.5
809193600,76.4
809280000,79.0
809366400,74.5
809452800,73.3
809539200,75.5
809625600,76.3
809712000,78.1
809798400,78.4
809884800,76.5
809971200,72.0
810057600,69.7
810144000,70.9
810230400,71.0
810316800,72.0
810403200,72.4
810489600,76.1
810576000,75.5
810662400,76.0
810748800,69.5
810835200,70.3
810921600,72.4
811008000,74.3
811094400,73.7
811180800,67.3
811267200,72.5
811353600,71.8
811440000,68.4
811526400,70.0
811612800,73.4
811699200,73.8
811785600,56.7
811872000,51.2
811958400,57.4
812044800,65.3
812131200,67.8
812217600,67.1
812304000,65.8
812390400,63.9
812476800,66.2
812563200,69.0
812649600,70.4
812736000,66.0
812822400,72.4
812908800,71.0
812995200,72.3
813081600,65.2
813168000,63.4
813254400,63.5
813340800,68.1
813427200,67.2
813513600,68.5
813600000,71.0
813686400,59.3
813772800,57.0
813859200,56.6
813945600,56.3
814032000,61.4
814118400,62.4
814204800,54.6
814291200,52.8
814377600,56.5
814464000,64.9
814550400,61.4
814636800,57.5
814723200,62.9
814809600,61.0
814896000,52.5
814982400,51.9
815068800,52.4
815155200,55.4
815241600,63.3
815328000,64.7
815414400,48.8
815500800,38.2
815587200,42.9
815673600,49.9
815760000,48.8
815846400,37.0
815932800,43.6
816019200,55.8
816105600,40.4
816192000,42.1
816278400,42.9
816364800,37.9
816451200,37.7
816537600,41.6
816624000,43.6
