timestamp,value
788889600,48.4
788976000,36.8
789062400,33.0
789148800,35.3
789235200,23.2
789321600,30.8
789408000,41.6
789494400,36.5
789580800,40.3
789667200,41.4
789753600,45.6
789840000,57.8
789926400,58.8
790012800,63.3
790099200,55.5
790185600,46.5
790272000,40.4
790358400,46.6
790444800,53.5
790531200,38.5
790617600,36.4
790704000,34.4
790790400,38.9
790876800,34.6
790963200,36.2
791049600,41.5
791136000,36.1
791222400,49.8
791308800,45.3
791395200,35.4
791481600,36.0
791568000,39.9
791654400,55.4
791740800,50.0
791827200,40.8
791913600,30.6
792000000,23.2
792086400,30.3
792172800,22.5
792259200,21.2
792345600,35.2
792432000,38.6
792518400,28.4
792604800,29.6
792691200,37.3
792777600,44.5
792864000,48.0
792950400,48.0
793036800,49.0
793123200,49.7
793209600,51.7
793296000,48.0
793382400,41.1
793468800,54.4
793555200,50.6
793641600,41.8
793728000,50.4
793814400,55.8
793900800,57.0
793987200,47.4
794073600,40.7
794160000,38.6
794246400,43.6
794332800,47.7
794419200,48.9
794505600,57.3
794592000,44.4
794678400,36.3
794764800,39.4
794851200,51.8
794937600,59.4
795024000,60.9
795110400,62.4
795196800,57.8
795283200,58.8
795369600,61.0
795456000,64.3
795542400,55.9
795628800,60.5
795715200,59.0
795801600,62.1
795888000,73.2
795974400,59.4
796060800,54.3
796147200,62.0
796233600,67.2
796320000,60.0
796406400,54.7
796492800,55.5
796579200,52.3
796665600,50.0
796752000,51.3
796838400,54.4
796924800,61.3
797011200,53.8
797097600,58.3
797184000,60.9
797270400,65.3
797356800,68.3
797443200,70.9
797529600,72.2
797616000,64.2
797702400,60.0
797788800,56.0
797875200,59.7
797961600,65.4
798048000,67.0
798134400,69.5
798220800,72.8
798307200,69.9
798393600,71.3
798480000,64.5
798566400,62.8
798652800,54.5
798739200,53.1
798825600,56.5
798912000,60.2
798998400,59.2
799084800,58.8
799171200,66.3
799257600,61.9
799344000,56.5
799430400,55.5
799516800,58.7
799603200,62.9
799689600,60.7
799776000,65.9
799862400,70.9
799948800,75.7
800035200,72.9
800121600,72.5
800208000,65.5
800294400,65.0
800380800,71.9
800467200,73.9
800553600,70.0
800640000,74.8
800726400,76.4
800812800,70.2
800899200,64.5
800985600,66.1
801072000,70.6
801158400,71.0
801244800,73.5
801331200,72.9
801417600,76.4
801504000,77.7
801590400,74.5
801676800,76.0
801763200,73.6
801849600,68.7
801936000,72.5
802022400,74.8
802108800,73.6
802195200,76.4
802281600,77.6
802368000,78.6
802454400,75.0
802540800,82.6
802627200,83.2
802713600,79.9
802800000,77.1
802886400,69.9
802972800,65.1
803059200,65.3
803145600,69.7
803232000,72.6
803318400,71.3
803404800,69.8
803491200,70.1
803577600,69.0
803664000,70.1
803750400,71.8
803836800,74.8
803923200,77.3
804009600,75.1
804096000,75.9
804182400,76.2
804268800,76.0
804355200,78.2
804441600,77.2
804528000,74.5
804614400,74.5
804700800,75.4
804787200,75.6
804873600,76.0
804960000,80.0
805046400,78.4
805132800,75.3
805219200,75.7
805305600,79.4
805392000,79.9
805478400,83.1
805564800,84.1
805651200,85.2
805737600,83.0
805824000,78.9
805910400,82.7
805996800,83.9
806083200,80.3
806169600,80.8
806256000,81.9
806342400,81.4
806428800,79.0
806515200,81.3
806601600,81.1
806688000,84.4
806774400,77.5
806860800,76.1
806947200,82.0
807033600,82.1
807120000,82.1
807206400,80.4
807292800,79.0
807379200,80.3
807465600,79.1
807552000,81.0
807638400,78.7
807724800,78.3
807811200,74.8
807897600,75.8
807984000,77.1
808070400,79.9
808156800,83.3
808243200,84.2
808329600,83.5
808416000,84.0
808502400,83.7
808588800,82.7
808675200,80.7
808761600,83.0
808848000,78.8
808934400,78.3
809020800,82.6
809107200,81.4
809193600,76.8
809280000,77.6
809366400,75.2
809452800,78.6
809539200,77.6
809625600,78.3
809712000,76.1
809798400,80.2
809884800,75.5
809971200,72.1
810057600,70.9
810144000,72.3
810230400,71.1
810316800,72.8
810403200,73.9
810489600,74.7
810576000,75.1
810662400,76.0
810748800,75.8
810835200,75.6
810921600,72.9
811008000,69.1
811094400,72.7
811180800,73.3
811267200,73.4
811353600,68.0
811440000,68.3
811526400,69.2
811612800,70.7
811699200,64.1
811785600,53.9
811872000,56.5
811958400,61.1
812044800,64.7
812131200,63.4
812217600,64.2
812304000,65.9
812390400,64.6
812476800,68.2
812563200,67.8
