timestamp,value
788889600,36.8
788976000,40.2
789062400,43.7
789148800,42.5
789235200,41.7
789321600,41.6
789408000,41.5
789494400,45.1
789580800,44.6
789667200,42.4
789753600,43.4
789840000,43.2
789926400,43.8
790012800,41.2
790099200,43.4
790185600,43.8
790272000,43.4
790358400,43.8
790444800,44.8
790531200,43.2
790617600,44.3
790704000,44.6
790790400,46.0
790876800,40.4
790963200,40.1
791049600,43.5
791136000,41.4
791222400,40.9
791308800,41.8
791395200,41.4
791481600,41.7
791568000,41.5
791654400,39.8
791740800,42.7
791827200,42.4
791913600,42.1
792000000,41.2
792086400,44.4
792172800,45.0
792259200,44.3
792345600,45.5
792432000,47.0
792518400,47.1
792604800,50.8
792691200,50.0
792777600,47.5
792864000,46.2
792950400,44.4
793036800,45.4
793123200,45.1
793209600,44.4
793296000,42.1
793382400,43.3
793468800,45.9
793555200,43.1
793641600,46.8
793728000,45.3
793814400,49.8
793900800,50.6
793987200,50.0
794073600,49.8
794160000,49.8
794246400,51.6
794332800,52.0
794419200,53.6
794505600,56.0
794592000,52.0
794678400,46.6
794764800,51.6
794851200,49.8
794937600,45.6
795024000,48.5
795110400,50.1
795196800,55.9
795283200,52.7
795369600,44.1
795456000,46.9
795542400,46.8
795628800,53.5
795715200,58.4
795801600,58.0
795888000,59.7
795974400,54.2
796060800,51.6
796147200,52.3
796233600,56.3
796320000,56.5
796406400,58.0
796492800,54.9
796579200,51.8
796665600,52.0
796752000,54.2
796838400,51.2
796924800,54.8
797011200,58.5
797097600,56.7
797184000,59.6
797270400,57.9
797356800,57.8
797443200,62.9
797529600,65.3
797616000,63.9
797702400,64.1
797788800,61.0
797875200,67.0
797961600,64.3
798048000,62.1
798134400,61.2
798220800,65.6
798307200,61.2
798393600,67.4
798480000,60.0
798566400,62.6
798652800,60.5
798739200,63.6
798825600,65.2
798912000,62.9
798998400,62.6
799084800,65.1
799171200,71.6
799257600,69.8
799344000,72.9
799430400,66.7
799516800,65.7
799603200,68.1
799689600,69.3
799776000,71.8
799862400,74.9
799948800,75.9
800035200,73.0
800121600,77.2
800208000,80.3
800294400,68.7
800380800,60.4
800467200,67.1
800553600,68.4
800640000,73.8
800726400,72.2
800812800,69.5
800899200,62.7
800985600,65.7
801072000,71.1
801158400,75.0
801244800,74.9
801331200,75.3
801417600,79.5
801504000,73.2
801590400,78.3
801676800,80.8
801763200,77.9
801849600,80.2
801936000,81.2
802022400,75.4
802108800,80.0
802195200,77.8
802281600,72.4
802368000,73.8
802454400,81.0
802540800,82.8
802627200,76.8
802713600,77.3
802800000,80.2
802886400,73.6
802972800,67.8
803059200,74.5
803145600,73.3
803232000,75.3
803318400,78.1
803404800,70.2
803491200,73.7
803577600,78.5
803664000,74.3
803750400,79.1
803836800,79.5
803923200,77.4
804009600,79.7
804096000,81.4
804182400,81.6
804268800,77.5
804355200,74.1
804441600,74.2
804528000,71.8
804614400,70.0
804700800,68.0
804787200,70.9
804873600,73.9
804960000,71.1
805046400,75.5
805132800,79.1
805219200,79.8
805305600,79.9
805392000,83.2
805478400,82.2
805564800,75.7
805651200,78.7
805737600,74.4
805824000,72.9
805910400,76.4
805996800,75.0
806083200,78.3
806169600,81.8
806256000,82.6
806342400,74.6
806428800,78.5
806515200,79.5
806601600,80.7
806688000,82.6
806774400,80.6
806860800,81.5
806947200,80.1
807033600,80.9
807120000,80.9
807206400,81.9
807292800,78.6
807379200,80.3
807465600,81.8
807552000,79.2
807638400,78.6
807724800,79.5
807811200,82.5
807897600,79.1
807984000,75.2
808070400,68.6
808156800,75.1
808243200,76.8
808329600,78.1
808416000,77.3
808502400,73.0
