timestamp,value
788889600,72.4
788976000,73.5
789062400,72.6
789148800,75.2
789235200,74.8
789321600,76.4
789408000,78.4
789494400,78.6
789580800,78.1
789667200,79.3
789753600,77.9
789840000,79.0
789926400,73.4
790012800,76.7
790099200,73.7
790185600,77.0
790272000,71.1
790358400,72.6
790444800,76.1
790531200,75.7
790617600,74.2
790704000,74.3
790790400,74.8
790876800,75.1
790963200,75.0
791049600,76.7
791136000,75.8
791222400,74.7
791308800,75.1
791395200,77.2
791481600,77.9
791568000,77.9
791654400,76.8
791740800,78.2
791827200,78.2
791913600,78.9
792000000,78.8
792086400,76.9
792172800,76.8
792259200,77.8
792345600,77.9
792432000,77.7
792518400,77.1
792604800,76.6
792691200,76.9
792777600,77.3
792864000,79.7
792950400,80.9
793036800,81.9
793123200,81.9
793209600,81.2
793296000,80.2
793382400,80.2
793468800,79.5
793555200,80.6
793641600,79.8
793728000,78.7
793814400,81.0
793900800,80.2
793987200,80.3
794073600,80.6
794160000,80.8
794246400,80.6
794332800,82.4
794419200,81.2
794505600,79.6
794592000,80.4
794678400,80.2
794764800,80.7
794851200,82.1
794937600,82.2
795024000,81.5
795110400,82.0
795196800,81.4
795283200,81.8
795369600,81.0
795456000,82.5
795542400,83.8
795628800,82.4
795715200,81.6
795801600,81.8
795888000,83.7
795974400,83.3
796060800,84.0
796147200,84.2
796233600,82.6
796320000,84.2
796406400,84.2
796492800,85.1
796579200,84.3
796665600,84.7
796752000,84.6
796838400,84.2
796924800,84.5
797011200,84.3
797097600,84.6
797184000,86.1
797270400,88.1
797356800,87.2
797443200,85.4
797529600,84.7
797616000,83.8
797702400,86.8
797788800,86.4
797875200,85.3
797961600,84.8
798048000,86.8
798134400,86.9
798220800,86.0
798307200,85.2
798393600,86.3
798480000,86.7
798566400,88.3
798652800,87.5
798739200,88.5
798825600,87.1
798912000,86.6
798998400,87.5
799084800,88.2
799171200,88.4
799257600,88.4
799344000,89.2
799430400,88.1
799516800,87.9
799603200,82.1
799689600,77.8
799776000,78.3
799862400,78.3
799948800,84.6
800035200,85.1
800121600,90.1
800208000,89.9
800294400,87.9
800380800,88.7
800467200,87.3
800553600,89.2
800640000,89.6
800726400,89.4
800812800,86.5
800899200,83.3
800985600,86.5
801072000,87.2
801158400,88.6
801244800,87.1
801331200,85.0
801417600,86.6
801504000,86.1
801590400,87.1
801676800,88.8
801763200,90.3
801849600,91.0
801936000,90.5
802022400,91.0
802108800,90.7
802195200,92.2
802281600,91.9
802368000,92.6
802454400,94.1
802540800,92.1
802627200,92.7
802713600,93.9
802800000,90.2
802886400,89.7
802972800,88.3
803059200,88.8
803145600,89.2
803232000,87.5
803318400,88.4
803404800,89.7
803491200,89.9
803577600,91.3
803664000,86.5
803750400,86.5
803836800,84.1
803923200,85.6
804009600,85.1
804096000,87.4
804182400,86.7
804268800,85.0
804355200,87.3
804441600,88.9
804528000,89.4
804614400,90.3
804700800,89.7
804787200,89.6
804873600,90.3
804960000,88.0
805046400,87.7
805132800,87.6
805219200,86.5
805305600,81.0
805392000,83.9
805478400,84.5
805564800,86.2
805651200,83.6
805737600,83.8
805824000,84.5
805910400,85.6
805996800,84.1
806083200,83.7
806169600,84.8
806256000,86.3
806342400,85.8
806428800,84.7
806515200,85.3
806601600,81.2
806688000,85.1
806774400,81.6
806860800,83.2
806947200,83.4
807033600,86.0
807120000,84.9
807206400,87.1
807292800,86.9
807379200,86.5
807465600,86.1
807552000,84.6
807638400,85.5
807724800,81.1
807811200,82.9
807897600,83.5
807984000,85.2
808070400,82.9
808156800,86.1
808243200,85.4
808329600,82.9
808416000,81.3
808502400,85.5
808588800,86.3
808675200,81.0
808761600,82.9
808848000,84.8
808934400,83.5
809020800,84.2
809107200,82.7
809193600,85.3
809280000,83.3
809366400,83.4
809452800,85.1
809539200,83.9
809625600,82.9
809712000,83.1
809798400,84.4
809884800,86.9
809971200,86.5
810057600,86.2
810144000,84.5
810230400,85.7
810316800,83.8
810403200,81.7
810489600,82.6
810576000,82.0
810662400,78.3
810748800,79.1
810835200,82.5
810921600,84.1
811008000,85.4
811094400,86.7
811180800,83.5
811267200,83.0
811353600,85.4
811440000,86.2
811526400,86.4
811612800,83.2
