timestamp,value
788889600,8.8
788976000,19.0
789062400,11.3
789148800,5.0
789235200,18.9
789321600,22.8
789408000,29.3
789494400,37.2
789580800,42.2
789667200,45.9
789753600,42.8
789840000,36.0
789926400,36.0
790012800,38.3
790099200,43.6
790185600,34.5
790272000,24.6
790358400,22.3
790444800,29.0
790531200,31.8
790617600,23.2
790704000,20.3
790790400,28.9
790876800,32.9
790963200,36.9
791049600,35.6
791136000,36.6
791222400,30.7
791308800,26.8
791395200,33.9
791481600,41.5
791568000,47.2
791654400,45.9
791740800,33.5
791827200,43.8
791913600,35.7
792000000,37.4
792086400,32.4
792172800,29.1
792259200,29.5
792345600,22.7
792432000,4.6
792518400,3.0
792604800,2.9
792691200,18.4
792777600,17.5
792864000,26.4
792950400,38.8
793036800,40.4
793123200,35.9
793209600,47.4
793296000,44.6
793382400,46.9
793468800,40.7
793555200,45.0
793641600,51.2
793728000,47.9
793814400,36.2
793900800,15.5
793987200,9.8
794073600,10.8
794160000,27.3
794246400,35.6
794332800,35.1
794419200,23.9
794505600,20.7
794592000,32.0
794678400,47.8
794764800,51.6
794851200,58.5
794937600,50.1
795024000,44.3
795110400,48.6
795196800,47.5
795283200,48.9
795369600,39.9
795456000,45.4
795542400,47.7
795628800,40.6
795715200,55.0
795801600,49.1
795888000,38.6
795974400,44.7
796060800,35.0
796147200,30.7
796233600,28.3
796320000,22.3
796406400,20.3
796492800,24.6
796579200,35.1
796665600,40.1
796752000,43.8
796838400,38.7
796924800,46.0
797011200,54.0
797097600,47.2
797184000,53.4
797270400,53.4
797356800,38.2
797443200,23.0
797529600,23.0
797616000,42.3
797702400,50.3
797788800,50.7
797875200,36.2
797961600,39.5
798048000,32.0
798134400,33.3
798220800,30.3
798307200,34.3
798393600,33.2
798480000,33.4
798566400,34.3
798652800,37.6
798739200,44.4
798825600,30.1
798912000,36.6
798998400,44.4
799084800,35.2
799171200,38.7
799257600,36.9
799344000,39.4
799430400,39.8
799516800,43.6
799603200,46.9
799689600,47.8
799776000,48.3
799862400,39.4
799948800,41.6
800035200,44.1
800121600,49.8
800208000,49.6
800294400,43.7
800380800,36.2
800467200,55.1
800553600,56.6
800640000,45.8
800726400,45.7
800812800,52.6
800899200,47.5
800985600,53.3
801072000,46.2
801158400,34.8
801244800,35.4
801331200,39.8
801417600,45.8
801504000,44.6
801590400,43.6
801676800,45.3
801763200,43.6
801849600,50.5
801936000,56.6
802022400,59.2
802108800,53.7
802195200,52.3
802281600,57.8
802368000,60.9
802454400,51.1
802540800,45.9
802627200,43.6
802713600,44.3
802800000,48.3
802886400,64.7
802972800,67.6
803059200,69.1
803145600,69.6
803232000,68.9
803318400,66.3
803404800,57.2
803491200,64.0
803577600,68.3
803664000,66.8
803750400,62.5
803836800,57.3
803923200,55.6
804009600,57.9
804096000,62.6
804182400,66.3
804268800,54.9
804355200,48.3
804441600,50.3
804528000,57.2
804614400,59.0
804700800,61.8
804787200,58.8
804873600,61.1
804960000,68.2
805046400,73.5
805132800,74.3
805219200,74.4
805305600,74.6
805392000,77.8
805478400,77.4
805564800,74.3
805651200,62.3
805737600,61.6
805824000,63.9
805910400,65.6
805996800,63.3
806083200,64.5
806169600,62.6
806256000,67.6
806342400,64.4
806428800,64.7
806515200,67.2
806601600,69.3
806688000,73.1
806774400,74.7
806860800,74.7
806947200,78.2
807033600,77.4
807120000,55.3
807206400,60.6
807292800,70.6
807379200,67.1
807465600,66.6
807552000,66.9
807638400,71.0
807724800,77.7
807811200,80.0
807897600,70.5
807984000,74.9
808070400,76.2
808156800,74.8
808243200,73.6
808329600,62.0
808416000,67.4
808502400,72.1
808588800,76.2
808675200,69.9
808761600,60.0
808848000,63.7
808934400,69.5
809020800,75.0
809107200,71.5
809193600,69.9
809280000,71.3
809366400,69.5
809452800,70.4
809539200,70.2
809625600,71.8
809712000,69.8
809798400,67.6
809884800,73.7
809971200,79.0
810057600,71.3
810144000,71.2
810230400,74.1
810316800,64.8
810403200,50.8
810489600,55.5
810576000,55.7
810662400,56.8
810748800,59.8
810835200,61.5
810921600,61.8
811008000,59.3
811094400,66.6
811180800,64.2
811267200,63.0
811353600,58.4
811440000,45.8
811526400,38.3
811612800,28.4
811699200,36.5
811785600,45.4
811872000,41.8
811958400,46.0
812044800,50.9
812131200,58.1
812217600,57.4
812304000,53.6
812390400,47.1
812476800,49.5
812563200,47.0
812649600,50.1
812736000,45.3
812822400,38.3
812908800,39.7
812995200,46.1
813081600,49.0
813168000,48.9
813254400,52.1
813340800,60.5
813427200,59.9
813513600,42.9
813600000,46.5
813686400,58.4
813772800,56.1
813859200,53.1
813945600,55.7
814032000,41.9
814118400,43.6
814204800,55.6
814291200,40.9
814377600,28.8
814464000,35.3
814550400,41.3
814636800,47.4
814723200,39.9
814809600,38.2
814896000,39.0
814982400,34.0
815068800,34.4
815155200,22.6
815241600,10.7
815328000,16.9
815414400,26.6
815500800,41.9
815587200,41.7
815673600,35.4
815760000,46.7
815846400,49.0
815932800,27.9
816019200,30.4
816105600,47.7
816192000,35.1
816278400,44.1
816364800,41.7
816451200,47.3
816537600,42.4
816624000,52.0
816710400,46.3
816796800,37.4
816883200,35.5
816969600,48.5
817056000,42.1
817142400,49.3
817228800,53.6
817315200,46.5
817401600,24.7
817488000,23.1
817574400,43.2
817660800,51.8
817747200,52.0
817833600,47.3
817920000,38.4
818006400,40.2
818092800,29.9
818179200,28.5
818265600,31.2
818352000,12.1
818438400,9.5
818524800,36.7
818611200,49.2
818697600,42.1
818784000,45.2
818870400,37.3
818956800,36.2
819043200,33.6
819129600,25.3
819216000,24.0
819302400,19.9
819388800,21.1
819475200,23.0
819561600,16.9
819648000,15.6
819734400,27.7
819820800,31.8
819907200,31.7
819993600,24.6
820080000,25.5
820166400,25.5
820252800,28.8
820339200,31.3
820425600,22.7
820512000,14.3
820598400,31.8
820684800,24.0
820771200,4.5
820857600,8.2
820944000,24.5
821030400,44.4
821116800,38.7
821203200,37.3
821289600,32.8
821376000,42.6
821462400,44.1
821548800,44.4
821635200,40.4
821721600,43.8
821808000,22.8
821894400,4.0
821980800,20.8
822067200,27.3
822153600,34.2
822240000,21.1
822326400,11.6
822412800,18.0
822499200,16.9
822585600,3.8
822672000,12.4
822758400,29.0
822844800,21.8
822931200,1.3
823017600,0.4
823104000,-4.3
823190400,-10.8
823276800,-4.9
823363200,22.4
823449600,37.7
823536000,42.2
823622400,44.5
823708800,46.5
823795200,50.2
823881600,34.5
823968000,31.4
824054400,33.0
824140800,42.9
824227200,43.0
824313600,29.0
824400000,31.8
824486400,43.2
824572800,44.7
824659200,43.1
824745600,38.2
824832000,42.4
824918400,45.2
825004800,27.9
825091200,38.3
825177600,35.0
825264000,14.0
825350400,5.4
825436800,0.5
825523200,12.7
825609600,24.7
825696000,31.1
825782400,36.3
825868800,41.0
825955200,32.7
826041600,8.4
826128000,14.3
826214400,14.6
826300800,33.1
826387200,48.3
826473600,47.1
826560000,44.0
826646400,35.7
826732800,31.4
826819200,34.0
826905600,35.3
826992000,30.7
827078400,26.1
827164800,25.2
827251200,30.7
827337600,39.0
827424000,37.5
827510400,38.6
827596800,10.6
827683200,2.7
827769600,19.0
827856000,33.4
827942400,35.1
828028800,35.7
828115200,33.6
828201600,39.9
828288000,46.2
828374400,50.3
828460800,42.1
828547200,32.4
828633600,29.3
828720000,49.8
828806400,51.0
828892800,51.6
828979200,52.8
829065600,58.1
829152000,47.5
829238400,38.6
829324800,34.6
829411200,30.8
829497600,39.0
829584000,47.2
829670400,52.0
829756800,43.2
829843200,35.3
829929600,35.7
830016000,36.0
830102400,33.2
830188800,46.7
830275200,62.1
830361600,48.8
830448000,50.6
830534400,43.8
830620800,30.7
830707200,33.1
830793600,41.0
830880000,40.4
830966400,47.3
831052800,50.9
831139200,52.1
831225600,44.6
831312000,51.9
831398400,49.7
831484800,53.2
831571200,46.4
831657600,39.9
831744000,51.5
831830400,51.7
831916800,55.6
832003200,65.8
832089600,66.5
832176000,67.9
832262400,65.8
832348800,66.8
832435200,52.0
832521600,48.3
832608000,52.0
832694400,60.0
832780800,51.3
832867200,45.7
832953600,42.6
833040000,40.1
833126400,39.0
833212800,36.6
833299200,40.6
833385600,55.0
833472000,59.8
833558400,56.2
833644800,57.9
833731200,57.4
833817600,61.3
833904000,62.6
833990400,58.5
834076800,51.0
834163200,52.7
834249600,67.6
834336000,69.4
834422400,71.5
834508800,71.5
834595200,65.0
834681600,62.0
834768000,59.0
834854400,58.8
834940800,63.3
835027200,68.6
835113600,71.2
835200000,58.9
835286400,67.2
835372800,56.8
835459200,61.2
835545600,67.9
835632000,69.1
835718400,69.6
835804800,69.6
835891200,66.1
835977600,62.2
836064000,68.1
836150400,75.0
836236800,74.6
836323200,76.5
836409600,76.5
836496000,75.3
836582400,68.3
836668800,69.1
836755200,64.2
836841600,59.2
836928000,63.0
837014400,69.9
837100800,65.8
837187200,63.2
837273600,61.8
837360000,66.6
837446400,71.6
837532800,71.7
837619200,71.2
837705600,71.7
837792000,71.2
837878400,74.4
837964800,68.9
838051200,66.6
838137600,62.4
838224000,63.9
838310400,63.7
838396800,64.2
838483200,66.2
838569600,63.5
838656000,65.1
838742400,65.3
838828800,65.5
838915200,72.2
839001600,67.9
839088000,66.5
839174400,65.2
839260800,64.7
839347200,58.5
839433600,64.2
839520000,66.4
839606400,67.1
839692800,68.0
