timestamp,value
788889600,23.7
788976000,13.8
789062400,14.1
789148800,3.8
789235200,5.0
789321600,21.4
789408000,23.2
789494400,13.5
789580800,14.9
789667200,22.2
789753600,31.1
789840000,40.3
789926400,35.8
790012800,36.7
790099200,33.8
790185600,33.0
790272000,34.5
790358400,36.1
790444800,34.1
790531200,31.0
790617600,24.9
790704000,21.0
790790400,19.8
790876800,16.7
790963200,16.4
791049600,18.6
791136000,22.7
791222400,30.3
791308800,26.2
791395200,24.7
791481600,27.4
791568000,36.5
791654400,33.6
791740800,32.2
791827200,24.5
791913600,10.3
792000000,9.3
792086400,14.7
792172800,11.6
792259200,22.7
792345600,32.4
792432000,9.8
792518400,3.8
792604800,15.3
792691200,16.3
792777600,32.0
792864000,26.1
792950400,28.2
793036800,40.0
793123200,39.9
793209600,37.1
793296000,29.7
793382400,34.5
793468800,38.8
793555200,33.3
793641600,37.5
793728000,31.2
793814400,31.6
793900800,30.8
793987200,18.1
794073600,16.7
794160000,21.8
794246400,29.6
794332800,34.7
794419200,33.5
794505600,32.3
794592000,25.8
794678400,23.2
794764800,35.9
794851200,48.4
794937600,56.3
795024000,60.4
795110400,60.8
795196800,56.6
795283200,51.4
795369600,42.7
795456000,44.6
795542400,49.6
795628800,48.5
795715200,42.6
795801600,39.4
795888000,37.6
795974400,36.4
796060800,40.0
796147200,44.4
796233600,42.1
796320000,40.2
796406400,38.8
796492800,39.9
796579200,38.2
796665600,35.4
796752000,43.2
796838400,53.1
796924800,34.9
797011200,29.7
797097600,53.5
797184000,41.6
797270400,42.4
797356800,38.1
797443200,36.0
797529600,45.0
797616000,42.7
797702400,45.5
797788800,44.5
797875200,44.6
797961600,52.2
798048000,49.5
798134400,55.1
798220800,48.8
798307200,43.9
798393600,46.4
798480000,47.8
798566400,47.2
798652800,46.8
798739200,48.0
798825600,50.5
798912000,48.2
798998400,51.7
799084800,52.6
799171200,45.2
799257600,44.6
799344000,50.0
799430400,50.6
799516800,52.3
799603200,53.9
799689600,55.6
799776000,61.9
799862400,58.4
799948800,57.9
800035200,52.6
800121600,56.2
800208000,60.7
800294400,61.7
800380800,64.3
800467200,62.0
800553600,66.6
800640000,60.9
800726400,51.8
800812800,59.4
800899200,65.0
800985600,61.9
801072000,62.2
801158400,65.5
801244800,51.9
801331200,52.3
801417600,55.7
801504000,57.6
801590400,66.9
801676800,59.4
801763200,66.5
801849600,70.5
801936000,71.7
802022400,67.0
802108800,66.6
802195200,67.0
802281600,68.8
802368000,72.3
802454400,76.4
802540800,54.3
802627200,56.3
802713600,63.8
802800000,63.2
802886400,61.0
802972800,65.8
803059200,73.5
803145600,74.1
803232000,77.9
803318400,79.5
803404800,81.0
803491200,82.2
803577600,84.2
803664000,78.4
803750400,79.5
803836800,79.4
803923200,78.0
804009600,76.8
804096000,75.1
804182400,71.9
804268800,72.4
804355200,75.1
804441600,75.3
804528000,66.9
804614400,64.8
804700800,70.2
804787200,73.4
804873600,75.8
804960000,73.6
805046400,72.3
805132800,69.6
805219200,73.5
805305600,72.2
805392000,79.7
805478400,83.5
805564800,90.6
805651200,91.4
805737600,88.9
805824000,81.6
805910400,78.7
805996800,75.4
806083200,76.0
806169600,74.9
806256000,74.2
806342400,75.4
806428800,76.4
806515200,77.4
806601600,79.8
806688000,78.0
806774400,78.5
806860800,78.6
806947200,82.2
807033600,83.6
807120000,84.7
807206400,78.4
807292800,73.8
807379200,74.2
807465600,78.1
807552000,75.8
807638400,76.8
807724800,79.2
807811200,79.4
807897600,75.1
807984000,78.4
808070400,81.7
808156800,85.6
808243200,86.2
808329600,87.2
808416000,79.5
808502400,80.2
808588800,79.8
808675200,79.7
808761600,78.9
808848000,76.6
808934400,74.5
809020800,76.1
809107200,73.9
809193600,76.6
809280000,78.0
809366400,79.4
809452800,78.2
809539200,75.9
809625600,78.3
809712000,81.3
809798400,81.7
809884800,72.4
809971200,68.0
810057600,72.0
810144000,74.6
810230400,75.7
810316800,77.1
810403200,65.1
810489600,60.3
810576000,58.7
810662400,59.6
810748800,57.2
810835200,64.7
810921600,72.5
811008000,68.9
811094400,63.8
811180800,70.9
811267200,63.2
811353600,55.0
811440000,60.0
811526400,58.0
811612800,48.1
811699200,43.1
811785600,43.7
811872000,50.6
811958400,56.7
812044800,58.9
812131200,64.3
812217600,66.5
812304000,68.5
812390400,74.5
812476800,69.1
812563200,62.5
812649600,62.2
812736000,57.5
812822400,57.8
812908800,57.9
812995200,51.1
813081600,53.3
813168000,59.1
813254400,56.1
813340800,59.7
813427200,67.1
813513600,70.5
813600000,53.9
813686400,46.3
813772800,46.6
813859200,55.8
813945600,61.0
814032000,63.2
814118400,48.0
814204800,40.1
814291200,43.4
814377600,58.7
814464000,47.8
814550400,43.4
814636800,51.6
814723200,54.9
814809600,48.4
814896000,43.9
814982400,42.9
815068800,42.3
815155200,53.1
815241600,51.5
815328000,30.2
815414400,28.3
815500800,28.0
815587200,37.8
815673600,41.0
815760000,29.5
815846400,27.4
815932800,48.9
816019200,30.8
816105600,21.6
816192000,27.7
816278400,26.0
816364800,27.0
816451200,33.1
816537600,34.2
816624000,36.3
816710400,37.1
816796800,43.0
816883200,33.8
816969600,25.8
817056000,30.1
817142400,24.0
817228800,37.3
817315200,39.9
817401600,39.6
817488000,25.3
817574400,19.5
817660800,31.2
817747200,44.5
817833600,36.4
817920000,49.2
818006400,37.1
818092800,39.7
818179200,27.6
818265600,25.0
818352000,23.6
818438400,4.9
818524800,5.1
818611200,5.4
818697600,11.8
818784000,24.1
818870400,36.6
818956800,33.2
819043200,27.2
819129600,28.6
