timestamp,value
788889600,41.1
788976000,22.2
789062400,22.8
789148800,14.9
789235200,9.5
789321600,23.8
789408000,31.1
789494400,26.9
789580800,31.3
789667200,31.5
789753600,44.4
789840000,58.0
789926400,60.2
790012800,58.0
790099200,45.6
790185600,33.7
790272000,35.5
790358400,41.4
790444800,46.0
790531200,34.6
790617600,25.1
790704000,24.0
790790400,23.0
790876800,21.4
790963200,20.7
791049600,22.1
791136000,26.5
791222400,31.1
791308800,22.9
791395200,23.2
791481600,20.4
791568000,35.0
791654400,37.2
791740800,30.8
791827200,26.4
791913600,17.6
792000000,9.0
792086400,13.3
792172800,13.8
792259200,15.3
792345600,31.7
792432000,23.8
792518400,6.3
792604800,14.9
792691200,25.9
792777600,38.9
792864000,35.8
792950400,33.1
793036800,37.6
793123200,44.7
793209600,42.3
793296000,36.5
793382400,34.2
793468800,50.6
793555200,37.5
793641600,34.6
793728000,52.8
793814400,54.1
793900800,43.6
793987200,33.0
794073600,24.5
794160000,27.9
794246400,33.3
794332800,45.6
794419200,47.7
794505600,59.1
794592000,31.3
794678400,26.6
794764800,30.4
794851200,48.7
794937600,57.7
795024000,61.4
795110400,64.0
795196800,60.3
795283200,60.3
795369600,58.5
795456000,49.4
795542400,55.0
795628800,58.4
795715200,50.4
795801600,51.6
795888000,47.7
795974400,42.1
796060800,45.2
796147200,49.1
796233600,51.6
796320000,45.6
796406400,40.2
796492800,43.4
796579200,38.4
796665600,39.9
796752000,44.0
796838400,52.8
796924800,49.3
797011200,33.3
797097600,50.8
797184000,57.5
797270400,63.8
797356800,59.5
797443200,46.0
797529600,57.3
797616000,57.4
797702400,46.9
797788800,48.3
797875200,50.0
797961600,61.2
798048000,66.5
798134400,69.6
798220800,65.4
798307200,52.5
798393600,65.4
798480000,51.9
798566400,45.8
798652800,45.2
798739200,49.6
798825600,52.6
798912000,59.1
798998400,48.4
799084800,54.8
799171200,55.7
799257600,46.1
799344000,51.0
799430400,54.2
799516800,55.4
799603200,54.3
799689600,56.8
799776000,61.1
799862400,64.0
799948800,66.2
800035200,67.1
800121600,58.2
800208000,57.7
800294400,55.7
800380800,70.4
800467200,66.9
800553600,61.8
800640000,66.7
800726400,66.4
800812800,58.1
800899200,62.4
800985600,64.2
801072000,63.2
801158400,67.0
801244800,74.7
801331200,67.5
801417600,63.0
801504000,65.1
801590400,70.8
801676800,66.0
801763200,61.0
801849600,65.8
801936000,67.6
802022400,69.0
802108800,69.7
802195200,68.1
802281600,70.5
802368000,74.7
802454400,73.7
802540800,75.6
802627200,75.9
802713600,76.1
802800000,69.9
802886400,63.1
802972800,62.7
803059200,66.1
803145600,71.3
803232000,71.6
803318400,73.2
803404800,73.7
803491200,77.6
803577600,74.5
803664000,73.3
803750400,72.1
803836800,71.8
803923200,74.0
804009600,74.0
804096000,75.7
804182400,73.2
804268800,72.6
804355200,71.9
804441600,73.9
804528000,71.3
804614400,64.5
