timestamp,value
788889600,39.9
788976000,23.5
789062400,21.4
789148800,15.2
789235200,10.5
789321600,22.9
789408000,30.1
789494400,23.0
789580800,20.8
789667200,21.0
789753600,32.8
789840000,51.1
789926400,59.6
790012800,58.0
790099200,48.0
790185600,33.5
790272000,31.6
790358400,35.4
790444800,40.9
790531200,44.2
790617600,32.3
790704000,24.3
790790400,22.9
790876800,26.8
790963200,23.3
791049600,25.4
791136000,20.6
791222400,27.4
791308800,23.8
791395200,26.2
791481600,23.7
791568000,35.4
791654400,31.4
791740800,21.9
791827200,27.4
791913600,11.0
792000000,11.3
792086400,14.9
792172800,15.4
792259200,17.4
792345600,31.7
792432000,22.9
792518400,6.5
792604800,14.2
792691200,20.1
792777600,30.7
792864000,36.1
792950400,29.3
793036800,35.6
793123200,39.9
793209600,36.1
793296000,32.3
793382400,27.4
793468800,39.6
793555200,32.5
793641600,29.4
793728000,28.0
793814400,40.0
793900800,33.7
793987200,29.9
794073600,23.8
794160000,23.0
794246400,25.6
794332800,34.9
794419200,40.5
794505600,53.8
794592000,30.5
794678400,22.5
794764800,21.2
794851200,47.9
794937600,58.1
795024000,60.3
795110400,57.9
795196800,51.8
795283200,50.3
795369600,41.7
795456000,35.4
795542400,45.1
795628800,59.7
795715200,48.2
795801600,41.6
795888000,36.3
795974400,35.8
796060800,38.8
796147200,41.8
796233600,39.7
796320000,41.4
796406400,40.3
796492800,41.5
796579200,38.1
796665600,37.2
796752000,39.1
796838400,46.6
796924800,41.9
797011200,28.8
797097600,44.6
797184000,41.0
797270400,43.9
797356800,38.8
797443200,36.2
797529600,54.7
797616000,60.5
797702400,44.2
797788800,42.1
797875200,38.8
797961600,44.6
798048000,48.8
798134400,55.2
798220800,60.7
798307200,45.9
798393600,60.5
798480000,49.6
798566400,42.8
798652800,43.4
798739200,42.1
798825600,49.5
798912000,60.1
798998400,50.8
799084800,52.1
799171200,50.4
799257600,46.8
799344000,51.1
799430400,50.0
799516800,54.1
799603200,54.7
799689600,53.9
799776000,54.4
799862400,52.7
799948800,56.8
800035200,64.1
800121600,56.8
800208000,58.2
800294400,61.5
800380800,70.6
800467200,64.2
800553600,62.2
800640000,67.4
800726400,53.0
800812800,56.2
800899200,63.8
800985600,65.8
801072000,58.7
801158400,64.4
801244800,65.7
801331200,56.1
801417600,59.5
801504000,61.9
801590400,68.4
801676800,65.2
801763200,60.9
801849600,63.4
801936000,64.6
802022400,71.0
802108800,67.1
802195200,65.8
802281600,67.4
802368000,73.6
802454400,76.3
802540800,62.5
802627200,62.0
802713600,70.3
802800000,70.7
802886400,63.4
802972800,61.8
803059200,69.0
803145600,65.4
803232000,68.2
803318400,72.6
803404800,77.9
803491200,80.2
803577600,79.2
803664000,77.8
803750400,72.9
803836800,76.5
803923200,74.7
804009600,74.1
804096000,74.2
804182400,75.7
804268800,77.2
804355200,72.7
804441600,73.5
804528000,72.9
804614400,66.4
804700800,64.1
804787200,74.4
804873600,80.2
804960000,75.3
805046400,71.6
805132800,66.2
805219200,66.1
805305600,69.4
805392000,71.9
805478400,73.4
805564800,83.2
805651200,81.0
805737600,87.2
805824000,78.5
805910400,77.2
805996800,76.8
806083200,76.0
806169600,74.4
806256000,73.1
806342400,75.0
806428800,77.3
806515200,76.4
806601600,76.8
806688000,78.2
806774400,77.0
806860800,80.2
806947200,81.5
807033600,78.7
807120000,78.1
807206400,81.9
807292800,78.2
807379200,82.4
807465600,78.8
807552000,74.3
807638400,74.6
807724800,74.6
807811200,73.1
807897600,71.7
807984000,75.6
808070400,81.3
808156800,83.7
808243200,83.2
808329600,82.3
808416000,83.7
808502400,81.3
808588800,79.4
808675200,77.9
808761600,76.1
808848000,78.3
808934400,75.6
809020800,74.7
809107200,71.5
809193600,70.4
809280000,69.5
809366400,71.5
809452800,71.2
809539200,72.2
809625600,73.1
809712000,71.0
809798400,80.6
809884800,74.5
809971200,67.0
810057600,69.1
810144000,69.6
810230400,69.2
810316800,74.5
810403200,72.9
810489600,64.7
810576000,65.5
810662400,58.3
810748800,56.9
810835200,66.9
810921600,74.8
811008000,68.2
811094400,63.5
811180800,64.9
811267200,64.3
811353600,59.9
811440000,56.9
811526400,63.5
811612800,63.5
811699200,56.9
811785600,48.5
811872000,49.7
811958400,52.2
812044800,54.9
812131200,60.1
812217600,61.8
812304000,63.4
812390400,67.7
812476800,67.7
812563200,66.7
812649600,58.4
812736000,60.6
812822400,60.1
812908800,63.4
812995200,57.7
813081600,53.7
813168000,54.1
813254400,58.5
813340800,59.2
813427200,65.3
813513600,65.5
813600000,62.5
813686400,50.1
813772800,49.5
813859200,49.0
813945600,61.1
814032000,63.8
814118400,61.5
814204800,45.8
814291200,48.9
814377600,59.1
814464000,58.9
814550400,49.5
814636800,46.0
814723200,56.3
814809600,51.2
814896000,47.5
814982400,45.0
815068800,48.4
815155200,56.4
815241600,65.6
815328000,45.5
815414400,33.3
815500800,30.3
815587200,33.0
815673600,45.5
815760000,37.8
815846400,30.7
815932800,44.7
816019200,50.1
816105600,31.5
816192000,33.4
816278400,36.3
816364800,35.9
816451200,31.9
816537600,35.0
816624000,37.5
816710400,37.7
816796800,39.7
816883200,38.1
816969600,30.4
817056000,35.3
817142400,31.3
817228800,30.2
817315200,38.2
817401600,49.2
817488000,40.3
817574400,32.9
817660800,31.2
817747200,44.8
817833600,34.9
817920000,45.6
818006400,35.1
818092800,36.8
818179200,30.4
818265600,26.9
818352000,24.7
818438400,19.7
818524800,6.5
818611200,11.1
818697600,14.4
818784000,20.9
818870400,40.4
818956800,36.8
819043200,31.1
819129600,28.5
819216000,30.5
819302400,28.2
819388800,20.6
819475200,20.9
819561600,15.4
819648000,23.1
819734400,24.6
819820800,24.4
819907200,20.3
819993600,17.2
820080000,24.1
820166400,19.7
820252800,24.6
820339200,34.9
820425600,35.0
820512000,28.5
820598400,19.8
820684800,13.9
820771200,13.8
820857600,13.6
820944000,17.0
821030400,14.6
821116800,19.9
821203200,19.2
821289600,11.6
821376000,21.1
821462400,24.6
821548800,35.9
821635200,25.9
821721600,26.8
821808000,47.5
821894400,54.7
821980800,34.0
822067200,14.7
822153600,24.2
822240000,33.2
822326400,37.2
822412800,36.1
822499200,23.2
822585600,33.9
822672000,35.3
822758400,22.0
822844800,31.0
822931200,20.2
823017600,11.1
